Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0301,210,255,465,2352,19.77%,184,256,440
"Chief Justice, 14th Court of Appeals District",0302,353,343,696,2720,25.59%,401,271,672
"Chief Justice, 14th Court of Appeals District",0303,922,784,1706,3245,52.57%,1390,252,1642
"Chief Justice, 14th Court of Appeals District",0304,606,505,1111,2298,48.35%,629,419,1048
"Chief Justice, 14th Court of Appeals District",0305,524,432,956,4191,22.81%,407,526,933
"Chief Justice, 14th Court of Appeals District",0306,649,342,991,1879,52.74%,731,215,946
"Chief Justice, 14th Court of Appeals District",0307,733,670,1403,3099,45.27%,969,365,1334
"Chief Justice, 14th Court of Appeals District",0308,199,130,329,1296,25.39%,117,201,318
"Chief Justice, 14th Court of Appeals District",0309,708,593,1301,2524,51.55%,1046,192,1238
"Chief Justice, 14th Court of Appeals District",0310,386,279,665,1435,46.34%,455,172,627
"Chief Justice, 14th Court of Appeals District",0311,486,421,907,2986,30.38%,497,351,848
"Chief Justice, 14th Court of Appeals District",0312,742,457,1199,3636,32.98%,788,367,1155
"Chief Justice, 14th Court of Appeals District",0313,9,0,9,62,14.52%,7,2,9
"Chief Justice, 14th Court of Appeals District",0314,1121,913,2034,5647,36.02%,1277,708,1985
"Chief Justice, 14th Court of Appeals District",0315,478,388,866,1608,53.86%,513,305,818
"Chief Justice, 14th Court of Appeals District",0316,412,341,753,1537,48.99%,414,288,702
"Chief Justice, 14th Court of Appeals District",0317,249,209,458,1588,28.84%,147,296,443
"Chief Justice, 14th Court of Appeals District",0318,834,568,1402,3660,38.31%,65,1301,1366
"Chief Justice, 14th Court of Appeals District",0319,512,230,742,2158,34.38%,47,674,721
"Chief Justice, 14th Court of Appeals District",0320,234,168,402,1537,26.15%,201,185,386
"Chief Justice, 14th Court of Appeals District",0321,262,191,453,2346,19.31%,168,264,432
"Chief Justice, 14th Court of Appeals District",0322,181,129,310,1226,25.29%,102,197,299
"Chief Justice, 14th Court of Appeals District",0323,278,211,489,1722,28.40%,232,228,460
"Chief Justice, 14th Court of Appeals District",0324,532,646,1178,2336,50.43%,741,362,1103
"Chief Justice, 14th Court of Appeals District",0325,289,193,482,2112,22.82%,102,360,462
"Chief Justice, 14th Court of Appeals District",0326,87,74,161,698,23.07%,72,81,153
"Chief Justice, 14th Court of Appeals District",0327,380,129,509,1729,29.44%,10,487,497
"Chief Justice, 14th Court of Appeals District",0328,151,140,291,1434,20.29%,130,148,278
"Chief Justice, 14th Court of Appeals District",0329,189,184,373,1397,26.70%,139,215,354
"Chief Justice, 14th Court of Appeals District",0330,334,253,587,1936,30.32%,329,228,557
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0331,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0332,18,7,25,138,18.12%,11,12,23
"Chief Justice, 14th Court of Appeals District",0333,524,714,1238,3021,40.98%,872,310,1182
"Chief Justice, 14th Court of Appeals District",0334,83,42,125,742,16.85%,21,99,120
"Chief Justice, 14th Court of Appeals District",0335,121,98,219,1300,16.85%,82,125,207
"Chief Justice, 14th Court of Appeals District",0336,866,624,1490,4051,36.78%,136,1319,1455
"Chief Justice, 14th Court of Appeals District",0337,124,103,227,1029,22.06%,40,175,215
"Chief Justice, 14th Court of Appeals District",0338,730,391,1121,4934,22.72%,389,662,1051
"Chief Justice, 14th Court of Appeals District",0339,202,222,424,1757,24.13%,92,309,401
"Chief Justice, 14th Court of Appeals District",0340,1038,594,1632,3765,43.35%,1222,342,1564
"Chief Justice, 14th Court of Appeals District",0341,91,167,258,1290,20.00%,85,163,248
"Chief Justice, 14th Court of Appeals District",0342,675,605,1280,6526,19.61%,212,1035,1247
"Chief Justice, 14th Court of Appeals District",0343,189,271,460,1964,23.42%,134,294,428
"Chief Justice, 14th Court of Appeals District",0344,154,172,326,1160,28.10%,15,298,313
"Chief Justice, 14th Court of Appeals District",0345,156,165,321,1804,17.79%,98,209,307
"Chief Justice, 14th Court of Appeals District",0346,0,1,1,3,33.33%,1,0,1
"Chief Justice, 14th Court of Appeals District",0347,592,436,1028,3387,30.35%,678,309,987
"Chief Justice, 14th Court of Appeals District",0348,438,208,646,1708,37.82%,499,124,623
"Chief Justice, 14th Court of Appeals District",0349,188,267,455,1349,33.73%,279,157,436
"Chief Justice, 14th Court of Appeals District",0350,524,526,1050,2909,36.09%,439,548,987
"Chief Justice, 14th Court of Appeals District",0351,1491,710,2201,4712,46.71%,1746,395,2141
"Chief Justice, 14th Court of Appeals District",0352,520,339,859,3205,26.80%,631,202,833
"Chief Justice, 14th Court of Appeals District",0353,665,451,1116,3862,28.90%,202,888,1090
"Chief Justice, 14th Court of Appeals District",0354,715,338,1053,3388,31.08%,262,760,1022
"Chief Justice, 14th Court of Appeals District",0355,301,264,565,1560,36.22%,49,502,551
"Chief Justice, 14th Court of Appeals District",0356,594,538,1132,2972,38.09%,747,343,1090
"Chief Justice, 14th Court of Appeals District",0357,837,575,1412,3517,40.15%,1036,331,1367
"Chief Justice, 14th Court of Appeals District",0358,212,254,466,2492,18.70%,50,402,452
"Chief Justice, 14th Court of Appeals District",0359,234,224,458,3061,14.96%,61,387,448
"Chief Justice, 14th Court of Appeals District",0360,522,380,902,2146,42.03%,480,360,840
"Chief Justice, 14th Court of Appeals District",0361,41,295,336,1673,20.08%,53,250,303
"Chief Justice, 14th Court of Appeals District",0362,1138,887,2025,5086,39.82%,1500,444,1944
"Chief Justice, 14th Court of Appeals District",0363,620,412,1032,3677,28.07%,468,538,1006
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0364,488,405,893,2658,33.60%,522,331,853
"Chief Justice, 14th Court of Appeals District",0365,478,231,709,1305,54.33%,53,641,694
"Chief Justice, 14th Court of Appeals District",0366,252,270,522,2454,21.27%,136,370,506
"Chief Justice, 14th Court of Appeals District",0367,170,138,308,1130,27.26%,67,235,302
"Chief Justice, 14th Court of Appeals District",0368,178,88,266,958,27.77%,70,184,254
"Chief Justice, 14th Court of Appeals District",0369,32,29,61,559,10.91%,18,42,60
"Chief Justice, 14th Court of Appeals District",0370,1532,1105,2637,6593,40.00%,2016,547,2563
"Chief Justice, 14th Court of Appeals District",0371,122,52,174,502,34.66%,7,163,170
"Chief Justice, 14th Court of Appeals District",0372,221,170,391,1224,31.94%,52,325,377
"Chief Justice, 14th Court of Appeals District",0373,21,12,33,157,21.02%,2,29,31
"Chief Justice, 14th Court of Appeals District",0374,85,93,158,738,21.41%,55,99,154
"Chief Justice, 14th Court of Appeals District",0375,254,220,474,2645,17.92%,233,213,446
"Chief Justice, 14th Court of Appeals District",0376,278,205,483,1910,25.29%,212,251,463
"Chief Justice, 14th Court of Appeals District",0377,525,583,1109,2920,37.98%,823,241,1064
"Chief Justice, 14th Court of Appeals District",0378,232,354,586,1829,32.04%,372,194,566
"Chief Justice, 14th Court of Appeals District",0379,431,289,720,2027,35.52%,72,627,699
"Chief Justice, 14th Court of Appeals District",0380,1299,995,2294,5666,40.49%,1253,972,2225
"Chief Justice, 14th Court of Appeals District",0381,412,248,660,2855,23.12%,318,324,642
"Chief Justice, 14th Court of Appeals District",0382,132,157,289,922,31.34%,212,70,282
"Chief Justice, 14th Court of Appeals District",0383,289,263,552,2173,25.40%,226,308,534
"Chief Justice, 14th Court of Appeals District",0384,573,373,946,2657,35.60%,194,718,912
"Chief Justice, 14th Court of Appeals District",0385,583,670,1253,2207,56.77%,977,212,1189
"Chief Justice, 14th Court of Appeals District",0386,662,469,1131,2922,38.71%,835,264,1099
"Chief Justice, 14th Court of Appeals District",0387,555,672,1227,3935,31.18%,894,298,1192
"Chief Justice, 14th Court of Appeals District",0388,1430,1010,2440,6888,35.42%,1416,965,2381
"Chief Justice, 14th Court of Appeals District",0389,91,208,299,1026,29.14%,45,233,278
"Chief Justice, 14th Court of Appeals District",0390,356,263,619,1480,41.82%,78,522,600
"Chief Justice, 14th Court of Appeals District",0391,508,260,768,1883,40.79%,483,247,730
"Chief Justice, 14th Court of Appeals District",0392,387,155,542,1446,37.48%,7,526,533
"Chief Justice, 14th Court of Appeals District",0393,165,185,350,1292,27.09%,166,177,343
"Chief Justice, 14th Court of Appeals District",0394,69,73,142,834,17.03%,69,69,138
"Chief Justice, 14th Court of Appeals District",0395,470,404,874,1846,47.35%,644,192,836
"Chief Justice, 14th Court of Appeals District",0396,622,216,838,2082,40.25%,16,812,828
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0397,86,78,164,760,21,58%,79,80,159
"Chief Justice, 14th Court of Appeals District",0398,615,521,1136,4022,28.24%,620,489,1109
"Chief Justice, 14th Court of Appeals District",0399,402,366,768,2791,27.52%,434,313,747
"Chief Justice, 14th Court of Appeals District",0400,520,359,979,2411,40.61%,727,215,942
"Chief Justice, 14th Court of Appeals District",0401,330,205,535,1913,27.97%,24,501,525
"Chief Justice, 14th Court of Appeals District",0402,466,266,732,1794,40.80%,35,677,712
"Chief Justice, 14th Court of Appeals District",0403,475,498,973,1715,56.73%,555,350,905
"Chief Justice, 14th Court of Appeals District",0404,419,330,749,2585,28.97%,437,287,724
"Chief Justice, 14th Court of Appeals District",0405,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0406,137,67,204,628,32.48%,3,198,201
"Chief Justice, 14th Court of Appeals District",0407,691,793,1484,3769,39.37%,1000,407,1407
"Chief Justice, 14th Court of Appeals District",0408,146,153,299,1691,17.68%,146,138,284
"Chief Justice, 14th Court of Appeals District",0409,122,149,271,1459,18.57%,109,150,259
"Chief Justice, 14th Court of Appeals District",0410,132,80,212,899,23.58%,43,158,201
"Chief Justice, 14th Court of Appeals District",0411,235,200,435,2339,18.60%,159,258,417
"Chief Justice, 14th Court of Appeals District",0412,74,44,118,468,25.21%,7,105,112
"Chief Justice, 14th Court of Appeals District",0413,767,386,1153,2992,38.54%,455,655,1110
"Chief Justice, 14th Court of Appeals District",0414,654,480,1134,3453,32.84%,877,217,1094
"Chief Justice, 14th Court of Appeals District",0415,539,598,1137,2203,51.61%,774,319,1093
"Chief Justice, 14th Court of Appeals District",0416,538,558,1096,3791,28.91%,626,433,1059
"Chief Justice, 14th Court of Appeals District",0417,353,385,738,2448,30.15%,374,331,705
"Chief Justice, 14th Court of Appeals District",0418,403,469,872,3584,24.33%,364,467,831
"Chief Justice, 14th Court of Appeals District",0419,571,324,895,2658,33.67%,601,263,864
"Chief Justice, 14th Court of Appeals District",0420,1036,874,1910,4762,40.11%,1571,273,1844
"Chief Justice, 14th Court of Appeals District",0421,35,37,73,410,17.80%,25,44,69
"Chief Justice, 14th Court of Appeals District",0422,731,402,1133,3345,33.87%,31,1084,1115
"Chief Justice, 14th Court of Appeals District",0423,108,120,228,1376,16.57%,73,149,222
"Chief Justice, 14th Court of Appeals District",0424,240,111,351,967,36.30%,212,123,335
"Chief Justice, 14th Court of Appeals District",0425,107,123,230,883,26.05%,87,132,219
"Chief Justice, 14th Court of Appeals District",0426,260,183,443,1218,36.37%,262,161,423
"Chief Justice, 14th Court of Appeals District",0427,179,134,313,1092,28.66%,139,156,295
"Chief Justice, 14th Court of Appeals District",0428,619,421,1040,4538,22.92%,328,635,963
"Chief Justice, 14th Court of Appeals District",0429,445,314,759,3197,23.74%,215,502,717
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0430,161,133,294,1657,17.74%,89,193,282
"Chief Justice, 14th Court of Appeals District",0431,327,84,411,3417,12.03%,148,243,391
"Chief Justice, 14th Court of Appeals District",0432,123,157,280,1455,19.24%,103,168,271
"Chief Justice, 14th Court of Appeals District",0433,50,63,113,581,19.45%,25,81,106
"Chief Justice, 14th Court of Appeals District",0434,370,289,659,1503,43.85%,424,205,629
"Chief Justice, 14th Court of Appeals District",0435,855,636,1491,3252,45.85%,981,437,1418
"Chief Justice, 14th Court of Appeals District",0436,629,531,1160,2933,39.55%,745,357,1102
"Chief Justice, 14th Court of Appeals District",0437,521,512,1033,2033,50.81%,739,240,979
"Chief Justice, 14th Court of Appeals District",0438,517,389,1006,1861,54.06%,779,174,953
"Chief Justice, 14th Court of Appeals District",0439,710,884,1594,3554,44.85%,1169,345,1514
"Chief Justice, 14th Court of Appeals District",0440,664,858,1522,2930,51.95%,1216,230,1446
"Chief Justice, 14th Court of Appeals District",0441,345,420,765,1669,45.84%,598,138,736
"Chief Justice, 14th Court of Appeals District",0442,612,574,1186,2575,46.06%,989,156,1145
"Chief Justice, 14th Court of Appeals District",0443,226,138,364,646,56.35%,263,83,346
"Chief Justice, 14th Court of Appeals District",0444,587,583,1270,3262,38.93%,807,397,1204
"Chief Justice, 14th Court of Appeals District",0445,499,348,847,2026,41.81%,583,231,814
"Chief Justice, 14th Court of Appeals District",0446,31,22,53,291,18.21%,25,25,50
"Chief Justice, 14th Court of Appeals District",0447,93,86,179,637,28.10%,54,118,172
"Chief Justice, 14th Court of Appeals District",0448,590,778,1368,3138,43.59%,757,535,1292
"Chief Justice, 14th Court of Appeals District",0449,12,23,35,198,17.68%,3,32,35
"Chief Justice, 14th Court of Appeals District",0450,435,328,763,2635,28.96%,245,487,732
"Chief Justice, 14th Court of Appeals District",0451,1002,510,1512,2687,56.27%,1257,194,1451
"Chief Justice, 14th Court of Appeals District",0452,554,444,998,3048,32.74%,735,233,968
"Chief Justice, 14th Court of Appeals District",0453,231,262,493,1937,25.45%,199,271,470
"Chief Justice, 14th Court of Appeals District",0454,594,248,842,2561,32.88%,13,816,829
"Chief Justice, 14th Court of Appeals District",0455,367,165,532,1689,31.50%,20,504,524
"Chief Justice, 14th Court of Appeals District",0456,482,362,844,3513,24.03%,499,324,823
"Chief Justice, 14th Court of Appeals District",0457,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0458,471,237,708,1924,36.80%,26,660,686
"Chief Justice, 14th Court of Appeals District",0459,951,474,1425,3021,47.17%,1127,256,1383
"Chief Justice, 14th Court of Appeals District",0460,554,331,885,2837,31.19%,237,628,865
"Chief Justice, 14th Court of Appeals District",0461,1155,735,1900,3871,49.08%,1351,438,1789
"Chief Justice, 14th Court of Appeals District",0462,675,619,1294,3384,38.24%,478,761,1239
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0463,480,404,884,3326,26.58%,410,447,857
"Chief Justice, 14th Court of Appeals District",0464,356,430,786,2257,34.82%,569,190,759
"Chief Justice, 14th Court of Appeals District",0465,587,520,1207,3564,33.87%,696,482,1178
"Chief Justice, 14th Court of Appeals District",0466,1058,614,1672,4184,39.96%,982,646,1628
"Chief Justice, 14th Court of Appeals District",0467,213,189,402,1270,31.65%,98,293,391
"Chief Justice, 14th Court of Appeals District",0468,352,443,795,3598,22.10%,255,512,767
"Chief Justice, 14th Court of Appeals District",0469,1294,547,1841,3985,46.20%,1461,303,1764
"Chief Justice, 14th Court of Appeals District",0470,185,176,361,1326,27.22%,270,75,345
"Chief Justice, 14th Court of Appeals District",0471,375,380,755,2387,31.63%,618,123,741
"Chief Justice, 14th Court of Appeals District",0472,198,278,476,1081,44.03%,219,231,450
"Chief Justice, 14th Court of Appeals District",0473,599,391,990,1806,54.82%,703,247,950
"Chief Justice, 14th Court of Appeals District",0474,559,588,1147,3037,37.77%,805,310,1115
"Chief Justice, 14th Court of Appeals District",0475,189,267,456,1809,25.21%,226,213,439
"Chief Justice, 14th Court of Appeals District",0476,404,473,877,2430,36.09%,494,353,847
"Chief Justice, 14th Court of Appeals District",0477,737,567,1304,3505,37.20%,1000,263,1263
"Chief Justice, 14th Court of Appeals District",0478,958,657,1615,4461,36.20%,1101,454,1555
"Chief Justice, 14th Court of Appeals District",0479,638,612,1250,2714,46.06%,924,275,1199
"Chief Justice, 14th Court of Appeals District",0480,493,450,943,2415,39.05%,689,224,913
"Chief Justice, 14th Court of Appeals District",0481,770,623,1393,3482,40.01%,1072,269,1341
"Chief Justice, 14th Court of Appeals District",0482,878,630,1508,4373,34.48%,1087,380,1467
"Chief Justice, 14th Court of Appeals District",0483,1042,478,1520,4308,35.28%,905,565,1470
"Chief Justice, 14th Court of Appeals District",0484,1107,930,2037,4979,40.91%,1486,499,1985
"Chief Justice, 14th Court of Appeals District",0485,1095,911,2006,5388,37.23%,1579,383,1962
"Chief Justice, 14th Court of Appeals District",0486,873,855,1728,3866,44.70%,1371,297,1668
"Chief Justice, 14th Court of Appeals District",0487,570,294,864,3860,22.38%,318,483,801
"Chief Justice, 14th Court of Appeals District",0488,268,254,522,1719,30.37%,199,289,488
"Chief Justice, 14th Court of Appeals District",0489,350,290,640,1893,33.81%,211,397,608
"Chief Justice, 14th Court of Appeals District",0490,444,368,812,1975,41.11%,305,479,784
"Chief Justice, 14th Court of Appeals District",0491,315,372,687,1888,36.39%,415,247,662
"Chief Justice, 14th Court of Appeals District",0492,556,410,966,2335,41.37%,606,324,930
"Chief Justice, 14th Court of Appeals District",0493,480,322,802,1853,43.28%,557,205,762
"Chief Justice, 14th Court of Appeals District",0494,381,247,628,2467,25.46%,85,526,611
"Chief Justice, 14th Court of Appeals District",0495,522,523,1045,2375,44.00%,762,233,995
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0496,190,315,505,2160,23.38%,200,291,491
"Chief Justice, 14th Court of Appeals District",0497,526,243,769,2257,34.07%,26,728,754
"Chief Justice, 14th Court of Appeals District",0498,363,323,686,2297,29.87%,314,358,672
"Chief Justice, 14th Court of Appeals District",0499,750,518,1268,2326,54.51%,947,260,1207
"Chief Justice, 14th Court of Appeals District",0500,729,715,1444,3507,41.17%,1010,386,1396
"Chief Justice, 14th Court of Appeals District",0501,341,417,758,1801,42.09%,280,436,716
"Chief Justice, 14th Court of Appeals District",0502,477,350,827,2501,33.07%,660,138,798
"Chief Justice, 14th Court of Appeals District",0503,174,116,290,1374,21.11%,113,156,269
"Chief Justice, 14th Court of Appeals District",0504,624,527,1151,2288,50.31%,759,328,1087
"Chief Justice, 14th Court of Appeals District",0505,531,562,1193,3773,31.62%,555,579,1134
"Chief Justice, 14th Court of Appeals District",0506,665,670,1335,3502,38.12%,244,1049,1293
"Chief Justice, 14th Court of Appeals District",0507,221,149,370,2452,15.09%,76,229,305
"Chief Justice, 14th Court of Appeals District",0508,492,412,904,3287,27.50%,348,494,842
"Chief Justice, 14th Court of Appeals District",0509,754,596,1350,3732,36.17%,960,337,1297
"Chief Justice, 14th Court of Appeals District",0510,687,514,1201,3590,33.45%,605,551,1156
"Chief Justice, 14th Court of Appeals District",0511,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0512,602,660,1262,5057,24.96%,611,624,1235
"Chief Justice, 14th Court of Appeals District",0513,1019,487,1506,2894,52.04%,1172,274,1446
"Chief Justice, 14th Court of Appeals District",0514,954,720,1674,4275,39.16%,1281,339,1620
"Chief Justice, 14th Court of Appeals District",0515,942,683,1625,3455,47.03%,1323,238,1561
"Chief Justice, 14th Court of Appeals District",0516,1000,800,1800,5356,33.61%,971,767,1738
"Chief Justice, 14th Court of Appeals District",0517,481,256,737,2954,24.95%,427,290,717
"Chief Justice, 14th Court of Appeals District",0518,635,693,1328,3943,33.68%,880,400,1280
"Chief Justice, 14th Court of Appeals District",0519,623,493,1116,2966,37.63%,839,241,1080
"Chief Justice, 14th Court of Appeals District",0520,473,457,930,4580,20.31%,176,728,904
"Chief Justice, 14th Court of Appeals District",0521,471,464,935,2866,32.62%,509,395,904
"Chief Justice, 14th Court of Appeals District",0522,716,572,1288,2689,47.90%,1009,238,1247
"Chief Justice, 14th Court of Appeals District",0523,751,415,1166,3052,38.20%,797,326,1123
"Chief Justice, 14th Court of Appeals District",0524,567,459,1026,3410,30.09%,358,633,991
"Chief Justice, 14th Court of Appeals District",0525,707,482,1189,3091,38.47%,275,873,1148
"Chief Justice, 14th Court of Appeals District",0526,68,84,152,780,19.49%,44,97,141
"Chief Justice, 14th Court of Appeals District",0527,37,40,77,574,13.41%,41,33,74
"Chief Justice, 14th Court of Appeals District",0528,14,12,26,90,28.89%,2,23,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0529,1043,491,1534,3710,41.35%,1319,167,1486
"Chief Justice, 14th Court of Appeals District",0530,114,107,221,1196,18.48%,59,148,207
"Chief Justice, 14th Court of Appeals District",0531,363,174,537,1145,46.90%,419,98,517
"Chief Justice, 14th Court of Appeals District",0532,205,146,351,1048,33.49%,258,84,342
"Chief Justice, 14th Court of Appeals District",0533,124,108,232,1119,20.73%,136,84,220
"Chief Justice, 14th Court of Appeals District",0534,783,524,1,307,3837,34.06%,1003,260,1263
"Chief Justice, 14th Court of Appeals District",0535,33,29,62,416,14.90%,31,29,60
"Chief Justice, 14th Court of Appeals District",0536,554,780,1334,5139,25.96%,520,772,1292
"Chief Justice, 14th Court of Appeals District",0537,857,778,1635,3050,53.61%,1211,360,1571
"Chief Justice, 14th Court of Appeals District",0538,204,160,364,1303,27.94%,7,348,355
"Chief Justice, 14th Court of Appeals District",0539,15,241,256,64,400.00%,72,164,236
"Chief Justice, 14th Court of Appeals District",0540,378,316,694,1567,44.29%,290,360,650
"Chief Justice, 14th Court of Appeals District",0541,785,505,1290,4599,28.05%,192,1060,1252
"Chief Justice, 14th Court of Appeals District",0542,360,382,742,2557,29.02%,48,668,716
"Chief Justice, 14th Court of Appeals District",0543,141,213,354,1565,22.62%,116,217,333
"Chief Justice, 14th Court of Appeals District",0544,35,41,77,310,24.84%,11,64,75
"Chief Justice, 14th Court of Appeals District",0545,596,620,1216,3629,33.51%,623,551,1174
"Chief Justice, 14th Court of Appeals District",0546,2,2,4,37,10.81%,3,0,3
"Chief Justice, 14th Court of Appeals District",0547,501,466,967,2406,40.19%,684,248,932
"Chief Justice, 14th Court of Appeals District",0548,285,293,579,2215,26.14%,307,257,564
"Chief Justice, 14th Court of Appeals District",0549,343,418,761,2663,28.58%,108,632,740
"Chief Justice, 14th Court of Appeals District",0550,501,431,932,3031,30.75%,539,364,903
"Chief Justice, 14th Court of Appeals District",0551,1288,1394,2682,7034,38.13%,2051,556,2607
"Chief Justice, 14th Court of Appeals District",0552,847,883,1730,3415,50.66%,1447,235,1682
"Chief Justice, 14th Court of Appeals District",0553,579,529,1108,4686,23.64%,511,569,1080
"Chief Justice, 14th Court of Appeals District",0554,261,199,460,1757,26.18%,99,331,430
"Chief Justice, 14th Court of Appeals District",0555,225,277,502,2219,22.62%,110,370,480
"Chief Justice, 14th Court of Appeals District",0556,276,186,462,2319,19.92%,137,306,443
"Chief Justice, 14th Court of Appeals District",0557,455,183,638,2830,22.54%,263,296,559
"Chief Justice, 14th Court of Appeals District",0558,693,463,1156,4380,26.39%,417,694,1111
"Chief Justice, 14th Court of Appeals District",0559,641,494,1135,4969,22.84%,339,757,1096
"Chief Justice, 14th Court of Appeals District",0560,72,131,203,1120,18.13%,52,138,190
"Chief Justice, 14th Court of Appeals District",0561,362,436,798,3064,26.04%,484,288,772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0562,113,68,181,694,26.08%,22,155,177
"Chief Justice, 14th Court of Appeals District",0563,1107,376,1483,3105,47.76%,1168,254,1422
"Chief Justice, 14th Court of Appeals District",0564,470,426,896,3155,28.40%,250,607,857
"Chief Justice, 14th Court of Appeals District",0565,108,78,186,1354,13.74%,45,128,173
"Chief Justice, 14th Court of Appeals District",0566,418,324,742,2882,25.75%,236,487,723
"Chief Justice, 14th Court of Appeals District",0567,301,193,494,2238,22.07%,170,289,459
"Chief Justice, 14th Court of Appeals District",0568,876,685,1561,3594,43.43%,1037,441,1478
"Chief Justice, 14th Court of Appeals District",0569,572,667,1239,3525,35.15%,680,506,1186
"Chief Justice, 14th Court of Appeals District",0570,238,210,448,1562,28.68%,155,264,419
"Chief Justice, 14th Court of Appeals District",0571,155,149,304,1827,16.64%,126,168,294
"Chief Justice, 14th Court of Appeals District",0572,555,375,930,3108,29.92%,498,401,899
"Chief Justice, 14th Court of Appeals District",0573,290,151,441,1619,27.24%,6,428,434
"Chief Justice, 14th Court of Appeals District",0574,31,42,73,402,18.16%,8,65,73
"Chief Justice, 14th Court of Appeals District",0575,13,11,24,74,32.43%,16,7,23
"Chief Justice, 14th Court of Appeals District",0576,485,318,803,2734,29.37%,24,764,788
"Chief Justice, 14th Court of Appeals District",0577,147,88,235,608,38.65%,140,87,227
"Chief Justice, 14th Court of Appeals District",0578,409,538,947,1799,52.64%,585,318,903
"Chief Justice, 14th Court of Appeals District",0579,75,101,176,1056,16.67%,34,135,169
"Chief Justice, 14th Court of Appeals District",0580,179,118,297,1031,28.81%,3,284,287
"Chief Justice, 14th Court of Appeals District",0581,212,174,386,1032,37.40%,7,369,376
"Chief Justice, 14th Court of Appeals District",0582,258,171,429,1588,27.02%,21,400,421
"Chief Justice, 14th Court of Appeals District",0583,225,131,356,1262,28.21%,12,335,347
"Chief Justice, 14th Court of Appeals District",0584,182,93,275,1014,27.12%,11,258,269
"Chief Justice, 14th Court of Appeals District",0585,417,172,589,2511,23.46%,16,563,579
"Chief Justice, 14th Court of Appeals District",0586,638,680,1318,4316,30.54%,799,467,1266
"Chief Justice, 14th Court of Appeals District",0587,436,284,720,2598,27.71%,285,414,699
"Chief Justice, 14th Court of Appeals District",0588,758,674,1432,3645,39.29%,1035,360,1395
"Chief Justice, 14th Court of Appeals District",0589,500,386,886,3420,25.91%,503,360,863
"Chief Justice, 14th Court of Appeals District",0590,772,399,1171,2162,54.16%,912,220,1132
"Chief Justice, 14th Court of Appeals District",0591,183,231,414,2121,19.52%,127,272,399
"Chief Justice, 14th Court of Appeals District",0592,133,157,290,1350,21.48%,78,201,279
"Chief Justice, 14th Court of Appeals District",0593,543,564,1107,4380,25.27%,542,514,1056
"Chief Justice, 14th Court of Appeals District",0594,561,326,887,2490,35.62%,258,607,865
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0595,201,178,379,1693,22.39%,69,301,370
"Chief Justice, 14th Court of Appeals District",0596,441,348,789,3007,26.24%,441,324,765
"Chief Justice, 14th Court of Appeals District",0597,367,394,761,3653,20.83%,330,418,748
"Chief Justice, 14th Court of Appeals District",0598,195,57,252,728,34.62%,206,39,245
"Chief Justice, 14th Court of Appeals District",0599,850,578,1428,4950,28.85%,514,869,1383
"Chief Justice, 14th Court of Appeals District",0600,667,429,1096,3957,27.70%,449,596,1045
"Chief Justice, 14th Court of Appeals District",0601,1073,756,1829,4057,45.08%,1410,357,1767
