Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roberta Lloyd,DEM Damon Crenshaw,Totals
"Judge, County Court at Law No. 4",0350,524,526,1050,2909,36.09%,399,559,958
"Judge, County Court at Law No. 4",0351,1491,710,2201,4712,46.71%,1728,385,2113
"Judge, County Court at Law No. 4",0352,520,339,859,3205,26.80%,631,196,827
"Judge, County Court at Law No. 4",0353,665,451,1116,3862,28.90%,209,874,1083
"Judge, County Court at Law No. 4",0354,715,338,1053,3388,31.08%,268,753,1021
"Judge, County Court at Law No. 4",0355,301,264,565,1560,36.22%,49,500,549
"Judge, County Court at Law No. 4",0356,594,538,1132,2972,38.09%,726,351,1077
"Judge, County Court at Law No. 4",0357,837,575,1412,3517,40.15%,1032,329,1361
"Judge, County Court at Law No. 4",0358,212,254,466,2492,18.70%,54,397,451
"Judge, County Court at Law No. 4",0359,234,224,458,3061,14.96%,65,380,445
"Judge, County Court at Law No. 4",0360,522,380,902,2146,42.03%,449,370,819
"Judge, County Court at Law No. 4",0361,41,295,336,1673,20.08%,49,244,293
"Judge, County Court at Law No. 4",0362,1138,887,2025,5086,39.82%,1487,430,1917
"Judge, County Court at Law No. 4",0363,620,412,1032,3677,28.07%,471,527,998
"Judge, County Court at Law No. 4",0364,488,405,893,2658,33.60%,524,323,847
"Judge, County Court at Law No. 4",0365,478,231,709,1305,54.33%,53,639,692
"Judge, County Court at Law No. 4",0366,252,270,522,2454,21.27%,140,366,506
"Judge, County Court at Law No. 4",0367,170,138,308,1130,27.26%,71,230,301
"Judge, County Court at Law No. 4",0368,178,88,266,958,27.77%,74,181,255
"Judge, County Court at Law No. 4",0369,32,29,61,559,10.91%,17,42,59
"Judge, County Court at Law No. 4",0370,1532,1105,2637,6593,40.00%,2003,544,2547
"Judge, County Court at Law No. 4",0371,122,52,174,502,34.66%,7,161,168
"Judge, County Court at Law No. 4",0372,221,170,391,1224,31.94%,55,321,376
"Judge, County Court at Law No. 4",0373,21,12,33,157,21.02%,1,30,31
"Judge, County Court at Law No. 4",0374,85,93,158,738,21.41%,57,95,152
"Judge, County Court at Law No. 4",0375,254,220,474,2645,17.92%,239,200,439
"Judge, County Court at Law No. 4",0376,278,205,483,1910,25.29%,217,242,459
"Judge, County Court at Law No. 4",0377,525,583,1109,2920,37.98%,810,239,1049
"Judge, County Court at Law No. 4",0378,232,354,586,1829,32.04%,366,192,558
"Judge, County Court at Law No. 4",0379,431,289,720,2027,35.52%,72,626,698
"Judge, County Court at Law No. 4",0380,1299,995,2294,5666,40.49%,1255,961,2216
"Judge, County Court at Law No. 4",0381,412,248,660,2855,23.12%,310,321,631
"Judge, County Court at Law No. 4",0382,132,157,289,922,31.34%,216,64,280
"Judge, County Court at Law No. 4",0383,289,263,552,2173,25.40%,227,303,530
"Judge, County Court at Law No. 4",0384,573,373,946,2657,35.60%,184,725,909
"Judge, County Court at Law No. 4",0385,583,670,1253,2207,56.77%,922,248,1170
"Judge, County Court at Law No. 4",0386,662,469,1131,2922,38.71%,824,260,1084
"Judge, County Court at Law No. 4",0387,555,672,1227,3935,31.18%,891,292,1183
"Judge, County Court at Law No. 4",0388,1430,1010,2440,6888,35.42%,1420,941,2361
"Judge, County Court at Law No. 4",0389,91,208,299,1026,29.14%,45,229,274
"Judge, County Court at Law No. 4",0390,356,263,619,1480,41.82%,73,520,593
"Judge, County Court at Law No. 4",0391,508,260,768,1883,40.79%,480,248,728
"Judge, County Court at Law No. 4",0392,387,155,542,1446,37.48%,7,524,531
"Judge, County Court at Law No. 4",0393,165,185,350,1292,27.09%,163,174,337
"Judge, County Court at Law No. 4",0394,69,73,142,834,17.03%,69,67,136
"Judge, County Court at Law No. 4",0395,469,404,873,1846,47.29%,616,203,819
"Judge, County Court at Law No. 4",0396,622,216,838,2082,40.25%,17,804,821
"Judge, County Court at Law No. 4",0397,86,78,164,760,21,58%,79,80,159
"Judge, County Court at Law No. 4",0398,615,521,1136,4022,28.24%,614,490,1104
"Judge, County Court at Law No. 4",0399,402,366,768,2791,27.52%,417,325,742
"Judge, County Court at Law No. 4",0400,620,359,979,2411,40.61%,709,220,929
"Judge, County Court at Law No. 4",0401,330,205,535,1913,27.97%,25,494,519
"Judge, County Court at Law No. 4",0402,466,266,732,1794,40.80%,41,671,712
"Judge, County Court at Law No. 4",0403,475,498,973,1715,56.73%,507,366,873
"Judge, County Court at Law No. 4",0404,419,330,749,2585,28.97%,436,281,717
"Judge, County Court at Law No. 4",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 4",0406,137,67,204,628,32.48%,3,197,200
"Judge, County Court at Law No. 4",0407,688,793,1481,3769,39.29%,980,414,1394
"Judge, County Court at Law No. 4",0408,146,153,299,1691,17.68%,141,142,283
"Judge, County Court at Law No. 4",0409,122,149,271,1459,18.57%,112,149,261
"Judge, County Court at Law No. 4",0410,132,80,212,899,23.58%,44,157,201
"Judge, County Court at Law No. 4",0411,235,200,435,2339,18.60%,163,247,410
"Judge, County Court at Law No. 4",0412,74,44,118,468,25.21%,6,106,112
"Judge, County Court at Law No. 4",0413,767,386,1153,2992,38.54%,461,643,1104
"Judge, County Court at Law No. 4",0414,654,480,1134,3453,32.84%,869,217,1086
"Judge, County Court at Law No. 4",0415,539,598,1137,2203,51.61%,752,329,1081
"Judge, County Court at Law No. 4",0416,538,558,1096,3791,28.91%,606,447,1053
"Judge, County Court at Law No. 4",0417,353,385,738,2448,30.15%,375,327,702
"Judge, County Court at Law No. 4",0418,403,469,872,3584,24.33%,369,459,828
"Judge, County Court at Law No. 4",0419,571,324,895,2658,33.67%,595,260,855
"Judge, County Court at Law No. 4",0420,1036,874,1910,4762,40.11%,1555,272,1827
"Judge, County Court at Law No. 4",0421,36,37,73,410,17.80%,24,43,67
"Judge, County Court at Law No. 4",0422,731,402,1133,3345,33.87%,27,1086,1113
"Judge, County Court at Law No. 4",0423,108,120,228,1376,16.57%,74,142,216
"Judge, County Court at Law No. 4",0424,240,111,351,967,36.30%,209,124,333
"Judge, County Court at Law No. 4",0425,107,123,230,883,26.05%,86,134,220
"Judge, County Court at Law No. 4",0426,260,183,443,1218,36.37%,265,155,420
"Judge, County Court at Law No. 4",0427,179,134,313,1092,28.66%,139,152,291
"Judge, County Court at Law No. 4",0428,619,421,1040,4538,22.92%,338,621,959
"Judge, County Court at Law No. 4",0429,445,314,759,3197,23.74%,216,501,717
"Judge, County Court at Law No. 4",0430,161,133,294,1657,17.74%,86,191,277
"Judge, County Court at Law No. 4",0431,327,84,411,3417,12.03%,151,239,390
"Judge, County Court at Law No. 4",0432,123,157,280,1455,19.24%,110,158,268
"Judge, County Court at Law No. 4",0433,50,63,113,581,19.45%,27,81,108
"Judge, County Court at Law No. 4",0434,370,289,659,1503,43.85%,411,204,615
"Judge, County Court at Law No. 4",0435,855,636,1491,3252,45.85%,948,453,1401
"Judge, County Court at Law No. 4",0436,629,531,1160,2933,39.55%,716,370,1086
"Judge, County Court at Law No. 4",0437,521,512,1033,2033,50.81%,704,258,962
"Judge, County Court at Law No. 4",0438,517,389,1006,1861,54.06%,738,206,944
"Judge, County Court at Law No. 4",0439,710,884,1594,3554,44.85%,1120,374,1494
"Judge, County Court at Law No. 4",0440,664,858,1522,2930,51.95%,1176,245,1421
"Judge, County Court at Law No. 4",0441,345,420,765,1669,45.84%,574,147,721
"Judge, County Court at Law No. 4",0442,612,574,1186,2575,46.06%,970,169,1139
"Judge, County Court at Law No. 4",0443,225,138,354,646,56.35%,244,95,339
"Judge, County Court at Law No. 4",0444,587,583,1270,3262,38.93%,794,395,1189
"Judge, County Court at Law No. 4",0445,499,348,847,2026,41.81%,557,249,806
"Judge, County Court at Law No. 4",0446,31,22,53,291,18.21%,26,24,50
"Judge, County Court at Law No. 4",0447,93,86,179,637,28.10%,50,118,168
"Judge, County Court at Law No. 4",0448,590,778,1368,3138,43.59%,746,527,1273
"Judge, County Court at Law No. 4",0449,12,23,35,198,17.68%,3,32,35
"Judge, County Court at Law No. 4",0450,435,328,763,2635,28.96%,234,496,730
"Judge, County Court at Law No. 4",0451,1002,510,1512,2687,56.27%,1218,211,1429
"Judge, County Court at Law No. 4",0452,554,444,998,3048,32.74%,741,228,969
"Judge, County Court at Law No. 4",0453,231,262,493,1937,25.45%,197,272,469
"Judge, County Court at Law No. 4",0454,594,248,842,2561,32.88%,13,811,824
"Judge, County Court at Law No. 4",0455,367,165,532,1689,31.50%,20,505,525
"Judge, County Court at Law No. 4",0456,482,362,844,3513,24.03%,495,320,815
"Judge, County Court at Law No. 4",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 4",0458,471,237,708,1924,36.80%,35,650,685
"Judge, County Court at Law No. 4",0459,951,474,1425,3021,47.17%,1125,241,1366
"Judge, County Court at Law No. 4",0460,554,331,885,2837,31.19%,241,620,861
"Judge, County Court at Law No. 4",0461,1155,735,1900,3871,49.08%,1282,487,1769
"Judge, County Court at Law No. 4",0462,674,619,1293,3384,38.21%,471,755,1226
"Judge, County Court at Law No. 4",0463,480,404,884,3326,26.58%,406,447,853
"Judge, County Court at Law No. 4",0464,356,430,786,2257,34.82%,569,188,757
"Judge, County Court at Law No. 4",0465,687,520,1207,3564,33.87%,678,485,1163
"Judge, County Court at Law No. 4",0466,1058,614,1672,4184,39.96%,973,634,1607
"Judge, County Court at Law No. 4",0467,213,189,402,1270,31.65%,103,289,392
"Judge, County Court at Law No. 4",0468,352,443,795,3598,22.10%,262,499,761
"Judge, County Court at Law No. 4",0469,1294,547,1841,3985,46.20%,1440,304,1744
"Judge, County Court at Law No. 4",0470,185,176,361,1326,27.22%,265,75,340
"Judge, County Court at Law No. 4",0471,375,380,755,2387,31.63%,604,127,731
"Judge, County Court at Law No. 4",0472,198,278,476,1081,44.03%,174,258,432
"Judge, County Court at Law No. 4",0473,599,391,990,1806,54.82%,681,253,934
"Judge, County Court at Law No. 4",0474,559,588,1147,3037,37.77%,802,302,1104
"Judge, County Court at Law No. 4",0475,189,267,456,1809,25.21%,219,213,432
"Judge, County Court at Law No. 4",0476,404,473,877,2430,36.09%,505,337,842
"Judge, County Court at Law No. 4",0477,737,567,1304,3505,37.20%,1008,245,1253
"Judge, County Court at Law No. 4",0478,958,657,1615,4461,36.20%,1091,441,1532
"Judge, County Court at Law No. 4",0479,638,612,1250,2714,46.06%,918,275,1193
"Judge, County Court at Law No. 4",0480,493,450,943,2415,39.05%,678,222,900
"Judge, County Court at Law No. 4",0481,770,623,1393,3482,40.01%,1061,267,1328
"Judge, County Court at Law No. 4",0482,878,630,1508,4373,34.48%,1093,362,1455
"Judge, County Court at Law No. 4",0483,1042,478,1520,4308,35.28%,890,564,1454
"Judge, County Court at Law No. 4",0484,1107,930,2037,4979,40.91%,1461,498,1959
"Judge, County Court at Law No. 4",0485,1095,911,2006,5388,37.23%,1564,385,1949
"Judge, County Court at Law No. 4",0486,873,855,1728,3866,44.70%,1345,306,1651
"Judge, County Court at Law No. 4",0487,570,294,864,3860,22.38%,326,467,793
"Judge, County Court at Law No. 4",0488,268,254,522,1719,30.37%,200,283,483
"Judge, County Court at Law No. 4",0489,350,290,640,1893,33.81%,216,391,607
"Judge, County Court at Law No. 4",0490,444,368,812,1975,41.11%,290,486,776
"Judge, County Court at Law No. 4",0491,314,372,686,1888,36.33%,405,241,646
"Judge, County Court at Law No. 4",0492,556,410,966,2335,41.37%,580,332,912
"Judge, County Court at Law No. 4",0493,479,322,801,1853,43.23%,544,204,748
"Judge, County Court at Law No. 4",0494,381,247,628,2467,25.46%,83,529,612
"Judge, County Court at Law No. 4",0495,522,523,1045,2375,44.00%,750,227,977
"Judge, County Court at Law No. 4",0496,190,315,505,2160,23.38%,205,281,486
"Judge, County Court at Law No. 4",0497,526,243,769,2257,34.07%,23,723,746
"Judge, County Court at Law No. 4",0498,363,323,686,2297,29.87%,306,362,668
"Judge, County Court at Law No. 4",0499,750,518,1268,2326,54.51%,914,274,1188
"Judge, County Court at Law No. 4",0500,729,715,1444,3507,41.17%,995,387,1382
"Judge, County Court at Law No. 4",0501,341,417,758,1801,42.09%,272,424,696
"Judge, County Court at Law No. 4",0502,477,350,827,2501,33.07%,668,128,796
"Judge, County Court at Law No. 4",0503,174,116,290,1374,21.11%,116,155,271
"Judge, County Court at Law No. 4",0504,624,527,1151,2288,50.31%,739,345,1084
"Judge, County Court at Law No. 4",0505,531,562,1193,3773,31.62%,546,565,1111
"Judge, County Court at Law No. 4",0506,665,670,1335,3502,38.12%,242,1042,1284
"Judge, County Court at Law No. 4",0507,221,149,370,2452,15.09%,79,223,302
"Judge, County Court at Law No. 4",0508,492,412,904,3287,27.50%,360,475,835
"Judge, County Court at Law No. 4",0509,753,596,1349,3732,36.15%,952,326,1278
"Judge, County Court at Law No. 4",0510,687,514,1201,3590,33.45%,593,549,1142
"Judge, County Court at Law No. 4",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 4",0512,602,660,1262,5057,24.96%,621,609,1230
"Judge, County Court at Law No. 4",0513,1019,487,1506,2894,52.04%,1139,292,1431
"Judge, County Court at Law No. 4",0514,953,720,1673,4275,39.13%,1271,332,1603
"Judge, County Court at Law No. 4",0515,942,683,1625,3455,47.03%,1305,242,1547
"Judge, County Court at Law No. 4",0516,1000,800,1800,5356,33.61%,959,757,1716
"Judge, County Court at Law No. 4",0517,481,256,737,2954,24.95%,424,290,714
"Judge, County Court at Law No. 4",0518,635,693,1328,3943,33.68%,872,403,1275
"Judge, County Court at Law No. 4",0519,623,493,1116,2966,37.63%,831,244,1075
"Judge, County Court at Law No. 4",0520,473,457,930,4580,20.31%,178,731,909
"Judge, County Court at Law No. 4",0521,471,464,935,2866,32.62%,511,390,901
"Judge, County Court at Law No. 4",0522,715,572,1288,2689,47.90%,994,241,1235
"Judge, County Court at Law No. 4",0523,751,415,1166,3052,38.20%,788,327,1115
"Judge, County Court at Law No. 4",0524,567,459,1026,3410,30.09%,359,631,990
"Judge, County Court at Law No. 4",0525,707,482,1189,3091,38.47%,274,861,1135
"Judge, County Court at Law No. 4",0526,58,84,152,780,19.49%,43,99,142
"Judge, County Court at Law No. 4",0527,37,40,77,574,13.41%,39,36,75
"Judge, County Court at Law No. 4",0528,14,12,26,90,28.89%,2,22,24
"Judge, County Court at Law No. 4",0529,1043,491,1534,3710,41.35%,1316,158,1474
"Judge, County Court at Law No. 4",0530,114,107,221,1196,18.48%,53,152,205
"Judge, County Court at Law No. 4",0531,363,174,537,1145,46.90%,413,99,512
"Judge, County Court at Law No. 4",0532,205,146,351,1048,33.49%,254,85,339
"Judge, County Court at Law No. 4",0533,124,108,232,1119,20.73%,132,86,218
"Judge, County Court at Law No. 4",0534,783,524,1,307,3837,34.06%,993,253,1246
"Judge, County Court at Law No. 4",0535,33,29,62,416,14.90%,32,29,61
"Judge, County Court at Law No. 4",0536,554,780,1334,5139,25.96%,537,750,1287
"Judge, County Court at Law No. 4",0537,855,778,1633,3050,53.54%,1191,364,1555
"Judge, County Court at Law No. 4",0538,204,160,364,1303,27.94%,7,347,354
"Judge, County Court at Law No. 4",0539,15,241,256,64,400.00%,76,161,237
"Judge, County Court at Law No. 4",0540,378,316,694,1567,44.29%,262,376,638
"Judge, County Court at Law No. 4",0541,784,505,1289,4599,28.03%,188,1045,1233
"Judge, County Court at Law No. 4",0542,360,382,742,2557,29.02%,47,667,714
"Judge, County Court at Law No. 4",0543,141,213,354,1565,22.62%,125,208,333
"Judge, County Court at Law No. 4",0544,35,41,77,310,24.84%,12,64,76
"Judge, County Court at Law No. 4",0545,596,620,1216,3629,33.51%,617,552,1169
"Judge, County Court at Law No. 4",0546,2,2,4,37,10.81%,3,0,3
"Judge, County Court at Law No. 4",0547,501,466,967,2406,40.19%,688,238,926
"Judge, County Court at Law No. 4",0548,286,293,579,2215,26.14%,305,257,562
"Judge, County Court at Law No. 4",0549,343,418,761,2663,28.58%,110,634,744
"Judge, County Court at Law No. 4",0550,501,431,932,3031,30.75%,534,362,896
"Judge, County Court at Law No. 4",0551,1288,1394,2682,7034,38.13%,2026,575,2601
"Judge, County Court at Law No. 4",0552,847,883,1730,3415,50.66%,1429,245,1674
"Judge, County Court at Law No. 4",0553,578,529,1107,4686,23.62%,508,563,1071
"Judge, County Court at Law No. 4",0554,261,199,460,1757,26.18%,102,322,424
"Judge, County Court at Law No. 4",0555,225,277,502,2219,22.62%,108,371,479
"Judge, County Court at Law No. 4",0556,276,186,462,2319,19.92%,141,303,444
"Judge, County Court at Law No. 4",0557,455,183,638,2830,22.54%,270,288,558
"Judge, County Court at Law No. 4",0558,693,463,1156,4380,26.39%,421,688,1109
"Judge, County Court at Law No. 4",0559,540,494,1134,4969,22.82%,350,739,1089
"Judge, County Court at Law No. 4",0560,72,131,203,1120,18.13%,56,132,188
"Judge, County Court at Law No. 4",0561,362,436,798,3064,26.04%,475,286,761
"Judge, County Court at Law No. 4",0562,113,68,181,694,26.08%,28,149,177
"Judge, County Court at Law No. 4",0563,1107,376,1483,3105,47.76%,1158,257,1415
"Judge, County Court at Law No. 4",0564,470,426,896,3155,28.40%,238,613,851
"Judge, County Court at Law No. 4",0565,108,78,186,1354,13.74%,42,130,172
"Judge, County Court at Law No. 4",0566,417,324,741,2882,25.71%,242,476,718
"Judge, County Court at Law No. 4",0567,301,193,494,2238,22.07%,167,286,453
"Judge, County Court at Law No. 4",0568,876,685,1561,3594,43.43%,1012,455,1467
"Judge, County Court at Law No. 4",0569,572,667,1239,3525,35.15%,641,516,1157
"Judge, County Court at Law No. 4",0570,238,210,448,1562,28.68%,153,260,413
"Judge, County Court at Law No. 4",0571,155,149,304,1827,16.64%,123,169,292
"Judge, County Court at Law No. 4",0572,555,375,930,3108,29.92%,471,414,885
"Judge, County Court at Law No. 4",0573,290,151,441,1619,27.24%,5,431,436
"Judge, County Court at Law No. 4",0574,31,42,73,402,18.16%,10,63,73
"Judge, County Court at Law No. 4",0575,13,11,24,74,32.43%,18,5,23
"Judge, County Court at Law No. 4",0576,485,318,803,2734,29.37%,25,760,785
"Judge, County Court at Law No. 4",0577,147,88,235,608,38.65%,146,76,222
"Judge, County Court at Law No. 4",0578,409,538,947,1799,52.64%,572,321,893
"Judge, County Court at Law No. 4",0579,75,101,176,1056,16.67%,37,131,168
"Judge, County Court at Law No. 4",0580,179,118,297,1031,28.81%,4,282,286
"Judge, County Court at Law No. 4",0581,212,174,386,1032,37.40%,7,366,373
"Judge, County Court at Law No. 4",0582,258,171,429,1588,27.02%,22,395,417
"Judge, County Court at Law No. 4",0583,225,131,356,1262,28.21%,14,334,348
"Judge, County Court at Law No. 4",0584,182,93,275,1014,27.12%,11,258,269
"Judge, County Court at Law No. 4",0585,417,172,589,2511,23.46%,16,561,577
"Judge, County Court at Law No. 4",0586,638,680,1318,4316,30.54%,808,462,1270
"Judge, County Court at Law No. 4",0587,436,284,720,2598,27.71%,284,413,697
"Judge, County Court at Law No. 4",0588,758,674,1432,3645,39.29%,1025,350,1375
"Judge, County Court at Law No. 4",0589,500,386,886,3420,25.91%,502,355,857
"Judge, County Court at Law No. 4",0590,772,399,1171,2162,54.16%,907,220,1127
"Judge, County Court at Law No. 4",0591,183,231,414,2121,19.52%,126,270,396
"Judge, County Court at Law No. 4",0592,133,157,290,1350,21.48%,77,197,274
"Judge, County Court at Law No. 4",0593,543,564,1107,4380,25.27%,545,510,1055
"Judge, County Court at Law No. 4",0594,561,326,887,2490,35.62%,254,603,857
"Judge, County Court at Law No. 4",0595,201,178,379,1693,22.39%,70,301,371
"Judge, County Court at Law No. 4",0596,441,348,789,3007,26.24%,439,324,763
"Judge, County Court at Law No. 4",0597,367,394,761,3653,20.83%,343,405,748
"Judge, County Court at Law No. 4",0598,195,57,252,728,34.62%,203,42,245
"Judge, County Court at Law No. 4",0599,850,578,1428,4950,28.85%,511,867,1378
"Judge, County Court at Law No. 4",0600,667,429,1096,3957,27.70%,450,593,1043
"Judge, County Court at Law No. 4",0601,1073,756,1829,4057,45.08%,1386,380,1766
"Judge, County Court at Law No. 4",0602,293,235,528,1326,39.82%,390,124,514
"Judge, County Court at Law No. 4",0603,884,794,1678,4843,34.65%,1083,551,1634
"Judge, County Court at Law No. 4",0604,702,518,1220,3005,40.60%,1011,168,1179
"Judge, County Court at Law No. 4",0605,907,556,1463,5582,26.21%,369,1048,1417
"Judge, County Court at Law No. 4",0606,176,70,246,937,26.25%,3,238,241
"Judge, County Court at Law No. 4",0607,62,51,113,728,15.52%,13,94,107
"Judge, County Court at Law No. 4",0608,31,47,78,537,14.53%,47,27,74
"Judge, County Court at Law No. 4",0609,557,680,1347,3384,39.80%,833,437,1270
"Judge, County Court at Law No. 4",0610,231,188,419,1927,21.74%,214,172,386
"Judge, County Court at Law No. 4",0611,495,242,737,2488,29.62%,25,697,722
"Judge, County Court at Law No. 4",0612,996,497,1493,3307,45.15%,1122,287,1409
"Judge, County Court at Law No. 4",0613,186,204,390,1554,25.10%,63,316,379
"Judge, County Court at Law No. 4",0614,737,566,1303,4207,30.97%,506,747,1253
"Judge, County Court at Law No. 4",0615,480,299,779,1967,39.60%,494,261,755
"Judge, County Court at Law No. 4",0616,739,663,1402,3436,40.80%,986,361,1347
"Judge, County Court at Law No. 4",0617,541,393,934,3809,24.52%,390,521,911
"Judge, County Court at Law No. 4",0618,946,567,1513,6003,25.20%,779,683,1462
"Judge, County Court at Law No. 4",0619,1219,803,2022,4297,47.06%,1500,420,1920
"Judge, County Court at Law No. 4",0620,689,264,953,2897,32.90%,592,312,904
"Judge, County Court at Law No. 4",0621,154,101,255,1133,22.51%,133,109,242
"Judge, County Court at Law No. 4",0622,881,524,1405,4403,31.91%,871,482,1353
"Judge, County Court at Law No. 4",0623,887,487,1374,3691,37.23%,935,370,1305
"Judge, County Court at Law No. 4",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Court at Law No. 4",0625,477,362,839,1820,46.10%,480,303,783
"Judge, County Court at Law No. 4",0626,581,440,1021,2861,35.69%,572,389,961
"Judge, County Court at Law No. 4",0627,346,322,668,3049,21.91%,249,388,637
"Judge, County Court at Law No. 4",0628,152,219,371,1675,22.15%,201,159,360
"Judge, County Court at Law No. 4",0629,37,53,90,696,12.93%,16,73,89
"Judge, County Court at Law No. 4",0630,974,600,1574,3905,40.31%,121,1406,1527
"Judge, County Court at Law No. 4",0631,822,404,1226,2846,43.08%,896,279,1175
"Judge, County Court at Law No. 4",0632,7,4,11,343,3.21%,3,7,10
"Judge, County Court at Law No. 4",0633,943,731,1674,3559,47.04%,1187,415,1602
"Judge, County Court at Law No. 4",0634,458,442,900,3029,29.71%,598,270,868
"Judge, County Court at Law No. 4",0635,743,485,1228,3393,36.19%,923,270,1193
"Judge, County Court at Law No. 4",0636,835,874,1710,4140,41.30%,1484,172,1656
"Judge, County Court at Law No. 4",0637,409,362,771,2512,30.69%,194,525,719
"Judge, County Court at Law No. 4",0638,304,245,549,2204,24.91%,45,482,527
"Judge, County Court at Law No. 4",0639,549,547,1096,2526,43.39%,877,171,1048
"Judge, County Court at Law No. 4",0640,641,459,1100,3733,29.47%,703,358,1061
"Judge, County Court at Law No. 4",0641,649,596,1245,3650,34.11%,832,365,1197
"Judge, County Court at Law No. 4",0642,471,394,865,1764,49.04%,694,125,819
"Judge, County Court at Law No. 4",0643,934,653,1587,5945,26.69%,629,907,1536
"Judge, County Court at Law No. 4",0644,1019,823,1842,5523,33.35%,1231,527,1758
"Judge, County Court at Law No. 4",0645,654,594,1248,4185,29.82%,669,521,1190
"Judge, County Court at Law No. 4",0646,364,287,651,2220,29.32%,211,400,611
"Judge, County Court at Law No. 4",0647,904,470,1374,6084,22.58%,409,857,1266
"Judge, County Court at Law No. 4",0648,838,579,1417,3367,42.08%,1019,349,1368
"Judge, County Court at Law No. 4",0649,687,434,1121,4576,24.50%,373,669,1042
"Judge, County Court at Law No. 4",0650,906,766,1672,3888,43.00%,1211,382,1593
"Judge, County Court at Law No. 4",0651,963,766,1729,5128,33.72%,1126,524,1650
"Judge, County Court at Law No. 4",0652,467,515,982,2815,34.88%,176,768,944
"Judge, County Court at Law No. 4",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Court at Law No. 4",0654,950,1005,1955,6208,31.49%,1104,776,1880
"Judge, County Court at Law No. 4",0655,1115,1079,2195,6855,32.02%,1370,737,2107
"Judge, County Court at Law No. 4",0656,579,393,972,2674,36.35%,38,912,950
"Judge, County Court at Law No. 4",0657,246,172,418,1292,32.35%,169,230,399
"Judge, County Court at Law No. 4",0658,540,426,966,2807,34.41%,636,307,943
"Judge, County Court at Law No. 4",0659,1149,788,1937,4856,39.89%,1389,484,1873
"Judge, County Court at Law No. 4",0660,950,825,1775,5372,33.04%,166,1564,1730
"Judge, County Court at Law No. 4",0661,675,765,1440,4567,31.53%,848,537,1385
"Judge, County Court at Law No. 4",0662,1148,890,2038,4874,41.81%,1621,349,1970
"Judge, County Court at Law No. 4",0663,717,797,1514,3346,45.25%,744,661,1405
"Judge, County Court at Law No. 4",0664,352,250,602,2869,20.98%,144,430,574
"Judge, County Court at Law No. 4",0665,482,348,830,2154,38.53%,699,102,801
"Judge, County Court at Law No. 4",0666,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 4",0667,488,502,990,2149,46.07%,773,176,949
"Judge, County Court at Law No. 4",0668,399,509,908,2775,32.72%,599,282,881
"Judge, County Court at Law No. 4",0669,850,738,1,588,3425,46.36%,1135,379,1514
"Judge, County Court at Law No. 4",0670,955,471,1427,2983,47.84%,1120,249,1369
"Judge, County Court at Law No. 4",0671,403,565,968,3037,31.87%,599,326,925
"Judge, County Court at Law No. 4",0672,959,862,1821,5706,31.91%,1238,523,1761
"Judge, County Court at Law No. 4",0673,729,516,1245,2995,41.57%,989,201,1190
"Judge, County Court at Law No. 4",0674,1071,618,1689,4091,41.29%,1265,357,1622
"Judge, County Court at Law No. 4",0675,0,1,1,0,0.00%,1,0,1
"Judge, County Court at Law No. 4",0676,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 4",0677,127,127,254,1266,20.06%,93,145,238
"Judge, County Court at Law No. 4",0678,166,108,274,735,37.28%,178,75,253
"Judge, County Court at Law No. 4",0679,635,520,1155,3381,34.16%,873,234,1107
"Judge, County Court at Law No. 4",0680,21,14,35,162,21.60%,14,20,34
"Judge, County Court at Law No. 4",0681,1,0,1,5,20.00%,1,0,1
"Judge, County Court at Law No. 4",0682,711,654,1365,4216,32.38%,1019,297,1316
"Judge, County Court at Law No. 4",0683,29,20,49,276,17.75%,9,35,44
"Judge, County Court at Law No. 4",0684,27,22,49,223,21.97%,25,22,47
"Judge, County Court at Law No. 4",0685,110,29,139,307,45.28%,64,66,130
"Judge, County Court at Law No. 4",0686,17,12,29,208,13.94%,11,17,28
"Judge, County Court at Law No. 4",0687,549,537,1086,2609,41.63%,735,282,1017
"Judge, County Court at Law No. 4",0688,999,617,1616,3504,46.12%,1295,251,1546
"Judge, County Court at Law No. 4",0689,211,387,598,2346,25.49%,311,257,568
"Judge, County Court at Law No. 4",0690,926,1104,2030,5102,39.79%,1655,308,1963
"Judge, County Court at Law No. 4",0691,2,5,7,25,28.00%,3,4,7
"Judge, County Court at Law No. 4",0692,444,548,992,2847,34.84%,744,207,951
"Judge, County Court at Law No. 4",0693,167,91,258,666,38.74%,73,172,245
"Judge, County Court at Law No. 4",0694,260,120,380,845,44.97%,261,96,357
"Judge, County Court at Law No. 4",0695,232,193,425,1724,24.65%,272,139,411
"Judge, County Court at Law No. 4",0696,261,207,468,1982,23.61%,299,147,446
"Judge, County Court at Law No. 4",0697,605,613,1218,4413,27.60%,315,853,1168
"Judge, County Court at Law No. 4",0698,448,489,937,3189,29.38%,100,812,912
