Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Wise,DEM Gordon Goodman,Totals
"Justice, 14th Court of Appeals District, Place 7",0304,606,505,1111,2298,48.35%,638,403,1041
"Justice, 14th Court of Appeals District, Place 7",0305,524,432,956,4191,22.81%,410,522,932
"Justice, 14th Court of Appeals District, Place 7",0306,649,342,991,1879,52.74%,734,208,942
"Justice, 14th Court of Appeals District, Place 7",0307,733,670,1403,3099,45.27%,978,348,1326
"Justice, 14th Court of Appeals District, Place 7",0308,199,130,329,1296,25.39%,112,200,312
"Justice, 14th Court of Appeals District, Place 7",0309,708,593,1301,2524,51.55%,1060,180,1240
"Justice, 14th Court of Appeals District, Place 7",0310,386,279,665,1435,46.34%,464,159,623
"Justice, 14th Court of Appeals District, Place 7",0311,486,421,907,2986,30.38%,498,351,849
"Justice, 14th Court of Appeals District, Place 7",0312,742,457,1199,3636,32.98%,803,350,1153
"Justice, 14th Court of Appeals District, Place 7",0313,9,0,9,62,14.52%,7,2,9
"Justice, 14th Court of Appeals District, Place 7",0314,1121,913,2034,5647,36.02%,1287,693,1980
"Justice, 14th Court of Appeals District, Place 7",0315,478,388,866,1608,53.86%,518,301,819
"Justice, 14th Court of Appeals District, Place 7",0316,412,341,753,1537,48.99%,427,271,698
"Justice, 14th Court of Appeals District, Place 7",0317,249,209,458,1588,28.84%,152,290,442
"Justice, 14th Court of Appeals District, Place 7",0318,834,568,1402,3660,38.31%,78,1287,1365
"Justice, 14th Court of Appeals District, Place 7",0319,512,230,742,2158,34.38%,50,672,722
"Justice, 14th Court of Appeals District, Place 7",0320,234,168,402,1537,26.15%,202,186,388
"Justice, 14th Court of Appeals District, Place 7",0321,262,191,453,2346,19.31%,172,254,426
"Justice, 14th Court of Appeals District, Place 7",0322,181,129,310,1226,25.29%,105,194,299
"Justice, 14th Court of Appeals District, Place 7",0323,278,211,489,1722,28.40%,236,222,458
"Justice, 14th Court of Appeals District, Place 7",0324,532,646,1178,2336,50.43%,745,353,1098
"Justice, 14th Court of Appeals District, Place 7",0325,289,193,482,2112,22.82%,109,356,465
"Justice, 14th Court of Appeals District, Place 7",0326,87,74,161,698,23.07%,77,76,153
"Justice, 14th Court of Appeals District, Place 7",0327,380,129,509,1729,29.44%,10,487,497
"Justice, 14th Court of Appeals District, Place 7",0328,151,140,291,1434,20.29%,131,150,281
"Justice, 14th Court of Appeals District, Place 7",0329,189,184,373,1397,26.70%,142,210,352
"Justice, 14th Court of Appeals District, Place 7",0330,334,253,587,1936,30.32%,330,228,558
"Justice, 14th Court of Appeals District, Place 7",0331,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0332,18,7,25,138,18.12%,13,9,22
"Justice, 14th Court of Appeals District, Place 7",0333,524,714,1238,3021,40.98%,882,299,1181
"Justice, 14th Court of Appeals District, Place 7",0334,83,42,125,742,16.85%,21,100,121
"Justice, 14th Court of Appeals District, Place 7",0335,121,98,219,1300,16.85%,83,119,202
"Justice, 14th Court of Appeals District, Place 7",0336,866,624,1490,4051,36.78%,131,1327,1458
"Justice, 14th Court of Appeals District, Place 7",0337,124,103,227,1029,22.06%,42,171,213
"Justice, 14th Court of Appeals District, Place 7",0338,730,391,1121,4934,22.72%,389,655,1044
"Justice, 14th Court of Appeals District, Place 7",0339,202,222,424,1757,24.13%,96,302,398
"Justice, 14th Court of Appeals District, Place 7",0340,1038,594,1632,3765,43.35%,1242,331,1573
"Justice, 14th Court of Appeals District, Place 7",0341,91,167,258,1290,20.00%,87,162,249
"Justice, 14th Court of Appeals District, Place 7",0342,675,605,1280,6526,19.61%,215,1035,1250
"Justice, 14th Court of Appeals District, Place 7",0343,189,271,460,1964,23.42%,137,299,436
"Justice, 14th Court of Appeals District, Place 7",0344,154,172,326,1160,28.10%,14,298,312
"Justice, 14th Court of Appeals District, Place 7",0345,156,165,321,1804,17.79%,96,209,305
"Justice, 14th Court of Appeals District, Place 7",0346,0,1,1,3,33.33%,1,0,1
"Justice, 14th Court of Appeals District, Place 7",0347,592,436,1028,3387,30.35%,689,301,990
"Justice, 14th Court of Appeals District, Place 7",0348,438,208,646,1708,37.82%,506,116,622
"Justice, 14th Court of Appeals District, Place 7",0349,188,267,455,1349,33.73%,284,151,435
"Justice, 14th Court of Appeals District, Place 7",0350,524,526,1050,2909,36.09%,442,534,976
"Justice, 14th Court of Appeals District, Place 7",0351,1491,710,2201,4712,46.71%,1763,367,2130
"Justice, 14th Court of Appeals District, Place 7",0352,520,339,859,3205,26.80%,629,202,831
"Justice, 14th Court of Appeals District, Place 7",0353,665,451,1116,3862,28.90%,203,882,1085
"Justice, 14th Court of Appeals District, Place 7",0354,715,338,1053,3388,31.08%,268,758,1026
"Justice, 14th Court of Appeals District, Place 7",0355,301,264,565,1560,36.22%,54,500,554
"Justice, 14th Court of Appeals District, Place 7",0356,594,538,1132,2972,38.09%,758,328,1086
"Justice, 14th Court of Appeals District, Place 7",0357,837,575,1412,3517,40.15%,1045,319,1364
"Justice, 14th Court of Appeals District, Place 7",0358,212,254,466,2492,18.70%,54,399,453
"Justice, 14th Court of Appeals District, Place 7",0359,234,224,458,3061,14.96%,64,385,449
"Justice, 14th Court of Appeals District, Place 7",0360,522,380,902,2146,42.03%,497,330,827
"Justice, 14th Court of Appeals District, Place 7",0361,41,295,336,1673,20.08%,52,250,302
"Justice, 14th Court of Appeals District, Place 7",0362,1138,887,2025,5086,39.82%,1515,423,1938
"Justice, 14th Court of Appeals District, Place 7",0363,620,412,1032,3677,28.07%,476,533,1009
"Justice, 14th Court of Appeals District, Place 7",0364,488,405,893,2658,33.60%,51,7,336,853
"Justice, 14th Court of Appeals District, Place 7",0365,478,231,709,1305,54.33%,59,630,689
"Justice, 14th Court of Appeals District, Place 7",0366,252,270,522,2454,21.27%,134,365,499
"Justice, 14th Court of Appeals District, Place 7",0367,170,138,308,1130,27.26%,70,231,301
"Justice, 14th Court of Appeals District, Place 7",0368,178,88,266,958,27.77%,70,186,256
"Justice, 14th Court of Appeals District, Place 7",0369,32,29,61,559,10.91%,18,42,60
"Justice, 14th Court of Appeals District, Place 7",0370,1532,1105,2637,6593,40.00%,2020,535,2555
"Justice, 14th Court of Appeals District, Place 7",0371,122,52,174,502,34.66%,5,166,171
"Justice, 14th Court of Appeals District, Place 7",0372,221,170,391,1224,31.94%,52,328,380
"Justice, 14th Court of Appeals District, Place 7",0373,21,12,33,157,21.02%,1,30,31
"Justice, 14th Court of Appeals District, Place 7",0374,85,93,158,738,21.41%,55,99,154
"Justice, 14th Court of Appeals District, Place 7",0375,254,220,474,2645,17.92%,237,203,440
"Justice, 14th Court of Appeals District, Place 7",0376,278,205,483,1910,25.29%,216,244,460
"Justice, 14th Court of Appeals District, Place 7",0377,525,583,1109,2920,37.98%,825,234,1059
"Justice, 14th Court of Appeals District, Place 7",0378,232,354,586,1829,32.04%,373,192,565
"Justice, 14th Court of Appeals District, Place 7",0379,431,289,720,2027,35.52%,68,633,701
"Justice, 14th Court of Appeals District, Place 7",0380,1299,995,2294,5666,40.49%,1269,957,2226
"Justice, 14th Court of Appeals District, Place 7",0381,412,248,660,2855,23.12%,314,325,639
"Justice, 14th Court of Appeals District, Place 7",0382,132,157,289,922,31.34%,213,67,280
"Justice, 14th Court of Appeals District, Place 7",0383,289,263,552,2173,25.40%,226,306,532
"Justice, 14th Court of Appeals District, Place 7",0384,573,373,946,2657,35.60%,199,709,908
"Justice, 14th Court of Appeals District, Place 7",0385,583,670,1253,2207,56.77%,989,203,1192
"Justice, 14th Court of Appeals District, Place 7",0386,662,469,1131,2922,38.71%,836,254,1090
"Justice, 14th Court of Appeals District, Place 7",0387,555,672,1227,3935,31.18%,900,293,1193
"Justice, 14th Court of Appeals District, Place 7",0388,1430,1010,2440,6888,35.42%,1427,953,2380
"Justice, 14th Court of Appeals District, Place 7",0389,91,208,299,1026,29.14%,43,234,277
"Justice, 14th Court of Appeals District, Place 7",0390,356,263,619,1480,41.82%,80,518,598
"Justice, 14th Court of Appeals District, Place 7",0391,508,260,768,1883,40.79%,493,240,733
"Justice, 14th Court of Appeals District, Place 7",0392,387,155,542,1446,37.48%,10,525,535
"Justice, 14th Court of Appeals District, Place 7",0393,165,185,350,1292,27.09%,168,173,341
"Justice, 14th Court of Appeals District, Place 7",0394,69,73,142,834,17.03%,69,67,136
"Justice, 14th Court of Appeals District, Place 7",0395,470,404,874,1846,47.35%,646,186,832
"Justice, 14th Court of Appeals District, Place 7",0396,622,216,838,2082,40.25%,17,805,822
"Justice, 14th Court of Appeals District, Place 7",0397,86,78,164,760,21.58%,78,83,161
"Justice, 14th Court of Appeals District, Place 7",0398,615,521,1136,4022,28.24%,619,493,1112
"Justice, 14th Court of Appeals District, Place 7",0399,402,366,768,2791,27.52%,432,312,744
"Justice, 14th Court of Appeals District, Place 7",0400,620,359,979,2411,40.61%,727,216,943
"Justice, 14th Court of Appeals District, Place 7",0401,330,205,535,1913,27.97%,20,503,523
"Justice, 14th Court of Appeals District, Place 7",0402,466,266,732,1794,40.80%,37,677,714
"Justice, 14th Court of Appeals District, Place 7",0403,475,498,973,1715,56.73%,559,345,904
"Justice, 14th Court of Appeals District, Place 7",0404,419,330,749,2585,28.97%,439,282,721
"Justice, 14th Court of Appeals District, Place 7",0405,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0406,137,67,204,628,32.48%,3,199,202
"Justice, 14th Court of Appeals District, Place 7",0407,691,793,1484,3769,39.37%,1005,400,1405
"Justice, 14th Court of Appeals District, Place 7",0408,146,153,299,1691,17.68%,143,142,285
"Justice, 14th Court of Appeals District, Place 7",0409,122,149,271,1459,18.57%,112,151,263
"Justice, 14th Court of Appeals District, Place 7",0410,132,80,212,899,23.58%,45,156,201
"Justice, 14th Court of Appeals District, Place 7",0411,235,200,435,2339,18.60%,166,252,418
"Justice, 14th Court of Appeals District, Place 7",0412,74,44,118,468,25.21%,8,105,113
"Justice, 14th Court of Appeals District, Place 7",0413,767,386,1153,2992,38.54%,476,637,1113
"Justice, 14th Court of Appeals District, Place 7",0414,654,480,1134,3453,32.84%,889,207,1096
"Justice, 14th Court of Appeals District, Place 7",0415,539,598,1137,2203,51.61%,777,316,1093
"Justice, 14th Court of Appeals District, Place 7",0416,538,558,1096,3791,28.91%,620,437,1057
"Justice, 14th Court of Appeals District, Place 7",0417,353,385,738,2448,30.15%,377,330,707
"Justice, 14th Court of Appeals District, Place 7",0418,403,469,872,3584,24.33%,369,465,834
"Justice, 14th Court of Appeals District, Place 7",0419,571,324,895,2658,33.67%,608,252,860
"Justice, 14th Court of Appeals District, Place 7",0420,1036,874,1910,4762,40.11%,1576,265,1841
"Justice, 14th Court of Appeals District, Place 7",0421,36,37,73,410,17.80%,24,43,67
"Justice, 14th Court of Appeals District, Place 7",0422,731,402,1133,3345,33.87%,31,1083,1114
"Justice, 14th Court of Appeals District, Place 7",0423,108,120,228,1376,16.57%,76,145,221
"Justice, 14th Court of Appeals District, Place 7",0424,240,111,351,967,36.30%,215,119,334
"Justice, 14th Court of Appeals District, Place 7",0425,107,123,230,883,26.05%,88,132,220
"Justice, 14th Court of Appeals District, Place 7",0426,260,183,443,1218,36.37%,268,152,420
"Justice, 14th Court of Appeals District, Place 7",0427,179,134,313,1092,28.66%,140,153,293
"Justice, 14th Court of Appeals District, Place 7",0428,619,421,1040,4538,22.92%,331,635,966
"Justice, 14th Court of Appeals District, Place 7",0429,445,314,759,3197,23.74%,214,506,720
"Justice, 14th Court of Appeals District, Place 7",0430,161,133,294,1657,17.74%,87,192,279
"Justice, 14th Court of Appeals District, Place 7",0431,327,84,411,3417,12.03%,153,242,395
"Justice, 14th Court of Appeals District, Place 7",0432,123,157,280,1455,19.24%,112,157,269
"Justice, 14th Court of Appeals District, Place 7",0433,50,63,113,581,19.45%,27,83,110
"Justice, 14th Court of Appeals District, Place 7",0434,370,289,659,1503,43.85%,436,196,632
"Justice, 14th Court of Appeals District, Place 7",0435,855,636,1491,3252,45.85%,1006,414,1420
"Justice, 14th Court of Appeals District, Place 7",0436,629,531,1160,2933,39.55%,741,359,1100
"Justice, 14th Court of Appeals District, Place 7",0437,521,512,1033,2033,50.81%,746,229,975
"Justice, 14th Court of Appeals District, Place 7",0438,617,389,1006,1861,54.06%,777,174,951
"Justice, 14th Court of Appeals District, Place 7",0439,710,884,1594,3554,44.85%,1176,340,1516
"Justice, 14th Court of Appeals District, Place 7",0440,664,858,1522,2930,51.95%,1229,209,1438
"Justice, 14th Court of Appeals District, Place 7",0441,345,420,765,1669,45.84%,597,132,729
"Justice, 14th Court of Appeals District, Place 7",0442,612,574,1186,2575,46.06%,985,161,1146
"Justice, 14th Court of Appeals District, Place 7",0443,226,138,364,646,56.35%,269,79,348
"Justice, 14th Court of Appeals District, Place 7",0444,687,583,1270,3262,38.93%,824,375,1199
"Justice, 14th Court of Appeals District, Place 7",0445,499,348,847,2026,41.81%,595,226,821
"Justice, 14th Court of Appeals District, Place 7",0446,31,22,53,291,18.21%,26,24,50
"Justice, 14th Court of Appeals District, Place 7",0447,93,86,179,637,28.10%,58,114,172
"Justice, 14th Court of Appeals District, Place 7",0448,590,778,1368,3138,43.59%,777,514,1291
"Justice, 14th Court of Appeals District, Place 7",0449,12,23,35,198,17.68%,4,31,35
"Justice, 14th Court of Appeals District, Place 7",0450,435,328,763,2635,28.96%,248,487,735
"Justice, 14th Court of Appeals District, Place 7",0451,1002,510,1512,2687,56.27%,1261,188,1449
"Justice, 14th Court of Appeals District, Place 7",0452,554,444,998,3048,32.74%,739,227,966
"Justice, 14th Court of Appeals District, Place 7",0453,231,262,493,1937,25.45%,199,273,472
"Justice, 14th Court of Appeals District, Place 7",0454,594,248,842,2561,32.88%,14,811,825
"Justice, 14th Court of Appeals District, Place 7",0455,367,165,532,1689,31.50%,22,505,527
"Justice, 14th Court of Appeals District, Place 7",0456,482,362,844,3513,24.03%,495,327,822
"Justice, 14th Court of Appeals District, Place 7",0457,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0458,471,237,708,1924,36.80%,30,658,688
"Justice, 14th Court of Appeals District, Place 7",0459,951,474,1425,3021,47.17%,1141,243,1384
"Justice, 14th Court of Appeals District, Place 7",0460,554,331,885,2837,31.19%,238,627,865
"Justice, 14th Court of Appeals District, Place 7",0461,1165,735,1900,3871,49.08%,1346,442,1788
"Justice, 14th Court of Appeals District, Place 7",0462,675,619,1294,3384,38.24%,494,743,1237
"Justice, 14th Court of Appeals District, Place 7",0463,480,404,884,3326,26.58%,413,447,860
"Justice, 14th Court of Appeals District, Place 7",0464,356,430,786,2257,34.82%,571,191,762
"Justice, 14th Court of Appeals District, Place 7",0465,687,520,1207,3564,33.87%,700,472,1172
"Justice, 14th Court of Appeals District, Place 7",0466,1058,614,1672,4184,39.96%,991,633,1624
"Justice, 14th Court of Appeals District, Place 7",0467,213,189,402,1270,31.65%,96,296,392
"Justice, 14th Court of Appeals District, Place 7",0468,352,443,795,3598,22.10%,254,512,766
"Justice, 14th Court of Appeals District, Place 7",0469,1294,547,1841,3985,46.20%,1476,287,1763
"Justice, 14th Court of Appeals District, Place 7",0470,185,176,361,1326,27.22%,269,73,342
"Justice, 14th Court of Appeals District, Place 7",0471,375,380,755,2387,31.63%,608,130,738
"Justice, 14th Court of Appeals District, Place 7",0472,198,278,476,1081,44.03%,215,228,443
"Justice, 14th Court of Appeals District, Place 7",0473,599,391,990,1806,54.82%,713,234,947
"Justice, 14th Court of Appeals District, Place 7",0474,559,588,1147,3037,37.77%,816,295,1111
"Justice, 14th Court of Appeals District, Place 7",0475,189,267,456,1809,25.21%,224,213,437
"Justice, 14th Court of Appeals District, Place 7",0476,404,473,877,2430,36.09%,501,346,847
"Justice, 14th Court of Appeals District, Place 7",0477,737,567,1304,3505,37.20%,995,265,1260
"Justice, 14th Court of Appeals District, Place 7",0478,958,657,1615,4461,36.20%,1116,439,1555
"Justice, 14th Court of Appeals District, Place 7",0479,638,612,1250,2714,46.06%,946,258,1204
"Justice, 14th Court of Appeals District, Place 7",0480,493,450,943,2415,39.05%,689,220,909
"Justice, 14th Court of Appeals District, Place 7",0481,770,623,1393,3482,40.01%,1072,265,1337
"Justice, 14th Court of Appeals District, Place 7",0482,878,630,1508,4373,34.48%,1093,372,1465
"Justice, 14th Court of Appeals District, Place 7",0483,1042,478,1520,4308,35.28%,905,559,1464
"Justice, 14th Court of Appeals District, Place 7",0484,1107,930,2037,4979,40.91%,1494,487,1981
"Justice, 14th Court of Appeals District, Place 7",0485,1095,911,2006,5388,37.23%,1582,381,1963
"Justice, 14th Court of Appeals District, Place 7",0486,873,855,1728,3866,44.70%,1368,298,1666
"Justice, 14th Court of Appeals District, Place 7",0487,570,294,864,3860,22.38%,316,478,794
"Justice, 14th Court of Appeals District, Place 7",0488,268,254,522,1719,30.37%,195,291,486
"Justice, 14th Court of Appeals District, Place 7",0489,350,290,640,1893,33.81%,216,394,610
"Justice, 14th Court of Appeals District, Place 7",0490,444,368,812,1975,41.11%,300,483,783
"Justice, 14th Court of Appeals District, Place 7",0491,315,372,687,1888,36.39%,423,240,663
"Justice, 14th Court of Appeals District, Place 7",0492,556,410,966,2335,41.37%,610,318,928
"Justice, 14th Court of Appeals District, Place 7",0493,480,322,802,1853,43.28%,557,202,759
"Justice, 14th Court of Appeals District, Place 7",0494,381,247,628,2467,25.46%,85,529,614
"Justice, 14th Court of Appeals District, Place 7",0495,522,523,1045,2375,44.00%,769,224,993
"Justice, 14th Court of Appeals District, Place 7",0496,190,315,505,2160,23.38%,203,286,489
"Justice, 14th Court of Appeals District, Place 7",0497,526,243,769,2257,34.07%,28,725,753
"Justice, 14th Court of Appeals District, Place 7",0498,363,323,686,2297,29.87%,319,352,671
"Justice, 14th Court of Appeals District, Place 7",0499,750,518,1268,2326,54.51%,961,244,1205
"Justice, 14th Court of Appeals District, Place 7",0500,729,715,1444,3507,41.17%,1011,383,1394
"Justice, 14th Court of Appeals District, Place 7",0501,341,417,758,1801,42.09%,293,424,717
"Justice, 14th Court of Appeals District, Place 7",0502,477,350,827,2501,33.07%,673,126,799
"Justice, 14th Court of Appeals District, Place 7",0503,174,116,290,1374,21.11%,113,157,270
"Justice, 14th Court of Appeals District, Place 7",0504,524,527,1151,2288,50.31%,767,325,1092
"Justice, 14th Court of Appeals District, Place 7",0505,531,562,1193,3773,31.62%,567,566,1133
"Justice, 14th Court of Appeals District, Place 7",0506,665,670,1335,3502,38.12%,247,1043,1290
"Justice, 14th Court of Appeals District, Place 7",0507,221,149,370,2452,15.09%,71,235,306
"Justice, 14th Court of Appeals District, Place 7",0508,492,412,904,3287,27.50%,349,497,846
"Justice, 14th Court of Appeals District, Place 7",0509,754,596,1350,3732,36.17%,962,331,1293
"Justice, 14th Court of Appeals District, Place 7",0510,687,514,1201,3590,33.45%,613,544,1157
"Justice, 14th Court of Appeals District, Place 7",0511,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0512,602,660,1262,5057,24.96%,610,619,1229
"Justice, 14th Court of Appeals District, Place 7",0513,1019,487,1506,2894,52.04%,1173,272,1445
"Justice, 14th Court of Appeals District, Place 7",0514,954,720,1674,4275,39.16%,1296,324,1620
"Justice, 14th Court of Appeals District, Place 7",0515,942,683,1625,3455,47.03%,1322,236,1558
"Justice, 14th Court of Appeals District, Place 7",0516,1000,800,1800,5356,33.61%,978,747,1725
"Justice, 14th Court of Appeals District, Place 7",0517,481,256,737,2954,24.95%,434,280,714
"Justice, 14th Court of Appeals District, Place 7",0518,635,693,1328,3943,33.68%,885,393,1278
"Justice, 14th Court of Appeals District, Place 7",0519,623,493,1116,2966,37.63%,838,238,1076
"Justice, 14th Court of Appeals District, Place 7",0520,473,457,930,4580,20.31%,178,735,913
"Justice, 14th Court of Appeals District, Place 7",0521,471,464,935,2866,32.62%,506,396,902
"Justice, 14th Court of Appeals District, Place 7",0522,715,572,1255,2689,47.90%,1016,233,1249
"Justice, 14th Court of Appeals District, Place 7",0523,751,415,1166,3052,38.20%,804,318,1122
"Justice, 14th Court of Appeals District, Place 7",0524,567,459,1026,3410,30.09%,362,629,991
"Justice, 14th Court of Appeals District, Place 7",0525,707,482,1189,3091,38.47%,283,862,1145
"Justice, 14th Court of Appeals District, Place 7",0526,68,84,152,780,19.49%,46,94,140
"Justice, 14th Court of Appeals District, Place 7",0527,37,40,77,574,13.41%,41,34,75
"Justice, 14th Court of Appeals District, Place 7",0528,14,12,26,90,28.89%,3,22,25
"Justice, 14th Court of Appeals District, Place 7",0529,1043,491,1534,3710,41.35%,1330,154,1484
"Justice, 14th Court of Appeals District, Place 7",0530,114,107,221,1196,18.48%,54,154,208
"Justice, 14th Court of Appeals District, Place 7",0531,363,174,537,1145,46.90%,416,98,514
"Justice, 14th Court of Appeals District, Place 7",0532,205,146,351,1048,33.49%,256,85,341
"Justice, 14th Court of Appeals District, Place 7",0533,124,108,232,1119,20.73%,135,85,220
"Justice, 14th Court of Appeals District, Place 7",0534,783,524,1,307,3837,34.06%,1009,250,1259
"Justice, 14th Court of Appeals District, Place 7",0535,33,29,62,416,14.90%,32,28,60
"Justice, 14th Court of Appeals District, Place 7",0536,554,780,1334,5139,25.96%,532,756,1288
"Justice, 14th Court of Appeals District, Place 7",0537,857,778,1635,3050,53.61%,1225,347,1572
"Justice, 14th Court of Appeals District, Place 7",0538,204,160,364,1303,27.94%,8,347,355
"Justice, 14th Court of Appeals District, Place 7",0539,15,241,256,64,400.00%,74,162,236
"Justice, 14th Court of Appeals District, Place 7",0540,378,316,694,1567,44.29%,297,353,650
"Justice, 14th Court of Appeals District, Place 7",0541,785,505,1290,4599,28.05%,200,1044,1244
"Justice, 14th Court of Appeals District, Place 7",0542,360,382,742,2557,29.02%,48,668,716
"Justice, 14th Court of Appeals District, Place 7",0543,141,213,354,1565,22.62%,120,212,332
"Justice, 14th Court of Appeals District, Place 7",0544,35,41,77,310,24.84%,14,62,76
"Justice, 14th Court of Appeals District, Place 7",0545,596,620,1216,3629,33.51%,633,544,1177
"Justice, 14th Court of Appeals District, Place 7",0546,2,2,4,37,10.81%,2,1,3
"Justice, 14th Court of Appeals District, Place 7",0547,501,466,967,2406,40.19%,690,239,929
"Justice, 14th Court of Appeals District, Place 7",0548,286,293,579,2215,26.14%,310,256,566
"Justice, 14th Court of Appeals District, Place 7",0549,343,418,761,2663,28.58%,108,636,744
"Justice, 14th Court of Appeals District, Place 7",0550,501,431,932,3031,30.75%,541,360,901
"Justice, 14th Court of Appeals District, Place 7",0551,1288,1394,2682,7034,38.13%,2051,558,2609
"Justice, 14th Court of Appeals District, Place 7",0552,847,883,1730,3415,50.66%,1456,221,1677
"Justice, 14th Court of Appeals District, Place 7",0553,579,529,1108,4686,23.64%,509,567,1076
"Justice, 14th Court of Appeals District, Place 7",0554,261,199,460,1757,26.18%,104,322,426
"Justice, 14th Court of Appeals District, Place 7",0555,225,277,502,2219,22.62%,111,372,483
"Justice, 14th Court of Appeals District, Place 7",0556,276,186,462,2319,19.92%,140,304,444
"Justice, 14th Court of Appeals District, Place 7",0557,455,183,638,2830,22.54%,265,297,562
"Justice, 14th Court of Appeals District, Place 7",0558,693,463,1156,4380,26.39%,415,696,1111
"Justice, 14th Court of Appeals District, Place 7",0559,541,494,1135,4969,22.84%,350,740,1090
"Justice, 14th Court of Appeals District, Place 7",0560,72,131,203,1120,18.13%,55,136,191
"Justice, 14th Court of Appeals District, Place 7",0561,362,436,798,3064,26.04%,488,283,771
"Justice, 14th Court of Appeals District, Place 7",0562,113,68,181,694,26.08%,22,154,176
"Justice, 14th Court of Appeals District, Place 7",0563,1107,376,1483,3105,47.76%,1178,250,1428
"Justice, 14th Court of Appeals District, Place 7",0564,470,426,896,3155,28.40%,246,607,853
"Justice, 14th Court of Appeals District, Place 7",0565,108,78,186,1354,13.74%,43,131,174
"Justice, 14th Court of Appeals District, Place 7",0566,418,324,742,2882,25.75%,240,482,722
"Justice, 14th Court of Appeals District, Place 7",0567,301,193,494,2238,22.07%,170,282,452
"Justice, 14th Court of Appeals District, Place 7",0568,876,685,1561,3594,43.43%,1047,429,1476
"Justice, 14th Court of Appeals District, Place 7",0569,572,667,1239,3525,35.15%,699,483,1182
"Justice, 14th Court of Appeals District, Place 7",0570,238,210,448,1562,28.68%,160,256,416
"Justice, 14th Court of Appeals District, Place 7",0571,155,149,304,1827,16.64%,120,172,292
"Justice, 14th Court of Appeals District, Place 7",0572,555,375,930,3108,29.92%,497,397,894
"Justice, 14th Court of Appeals District, Place 7",0573,290,151,441,1619,27.24%,6,427,433
"Justice, 14th Court of Appeals District, Place 7",0574,31,42,73,402,18.16%,9,64,73
"Justice, 14th Court of Appeals District, Place 7",0575,13,11,24,74,32.43%,19,4,23
"Justice, 14th Court of Appeals District, Place 7",0576,485,318,803,2734,29.37%,23,765,788
"Justice, 14th Court of Appeals District, Place 7",0577,147,88,235,608,38.65%,149,81,230
"Justice, 14th Court of Appeals District, Place 7",0578,409,538,947,1799,52.64%,600,303,903
"Justice, 14th Court of Appeals District, Place 7",0579,75,101,176,1056,16.67%,34,134,168
"Justice, 14th Court of Appeals District, Place 7",0580,179,118,297,1031,28.81%,3,286,289
"Justice, 14th Court of Appeals District, Place 7",0581,212,174,386,1032,37.40%,7,371,378
"Justice, 14th Court of Appeals District, Place 7",0582,258,171,429,1588,27.02%,24,392,416
"Justice, 14th Court of Appeals District, Place 7",0583,225,131,356,1262,28.21%,13,333,346
"Justice, 14th Court of Appeals District, Place 7",0584,182,93,275,1014,27.12%,10,257,267
"Justice, 14th Court of Appeals District, Place 7",0585,417,172,589,2511,23.46%,17,564,581
"Justice, 14th Court of Appeals District, Place 7",0586,638,680,1318,4316,30.54%,807,463,1270
"Justice, 14th Court of Appeals District, Place 7",0587,436,284,720,2598,27.71%,287,412,699
"Justice, 14th Court of Appeals District, Place 7",0588,758,674,1432,3645,39.29%,1032,359,1391
"Justice, 14th Court of Appeals District, Place 7",0589,500,386,886,3420,25.91%,505,359,864
"Justice, 14th Court of Appeals District, Place 7",0590,772,399,1171,2162,54.16%,934,203,1137
"Justice, 14th Court of Appeals District, Place 7",0591,183,231,414,2121,19.52%,127,270,397
"Justice, 14th Court of Appeals District, Place 7",0592,133,157,290,1350,21.48%,80,201,281
"Justice, 14th Court of Appeals District, Place 7",0593,543,564,1107,4380,25.27%,552,505,1057
"Justice, 14th Court of Appeals District, Place 7",0594,561,326,887,2490,35.62%,262,600,862
"Justice, 14th Court of Appeals District, Place 7",0595,201,178,379,1693,22.39%,69,301,370
"Justice, 14th Court of Appeals District, Place 7",0596,441,348,789,3007,26.24%,445,320,765
"Justice, 14th Court of Appeals District, Place 7",0597,367,394,761,3653,20.83%,331,418,749
"Justice, 14th Court of Appeals District, Place 7",0598,195,57,252,728,34.62%,205,41,246
"Justice, 14th Court of Appeals District, Place 7",0599,850,578,1428,4950,28.85%,525,862,1387
"Justice, 14th Court of Appeals District, Place 7",0600,667,429,1096,3957,27.70%,448,600,1048
"Justice, 14th Court of Appeals District, Place 7",0601,1073,756,1829,4057,45.08%,1403,365,1768
"Justice, 14th Court of Appeals District, Place 7",0602,293,235,528,1326,39.82%,387,128,515
"Justice, 14th Court of Appeals District, Place 7",0603,884,794,1678,4843,34.65%,1086,559,1645
"Justice, 14th Court of Appeals District, Place 7",0604,702,518,1220,3005,40.60%,1026,161,1187
"Justice, 14th Court of Appeals District, Place 7",0605,907,556,1463,5582,26.21%,365,1061,1426
"Justice, 14th Court of Appeals District, Place 7",0606,176,70,246,937,26.25%,4,235,239
"Justice, 14th Court of Appeals District, Place 7",0607,62,51,113,728,15.52%,14,94,108
