Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0324,532,646,1178,2336,50.43%,727,363,1090
"Judge, County Criminal Court No. 7",0325,289,193,482,2112,22.82%,103,357,460
"Judge, County Criminal Court No. 7",0326,87,74,161,698,23.07%,75,77,152
"Judge, County Criminal Court No. 7",0327,380,129,509,1729,29.44%,9,483,492
"Judge, County Criminal Court No. 7",0328,151,140,291,1434,20.29%,123,154,277
"Judge, County Criminal Court No. 7",0329,189,184,373,1397,26.70%,140,214,354
"Judge, County Criminal Court No. 7",0330,334,253,587,1936,30.32%,332,222,554
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0332,18,7,25,138,18.12%,13,9,22
"Judge, County Criminal Court No. 7",0333,524,714,1238,3021,40.98%,870,302,1172
"Judge, County Criminal Court No. 7",0334,83,42,125,742,16.85%,21,100,121
"Judge, County Criminal Court No. 7",0335,121,98,219,1300,16.85%,87,118,205
"Judge, County Criminal Court No. 7",0336,866,624,1490,4051,36.78%,129,1327,1456
"Judge, County Criminal Court No. 7",0337,124,103,227,1029,22.06%,41,174,215
"Judge, County Criminal Court No. 7",0338,730,391,1121,4934,22.72%,387,653,1040
"Judge, County Criminal Court No. 7",0339,202,222,424,1757,24.13%,85,312,397
"Judge, County Criminal Court No. 7",0340,1038,594,1632,3765,43.35%,1229,321,1550
"Judge, County Criminal Court No. 7",0341,91,167,258,1290,20.00%,77,173,250
"Judge, County Criminal Court No. 7",0342,675,605,1280,6526,19.61%,211,1035,1246
"Judge, County Criminal Court No. 7",0343,189,271,460,1964,23.42%,127,308,435
"Judge, County Criminal Court No. 7",0344,154,172,326,1160,28.10%,16,297,313
"Judge, County Criminal Court No. 7",0345,156,165,321,1804,17.79%,98,205,303
"Judge, County Criminal Court No. 7",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Criminal Court No. 7",0347,592,436,1028,3387,30.35%,691,301,992
"Judge, County Criminal Court No. 7",0348,438,208,646,1708,37.82%,496,121,617
"Judge, County Criminal Court No. 7",0349,188,267,455,1349,33.73%,282,148,430
"Judge, County Criminal Court No. 7",0350,524,526,1050,2909,36.09%,437,524,961
"Judge, County Criminal Court No. 7",0351,1491,710,2201,4712,46.71%,1751,364,2115
"Judge, County Criminal Court No. 7",0352,520,339,859,3205,26.80%,635,192,827
"Judge, County Criminal Court No. 7",0353,665,451,1116,3862,28.90%,202,882,1084
"Judge, County Criminal Court No. 7",0354,715,338,1053,3388,31.08%,263,761,1024
"Judge, County Criminal Court No. 7",0355,301,264,565,1560,36.22%,51,497,548
"Judge, County Criminal Court No. 7",0356,594,538,1132,2972,38.09%,750,330,1080
"Judge, County Criminal Court No. 7",0357,837,575,1412,3517,40.15%,1036,324,1360
"Judge, County Criminal Court No. 7",0358,212,254,466,2492,18.70%,54,396,450
"Judge, County Criminal Court No. 7",0359,234,224,458,3061,14.96%,63,384,447
"Judge, County Criminal Court No. 7",0360,522,380,902,2146,42.03%,489,335,824
"Judge, County Criminal Court No. 7",0361,41,295,336,1673,20.08%,49,243,292
"Judge, County Criminal Court No. 7",0362,1138,887,2025,5086,39.82%,1503,418,1921
"Judge, County Criminal Court No. 7",0363,620,412,1032,3677,28.07%,461,537,998
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0364,488,405,893,2658,33.60%,513,337,850
"Judge, County Criminal Court No. 7",0365,478,231,709,1305,54.33%,58,635,693
"Judge, County Criminal Court No. 7",0366,252,270,522,2454,21.27%,129,379,508
"Judge, County Criminal Court No. 7",0367,170,138,308,1130,27.26%,66,235,301
"Judge, County Criminal Court No. 7",0368,178,88,266,958,27.77%,72,183,255
"Judge, County Criminal Court No. 7",0369,32,29,61,559,10.91%,16,43,59
"Judge, County Criminal Court No. 7",0370,1532,1105,2637,6593,40.00%,1993,547,2540
"Judge, County Criminal Court No. 7",0371,122,52,174,502,34.66%,5,162,167
"Judge, County Criminal Court No. 7",0372,221,170,391,1224,31.94%,53,324,377
"Judge, County Criminal Court No. 7",0373,21,12,33,157,21.02%,3,28,31
"Judge, County Criminal Court No. 7",0374,65,93,158,738,21.41%,52,99,151
"Judge, County Criminal Court No. 7",0375,254,220,474,2645,17.92%,232,204,436
"Judge, County Criminal Court No. 7",0376,278,205,483,1910,25.29%,216,243,459
"Judge, County Criminal Court No. 7",0377,525,583,1109,2920,37.98%,812,234,1046
"Judge, County Criminal Court No. 7",0378,232,354,586,1829,32.04%,364,193,557
"Judge, County Criminal Court No. 7",0379,431,289,720,2027,35.52%,66,634,700
"Judge, County Criminal Court No. 7",0380,1299,995,2294,5666,40.49%,1254,964,2218
"Judge, County Criminal Court No. 7",0381,412,248,660,2855,23.12%,306,326,632
"Judge, County Criminal Court No. 7",0382,132,157,289,922,31.34%,214,66,280
"Judge, County Criminal Court No. 7",0383,289,263,552,2173,25.40%,220,310,530
"Judge, County Criminal Court No. 7",0384,573,373,946,2657,35.60%,188,715,903
"Judge, County Criminal Court No. 7",0385,583,670,1253,2207,56.77%,982,189,1171
"Judge, County Criminal Court No. 7",0386,662,469,1131,2922,38.71%,825,258,1083
"Judge, County Criminal Court No. 7",0387,555,672,1227,3935,31.18%,889,296,1185
"Judge, County Criminal Court No. 7",0388,1430,1010,2440,6888,35.42%,1402,957,2359
"Judge, County Criminal Court No. 7",0389,91,208,299,1026,29.14%,39,235,274
"Judge, County Criminal Court No. 7",0390,356,263,619,1480,41.82%,76,520,596
"Judge, County Criminal Court No. 7",0391,508,260,768,1883,40.79%,490,239,729
"Judge, County Criminal Court No. 7",0392,387,155,542,1446,37.48%,7,526,533
"Judge, County Criminal Court No. 7",0393,165,185,350,1292,27.09%,169,168,337
"Judge, County Criminal Court No. 7",0394,69,73,142,834,17.03%,73,63,136
"Judge, County Criminal Court No. 7",0395,469,404,873,1846,47.29%,639,185,824
"Judge, County Criminal Court No. 7",0396,622,216,838,2082,40.25%,19,799,818
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0397,86,78,164,760,21,58%,77,82,159
"Judge, County Criminal Court No. 7",0398,615,521,1136,4022,28.24%,609,492,1101
"Judge, County Criminal Court No. 7",0399,402,366,768,2791,27.52%,422,315,737
"Judge, County Criminal Court No. 7",0400,620,359,979,2411,40.61%,724,207,931
"Judge, County Criminal Court No. 7",0401,330,205,535,1913,27.97%,19,503,522
"Judge, County Criminal Court No. 7",0402,466,266,732,1794,40.80%,39,672,711
"Judge, County Criminal Court No. 7",0403,475,498,973,1715,56.73%,566,317,883
"Judge, County Criminal Court No. 7",0404,419,330,749,2585,28.97%,438,283,721
"Judge, County Criminal Court No. 7",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0406,137,67,204,628,32.48%,3,196,199
"Judge, County Criminal Court No. 7",0407,688,793,1481,3769,39.29%,1002,390,1392
"Judge, County Criminal Court No. 7",0408,146,153,299,1691,17.68%,145,136,281
"Judge, County Criminal Court No. 7",0409,122,149,271,1459,18.57%,110,150,260
"Judge, County Criminal Court No. 7",0410,132,80,212,899,23.58%,45,156,201
"Judge, County Criminal Court No. 7",0411,235,200,435,2339,18.60%,154,263,417
"Judge, County Criminal Court No. 7",0412,74,44,118,468,25.21%,6,106,112
"Judge, County Criminal Court No. 7",0413,767,386,1153,2992,38.54%,455,648,1103
"Judge, County Criminal Court No. 7",0414,654,480,1134,3453,32.84%,883,203,1086
"Judge, County Criminal Court No. 7",0415,539,598,1137,2203,51.61%,773,309,1082
"Judge, County Criminal Court No. 7",0416,538,558,1096,3791,28.91%,612,439,1051
"Judge, County Criminal Court No. 7",041,7,353,385,738,2448,30.15%,366,333,699
"Judge, County Criminal Court No. 7",0418,403,469,872,3584,24.33%,359,471,830
"Judge, County Criminal Court No. 7",0419,571,324,895,2658,33.67%,594,257,851
"Judge, County Criminal Court No. 7",0420,1036,874,1910,4762,40.11%,1571,259,1830
"Judge, County Criminal Court No. 7",0421,36,37,73,410,17.80%,27,41,68
"Judge, County Criminal Court No. 7",0422,731,402,1133,3345,33.87%,28,1085,1113
"Judge, County Criminal Court No. 7",0423,108,120,228,1376,16.57%,74,145,219
"Judge, County Criminal Court No. 7",0424,240,111,351,967,36.30%,210,123,333
"Judge, County Criminal Court No. 7",0425,107,123,230,883,26.05%,88,132,220
"Judge, County Criminal Court No. 7",0426,260,183,443,1218,36.37%,267,150,417
"Judge, County Criminal Court No. 7",0427,179,134,313,1092,28.66%,144,146,290
"Judge, County Criminal Court No. 7",0428,619,421,1040,4538,22.92%,329,629,958
"Judge, County Criminal Court No. 7",0429,445,314,759,3197,23.74%,203,512,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0430,161,133,294,1657,17.74%,93,188,281
"Judge, County Criminal Court No. 7",0431,327,84,411,3417,12.03%,156,235,391
"Judge, County Criminal Court No. 7",0432,123,157,280,1455,19.24%,108,161,269
"Judge, County Criminal Court No. 7",0433,50,63,113,581,19.45%,24,83,107
"Judge, County Criminal Court No. 7",0434,370,289,659,1503,43.85%,427,193,620
"Judge, County Criminal Court No. 7",0435,855,636,1491,3252,45.85%,999,405,1404
"Judge, County Criminal Court No. 7",0436,629,531,1160,2933,39.55%,744,344,1088
"Judge, County Criminal Court No. 7",0437,521,512,1033,2033,50.81%,728,238,966
"Judge, County Criminal Court No. 7",0438,517,389,1006,1861,54.06%,773,165,938
"Judge, County Criminal Court No. 7",0439,710,884,1594,3554,44.85%,1159,337,1496
"Judge, County Criminal Court No. 7",0440,664,858,1522,2930,51.95%,1231,192,1423
"Judge, County Criminal Court No. 7",0441,345,420,765,1669,45.84%,588,131,719
"Judge, County Criminal Court No. 7",0442,612,574,1186,2575,46.06%,987,151,1138
"Judge, County Criminal Court No. 7",0443,226,138,364,646,56.35%,264,74,338
"Judge, County Criminal Court No. 7",0444,587,583,1270,3262,38.93%,812,381,1193
"Judge, County Criminal Court No. 7",0445,499,348,847,2026,41.81%,581,224,805
"Judge, County Criminal Court No. 7",0446,31,22,53,291,18.21%,24,26,50
"Judge, County Criminal Court No. 7",0447,93,86,179,637,28.10%,52,114,166
"Judge, County Criminal Court No. 7",0448,590,778,1368,3138,43.59%,769,511,1280
"Judge, County Criminal Court No. 7",0449,12,23,35,198,17.68%,3,32,35
"Judge, County Criminal Court No. 7",0450,435,328,763,2635,28.96%,238,494,732
"Judge, County Criminal Court No. 7",0451,1002,510,1512,2687,56.27%,1237,189,1426
"Judge, County Criminal Court No. 7",0452,554,444,998,3048,32.74%,740,226,966
"Judge, County Criminal Court No. 7",0453,231,262,493,1937,25.45%,199,270,469
"Judge, County Criminal Court No. 7",0454,594,248,842,2561,32.88%,13,808,821
"Judge, County Criminal Court No. 7",0455,367,165,532,1689,31.50%,19,507,526
"Judge, County Criminal Court No. 7",0456,482,362,844,3513,24.03%,494,325,819
"Judge, County Criminal Court No. 7",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0458,471,237,708,1924,36.80%,38,647,685
"Judge, County Criminal Court No. 7",0459,951,474,1425,3021,47.17%,1134,239,1373
"Judge, County Criminal Court No. 7",0460,554,331,885,2837,31.19%,227,637,864
"Judge, County Criminal Court No. 7",0461,1155,735,1900,3871,49.08%,1332,436,1768
"Judge, County Criminal Court No. 7",0462,674,619,1293,3384,38.21%,481,744,1225
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0463,480,404,884,3326,26.58%,413,438,851
"Judge, County Criminal Court No. 7",0464,356,430,786,2257,34.82%,567,190,757
"Judge, County Criminal Court No. 7",0465,687,520,1207,3564,33.87%,690,471,1161
"Judge, County Criminal Court No. 7",0466,1058,614,1672,4184,39.96%,984,628,1612
"Judge, County Criminal Court No. 7",0467,213,189,402,1270,31.65%,98,296,394
"Judge, County Criminal Court No. 7",0468,352,443,795,3598,22.10%,252,513,765
"Judge, County Criminal Court No. 7",0469,1294,547,1841,3985,46.20%,1468,284,1752
"Judge, County Criminal Court No. 7",0470,185,176,361,1326,27.22%,266,75,341
"Judge, County Criminal Court No. 7",0471,375,380,755,2387,31.63%,608,122,730
"Judge, County Criminal Court No. 7",0472,198,278,476,1081,44.03%,220,217,437
"Judge, County Criminal Court No. 7",0473,599,391,990,1806,54.82%,702,233,935
"Judge, County Criminal Court No. 7",0474,559,588,1147,3037,37.77%,798,306,1104
"Judge, County Criminal Court No. 7",0475,189,267,456,1809,25.21%,219,213,432
"Judge, County Criminal Court No. 7",0476,404,473,877,2430,36.09%,492,348,840
"Judge, County Criminal Court No. 7",0477,737,567,1304,3505,37.20%,993,258,1251
"Judge, County Criminal Court No. 7",0478,958,657,1615,4461,36.20%,1101,437,1538
"Judge, County Criminal Court No. 7",0479,638,612,1250,2714,46.06%,936,261,1197
"Judge, County Criminal Court No. 7",0480,493,450,943,2415,39.05%,686,216,902
"Judge, County Criminal Court No. 7",0481,770,623,1393,3482,40.01%,1068,262,1330
"Judge, County Criminal Court No. 7",0482,878,630,1508,4373,34.48%,1101,355,1456
"Judge, County Criminal Court No. 7",0483,1042,478,1520,4308,35.28%,887,565,1452
"Judge, County Criminal Court No. 7",0484,1107,930,2037,4979,40.91%,1480,486,1966
"Judge, County Criminal Court No. 7",0485,1095,911,2006,5388,37.23%,1565,380,1945
"Judge, County Criminal Court No. 7",0486,873,855,1728,3866,44.70%,1362,286,1648
"Judge, County Criminal Court No. 7",0487,570,294,864,3860,22.38%,306,487,793
"Judge, County Criminal Court No. 7",0488,268,254,522,1719,30.37%,196,284,480
"Judge, County Criminal Court No. 7",0489,350,290,640,1893,33.81%,225,386,611
"Judge, County Criminal Court No. 7",0490,444,368,812,1975,41.11%,305,473,778
"Judge, County Criminal Court No. 7",0491,314,372,686,1888,36.33%,412,235,647
"Judge, County Criminal Court No. 7",0492,556,410,966,2335,41.37%,598,314,912
"Judge, County Criminal Court No. 7",0493,479,322,801,1853,43.23%,549,200,749
"Judge, County Criminal Court No. 7",0494,381,247,628,2467,25.46%,77,536,613
"Judge, County Criminal Court No. 7",0495,522,523,1045,2375,44.00%,760,220,980
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0496,190,315,505,2160,23.38%,193,294,487
"Judge, County Criminal Court No. 7",0497,526,243,769,2257,34.07%,25,724,749
"Judge, County Criminal Court No. 7",0498,363,323,686,2297,29.87%,311,357,668
"Judge, County Criminal Court No. 7",0499,750,518,1268,2326,54.51%,947,238,1185
"Judge, County Criminal Court No. 7",0500,729,715,1444,3507,41.17%,1004,379,1383
"Judge, County Criminal Court No. 7",0501,341,417,758,1801,42.09%,282,422,704
"Judge, County Criminal Court No. 7",0502,477,350,827,2501,33.07%,671,126,797
"Judge, County Criminal Court No. 7",0503,174,116,290,1374,21.11%,108,161,269
"Judge, County Criminal Court No. 7",0504,624,527,1151,2288,50.31%,760,319,1079
"Judge, County Criminal Court No. 7",0505,531,562,1193,3773,31.62%,549,560,1109
"Judge, County Criminal Court No. 7",0506,665,670,1335,3502,38.12%,235,1049,1284
"Judge, County Criminal Court No. 7",0507,221,149,370,2452,15.09%,81,221,302
"Judge, County Criminal Court No. 7",0508,492,412,904,3287,27.50%,347,486,833
"Judge, County Criminal Court No. 7",0509,753,596,1349,3732,36.15%,951,331,1282
"Judge, County Criminal Court No. 7",0510,687,514,1201,3590,33.45%,622,527,1149
"Judge, County Criminal Court No. 7",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0512,602,660,1262,5057,24.96%,615,613,1228
"Judge, County Criminal Court No. 7",0513,1019,487,1506,2894,52.04%,1158,269,1427
"Judge, County Criminal Court No. 7",0514,953,720,1673,4275,39.13%,1279,321,1600
"Judge, County Criminal Court No. 7",0515,942,683,1625,3455,47.03%,1323,227,1550
"Judge, County Criminal Court No. 7",0516,1000,800,1800,5356,33.61%,960,750,1710
"Judge, County Criminal Court No. 7",0517,481,256,737,2954,24.95%,423,288,711
"Judge, County Criminal Court No. 7",0518,635,693,1328,3943,33.68%,884,389,1273
"Judge, County Criminal Court No. 7",0519,623,493,1116,2966,37.63%,845,232,1077
"Judge, County Criminal Court No. 7",0520,473,457,930,4580,20.31%,169,740,909
"Judge, County Criminal Court No. 7",0521,471,464,935,2866,32.62%,503,396,899
"Judge, County Criminal Court No. 7",0522,715,572,1288,2689,47.90%,1011,221,1232
"Judge, County Criminal Court No. 7",0523,751,415,1166,3052,38.20%,793,318,1111
"Judge, County Criminal Court No. 7",0524,567,459,1026,3410,30.09%,361,629,990
"Judge, County Criminal Court No. 7",0525,707,482,1189,3091,38.47%,284,848,1132
"Judge, County Criminal Court No. 7",0526,68,84,152,780,19.49%,44,99,143
"Judge, County Criminal Court No. 7",0527,37,40,77,574,13.41%,42,32,74
"Judge, County Criminal Court No. 7",0528,14,12,26,90,28.89%,1,24,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0529,1043,491,1534,3710,41.35%,1320,154,1474
"Judge, County Criminal Court No. 7",0530,114,107,221,1196,18.48%,53,154,207
"Judge, County Criminal Court No. 7",0531,363,174,537,1145,46.90%,416,94,510
"Judge, County Criminal Court No. 7",0532,205,146,351,1048,33.49%,255,83,338
"Judge, County Criminal Court No. 7",0533,124,108,232,1119,20.73%,135,84,219
"Judge, County Criminal Court No. 7",0534,783,524,1,307,3837,34.06%,1000,246,1246
"Judge, County Criminal Court No. 7",0535,33,29,62,416,14.90%,31,30,61
"Judge, County Criminal Court No. 7",0536,554,780,1334,5139,25.96%,522,760,1282
"Judge, County Criminal Court No. 7",0537,855,778,1633,3050,53.54%,1200,360,1560
"Judge, County Criminal Court No. 7",0538,204,160,364,1303,27.94%,8,347,355
"Judge, County Criminal Court No. 7",0539,15,241,256,64,400.00%,70,168,238
"Judge, County Criminal Court No. 7",0540,378,316,694,1567,44.29%,300,335,635
"Judge, County Criminal Court No. 7",0541,784,505,1289,4599,28.03%,190,1039,1229
"Judge, County Criminal Court No. 7",0542,360,382,742,2557,29.02%,47,667,714
"Judge, County Criminal Court No. 7",0543,141,213,354,1565,22.62%,110,223,333
"Judge, County Criminal Court No. 7",0544,35,41,77,310,24.84%,12,64,76
"Judge, County Criminal Court No. 7",0545,596,620,1216,3629,33.51%,615,549,1164
"Judge, County Criminal Court No. 7",0546,2,2,4,37,10.81%,1,2,3
"Judge, County Criminal Court No. 7",0547,501,466,967,2406,40.19%,675,246,921
"Judge, County Criminal Court No. 7",0548,286,293,579,2215,26.14%,308,255,563
"Judge, County Criminal Court No. 7",0549,343,418,761,2663,28.58%,111,632,743
"Judge, County Criminal Court No. 7",0550,501,431,932,3031,30.75%,540,358,898
"Judge, County Criminal Court No. 7",0551,1288,1394,2682,7034,38.13%,2053,551,2604
"Judge, County Criminal Court No. 7",0552,847,883,1730,3415,50.66%,1456,214,1670
"Judge, County Criminal Court No. 7",0553,578,529,1107,4686,23.62%,504,565,1069
"Judge, County Criminal Court No. 7",0554,261,199,460,1757,26.18%,102,324,426
"Judge, County Criminal Court No. 7",0555,225,277,502,2219,22.62%,107,374,481
"Judge, County Criminal Court No. 7",0556,276,186,462,2319,19.92%,133,311,444
"Judge, County Criminal Court No. 7",0557,455,183,638,2830,22.54%,264,291,555
"Judge, County Criminal Court No. 7",0558,693,463,1156,4380,26.39%,414,697,1111
"Judge, County Criminal Court No. 7",0559,640,494,1134,4969,22.82%,351,741,1092
"Judge, County Criminal Court No. 7",0560,72,131,203,1120,18.13%,49,141,190
"Judge, County Criminal Court No. 7",0561,362,436,798,3064,26.04%,487,273,760
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0562,113,68,181,694,26.08%,24,153,177
"Judge, County Criminal Court No. 7",0563,1107,376,1483,3105,47.76%,1168,245,1413
"Judge, County Criminal Court No. 7",0564,470,426,896,3155,28.40%,236,617,853
"Judge, County Criminal Court No. 7",0565,108,78,186,1354,13.74%,43,128,171
"Judge, County Criminal Court No. 7",0566,417,324,741,2882,25.71%,237,481,718
"Judge, County Criminal Court No. 7",0567,301,193,494,2238,22.07%,167,287,454
"Judge, County Criminal Court No. 7",0568,876,685,1561,3594,43.43%,1036,426,1462
"Judge, County Criminal Court No. 7",0569,572,667,1239,3525,35.15%,679,487,1166
"Judge, County Criminal Court No. 7",0570,238,210,448,1562,28.68%,156,262,418
"Judge, County Criminal Court No. 7",0571,155,149,304,1827,16.64%,117,177,294
"Judge, County Criminal Court No. 7",0572,555,375,930,3108,29.92%,491,393,884
"Judge, County Criminal Court No. 7",0573,290,151,441,1619,27.24%,8,429,437
"Judge, County Criminal Court No. 7",0574,31,42,73,402,18.16%,8,64,72
"Judge, County Criminal Court No. 7",0575,13,11,24,74,32.43%,18,5,23
"Judge, County Criminal Court No. 7",0576,485,318,803,2734,29.37%,22,767,789
"Judge, County Criminal Court No. 7",0577,147,88,235,608,38.65%,145,81,226
"Judge, County Criminal Court No. 7",0578,409,538,947,1799,52.64%,596,301,897
"Judge, County Criminal Court No. 7",0579,75,101,176,1056,16.67%,31,137,168
"Judge, County Criminal Court No. 7",0580,179,118,297,1031,28.81%,2,286,288
"Judge, County Criminal Court No. 7",0581,212,174,386,1032,37.40%,7,367,374
"Judge, County Criminal Court No. 7",0582,258,171,429,1588,27.02%,22,394,416
"Judge, County Criminal Court No. 7",0583,225,131,356,1262,28.21%,9,337,346
"Judge, County Criminal Court No. 7",0584,182,93,275,1014,27.12%,11,257,268
"Judge, County Criminal Court No. 7",0585,417,172,589,2511,23.46%,14,563,577
"Judge, County Criminal Court No. 7",0586,638,680,1318,4316,30.54%,806,457,1263
"Judge, County Criminal Court No. 7",0587,436,284,720,2598,27.71%,287,412,699
"Judge, County Criminal Court No. 7",0588,758,674,1432,3645,39.29%,1024,358,1382
"Judge, County Criminal Court No. 7",0589,500,386,886,3420,25.91%,501,358,859
"Judge, County Criminal Court No. 7",0590,772,399,1171,2162,54.16%,931,194,1125
"Judge, County Criminal Court No. 7",0591,183,231,414,2121,19.52%,122,274,396
"Judge, County Criminal Court No. 7",0592,133,157,290,1350,21.48%,78,196,274
"Judge, County Criminal Court No. 7",0593,543,564,1107,4380,25.27%,536,516,1052
"Judge, County Criminal Court No. 7",0594,561,326,887,2490,35.62%,254,603,857
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0595,201,178,379,1693,22.39%,70,298,368
"Judge, County Criminal Court No. 7",0596,441,348,789,3007,26.24%,438,321,759
"Judge, County Criminal Court No. 7",0597,367,394,761,3653,20.83%,323,426,749
"Judge, County Criminal Court No. 7",0598,195,57,252,728,34.62%,208,37,245
"Judge, County Criminal Court No. 7",0599,850,578,1428,4950,28.85%,507,873,1380
"Judge, County Criminal Court No. 7",0600,667,429,1096,3957,27.70%,452,593,1045
"Judge, County Criminal Court No. 7",0601,1073,756,1829,4057,45.08%,1400,360,1760
"Judge, County Criminal Court No. 7",0602,293,235,528,1326,39.82%,392,119,511
"Judge, County Criminal Court No. 7",0603,884,794,1678,4843,34.65%,1088,549,1637
"Judge, County Criminal Court No. 7",0604,702,518,1220,3005,40.60%,1015,165,1180
"Judge, County Criminal Court No. 7",0605,907,556,1463,5582,26.21%,354,1071,1425
"Judge, County Criminal Court No. 7",0606,176,70,246,937,26.25%,4,238,242
"Judge, County Criminal Court No. 7",0607,52,51,113,728,15.52%,12,95,107
"Judge, County Criminal Court No. 7",0608,31,47,78,537,14.53%,43,30,73
"Judge, County Criminal Court No. 7",0609,557,680,1347,3384,39.80%,850,423,1273
"Judge, County Criminal Court No. 7",0610,231,188,419,1927,21.74%,214,171,385
"Judge, County Criminal Court No. 7",0611,495,242,737,2488,29.62%,26,699,725
"Judge, County Criminal Court No. 7",0612,996,497,1493,3307,45.15%,1119,286,1405
"Judge, County Criminal Court No. 7",0613,186,204,390,1554,25.10%,61,317,378
"Judge, County Criminal Court No. 7",0614,737,566,1303,4207,30.97%,501,753,1254
"Judge, County Criminal Court No. 7",0615,480,299,779,1967,39.60%,505,248,753
"Judge, County Criminal Court No. 7",0616,739,663,1402,3436,40.80%,996,350,1346
"Judge, County Criminal Court No. 7",0617,541,393,934,3809,24.52%,390,521,911
"Judge, County Criminal Court No. 7",0618,946,567,1513,6003,25.20%,768,695,1463
"Judge, County Criminal Court No. 7",0619,1219,803,2022,4297,47.06%,1519,401,1920
"Judge, County Criminal Court No. 7",0620,689,264,953,2897,32.90%,610,296,906
"Judge, County Criminal Court No. 7",0621,154,101,255,1133,22.51%,131,109,240
"Judge, County Criminal Court No. 7",0622,881,524,1405,4403,31.91,%,883,469,1352
"Judge, County Criminal Court No. 7",0623,887,487,1374,3691,37.23%,938,367,1305
"Judge, County Criminal Court No. 7",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Criminal Court No. 7",0625,477,362,839,1820,46.10%,490,297,787
"Judge, County Criminal Court No. 7",0626,581,440,1021,2861,35.69%,583,377,960
"Judge, County Criminal Court No. 7",0627,346,322,668,3049,21.91%,247,393,640
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0628,152,219,371,1675,22.15%,199,162,361
"Judge, County Criminal Court No. 7",0629,37,53,90,696,12.93%,15,74,89
"Judge, County Criminal Court No. 7",0630,974,600,1574,3905,40.31%,122,1412,1534
"Judge, County Criminal Court No. 7",0631,822,404,1226,2846,43.08%,908,272,1180
"Judge, County Criminal Court No. 7",0632,7,4,11,343,3.21%,3,8,11
"Judge, County Criminal Court No. 7",0633,943,731,1674,3559,47.04%,1200,408,1608
"Judge, County Criminal Court No. 7",0634,458,442,900,3029,29.71%,602,264,866
"Judge, County Criminal Court No. 7",0635,743,485,1228,3393,36.19%,936,255,1191
"Judge, County Criminal Court No. 7",0636,835,874,1710,4140,41.30%,1491,163,1654
"Judge, County Criminal Court No. 7",0637,409,362,771,2512,30.69%,176,545,721
"Judge, County Criminal Court No. 7",0638,304,245,549,2204,24.91%,42,482,524
"Judge, County Criminal Court No. 7",0639,549,547,1096,2526,43.39%,883,165,1048
"Judge, County Criminal Court No. 7",0640,641,459,1100,3733,29.47%,701,363,1064
"Judge, County Criminal Court No. 7",0641,649,596,1245,3650,34.11%,838,358,1196
"Judge, County Criminal Court No. 7",0642,471,394,865,1764,49.04%,692,127,819
"Judge, County Criminal Court No. 7",0643,934,653,1587,5945,26.69%,634,903,1537
"Judge, County Criminal Court No. 7",0644,1019,823,1842,5523,33.35%,1232,531,1763
