Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0290,245,298,543,1642,33.07%,403,125,528
"Justice, 1st Court of Appeals District, Place 3",0291,325,235,560,1225,45.71%,288,243,531
"Justice, 1st Court of Appeals District, Place 3",0292,207,147,354,1356,26.11%,42,307,349
"Justice, 1st Court of Appeals District, Place 3",0293,357,447,804,1759,45.71%,366,393,759
"Justice, 1st Court of Appeals District, Place 3",0294,488,221,709,2097,33.81%,14,682,696
"Justice, 1st Court of Appeals District, Place 3",0295,148,103,251,885,28.36%,8,237,245
"Justice, 1st Court of Appeals District, Place 3",0296,327,340,667,1713,38.94%,392,239,631
"Justice, 1st Court of Appeals District, Place 3",0297,280,249,529,2012,26.29%,235,267,502
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0298,415,358,773,2121,36.45%,457,277,734
"Justice, 1st Court of Appeals District, Place 3",0299,178,117,295,1353,21.80%,117,160,277
"Justice, 1st Court of Appeals District, Place 3",0300,1389,1016,2405,5406,44.49%,1919,410,2329
"Justice, 1st Court of Appeals District, Place 3",0301,210,255,465,2352,19.77%,180,264,444
"Justice, 1st Court of Appeals District, Place 3",0302,353,343,696,2720,25.59%,408,268,676
"Justice, 1st Court of Appeals District, Place 3",0303,922,784,1706,3245,52.57%,1378,266,1644
"Justice, 1st Court of Appeals District, Place 3",0304,606,505,1111,2298,48.35%,629,420,1049
"Justice, 1st Court of Appeals District, Place 3",0305,524,432,956,4191,22.81%,403,531,934
"Justice, 1st Court of Appeals District, Place 3",0306,649,342,991,1879,52.74%,723,222,945
"Justice, 1st Court of Appeals District, Place 3",0307,733,670,1403,3099,45.27%,967,376,1343
"Justice, 1st Court of Appeals District, Place 3",0308,199,130,329,1296,25.39%,114,201,315
"Justice, 1st Court of Appeals District, Place 3",0309,708,593,1301,2524,51.55%,1040,200,1240
"Justice, 1st Court of Appeals District, Place 3",0310,386,279,665,1435,46.34%,448,178,626
"Justice, 1st Court of Appeals District, Place 3",0311,486,421,907,2986,30.38%,481,370,851
"Justice, 1st Court of Appeals District, Place 3",0312,742,457,1199,3636,32.98%,786,368,1154
"Justice, 1st Court of Appeals District, Place 3",0313,9,0,9,62,14.52%,7,2,9
"Justice, 1st Court of Appeals District, Place 3",0314,1121,913,2034,5647,36.02%,1280,707,1987
"Justice, 1st Court of Appeals District, Place 3",0315,478,388,866,1608,53.86%,511,312,823
"Justice, 1st Court of Appeals District, Place 3",0316,412,341,753,1537,48.99%,418,284,702
"Justice, 1st Court of Appeals District, Place 3",0317,249,209,458,1588,28.84%,145,295,440
"Justice, 1st Court of Appeals District, Place 3",0318,834,568,1402,3660,38.31%,63,1304,1367
"Justice, 1st Court of Appeals District, Place 3",0319,512,230,742,2158,34.38%,45,675,720
"Justice, 1st Court of Appeals District, Place 3",0320,234,168,402,1537,26.15%,195,195,390
"Justice, 1st Court of Appeals District, Place 3",0321,262,191,453,2346,19.31%,164,268,432
"Justice, 1st Court of Appeals District, Place 3",0322,181,129,310,1226,25.29%,103,198,301
"Justice, 1st Court of Appeals District, Place 3",0323,278,211,489,1722,28.40%,240,223,463
"Justice, 1st Court of Appeals District, Place 3",0324,532,646,1178,2336,50.43%,717,392,1109
"Justice, 1st Court of Appeals District, Place 3",0325,289,193,482,2112,22.82%,107,360,467
"Justice, 1st Court of Appeals District, Place 3",0326,87,74,161,698,23.07%,76,75,151
"Justice, 1st Court of Appeals District, Place 3",0327,380,129,509,1729,29.44%,11,488,499
"Justice, 1st Court of Appeals District, Place 3",0328,151,140,291,1434,20.29%,123,156,279
"Justice, 1st Court of Appeals District, Place 3",0329,189,184,373,1397,26.70%,134,223,357
"Justice, 1st Court of Appeals District, Place 3",0330,334,253,587,1936,30.32%,326,233,559
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0331,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0332,18,7,25,138,18.12%,13,9,22
"Justice, 1st Court of Appeals District, Place 3",0333,524,714,1238,3021,40.98%,859,320,1179
"Justice, 1st Court of Appeals District, Place 3",0334,83,42,125,742,16.85%,20,102,122
"Justice, 1st Court of Appeals District, Place 3",0335,121,98,219,1300,16.85%,81,124,205
"Justice, 1st Court of Appeals District, Place 3",0336,866,624,1490,4051,36.78%,130,1329,1459
"Justice, 1st Court of Appeals District, Place 3",0337,124,103,227,1029,22.06%,43,175,218
"Justice, 1st Court of Appeals District, Place 3",0338,730,391,1121,4934,22.72%,392,657,1049
"Justice, 1st Court of Appeals District, Place 3",0339,202,222,424,1757,24.13%,93,310,403
"Justice, 1st Court of Appeals District, Place 3",0340,1038,594,1632,3765,43.35%,1229,341,1570
"Justice, 1st Court of Appeals District, Place 3",0341,91,167,258,1290,20.00%,86,163,249
"Justice, 1st Court of Appeals District, Place 3",0342,675,605,1280,6526,19.61%,211,1036,1247
"Justice, 1st Court of Appeals District, Place 3",0343,189,271,460,1964,23.42%,131,301,432
"Justice, 1st Court of Appeals District, Place 3",0344,154,172,326,1160,28.10%,13,299,312
"Justice, 1st Court of Appeals District, Place 3",0345,156,165,321,1804,17.79%,97,209,306
"Justice, 1st Court of Appeals District, Place 3",0346,0,1,1,3,33.33%,1,0,1
"Justice, 1st Court of Appeals District, Place 3",0347,592,436,1028,3387,30.35%,683,310,993
"Justice, 1st Court of Appeals District, Place 3",0348,438,208,646,1708,37.82%,496,127,623
"Justice, 1st Court of Appeals District, Place 3",0349,188,267,455,1349,33.73%,277,161,438
"Justice, 1st Court of Appeals District, Place 3",0350,524,526,1050,2909,36.09%,438,552,990
"Justice, 1st Court of Appeals District, Place 3",0351,1491,710,2201,4712,46.71%,1738,398,2136
"Justice, 1st Court of Appeals District, Place 3",0352,520,339,859,3205,26.80%,627,207,834
"Justice, 1st Court of Appeals District, Place 3",0353,665,451,1116,3862,28.90%,201,890,1091
"Justice, 1st Court of Appeals District, Place 3",0354,715,338,1053,3388,31.08%,263,764,1027
"Justice, 1st Court of Appeals District, Place 3",0355,301,264,565,1560,36.22%,51,501,552
"Justice, 1st Court of Appeals District, Place 3",0356,594,538,1132,2972,38.09%,741,347,1088
"Justice, 1st Court of Appeals District, Place 3",0357,837,575,1412,3517,40.15%,1030,336,1366
"Justice, 1st Court of Appeals District, Place 3",0358,212,254,466,2492,18.70%,54,400,454
"Justice, 1st Court of Appeals District, Place 3",0359,234,224,458,3061,14.96%,61,389,450
"Justice, 1st Court of Appeals District, Place 3",0360,522,380,902,2146,42.03%,483,359,842
"Justice, 1st Court of Appeals District, Place 3",0361,41,295,336,1673,20.08%,51,252,303
"Justice, 1st Court of Appeals District, Place 3",0362,1138,887,2025,5086,39.82%,1486,456,1942
"Justice, 1st Court of Appeals District, Place 3",0363,620,412,1032,3677,28.07%,464,542,1006
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0364,488,405,893,2658,33.60%,515,342,857
"Justice, 1st Court of Appeals District, Place 3",0365,478,231,709,1305,54.33%,49,644,693
"Justice, 1st Court of Appeals District, Place 3",0366,252,270,522,2454,21.27%,135,372,507
"Justice, 1st Court of Appeals District, Place 3",0367,170,138,308,1130,27.26%,67,233,300
"Justice, 1st Court of Appeals District, Place 3",0368,178,88,266,958,27.77%,68,189,257
"Justice, 1st Court of Appeals District, Place 3",0369,32,29,61,559,10.91%,16,44,60
"Justice, 1st Court of Appeals District, Place 3",0370,1532,1105,2637,6593,40.00%,1993,569,2562
"Justice, 1st Court of Appeals District, Place 3",0371,122,52,174,502,34.66%,4,167,171
"Justice, 1st Court of Appeals District, Place 3",0372,221,170,391,1224,31.94%,54,328,382
"Justice, 1st Court of Appeals District, Place 3",0373,21,12,33,157,21.02%,1,30,31
"Justice, 1st Court of Appeals District, Place 3",0374,65,93,158,738,21.41%,55,100,155
"Justice, 1st Court of Appeals District, Place 3",0375,254,220,474,2645,17.92%,233,209,442
"Justice, 1st Court of Appeals District, Place 3",0376,278,205,483,1910,25.29%,218,248,466
"Justice, 1st Court of Appeals District, Place 3",0377,525,583,1109,2920,37.98%,817,244,1061
"Justice, 1st Court of Appeals District, Place 3",0378,232,354,586,1829,32.04%,371,196,567
"Justice, 1st Court of Appeals District, Place 3",0379,431,289,720,2027,35.52%,74,629,703
"Justice, 1st Court of Appeals District, Place 3",0380,1299,995,2294,5666,40.49%,1256,974,2230
"Justice, 1st Court of Appeals District, Place 3",0381,412,248,660,2855,23.12%,314,326,640
"Justice, 1st Court of Appeals District, Place 3",0382,132,157,289,922,31.34%,211,70,281
"Justice, 1st Court of Appeals District, Place 3",0383,289,263,552,2173,25.40%,230,306,536
"Justice, 1st Court of Appeals District, Place 3",0384,573,373,946,2657,35.60%,194,720,914
"Justice, 1st Court of Appeals District, Place 3",0385,583,670,1253,2207,56.77%,970,224,1194
"Justice, 1st Court of Appeals District, Place 3",0386,662,469,1131,2922,38.71%,830,267,1097
"Justice, 1st Court of Appeals District, Place 3",0387,555,672,1227,3935,31.18%,890,300,1190
"Justice, 1st Court of Appeals District, Place 3",0388,1430,1010,2440,6888,35.42%,1412,972,2384
"Justice, 1st Court of Appeals District, Place 3",0389,91,208,299,1026,29.14%,44,234,278
"Justice, 1st Court of Appeals District, Place 3",0390,356,263,619,1480,41.82%,73,526,599
"Justice, 1st Court of Appeals District, Place 3",0391,508,260,768,1883,40.79%,482,253,735
"Justice, 1st Court of Appeals District, Place 3",0392,387,155,542,1446,37.48%,6,529,535
"Justice, 1st Court of Appeals District, Place 3",0393,165,185,350,1292,27.09%,165,178,343
"Justice, 1st Court of Appeals District, Place 3",0394,69,73,142,834,17.03%,70,65,135
"Justice, 1st Court of Appeals District, Place 3",0395,470,404,874,1846,47.35%,642,199,841
"Justice, 1st Court of Appeals District, Place 3",0396,622,216,838,2082,40.25%,17,815,832
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0397,86,78,164,760,21.58%,79,81,160
"Justice, 1st Court of Appeals District, Place 3",0398,615,521,1136,4022,28.24%,613,499,1112
"Justice, 1st Court of Appeals District, Place 3",0399,402,366,768,2791,27.52%,434,316,750
"Justice, 1st Court of Appeals District, Place 3",0400,620,359,979,2411,40.61%,714,225,939
"Justice, 1st Court of Appeals District, Place 3",0401,330,205,535,1913,27.97%,20,503,523
"Justice, 1st Court of Appeals District, Place 3",0402,466,266,732,1794,40.80%,37,677,714
"Justice, 1st Court of Appeals District, Place 3",0403,475,498,973,1715,56.73%,541,362,903
"Justice, 1st Court of Appeals District, Place 3",0404,419,330,749,2585,28.97%,438,283,721
"Justice, 1st Court of Appeals District, Place 3",0405,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0406,137,67,204,628,32.48%,3,199,202
"Justice, 1st Court of Appeals District, Place 3",0407,691,793,1484,3769,39.37%,990,417,1407
"Justice, 1st Court of Appeals District, Place 3",0408,146,153,299,1691,17.68%,141,142,283
"Justice, 1st Court of Appeals District, Place 3",0409,122,149,271,1459,18.57%,107,155,262
"Justice, 1st Court of Appeals District, Place 3",0410,132,80,212,899,23.58%,45,159,204
"Justice, 1st Court of Appeals District, Place 3",0411,235,200,435,2339,18.60%,158,261,419
"Justice, 1st Court of Appeals District, Place 3",0412,74,44,118,468,25.21%,7,107,114
"Justice, 1st Court of Appeals District, Place 3",0413,767,386,1153,2992,38.54%,460,652,1112
"Justice, 1st Court of Appeals District, Place 3",0414,654,480,1134,3453,32.84%,875,220,1095
"Justice, 1st Court of Appeals District, Place 3",0415,539,598,1137,2203,51.61%,764,330,1094
"Justice, 1st Court of Appeals District, Place 3",0416,538,558,1096,3791,28.91%,612,449,1061
"Justice, 1st Court of Appeals District, Place 3",0417,353,385,738,2448,30.15%,373,332,705
"Justice, 1st Court of Appeals District, Place 3",0418,403,469,872,3584,24.33%,365,469,834
"Justice, 1st Court of Appeals District, Place 3",0419,571,324,895,2658,33.67%,596,270,866
"Justice, 1st Court of Appeals District, Place 3",0420,1036,874,1910,4762,40.11%,1565,280,1845
"Justice, 1st Court of Appeals District, Place 3",0421,36,37,73,410,17.80%,25,46,71
"Justice, 1st Court of Appeals District, Place 3",0422,731,402,1133,3345,33.87%,29,1087,1116
"Justice, 1st Court of Appeals District, Place 3",0423,108,120,228,1376,16.57%,71,148,219
"Justice, 1st Court of Appeals District, Place 3",0424,240,111,351,967,36.30%,209,125,334
"Justice, 1st Court of Appeals District, Place 3",0425,107,123,230,883,26.05%,89,134,223
"Justice, 1st Court of Appeals District, Place 3",0426,260,183,443,1218,36.37%,264,160,424
"Justice, 1st Court of Appeals District, Place 3",0427,179,134,313,1092,28.66%,139,154,293
"Justice, 1st Court of Appeals District, Place 3",0428,619,421,1040,4538,22.92%,331,636,967
"Justice, 1st Court of Appeals District, Place 3",0429,445,314,759,3197,23.74%,213,505,718
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0430,161,133,294,1657,17.74%,88,193,281
"Justice, 1st Court of Appeals District, Place 3",0431,327,84,411,3417,12.03%,148,246,394
"Justice, 1st Court of Appeals District, Place 3",0432,123,157,280,1455,19.24%,110,161,271
"Justice, 1st Court of Appeals District, Place 3",0433,50,63,113,581,19.45%,24,84,108
"Justice, 1st Court of Appeals District, Place 3",0434,370,289,659,1503,43.85%,427,207,634
"Justice, 1st Court of Appeals District, Place 3",0435,855,636,1491,3252,45.85%,977,443,1420
"Justice, 1st Court of Appeals District, Place 3",0436,629,531,1160,2933,39.55%,728,373,1101
"Justice, 1st Court of Appeals District, Place 3",0437,521,512,1033,2033,50.81%,717,263,980
"Justice, 1st Court of Appeals District, Place 3",0438,617,389,1006,1861,54.06%,766,190,956
"Justice, 1st Court of Appeals District, Place 3",0439,710,884,1594,3554,44.85%,1154,362,1516
"Justice, 1st Court of Appeals District, Place 3",0440,664,858,1522,2930,51.95%,1206,238,1444
"Justice, 1st Court of Appeals District, Place 3",0441,345,420,765,1669,45.84%,586,147,733
"Justice, 1st Court of Appeals District, Place 3",0442,612,574,1186,2575,46.06%,979,169,1148
"Justice, 1st Court of Appeals District, Place 3",0443,226,138,364,646,56.35%,266,82,348
"Justice, 1st Court of Appeals District, Place 3",0444,687,583,1270,3262,38.93%,804,405,1209
"Justice, 1st Court of Appeals District, Place 3",0445,499,348,847,2026,41.81%,578,241,819
"Justice, 1st Court of Appeals District, Place 3",0446,31,22,53,291,18.21%,23,26,49
"Justice, 1st Court of Appeals District, Place 3",0447,93,86,179,637,28.10%,53,119,172
"Justice, 1st Court of Appeals District, Place 3",0448,590,778,1368,3138,43.59%,752,545,1297
"Justice, 1st Court of Appeals District, Place 3",0449,12,23,35,198,17.68%,3,32,35
"Justice, 1st Court of Appeals District, Place 3",0450,435,328,763,2635,28.96%,238,500,738
"Justice, 1st Court of Appeals District, Place 3",0451,1002,510,1512,2687,56.27%,1244,205,1449
"Justice, 1st Court of Appeals District, Place 3",0452,554,444,998,3048,32.74%,737,229,966
"Justice, 1st Court of Appeals District, Place 3",0453,231,262,493,1937,25.45%,195,279,474
"Justice, 1st Court of Appeals District, Place 3",0454,594,248,842,2561,32.88%,13,815,828
"Justice, 1st Court of Appeals District, Place 3",0455,367,165,532,1689,31.50%,22,502,524
"Justice, 1st Court of Appeals District, Place 3",0456,482,362,844,3513,24.03%,493,334,827
"Justice, 1st Court of Appeals District, Place 3",0457,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0458,471,237,708,1924,36.80%,32,655,687
"Justice, 1st Court of Appeals District, Place 3",0459,951,474,1425,3021,47.17%,1126,259,1385
"Justice, 1st Court of Appeals District, Place 3",0460,554,331,885,2837,31.19%,237,630,867
"Justice, 1st Court of Appeals District, Place 3",0461,1165,735,1900,3871,49.08%,1333,459,1792
"Justice, 1st Court of Appeals District, Place 3",0462,675,619,1294,3384,38.24%,479,767,1246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0463,480,404,884,3326,26.58%,416,444,860
"Justice, 1st Court of Appeals District, Place 3",0464,356,430,786,2257,34.82%,568,194,762
"Justice, 1st Court of Appeals District, Place 3",0465,687,520,1207,3564,33.87%,694,483,1177
"Justice, 1st Court of Appeals District, Place 3",0466,1058,614,1672,4184,39.96%,983,647,1630
"Justice, 1st Court of Appeals District, Place 3",0467,213,189,402,1270,31.65%,96,294,390
"Justice, 1st Court of Appeals District, Place 3",0468,352,443,795,3598,22.10%,257,513,770
"Justice, 1st Court of Appeals District, Place 3",0469,1294,547,1841,3985,46.20%,1464,308,1772
"Justice, 1st Court of Appeals District, Place 3",0470,185,176,361,1326,27.22%,269,73,342
"Justice, 1st Court of Appeals District, Place 3",0471,375,380,755,2387,31.63%,604,137,741
"Justice, 1st Court of Appeals District, Place 3",0472,198,278,476,1081,44.03%,203,241,444
"Justice, 1st Court of Appeals District, Place 3",0473,599,391,990,1806,54.82%,696,254,950
"Justice, 1st Court of Appeals District, Place 3",0474,559,588,1147,3037,37.77%,804,310,1114
"Justice, 1st Court of Appeals District, Place 3",0475,189,267,456,1809,25.21%,222,217,439
"Justice, 1st Court of Appeals District, Place 3",0476,404,473,877,2430,36.09%,492,358,850
"Justice, 1st Court of Appeals District, Place 3",0477,737,567,1304,3505,37.20%,985,278,1263
"Justice, 1st Court of Appeals District, Place 3",0478,958,657,1615,4461,36.20%,1107,449,1556
"Justice, 1st Court of Appeals District, Place 3",0479,638,612,1250,2714,46.06%,930,273,1203
"Justice, 1st Court of Appeals District, Place 3",0480,493,450,943,2415,39.05%,684,233,917
"Justice, 1st Court of Appeals District, Place 3",0481,770,623,1393,3482,40.01%,1066,275,1341
"Justice, 1st Court of Appeals District, Place 3",0482,878,630,1508,4373,34.48%,1085,382,1467
"Justice, 1st Court of Appeals District, Place 3",0483,1042,478,1520,4308,35.28%,892,579,1471
"Justice, 1st Court of Appeals District, Place 3",0484,1107,930,2037,4979,40.91%,1470,514,1984
"Justice, 1st Court of Appeals District, Place 3",0485,1095,911,2006,5388,37.23%,1569,394,1963
"Justice, 1st Court of Appeals District, Place 3",0486,873,855,1728,3866,44.70%,1369,299,1668
"Justice, 1st Court of Appeals District, Place 3",0487,570,294,864,3860,22.38%,31,7,483,800
"Justice, 1st Court of Appeals District, Place 3",0488,268,254,522,1719,30.37%,200,287,487
"Justice, 1st Court of Appeals District, Place 3",0489,350,290,640,1893,33.81%,209,404,613
"Justice, 1st Court of Appeals District, Place 3",0490,444,368,812,1975,41.11%,295,488,783
"Justice, 1st Court of Appeals District, Place 3",0491,315,372,687,1888,36.39%,422,240,662
"Justice, 1st Court of Appeals District, Place 3",0492,556,410,966,2335,41.37%,594,333,927
"Justice, 1st Court of Appeals District, Place 3",0493,480,322,802,1853,43.28%,548,218,766
"Justice, 1st Court of Appeals District, Place 3",0494,381,247,628,2467,25.46%,79,532,611
"Justice, 1st Court of Appeals District, Place 3",0495,522,523,1045,2375,44.00%,762,238,1000
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0496,190,315,505,2160,23.38%,210,281,491
"Justice, 1st Court of Appeals District, Place 3",0497,526,243,769,2257,34.07%,26,729,755
"Justice, 1st Court of Appeals District, Place 3",0498,363,323,686,2297,29.87%,307,364,671
"Justice, 1st Court of Appeals District, Place 3",0499,750,518,1268,2326,54.51%,929,280,1209
"Justice, 1st Court of Appeals District, Place 3",0500,729,715,1444,3507,41.17%,1003,391,1394
"Justice, 1st Court of Appeals District, Place 3",0501,341,417,758,1801,42.09%,272,440,712
"Justice, 1st Court of Appeals District, Place 3",0502,477,350,827,2501,33.07%,667,133,800
"Justice, 1st Court of Appeals District, Place 3",0503,174,116,290,1374,21.11%,111,158,269
"Justice, 1st Court of Appeals District, Place 3",0504,624,527,1151,2288,50.31%,746,345,1091
"Justice, 1st Court of Appeals District, Place 3",0505,531,562,1193,3773,31.62%,545,590,1135
"Justice, 1st Court of Appeals District, Place 3",0506,665,670,1335,3502,38.12%,231,1063,1294
"Justice, 1st Court of Appeals District, Place 3",0507,221,149,370,2452,15.09%,77,232,309
"Justice, 1st Court of Appeals District, Place 3",0508,492,412,904,3287,27.50%,346,495,841
"Justice, 1st Court of Appeals District, Place 3",0509,754,596,1350,3732,36.17%,957,344,1301
"Justice, 1st Court of Appeals District, Place 3",0510,687,514,1201,3590,33.45%,610,550,1160
"Justice, 1st Court of Appeals District, Place 3",0511,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0512,602,660,1262,5057,24.96%,606,626,1232
"Justice, 1st Court of Appeals District, Place 3",0513,1019,487,1506,2894,52.04%,1166,283,1449
"Justice, 1st Court of Appeals District, Place 3",0514,954,720,1674,4275,39.16%,1276,347,1623
"Justice, 1st Court of Appeals District, Place 3",0515,942,683,1625,3455,47.03%,1310,253,1563
"Justice, 1st Court of Appeals District, Place 3",0516,1000,800,1800,5356,33.61%,965,770,1735
"Justice, 1st Court of Appeals District, Place 3",0517,481,256,737,2954,24.95%,421,294,715
"Justice, 1st Court of Appeals District, Place 3",0518,635,693,1328,3943,33.68%,875,409,1284
"Justice, 1st Court of Appeals District, Place 3",0519,623,493,1116,2966,37.63%,836,250,1086
"Justice, 1st Court of Appeals District, Place 3",0520,473,457,930,4580,20.31%,172,737,909
"Justice, 1st Court of Appeals District, Place 3",0521,471,464,935,2866,32.62%,498,404,902
"Justice, 1st Court of Appeals District, Place 3",0522,715,572,1288,2689,47.90%,999,250,1249
"Justice, 1st Court of Appeals District, Place 3",0523,751,415,1166,3052,38.20%,790,333,1123
"Justice, 1st Court of Appeals District, Place 3",0524,567,459,1026,3410,30.09%,364,630,994
"Justice, 1st Court of Appeals District, Place 3",0525,707,482,1189,3091,38.47%,269,876,1145
"Justice, 1st Court of Appeals District, Place 3",0526,58,84,152,780,19.49%,45,97,142
"Justice, 1st Court of Appeals District, Place 3",0527,37,40,77,574,13.41%,42,32,74
"Justice, 1st Court of Appeals District, Place 3",0528,14,12,26,90,28.89%,3,22,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0529,1043,491,1534,3710,41.35%,1317,170,1487
"Justice, 1st Court of Appeals District, Place 3",0530,114,107,221,1196,18.48%,56,150,206
"Justice, 1st Court of Appeals District, Place 3",0531,363,174,537,1145,46.90%,420,100,520
"Justice, 1st Court of Appeals District, Place 3",0532,205,146,351,1048,33.49%,252,91,343
"Justice, 1st Court of Appeals District, Place 3",0533,124,108,232,1119,20.73%,135,86,221
"Justice, 1st Court of Appeals District, Place 3",0534,783,524,1,307,3837,34.06%,989,274,1263
"Justice, 1st Court of Appeals District, Place 3",0535,33,29,62,416,14.90%,31,29,60
"Justice, 1st Court of Appeals District, Place 3",0536,554,780,1334,5139,25.96%,524,769,1293
"Justice, 1st Court of Appeals District, Place 3",0537,857,778,1635,3050,53.61%,1211,365,1576
"Justice, 1st Court of Appeals District, Place 3",0538,204,160,364,1303,27.94%,7,348,355
"Justice, 1st Court of Appeals District, Place 3",0539,15,241,256,64,400.00%,72,165,237
"Justice, 1st Court of Appeals District, Place 3",0540,378,316,694,1567,44.29%,290,361,651
"Justice, 1st Court of Appeals District, Place 3",0541,785,505,1290,4599,28.05%,189,1061,1250
"Justice, 1st Court of Appeals District, Place 3",0542,360,382,742,2557,29.02%,47,669,716
"Justice, 1st Court of Appeals District, Place 3",0543,141,213,354,1565,22.62%,122,213,335
"Justice, 1st Court of Appeals District, Place 3",0544,35,41,77,310,24.84%,12,63,75
"Justice, 1st Court of Appeals District, Place 3",0545,596,620,1216,3629,33.51%,632,546,1178
"Justice, 1st Court of Appeals District, Place 3",0546,2,2,4,37,10.81%,2,1,3
"Justice, 1st Court of Appeals District, Place 3",0547,501,466,967,2406,40.19%,688,245,933
"Justice, 1st Court of Appeals District, Place 3",0548,286,293,579,2215,26.14%,299,264,563
"Justice, 1st Court of Appeals District, Place 3",0549,343,418,761,2663,28.58%,108,635,743
"Justice, 1st Court of Appeals District, Place 3",0550,501,431,932,3031,30.75%,532,370,902
"Justice, 1st Court of Appeals District, Place 3",0551,1288,1394,2682,7034,38.13%,2041,568,2609
"Justice, 1st Court of Appeals District, Place 3",0552,847,883,1730,3415,50.66%,1447,235,1682
"Justice, 1st Court of Appeals District, Place 3",0553,579,529,1108,4686,23.64%,511,567,1078
"Justice, 1st Court of Appeals District, Place 3",0554,261,199,460,1757,26.18%,98,335,433
"Justice, 1st Court of Appeals District, Place 3",0555,225,277,502,2219,22.62%,113,372,485
"Justice, 1st Court of Appeals District, Place 3",0556,276,186,462,2319,19.92%,140,308,448
"Justice, 1st Court of Appeals District, Place 3",0557,455,183,638,2830,22.54%,267,295,562
"Justice, 1st Court of Appeals District, Place 3",0558,693,463,1156,4380,26.39%,408,703,1111
"Justice, 1st Court of Appeals District, Place 3",0559,641,494,1135,4969,22.84%,348,751,1099
"Justice, 1st Court of Appeals District, Place 3",0560,72,131,203,1120,18.13%,53,138,191
"Justice, 1st Court of Appeals District, Place 3",0561,362,436,798,3064,26.04%,474,299,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0562,113,68,181,694,26.08%,23,153,176
"Justice, 1st Court of Appeals District, Place 3",0563,1107,376,1483,3105,47.76%,1169,255,1424
"Justice, 1st Court of Appeals District, Place 3",0564,470,426,896,3155,28.40%,243,612,855
"Justice, 1st Court of Appeals District, Place 3",0565,108,78,186,1354,13.74%,40,131,171
"Justice, 1st Court of Appeals District, Place 3",0566,418,324,742,2882,25.75%,232,488,720
"Justice, 1st Court of Appeals District, Place 3",0567,301,193,494,2238,22.07%,168,289,457
"Justice, 1st Court of Appeals District, Place 3",0568,876,685,1561,3594,43.43%,1036,450,1486
"Justice, 1st Court of Appeals District, Place 3",0569,572,667,1239,3525,35.15%,678,505,1183
"Justice, 1st Court of Appeals District, Place 3",0570,238,210,448,1562,28.68%,157,263,420
"Justice, 1st Court of Appeals District, Place 3",0571,155,149,304,1827,16.64%,124,171,295
"Justice, 1st Court of Appeals District, Place 3",0572,555,375,930,3108,29.92%,490,406,896
"Justice, 1st Court of Appeals District, Place 3",0573,290,151,441,1619,27.24%,5,430,435
"Justice, 1st Court of Appeals District, Place 3",0574,31,42,73,402,18.16%,9,64,73
"Justice, 1st Court of Appeals District, Place 3",0575,13,11,24,74,32.43%,18,5,23
"Justice, 1st Court of Appeals District, Place 3",0576,485,318,803,2734,29.37%,25,764,789
"Justice, 1st Court of Appeals District, Place 3",0577,147,88,235,608,38.65%,143,86,229
