Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0339,202,222,424,1757,24.13%,91,304,395
"District Judge, 269th Judicial District",0340,1038,594,1632,3765,43.35%,1236,325,1561
"District Judge, 269th Judicial District",0341,91,167,258,1290,20.00%,89,160,249
"District Judge, 269th Judicial District",0342,675,605,1280,6526,19.61%,209,1039,1248
"District Judge, 269th Judicial District",0343,189,271,460,1964,23.42%,137,294,431
"District Judge, 269th Judicial District",0344,154,172,326,1160,28.10%,12,301,313
"District Judge, 269th Judicial District",0345,156,165,321,1804,17.79%,100,204,304
"District Judge, 269th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"District Judge, 269th Judicial District",0347,592,436,1028,3387,30.35%,691,302,993
"District Judge, 269th Judicial District",0348,438,208,646,1708,37.82%,494,120,614
"District Judge, 269th Judicial District",0349,188,267,455,1349,33.73%,279,151,430
"District Judge, 269th Judicial District",0350,524,526,1050,2909,36.09%,425,538,963
"District Judge, 269th Judicial District",0351,1491,710,2201,4712,46.71%,1744,375,2119
"District Judge, 269th Judicial District",0352,520,339,859,3205,26.80%,631,194,825
"District Judge, 269th Judicial District",0353,665,451,1116,3862,28.90%,201,878,1079
"District Judge, 269th Judicial District",0354,715,338,1053,3388,31.08%,264,756,1020
"District Judge, 269th Judicial District",0355,301,264,565,1560,36.22%,52,496,548
"District Judge, 269th Judicial District",0356,594,538,1132,2972,38.09%,743,333,1076
"District Judge, 269th Judicial District",0357,837,575,1412,3517,40.15%,1034,322,1356
"District Judge, 269th Judicial District",0358,212,254,466,2492,18.70%,49,403,452
"District Judge, 269th Judicial District",0359,234,224,458,3061,14.96%,58,388,446
"District Judge, 269th Judicial District",0360,522,380,902,2146,42.03%,479,340,819
"District Judge, 269th Judicial District",0361,41,295,336,1673,20.08%,51,245,296
"District Judge, 269th Judicial District",0362,1138,887,2025,5086,39.82%,1492,428,1920
"District Judge, 269th Judicial District",0363,620,412,1032,3677,28.07%,467,535,1002
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0364,488,405,893,2658,33.60%,523,325,848
"District Judge, 269th Judicial District",0365,478,231,709,1305,54.33%,55,633,688
"District Judge, 269th Judicial District",0366,252,270,522,2454,21.27%,130,377,507
"District Judge, 269th Judicial District",0367,170,138,308,1130,27.26%,70,233,303
"District Judge, 269th Judicial District",0368,178,88,266,958,27.77%,71,184,255
"District Judge, 269th Judicial District",0369,32,29,61,559,10.91%,17,42,59
"District Judge, 269th Judicial District",0370,1532,1105,2637,6593,40.00%,2000,543,2543
"District Judge, 269th Judicial District",0371,122,52,174,502,34.66%,7,161,168
"District Judge, 269th Judicial District",0372,221,170,391,1224,31.94%,48,329,377
"District Judge, 269th Judicial District",0373,21,12,33,157,21.02%,2,29,31
"District Judge, 269th Judicial District",0374,85,93,158,738,21.41%,58,96,154
"District Judge, 269th Judicial District",0375,254,220,474,2645,17.92%,235,203,438
"District Judge, 269th Judicial District",0376,278,205,483,1910,25.29%,214,247,461
"District Judge, 269th Judicial District",0377,525,583,1109,2920,37.98%,817,234,1051
"District Judge, 269th Judicial District",0378,232,354,586,1829,32.04%,367,194,561
"District Judge, 269th Judicial District",0379,431,289,720,2027,35.52%,67,633,700
"District Judge, 269th Judicial District",0380,1299,995,2294,5666,40.49%,1266,952,2218
"District Judge, 269th Judicial District",0381,412,248,660,2855,23.12%,310,324,634
"District Judge, 269th Judicial District",0382,132,157,289,922,31.34%,215,66,281
"District Judge, 269th Judicial District",0383,289,263,552,2173,25.40%,225,308,533
"District Judge, 269th Judicial District",0384,573,373,946,2657,35.60%,192,713,905
"District Judge, 269th Judicial District",0385,583,670,1253,2207,56.77%,965,207,1172
"District Judge, 269th Judicial District",0386,662,469,1131,2922,38.71%,831,255,1086
"District Judge, 269th Judicial District",0387,555,672,1227,3935,31.18%,890,296,1186
"District Judge, 269th Judicial District",0388,1430,1010,2440,6888,35.42%,1412,957,2369
"District Judge, 269th Judicial District",0389,91,208,299,1026,29.14%,40,235,275
"District Judge, 269th Judicial District",0390,356,263,619,1480,41.82%,74,525,599
"District Judge, 269th Judicial District",0391,508,260,768,1883,40.79%,488,245,733
"District Judge, 269th Judicial District",0392,387,155,542,1446,37.48%,5,528,533
"District Judge, 269th Judicial District",0393,165,185,350,1292,27.09%,165,175,340
"District Judge, 269th Judicial District",0394,69,73,142,834,17.03%,69,65,134
"District Judge, 269th Judicial District",0395,469,404,873,1846,47.29%,637,185,822
"District Judge, 269th Judicial District",0396,622,216,838,2082,40.25%,17,809,826
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0397,86,78,164,760,21.58%,76,83,159
"District Judge, 269th Judicial District",0398,615,521,1136,4022,28.24%,618,489,1107
"District Judge, 269th Judicial District",0399,402,366,768,2791,27.52%,430,313,743
"District Judge, 269th Judicial District",0400,620,359,979,2411,40.61%,716,214,930
"District Judge, 269th Judicial District",0401,330,205,535,1913,27.97%,20,502,522
"District Judge, 269th Judicial District",0402,466,266,732,1794,40.80%,36,677,713
"District Judge, 269th Judicial District",0403,475,498,973,1715,56.73%,544,340,884
"District Judge, 269th Judicial District",0404,419,330,749,2585,28.97%,440,275,715
"District Judge, 269th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",0406,137,67,204,628,32.48%,4,197,201
"District Judge, 269th Judicial District",0407,688,793,1481,3769,39.29%,989,403,1392
"District Judge, 269th Judicial District",0408,146,153,299,1691,17.68%,140,143,283
"District Judge, 269th Judicial District",0409,122,149,271,1459,18.57%,112,151,263
"District Judge, 269th Judicial District",0410,132,80,212,899,23.58%,43,158,201
"District Judge, 269th Judicial District",0411,235,200,435,2339,18.60%,161,256,417
"District Judge, 269th Judicial District",0412,74,44,118,468,25.21%,7,106,113
"District Judge, 269th Judicial District",0413,767,386,1153,2992,38.54%,456,650,1106
"District Judge, 269th Judicial District",0414,654,480,1134,3453,32.84%,875,217,1092
"District Judge, 269th Judicial District",0415,539,598,1137,2203,51.61%,773,312,1085
"District Judge, 269th Judicial District",0416,538,558,1096,3791,28.91%,618,437,1055
"District Judge, 269th Judicial District",0417,353,385,738,2448,30.15%,375,329,704
"District Judge, 269th Judicial District",0418,403,469,872,3584,24.33%,362,469,831
"District Judge, 269th Judicial District",0419,571,324,895,2658,33.67%,597,256,853
"District Judge, 269th Judicial District",0420,1036,874,1910,4762,40.11%,1564,272,1836
"District Judge, 269th Judicial District",0421,36,37,73,410,17.80%,25,42,67
"District Judge, 269th Judicial District",0422,731,402,1133,3345,33.87%,29,1082,1111
"District Judge, 269th Judicial District",0423,108,120,228,1376,16.57%,75,144,219
"District Judge, 269th Judicial District",0424,240,111,351,967,36.30%,209,125,334
"District Judge, 269th Judicial District",0425,107,123,230,883,26.05%,93,128,221
"District Judge, 269th Judicial District",0426,260,183,443,1218,36.37%,262,157,419
"District Judge, 269th Judicial District",0427,179,134,313,1092,28.66%,136,156,292
"District Judge, 269th Judicial District",0428,619,421,1040,4538,22.92%,326,635,961
"District Judge, 269th Judicial District",0429,445,314,759,3197,23.74%,214,501,715
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0430,161,133,294,1657,17.74%,89,190,279
"District Judge, 269th Judicial District",0431,327,84,411,3417,12.03%,151,239,390
"District Judge, 269th Judicial District",0432,123,157,280,1455,19.24%,107,164,271
"District Judge, 269th Judicial District",0433,50,63,113,581,19.45%,26,83,109
"District Judge, 269th Judicial District",0434,370,289,659,1503,43.85%,417,200,617
"District Judge, 269th Judicial District",0435,855,636,1491,3252,45.85%,981,425,1406
"District Judge, 269th Judicial District",0436,629,531,1160,2933,39.55%,731,353,1084
"District Judge, 269th Judicial District",0437,521,512,1033,2033,50.81%,735,236,971
"District Judge, 269th Judicial District",0438,617,389,1006,1861,54.06%,770,171,941
"District Judge, 269th Judicial District",0439,710,884,1594,3554,44.85%,1164,338,1502
"District Judge, 269th Judicial District",0440,664,858,1522,2930,51.95%,1217,218,1435
"District Judge, 269th Judicial District",0441,345,420,765,1669,45.84%,591,131,722
"District Judge, 269th Judicial District",0442,612,574,1186,2575,46.06%,983,159,1142
"District Judge, 269th Judicial District",0443,226,138,364,646,56.35%,264,79,343
"District Judge, 269th Judicial District",0444,687,583,1270,3262,38.93%,814,379,1193
"District Judge, 269th Judicial District",0445,499,348,847,2026,41.81%,582,227,809
"District Judge, 269th Judicial District",0446,31,22,53,291,18.21%,25,25,50
"District Judge, 269th Judicial District",0447,93,86,179,637,28.10%,55,116,171
"District Judge, 269th Judicial District",0448,590,778,1368,3138,43.59%,769,515,1284
"District Judge, 269th Judicial District",0449,12,23,35,198,17.68%,3,32,35
"District Judge, 269th Judicial District",0450,435,328,763,2635,28.96%,238,498,736
"District Judge, 269th Judicial District",0451,1002,510,1512,2687,56.27%,1252,192,1444
"District Judge, 269th Judicial District",0452,554,444,998,3048,32.74%,738,228,966
"District Judge, 269th Judicial District",0453,231,262,493,1937,25.45%,195,275,470
"District Judge, 269th Judicial District",0454,594,248,842,2561,32.88%,11,818,829
"District Judge, 269th Judicial District",0455,367,165,532,1689,31.50%,20,505,525
"District Judge, 269th Judicial District",0456,482,362,844,3513,24.03%,493,326,819
"District Judge, 269th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",0458,471,237,708,1924,36.80%,30,656,686
"District Judge, 269th Judicial District",0459,951,474,1425,3021,47.17%,1133,243,1376
"District Judge, 269th Judicial District",0460,554,331,885,2837,31.19%,223,640,863
"District Judge, 269th Judicial District",0461,1165,735,1900,3871,49.08%,1322,449,1771
"District Judge, 269th Judicial District",0462,674,619,1293,3384,38.21%,479,751,1230
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0463,480,404,884,3326,26.58%,406,447,853
"District Judge, 269th Judicial District",0464,356,430,786,2257,34.82%,569,187,756
"District Judge, 269th Judicial District",0465,687,520,1207,3564,33.87%,687,480,1167
"District Judge, 269th Judicial District",0466,1058,614,1672,4184,39.96%,988,626,1614
"District Judge, 269th Judicial District",0467,213,189,402,1270,31.65%,97,295,392
"District Judge, 269th Judicial District",0468,352,443,795,3598,22.10%,258,505,763
"District Judge, 269th Judicial District",0469,1294,547,1841,3985,46.20%,1475,284,1759
"District Judge, 269th Judicial District",0470,185,176,361,1326,27.22%,270,71,341
"District Judge, 269th Judicial District",0471,375,380,755,2387,31.63%,608,127,735
"District Judge, 269th Judicial District",0472,198,278,476,1081,44.03%,202,230,432
"District Judge, 269th Judicial District",0473,599,391,990,1806,54.82%,701,238,939
"District Judge, 269th Judicial District",0474,559,588,1147,3037,37.77%,801,304,1105
"District Judge, 269th Judicial District",0475,189,267,456,1809,25.21%,214,218,432
"District Judge, 269th Judicial District",0476,404,473,877,2430,36.09%,493,347,840
"District Judge, 269th Judicial District",0477,737,567,1304,3505,37.20%,982,278,1260
"District Judge, 269th Judicial District",0478,958,657,1615,4461,36.20%,1098,441,1539
"District Judge, 269th Judicial District",0479,638,612,1250,2714,46.06%,936,262,1198
"District Judge, 269th Judicial District",0480,493,450,943,2415,39.05%,685,218,903
"District Judge, 269th Judicial District",0481,770,623,1393,3482,40.01%,1071,262,1333
"District Judge, 269th Judicial District",0482,878,630,1508,4373,34.48%,1086,368,1454
"District Judge, 269th Judicial District",0483,1042,478,1520,4308,35.28%,894,566,1460
"District Judge, 269th Judicial District",0484,1107,930,2037,4979,40.91%,1480,487,1967
"District Judge, 269th Judicial District",0485,1095,911,2006,5388,37.23%,1565,384,1949
"District Judge, 269th Judicial District",0486,873,855,1728,3866,44.70%,1361,293,1654
"District Judge, 269th Judicial District",0487,570,294,864,3860,22.38%,314,481,795
"District Judge, 269th Judicial District",0488,268,254,522,1719,30.37%,197,287,484
"District Judge, 269th Judicial District",0489,350,290,640,1893,33.81%,217,390,607
"District Judge, 269th Judicial District",0490,444,368,812,1975,41.11%,299,481,780
"District Judge, 269th Judicial District",0491,314,372,686,1888,36.33%,417,235,652
"District Judge, 269th Judicial District",0492,556,410,966,2335,41.37%,600,321,921
"District Judge, 269th Judicial District",0493,479,322,801,1853,43.23%,546,207,753
"District Judge, 269th Judicial District",0494,381,247,628,2467,25.46%,82,531,613
"District Judge, 269th Judicial District",0495,522,523,1045,2375,44.00%,756,221,977
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0496,190,315,505,2160,23.38%,198,288,486
"District Judge, 269th Judicial District",0497,526,243,769,2257,34.07%,24,725,749
"District Judge, 269th Judicial District",0498,363,323,686,2297,29.87%,304,361,665
"District Judge, 269th Judicial District",0499,750,518,1268,2326,54.51%,943,253,1196
"District Judge, 269th Judicial District",0500,729,715,1444,3507,41.17%,1000,386,1386
"District Judge, 269th Judicial District",0501,341,417,758,1801,42.09%,286,419,705
"District Judge, 269th Judicial District",0502,477,350,827,2501,33.07%,667,129,796
"District Judge, 269th Judicial District",0503,174,116,290,1374,21.11%,112,157,269
"District Judge, 269th Judicial District",0504,624,527,1151,2288,50.31%,759,322,1081
"District Judge, 269th Judicial District",0505,531,562,1193,3773,31.62%,538,574,1112
"District Judge, 269th Judicial District",0506,665,670,1335,3502,38.12%,239,1048,1287
"District Judge, 269th Judicial District",0507,221,149,370,2452,15.09%,76,226,302
"District Judge, 269th Judicial District",0508,492,412,904,3287,27.50%,346,487,833
"District Judge, 269th Judicial District",0509,753,596,1349,3732,36.15%,957,325,1282
"District Judge, 269th Judicial District",0510,687,514,1201,3590,33.45%,610,539,1149
"District Judge, 269th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",0512,602,660,1262,5057,24.96%,607,618,1225
"District Judge, 269th Judicial District",0513,1019,487,1506,2894,52.04%,1167,267,1434
"District Judge, 269th Judicial District",0514,953,720,1673,4275,39.13%,1276,330,1606
"District Judge, 269th Judicial District",0515,942,683,1625,3455,47.03%,1313,239,1552
"District Judge, 269th Judicial District",0516,1000,800,1800,5356,33.61%,969,747,1716
"District Judge, 269th Judicial District",0517,481,256,737,2954,24.95%,424,290,714
"District Judge, 269th Judicial District",0518,635,693,1328,3943,33.68%,874,397,1271
"District Judge, 269th Judicial District",0519,623,493,1116,2966,37.63%,831,244,1075
"District Judge, 269th Judicial District",0520,473,457,930,4580,20.31%,175,732,907
"District Judge, 269th Judicial District",0521,471,464,935,2866,32.62%,510,393,903
"District Judge, 269th Judicial District",0522,715,572,1288,2689,47.90%,1005,235,1240
"District Judge, 269th Judicial District",0523,751,415,1166,3052,38.20%,799,319,1118
"District Judge, 269th Judicial District",0524,567,459,1026,3410,30.09%,360,630,990
"District Judge, 269th Judicial District",0525,707,482,1189,3091,38.47%,269,862,1131
"District Judge, 269th Judicial District",0526,68,84,152,780,19.49%,46,95,141
"District Judge, 269th Judicial District",0527,37,40,77,574,13.41%,42,33,75
"District Judge, 269th Judicial District",0528,14,12,26,90,28.89%,3,22,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0529,1043,491,1534,3710,41.35%,1318,154,1472
"District Judge, 269th Judicial District",0530,114,107,221,1196,18.48%,54,151,205
"District Judge, 269th Judicial District",0531,363,174,537,1145,46.90%,415,100,515
"District Judge, 269th Judicial District",0532,205,146,351,1048,33.49%,253,88,341
"District Judge, 269th Judicial District",0533,124,108,232,1119,20.73%,136,86,222
"District Judge, 269th Judicial District",0534,783,524,1,307,3837,34.06%,999,249,1248
"District Judge, 269th Judicial District",0535,33,29,62,416,14.90%,31,30,61
"District Judge, 269th Judicial District",0536,554,780,1334,5139,25.96%,521,764,1285
"District Judge, 269th Judicial District",0537,855,778,1633,3050,53.54%,1205,350,1555
"District Judge, 269th Judicial District",0538,204,160,364,1303,27.94%,8,349,357
"District Judge, 269th Judicial District",0539,15,241,256,64,400.00%,77,161,238
"District Judge, 269th Judicial District",0540,378,316,694,1567,44.29%,295,346,641
"District Judge, 269th Judicial District",0541,784,505,1289,4599,28.03%,179,1056,1235
"District Judge, 269th Judicial District",0542,360,382,742,2557,29.02%,46,667,713
"District Judge, 269th Judicial District",0543,141,213,354,1565,22.62%,119,214,333
"District Judge, 269th Judicial District",0544,36,41,77,310,24.84%,12,64,76
"District Judge, 269th Judicial District",0545,596,620,1216,3629,33.51%,623,544,1167
"District Judge, 269th Judicial District",0546,2,2,4,37,10.81%,3,0,3
"District Judge, 269th Judicial District",0547,501,466,967,2406,40.19%,681,241,922
"District Judge, 269th Judicial District",0548,286,293,579,2215,26.14%,306,257,563
"District Judge, 269th Judicial District",0549,343,418,761,2663,28.58%,109,635,744
"District Judge, 269th Judicial District",0550,501,431,932,3031,30.75%,538,359,897
"District Judge, 269th Judicial District",0551,1288,1394,2682,7034,38.13%,2048,555,2603
"District Judge, 269th Judicial District",0552,847,883,1730,3415,50.66%,1452,224,1676
"District Judge, 269th Judicial District",0553,578,529,1107,4686,23.62%,510,563,1073
"District Judge, 269th Judicial District",0554,261,199,460,1757,26.18%,101,326,427
"District Judge, 269th Judicial District",0555,225,277,502,2219,22.62%,110,373,483
"District Judge, 269th Judicial District",0556,276,186,462,2319,19.92%,137,306,443
"District Judge, 269th Judicial District",0557,455,183,638,2830,22.54%,267,294,561
"District Judge, 269th Judicial District",0558,693,463,1156,4380,26.39%,412,695,1107
"District Judge, 269th Judicial District",0559,640,494,1134,4969,22.82%,345,749,1094
"District Judge, 269th Judicial District",0560,72,131,203,1120,18.13%,53,134,187
"District Judge, 269th Judicial District",0561,362,436,798,3064,26.04%,487,278,765
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0562,113,68,181,694,26.08%,24,154,178
"District Judge, 269th Judicial District",0563,1107,376,1483,3105,47.76%,1171,244,1415
"District Judge, 269th Judicial District",0564,470,426,896,3155,28.40%,241,609,850
"District Judge, 269th Judicial District",0565,108,78,186,1354,13.74%,42,132,174
"District Judge, 269th Judicial District",0566,417,324,741,2882,25.71%,236,483,719
"District Judge, 269th Judicial District",0567,301,193,494,2238,22.07%,167,283,450
"District Judge, 269th Judicial District",0568,876,685,1561,3594,43.43%,1038,428,1466
"District Judge, 269th Judicial District",0569,572,667,1239,3525,35.15%,675,489,1164
"District Judge, 269th Judicial District",0570,238,210,448,1562,28.68%,153,259,412
"District Judge, 269th Judicial District",0571,155,149,304,1827,16.64%,120,175,295
"District Judge, 269th Judicial District",0572,555,375,930,3108,29.92%,487,397,884
"District Judge, 269th Judicial District",0573,290,151,441,1619,27.24%,6,428,434
"District Judge, 269th Judicial District",0574,31,42,73,402,18.16%,8,65,73
"District Judge, 269th Judicial District",0575,13,11,24,74,32.43%,18,5,23
"District Judge, 269th Judicial District",0576,485,318,803,2734,29.37%,24,761,785
"District Judge, 269th Judicial District",0577,147,88,235,608,38.65%,143,82,225
"District Judge, 269th Judicial District",0578,409,538,947,1799,52.64%,589,304,893
"District Judge, 269th Judicial District",0579,75,101,176,1056,16.67%,34,134,168
"District Judge, 269th Judicial District",0580,179,118,297,1031,28.81%,3,286,289
"District Judge, 269th Judicial District",0581,212,174,386,1032,37.40%,8,369,377
"District Judge, 269th Judicial District",0582,258,171,429,1588,27.02%,21,396,417
"District Judge, 269th Judicial District",0583,225,131,356,1262,28.21%,11,336,347
"District Judge, 269th Judicial District",0584,182,93,275,1014,27.12%,11,255,266
"District Judge, 269th Judicial District",0585,417,172,589,2511,23.46%,16,565,581
"District Judge, 269th Judicial District",0586,638,680,1318,4316,30.54%,806,459,1265
"District Judge, 269th Judicial District",0587,436,284,720,2598,27.71%,289,412,701
"District Judge, 269th Judicial District",0588,758,674,1432,3645,39.29%,1027,356,1383
"District Judge, 269th Judicial District",0589,500,386,886,3420,25.91%,498,360,858
"District Judge, 269th Judicial District",0590,772,399,1171,2162,54.16%,925,202,1127
"District Judge, 269th Judicial District",0591,183,231,414,2121,19.52%,127,270,397
"District Judge, 269th Judicial District",0592,133,157,290,1350,21.48%,80,198,278
"District Judge, 269th Judicial District",0593,543,564,1107,4380,25.27%,539,510,1049
"District Judge, 269th Judicial District",0594,561,326,887,2490,35.62%,254,602,856
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0595,201,178,379,1693,22.39%,71,300,371
"District Judge, 269th Judicial District",0596,441,348,789,3007,26.24%,443,321,764
"District Judge, 269th Judicial District",0597,367,394,761,3653,20.83%,328,422,750
"District Judge, 269th Judicial District",0598,195,57,252,728,34.62%,206,39,245
"District Judge, 269th Judicial District",0599,850,578,1428,4950,28.85%,510,872,1382
"District Judge, 269th Judicial District",0600,667,429,1096,3957,27.70%,444,603,1047
"District Judge, 269th Judicial District",0601,1073,756,1829,4057,45.08%,1404,359,1763
"District Judge, 269th Judicial District",0602,293,235,528,1326,39.82%,385,127,512
"District Judge, 269th Judicial District",0603,554,794,1678,4843,34.65%,1077,560,1637
"District Judge, 269th Judicial District",0604,702,518,1220,3005,40.60%,1012,169,1181
"District Judge, 269th Judicial District",0605,907,556,1463,5582,26.21%,370,1050,1420
"District Judge, 269th Judicial District",0606,176,70,246,937,26.25%,3,239,242
"District Judge, 269th Judicial District",0607,52,51,113,728,15.52%,13,95,108
"District Judge, 269th Judicial District",0608,31,47,78,537,14.53%,43,29,72
"District Judge, 269th Judicial District",0609,557,680,1347,3384,39.80%,847,430,1277
"District Judge, 269th Judicial District",0610,231,188,419,1927,21.74%,216,169,385
"District Judge, 269th Judicial District",0611,495,242,737,2488,29.62%,23,698,721
"District Judge, 269th Judicial District",0612,996,497,1493,3307,45.15%,1125,282,1407
"District Judge, 269th Judicial District",0613,186,204,390,1554,25.10%,66,313,379
"District Judge, 269th Judicial District",0614,737,566,1303,4207,30.97%,509,745,1254
"District Judge, 269th Judicial District",0615,450,299,779,1967,39.60%,506,250,756
"District Judge, 269th Judicial District",0616,739,663,1402,3436,40.80%,993,354,1347
"District Judge, 269th Judicial District",0617,541,393,934,3809,24.52%,388,526,914
"District Judge, 269th Judicial District",0618,945,567,1513,6003,25.20%,769,695,1464
"District Judge, 269th Judicial District",0619,1219,803,2022,4297,47.06%,1513,408,1921
"District Judge, 269th Judicial District",0620,589,264,953,2897,32.90%,614,294,908
"District Judge, 269th Judicial District",0621,154,101,255,1133,22.51%,134,105,239
"District Judge, 269th Judicial District",0622,881,524,1405,4403,31.91%,879,479,1358
"District Judge, 269th Judicial District",0623,887,487,1374,3691,37.23%,937,375,1312
"District Judge, 269th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"District Judge, 269th Judicial District",0625,477,362,839,1820,46.10%,491,298,789
"District Judge, 269th Judicial District",0626,551,440,1021,2861,35.69%,577,384,961
"District Judge, 269th Judicial District",0627,345,322,668,3049,21.91%,241,395,636
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0628,152,219,371,1675,22.15%,196,163,359
"District Judge, 269th Judicial District",0629,37,53,90,696,12.93%,15,74,89
"District Judge, 269th Judicial District",0630,974,600,1574,3905,40.31%,117,1411,1528
"District Judge, 269th Judicial District",0631,822,404,1226,2846,43.08%,909,266,1175
"District Judge, 269th Judicial District",0632,7,4,11,343,3.21%,4,7,11
"District Judge, 269th Judicial District",0633,943,731,1674,3559,47.04%,1203,407,1610
"District Judge, 269th Judicial District",0634,458,442,900,3029,29.71%,600,268,868
"District Judge, 269th Judicial District",0635,743,485,1228,3393,36.19%,941,253,1194
"District Judge, 269th Judicial District",0636,836,874,1710,4140,41.30%,1482,174,1656
"District Judge, 269th Judicial District",0637,409,362,771,2512,30.69%,191,525,716
"District Judge, 269th Judicial District",0638,304,245,549,2204,24.91%,44,482,526
"District Judge, 269th Judicial District",0639,549,547,1096,2526,43.39%,886,164,1050
"District Judge, 269th Judicial District",0640,641,459,1100,3733,29.47%,700,370,1070
"District Judge, 269th Judicial District",0641,649,596,1245,3650,34.11%,834,363,1197
"District Judge, 269th Judicial District",0642,471,394,865,1764,49.04%,697,129,826
"District Judge, 269th Judicial District",0643,934,653,1587,5945,26.69%,628,907,1535
"District Judge, 269th Judicial District",0644,1019,823,1842,5523,33.35%,1231,533,1764
"District Judge, 269th Judicial District",0645,654,594,1248,4185,29.82%,682,507,1189
"District Judge, 269th Judicial District",0646,364,287,651,2220,29.32%,214,395,609
"District Judge, 269th Judicial District",0647,904,470,1374,6084,22.58%,383,876,1259
"District Judge, 269th Judicial District",0648,838,579,1417,3367,42.08%,1030,342,1372
"District Judge, 269th Judicial District",0649,687,434,1121,4576,24.50%,370,679,1049
"District Judge, 269th Judicial District",0650,906,766,1672,3888,43.00%,1230,370,1600
"District Judge, 269th Judicial District",0651,963,766,1729,5128,33.72%,1118,536,1654
"District Judge, 269th Judicial District",0652,467,515,982,2815,34.88%,175,773,948
"District Judge, 269th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"District Judge, 269th Judicial District",0654,950,1005,1955,6208,31.49%,1087,798,1885
"District Judge, 269th Judicial District",0655,1116,1079,2195,6855,32.02%,1374,737,2111
"District Judge, 269th Judicial District",0656,579,393,972,2674,36.35%,37,908,945
"District Judge, 269th Judicial District",0657,246,172,418,1292,32.35%,170,230,400
"District Judge, 269th Judicial District",0658,540,426,966,2807,34.41%,637,308,945
"District Judge, 269th Judicial District",0659,1149,788,1937,4856,39.89%,1399,485,1884
"District Judge, 269th Judicial District",0660,950,825,1775,5372,33.04%,166,1568,1734
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0661,675,765,1440,4567,31.53%,846,537,1383
"District Judge, 269th Judicial District",0662,1148,890,2038,4874,41.81%,1647,329,1976
"District Judge, 269th Judicial District",0663,717,797,1514,3346,45.25%,753,648,1401
"District Judge, 269th Judicial District",0664,352,250,602,2869,20.98%,132,441,573
"District Judge, 269th Judicial District",0665,482,348,830,2154,38.53%,693,108,801
"District Judge, 269th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",0667,488,502,990,2149,46.07%,785,163,948
"District Judge, 269th Judicial District",0668,399,509,908,2775,32.72%,599,279,878
"District Judge, 269th Judicial District",0669,850,738,1,588,3425,46.36%,1151,363,1514
"District Judge, 269th Judicial District",0670,955,471,1427,2983,47.84%,1151,221,1372
"District Judge, 269th Judicial District",0671,403,565,968,3037,31.87%,599,324,923
"District Judge, 269th Judicial District",0672,959,862,1821,5706,31.91%,1249,522,1771
"District Judge, 269th Judicial District",0673,729,516,1245,2995,41.57%,994,196,1190
"District Judge, 269th Judicial District",0674,1071,618,1689,4091,41.29%,1261,362,1623
"District Judge, 269th Judicial District",0675,0,1,1,0,0.00%,1,0,1
