Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0325,289,193,482,2112,22.82%,101,345,8,14,468
Commissioner of Agriculture,0326,87,74,161,698,23.07%,75,74,3,0,152
Commissioner of Agriculture,0327,380,129,509,1729,29.44%,11,478,6,5,500
Commissioner of Agriculture,0328,151,140,291,1434,20.29%,127,145,4,5,281
Commissioner of Agriculture,0329,191,184,375,1397,26.84%,137,205,14,8,364
Commissioner of Agriculture,0330,334,253,587,1936,30.32%,318,223,12,9,562
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0331,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0332,18,7,25,138,18.12%,13,8,1,0,22
Commissioner of Agriculture,0333,524,714,1238,3021,40.98%,836,296,48,21,1201
Commissioner of Agriculture,0334,83,42,125,742,16.85%,22,96,2,2,122
Commissioner of Agriculture,0335,121,98,219,1300,16.85%,82,116,8,3,209
Commissioner of Agriculture,0336,870,624,1494,4051,36.88%,129,1297,22,20,1468
Commissioner of Agriculture,0337,124,103,227,1029,22.06%,35,177,2,2,216
Commissioner of Agriculture,0338,731,391,1122,4934,22.74%,371,657,16,10,1054
Commissioner of Agriculture,0339,202,222,424,1757,24.13%,88,289,12,15,404
Commissioner of Agriculture,0340,1038,594,1632,3765,43.35%,1198,316,49,25,1588
Commissioner of Agriculture,0341,91,167,258,1290,20.00%,77,165,6,4,252
Commissioner of Agriculture,0342,675,605,1280,6526,19.61%,201,1027,15,20,1263
Commissioner of Agriculture,0343,189,271,460,1964,23.42%,122,299,8,8,437
Commissioner of Agriculture,0344,154,172,326,1160,28.10%,13,299,2,1,315
Commissioner of Agriculture,0345,156,165,321,1804,17.79%,92,200,7,10,309
Commissioner of Agriculture,0346,0,1,1,3,33.33%,1,0,0,0,1
Commissioner of Agriculture,0347,592,436,1028,3387,30.35%,665,301,32,7,1005
Commissioner of Agriculture,0348,438,208,646,1708,37.82%,493,121,12,8,634
Commissioner of Agriculture,0349,188,267,455,1349,33.73%,274,145,18,10,447
Commissioner of Agriculture,0350,525,526,1051,2909,36.13%,428,512,26,33,999
Commissioner of Agriculture,0351,1491,710,2201,4712,46.71%,1741,367,36,11,2155
Commissioner of Agriculture,0352,520,339,859,3205,26.80%,613,192,27,10,842
Commissioner of Agriculture,0353,665,451,1116,3862,28.90%,189,879,10,15,1093
Commissioner of Agriculture,0354,715,338,1053,3388,31.08%,254,759,12,6,1031
Commissioner of Agriculture,0355,301,264,565,1560,36.22%,51,493,5,5,554
Commissioner of Agriculture,0356,594,538,1132,2972,38.09%,724,332,23,17,1096
Commissioner of Agriculture,0357,837,575,1412,3517,40.15%,1010,318,27,22,1377
Commissioner of Agriculture,0358,213,254,467,2492,18.74%,48,399,6,4,457
Commissioner of Agriculture,0359,235,224,459,3061,15.00%,54,382,6,8,450
Commissioner of Agriculture,0360,524,380,904,2146,42.12%,467,352,26,8,853
Commissioner of Agriculture,0361,41,295,336,1673,20.08%,52,231,16,18,317
Commissioner of Agriculture,0362,1138,887,2025,5086,39.82%,1456,435,38,28,1957
Commissioner of Agriculture,0363,520,412,1032,3677,28.07%,453,527,20,13,1013
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0364,489,405,894,2658,33.63%,508,329,22,14,873
Commissioner of Agriculture,0365,478,231,709,1305,54.33%,51,631,9,5,696
Commissioner of Agriculture,0366,252,270,522,2454,21.27%,131,371,5,7,514
Commissioner of Agriculture,0367,170,138,308,1130,27.26%,64,227,8,5,304
Commissioner of Agriculture,0368,178,88,266,958,27.77%,75,183,3,0,261
Commissioner of Agriculture,0369,32,29,61,559,10.91%,19,39,1,1,60
Commissioner of Agriculture,0370,1532,1105,2637,6593,40.00%,1973,533,45,22,2573
Commissioner of Agriculture,0371,122,52,174,502,34.66%,6,158,1,4,169
Commissioner of Agriculture,0372,221,170,391,1224,31.94%,54,320,2,4,380
Commissioner of Agriculture,0373,21,12,33,157,21.02%,2,29,0,1,32
Commissioner of Agriculture,0374,85,93,158,738,21.41%,51,98,2,4,155
Commissioner of Agriculture,0375,254,220,474,2645,17.92%,229,204,11,8,452
Commissioner of Agriculture,0376,278,205,483,1910,25.29%,212,243,4,6,465
Commissioner of Agriculture,0377,525,583,1109,2920,37.98%,807,235,20,13,1075
Commissioner of Agriculture,0378,232,354,586,1829,32.04%,356,187,26,6,575
Commissioner of Agriculture,0379,432,289,721,2027,35.57%,69,623,3,11,706
Commissioner of Agriculture,0380,1303,995,2298,5666,40.56%,1215,956,47,32,2250
Commissioner of Agriculture,0381,412,248,660,2855,23.12%,307,314,8,8,637
Commissioner of Agriculture,0382,132,157,289,922,31.34%,210,66,7,2,285
Commissioner of Agriculture,0383,289,263,552,2173,25.40%,224,298,10,9,541
Commissioner of Agriculture,0384,573,373,946,2657,35.60%,187,707,11,8,913
Commissioner of Agriculture,0385,583,670,1253,2207,56.77%,975,209,19,9,1212
Commissioner of Agriculture,0386,662,469,1131,2922,38.71%,823,262,11,6,1102
Commissioner of Agriculture,0387,555,672,1227,3935,31.18%,879,287,21,15,1202
Commissioner of Agriculture,0388,1432,1010,2442,6888,35.45%,1383,950,51,19,2403
Commissioner of Agriculture,0389,91,208,299,1026,29.14%,42,216,13,10,281
Commissioner of Agriculture,0390,355,283,819,1480,41.82%,67,509,12,13,601
Commissioner of Agriculture,0391,508,260,768,1883,40.79%,485,238,8,17,748
Commissioner of Agriculture,0392,387,155,542,1446,37.48%,8,519,4,5,536
Commissioner of Agriculture,0393,165,185,350,1292,27.09%,159,165,14,5,343
Commissioner of Agriculture,0394,89,73,142,834,17.03%,67,65,4,2,138
Commissioner of Agriculture,0395,470,404,874,1846,47.35%,626,188,24,13,851
Commissioner of Agriculture,0396,623,216,839,2082,40.30%,16,807,3,0,826
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0397,85,78,164,760,21.58%,78,78,1,4,161
Commissioner of Agriculture,0398,615,521,1136,4022,28.24%,598,473,23,20,1114
Commissioner of Agriculture,0399,404,366,770,2791,27.59%,419,307,15,14,755
Commissioner of Agriculture,0400,520,359,979,2411,40.61%,710,201,25,14,950
Commissioner of Agriculture,0401,330,205,535,1913,27.97%,16,497,4,8,525
Commissioner of Agriculture,0402,466,266,732,1794,40.80%,35,667,6,10,718
Commissioner of Agriculture,0403,475,498,973,1715,56.73%,551,342,10,17,920
Commissioner of Agriculture,0404,419,330,749,2585,28.97%,426,278,16,10,730
Commissioner of Agriculture,0405,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0406,137,67,204,628,32.48%,5,196,0,1,202
Commissioner of Agriculture,0407,692,793,1485,3769,39.40%,978,399,21,30,1428
Commissioner of Agriculture,0408,146,153,299,1691,17.68%,143,139,7,4,293
Commissioner of Agriculture,0409,122,149,271,1459,18.57%,103,145,7,6,261
Commissioner of Agriculture,0410,132,80,212,899,23.58%,46,157,4,0,207
Commissioner of Agriculture,0411,235,200,435,2339,18.60%,149,260,8,5,422
Commissioner of Agriculture,0412,74,44,118,468,25.21%,7,106,0,0,113
Commissioner of Agriculture,0413,767,386,1153,2992,38.54%,449,651,9,10,1119
Commissioner of Agriculture,0414,654,480,1134,3453,32.84%,866,210,17,9,1102
Commissioner of Agriculture,0415,539,598,1137,2203,51.61%,752,305,33,24,1114
Commissioner of Agriculture,0416,538,558,1096,3791,28.91%,604,415,29,21,1069
Commissioner of Agriculture,0417,353,385,738,2448,30.15%,370,314,24,12,720
Commissioner of Agriculture,0418,404,469,873,3584,24.36%,357,459,16,13,845
Commissioner of Agriculture,0419,571,324,895,2658,33.67%,591,255,19,11,876
Commissioner of Agriculture,0420,1036,874,1910,4762,40.11%,1552,270,30,16,1868
Commissioner of Agriculture,0421,35,37,73,410,17.80%,25,41,2,3,71
Commissioner of Agriculture,0422,731,402,1133,3345,33.87%,30,1074,3,13,1120
Commissioner of Agriculture,0423,108,120,228,1376,16.57%,72,145,3,1,221
Commissioner of Agriculture,0424,240,111,351,967,36.30%,207,116,13,3,339
Commissioner of Agriculture,0425,107,123,230,883,26.05%,88,125,7,4,224
Commissioner of Agriculture,0426,260,183,443,1218,36.37%,257,160,9,1,427
Commissioner of Agriculture,0427,179,134,313,1092,28.66%,139,151,4,2,296
Commissioner of Agriculture,0428,619,421,1040,4538,22.92%,319,627,11,14,971
Commissioner of Agriculture,0429,445,314,759,3197,23.74%,199,502,10,13,724
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0430,161,133,294,1657,17.74%,84,183,8,7,282
Commissioner of Agriculture,0431,327,84,411,3417,12.03%,141,223,12,13,389
Commissioner of Agriculture,0432,123,157,280,1455,19.24%,99,152,17,7,275
Commissioner of Agriculture,0433,50,63,113,581,19.45%,24,72,5,4,105
Commissioner of Agriculture,0434,371,289,660,1503,43.91%,417,195,14,11,637
Commissioner of Agriculture,0435,856,636,1492,3252,45.88%,972,420,23,24,1439
Commissioner of Agriculture,0436,629,531,1160,2933,39.55%,734,354,22,9,1119
Commissioner of Agriculture,0437,521,512,1033,2033,50.81%,744,221,15,14,994
Commissioner of Agriculture,0438,619,389,1008,1861,54.16%,780,171,16,7,974
Commissioner of Agriculture,0439,710,884,1594,3554,44.85%,1143,333,31,19,1526
Commissioner of Agriculture,0440,664,858,1522,2930,51.95%,1204,211,30,13,1458
Commissioner of Agriculture,0441,345,420,765,1669,45.84%,597,126,12,2,737
Commissioner of Agriculture,0442,612,574,1186,2575,46.06%,981,157,15,10,1163
Commissioner of Agriculture,0443,227,138,365,646,56.50%,268,71,9,5,353
Commissioner of Agriculture,0444,687,583,1270,3262,38.93%,786,375,38,22,1221
Commissioner of Agriculture,0445,499,348,847,2026,41.81%,577,224,18,8,827
Commissioner of Agriculture,0446,31,22,53,291,18.21%,24,26,0,0,50
Commissioner of Agriculture,0447,93,86,179,637,28.10%,50,112,9,3,174
Commissioner of Agriculture,0448,590,778,1368,3138,43.59%,744,490,46,29,1309
Commissioner of Agriculture,0449,12,23,35,198,17.68%,3,31,0,0,34
Commissioner of Agriculture,0450,436,328,764,2635,28.99%,235,489,12,15,751
Commissioner of Agriculture,0451,1002,510,1512,2687,56.27%,1246,194,17,12,1469
Commissioner of Agriculture,0452,554,444,998,3048,32.74%,712,233,24,9,978
Commissioner of Agriculture,0453,231,262,493,1937,25.45%,198,262,8,7,475
Commissioner of Agriculture,0454,594,248,842,2561,32.88%,12,811,3,3,829
Commissioner of Agriculture,0455,367,165,532,1689,31.50%,15,497,3,11,526
Commissioner of Agriculture,0456,482,362,844,3513,24.03%,487,324,9,8,828
Commissioner of Agriculture,0457,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0458,471,237,708,1924,36.80%,28,650,6,8,692
Commissioner of Agriculture,0459,951,474,1425,3021,47.17%,1119,242,26,15,1402
Commissioner of Agriculture,0460,554,331,885,2837,31.19%,225,617,12,18,872
Commissioner of Agriculture,0461,1165,735,1900,3871,49.08%,1346,421,42,20,1829
Commissioner of Agriculture,0462,675,619,1294,3384,38.24%,478,738,16,27,1259
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0463,481,404,885,3326,26.61%,401,424,28,16,869
Commissioner of Agriculture,0464,356,430,786,2257,34.82%,546,192,25,8,771
Commissioner of Agriculture,0465,688,520,1208,3564,33.89%,670,477,25,16,1188
Commissioner of Agriculture,0466,1058,614,1672,4184,39.96%,973,641,17,13,1644
Commissioner of Agriculture,0467,213,189,402,1270,31.65%,92,290,8,4,394
Commissioner of Agriculture,0468,352,443,795,3598,22.10%,239,511,7,14,771
Commissioner of Agriculture,0469,1299,547,1846,3985,46.32%,1453,297,26,22,1798
Commissioner of Agriculture,0470,185,176,361,1326,27.22%,260,70,12,8,350
Commissioner of Agriculture,0471,375,380,755,2387,31.63%,591,122,19,14,746
Commissioner of Agriculture,0472,198,278,476,1081,44.03%,202,223,13,14,452
Commissioner of Agriculture,0473,603,391,994,1806,55.04%,700,243,19,10,972
Commissioner of Agriculture,0474,559,588,1147,3037,37.77%,778,292,35,18,1123
Commissioner of Agriculture,0475,189,267,456,1809,25.21%,214,212,7,7,440
Commissioner of Agriculture,0476,404,473,877,2430,36.09%,476,343,19,14,852
Commissioner of Agriculture,0477,737,567,1304,3505,37.20%,954,269,37,16,1276
Commissioner of Agriculture,0478,958,657,1615,4461,36.20%,1092,438,30,19,1579
Commissioner of Agriculture,0479,840,612,1252,2714,46.13%,911,254,36,14,1215
Commissioner of Agriculture,0480,493,450,943,2415,39.05%,663,218,27,12,920
Commissioner of Agriculture,0481,770,623,1393,3482,40.01%,1050,273,17,16,1356
Commissioner of Agriculture,0482,878,630,1508,4373,34.48%,1049,358,54,14,1475
Commissioner of Agriculture,0483,1043,478,1521,4308,35.31%,872,544,36,30,1482
Commissioner of Agriculture,0484,1107,930,2037,4979,40.91%,1452,475,44,18,1989
Commissioner of Agriculture,0485,1095,911,2006,5388,37.23%,1530,379,46,22,1977
Commissioner of Agriculture,0486,873,855,1728,3866,44.70%,1335,296,42,15,1688
Commissioner of Agriculture,0487,570,294,864,3860,22.38%,301,485,13,12,811
Commissioner of Agriculture,0488,268,254,522,1719,30.37%,197,281,7,10,495
Commissioner of Agriculture,0489,350,290,640,1893,33.81%,208,383,15,14,620
Commissioner of Agriculture,0490,444,368,812,1975,41.11%,289,468,8,23,788
Commissioner of Agriculture,0491,315,372,687,1888,36.39%,409,231,22,6,668
Commissioner of Agriculture,0492,556,410,966,2335,41.37%,595,310,17,18,940
Commissioner of Agriculture,0493,480,322,802,1853,43.28%,535,211,14,9,769
Commissioner of Agriculture,0494,381,247,628,2467,25.46%,74,526,7,7,614
Commissioner of Agriculture,0495,522,523,1045,2375,44.00%,739,233,27,11,1010
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0496,190,315,505,2160,23.38%,196,279,7,7,489
Commissioner of Agriculture,0497,526,243,769,2257,34.07%,22,725,3,3,753
Commissioner of Agriculture,0498,363,323,686,2297,29.87%,302,337,21,13,673
Commissioner of Agriculture,0499,751,518,1269,2326,54.56%,936,252,29,14,1231
Commissioner of Agriculture,0500,729,715,1444,3507,41.17%,980,381,33,20,1414
Commissioner of Agriculture,0501,341,417,758,1801,42.09%,272,403,36,22,733
Commissioner of Agriculture,0502,477,350,827,2501,33.07%,665,125,10,8,808
Commissioner of Agriculture,0503,174,116,290,1374,21.11%,107,151,10,5,273
Commissioner of Agriculture,0504,624,527,1151,2288,50.31%,743,321,36,16,1116
Commissioner of Agriculture,0505,531,562,1193,3773,31.62%,526,549,41,28,1144
Commissioner of Agriculture,0506,665,670,1335,3502,38.12%,224,1036,16,22,1298
Commissioner of Agriculture,0507,221,149,370,2452,15.09%,74,228,5,2,309
Commissioner of Agriculture,0508,492,412,904,3287,27.50%,329,483,23,12,847
Commissioner of Agriculture,0509,754,596,1350,3732,36.17%,939,315,34,22,1310
Commissioner of Agriculture,0510,689,514,1203,3590,33.51%,605,509,37,22,1173
Commissioner of Agriculture,0511,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0512,602,660,1262,5057,24.96%,581,602,38,21,1242
Commissioner of Agriculture,0513,1019,487,1506,2894,52.04%,1161,269,27,14,1471
Commissioner of Agriculture,0514,954,720,1674,4275,39.16%,1255,320,51,14,1640
Commissioner of Agriculture,0515,943,683,1626,3455,47.06%,1319,233,29,12,1593
Commissioner of Agriculture,0516,1001,800,1801,5356,33.63%,952,730,45,31,1758
Commissioner of Agriculture,0517,482,256,738,2954,24.98%,413,272,23,13,721
Commissioner of Agriculture,0518,635,693,1328,3943,33.68%,845,396,35,17,1293
Commissioner of Agriculture,0519,623,493,1116,2966,37.63%,807,246,29,17,1099
Commissioner of Agriculture,0520,474,457,931,4580,20.33%,169,717,14,12,912
Commissioner of Agriculture,0521,471,464,935,2866,32.62%,482,385,27,14,908
Commissioner of Agriculture,0522,715,572,1288,2689,47.90%,976,238,37,13,1264
Commissioner of Agriculture,0523,751,415,1166,3052,38.20%,774,312,40,16,1142
Commissioner of Agriculture,0524,568,459,1027,3410,30.12%,350,627,13,8,998
Commissioner of Agriculture,0525,707,482,1189,3091,38.47%,279,838,16,24,1157
Commissioner of Agriculture,0526,58,84,152,780,19.49%,43,94,3,3,143
Commissioner of Agriculture,0527,37,40,77,574,13.41%,36,32,3,5,76
Commissioner of Agriculture,0528,14,12,26,90,28.89%,1,23,1,0,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0529,1043,491,1534,3710,41.35%,1305,163,21,15,1504
Commissioner of Agriculture,0530,114,107,221,1196,18.48%,47,151,6,2,206
Commissioner of Agriculture,0531,363,174,537,1145,46.90%,413,100,5,3,521
Commissioner of Agriculture,0532,205,146,351,1048,33.49%,250,84,5,8,347
Commissioner of Agriculture,0533,124,108,232,1119,20.73%,126,82,11,4,223
Commissioner of Agriculture,0534,783,524,1307,3837,34.06%,976,247,28,21,1272
Commissioner of Agriculture,0535,33,29,62,416,14.90%,26,33,2,0,61
Commissioner of Agriculture,0536,554,780,1334,5139,25.96%,511,752,23,11,1297
Commissioner of Agriculture,0537,857,778,1635,3050,53.61%,1202,368,23,7,1600
Commissioner of Agriculture,0538,204,160,364,1303,27.94%,9,342,3,4,358
Commissioner of Agriculture,0539,15,241,256,64,400.00%,77,154,11,2,244
Commissioner of Agriculture,0540,378,316,694,1567,44.29%,292,346,10,8,656
Commissioner of Agriculture,0541,789,505,1294,4599,28.14%,187,1016,27,27,1257
Commissioner of Agriculture,0542,360,382,742,2557,29.02%,48,657,6,7,718
Commissioner of Agriculture,0543,141,213,354,1565,22.62%,115,211,10,5,341
Commissioner of Agriculture,0544,36,41,77,310,24.84%,10,64,0,0,74
Commissioner of Agriculture,0545,596,620,1216,3629,33.51%,606,542,21,8,1177
Commissioner of Agriculture,0546,2,2,4,37,10.81%,2,0,1,0,3
Commissioner of Agriculture,0547,501,466,967,2406,40.19%,665,228,35,17,945
Commissioner of Agriculture,0548,285,293,579,2215,26.14%,294,252,12,11,569
Commissioner of Agriculture,0549,343,418,761,2663,28.58%,106,626,6,6,744
Commissioner of Agriculture,0550,501,431,932,3031,30.75%,525,351,21,13,910
Commissioner of Agriculture,0551,1288,1394,2682,7034,38.13%,2008,541,61,22,2632
Commissioner of Agriculture,0552,847,883,1730,3415,50.66%,1436,221,26,12,1695
Commissioner of Agriculture,0553,579,529,1108,4686,23.64%,497,549,25,12,1083
Commissioner of Agriculture,0554,261,199,460,1757,26.18%,97,322,7,7,433
Commissioner of Agriculture,0555,225,277,502,2219,22.62%,108,364,13,6,491
Commissioner of Agriculture,0556,276,186,462,2319,19.92%,141,292,4,13,450
Commissioner of Agriculture,0557,455,183,638,2830,22.54%,268,285,6,14,573
Commissioner of Agriculture,0558,694,463,1157,4380,26.42%,393,682,28,25,1128
Commissioner of Agriculture,0559,641,494,1135,4969,22.84%,337,718,21,32,1108
Commissioner of Agriculture,0560,72,131,203,1120,18.13%,49,133,3,5,190
Commissioner of Agriculture,0561,362,436,798,3064,26.04%,482,267,15,16,780
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0562,113,68,181,694,26.08%,22,152,1,2,177
Commissioner of Agriculture,0563,1108,376,1484,3105,47.79%,1164,248,24,13,1449
Commissioner of Agriculture,0564,471,426,897,3155,28.43%,239,573,27,24,863
Commissioner of Agriculture,0565,108,78,186,1354,13.74%,39,126,8,4,177
Commissioner of Agriculture,0566,418,324,742,2882,25.75%,219,466,18,24,727
Commissioner of Agriculture,0567,301,193,494,2238,22.07%,162,278,8,13,461
Commissioner of Agriculture,0568,876,685,1561,3594,43.43%,1022,425,39,23,1509
Commissioner of Agriculture,0569,575,667,1242,3525,35.23%,671,482,26,20,1199
Commissioner of Agriculture,0570,239,210,449,1562,28.75%,153,238,21,13,425
Commissioner of Agriculture,0571,155,149,304,1827,16.64%,118,169,3,5,295
Commissioner of Agriculture,0572,556,375,931,3108,29.95%,478,400,23,11,912
Commissioner of Agriculture,0573,290,151,441,1619,27.24%,5,425,0,5,435
Commissioner of Agriculture,0574,31,42,73,402,18.16%,9,62,1,1,73
Commissioner of Agriculture,0575,13,11,24,74,32.43%,16,5,1,1,23
Commissioner of Agriculture,0576,485,318,804,2734,29.41%,20,755,2,11,788
Commissioner of Agriculture,0577,148,88,236,608,38.82%,143,83,2,2,230
Commissioner of Agriculture,0578,409,538,947,1799,52.64%,581,303,24,12,920
Commissioner of Agriculture,0579,76,101,177,1056,16.76%,33,135,1,1,170
Commissioner of Agriculture,0580,179,118,297,1031,28.81%,5,284,0,1,290
Commissioner of Agriculture,0581,212,174,385,1032,37.40%,8,368,3,0,379
Commissioner of Agriculture,0582,258,171,429,1588,27.02%,21,391,1,6,419
Commissioner of Agriculture,0583,225,131,356,1262,28.21%,6,335,2,6,349
Commissioner of Agriculture,0584,182,93,275,1014,27.12%,10,257,2,1,270
Commissioner of Agriculture,0585,417,172,589,2511,23.46%,16,555,4,6,581
Commissioner of Agriculture,0586,638,680,1318,4316,30.54%,779,456,36,13,1284
Commissioner of Agriculture,0587,439,284,723,2598,27.83%,285,406,13,7,711
Commissioner of Agriculture,0588,758,674,1432,3645,39.29%,1010,335,47,13,1405
Commissioner of Agriculture,0589,500,386,886,3420,25.91%,480,351,23,11,865
Commissioner of Agriculture,0590,773,399,1172,2162,54.21%,909,209,24,8,1150
Commissioner of Agriculture,0591,183,231,414,2121,19.52%,115,266,10,8,399
Commissioner of Agriculture,0592,133,157,290,1350,21.48%,78,199,2,5,284
Commissioner of Agriculture,0593,544,564,1108,4380,25.30%,526,495,31,23,1075
Commissioner of Agriculture,0594,551,325,887,2490,35.62%,243,605,15,12,875
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0595,201,178,379,1693,22.39%,68,293,6,3,370
Commissioner of Agriculture,0596,441,348,789,3007,26.24%,419,314,21,16,770
Commissioner of Agriculture,0597,367,394,761,3653,20.83%,323,400,19,9,751
Commissioner of Agriculture,0598,195,57,252,728,34.62%,202,37,3,4,246
Commissioner of Agriculture,0599,850,578,1428,4950,28.85%,499,858,22,19,1398
Commissioner of Agriculture,0600,667,429,1096,3957,27.70%,429,597,24,12,1062
Commissioner of Agriculture,0601,1074,756,1830,4057,45.11%,1377,360,40,16,1793
Commissioner of Agriculture,0602,293,235,528,1326,39.82%,390,111,12,10,523
Commissioner of Agriculture,0603,554,794,1678,4843,34.65%,1034,527,60,24,1645
Commissioner of Agriculture,0604,702,518,1220,3005,40.60%,995,170,25,9,1199
Commissioner of Agriculture,0605,907,556,1463,5582,26.21%,360,1040,16,23,1439
Commissioner of Agriculture,0606,176,70,246,937,26.25%,2,238,1,1,242
Commissioner of Agriculture,0607,52,51,113,728,15.52%,12,93,0,2,107
Commissioner of Agriculture,0608,31,47,78,537,14.53%,43,27,1,1,72
Commissioner of Agriculture,0609,557,680,1347,3384,39.80%,830,429,28,16,1303
Commissioner of Agriculture,0610,231,188,419,1927,21.74%,213,165,13,6,397
Commissioner of Agriculture,0611,495,242,737,2488,29.62%,21,691,2,7,721
Commissioner of Agriculture,0612,996,497,1493,3307,45.15%,1115,282,29,19,1445
Commissioner of Agriculture,0613,186,204,390,1554,25.10%,62,312,4,9,387
Commissioner of Agriculture,0514,737,555,1303,4207,30.97%,495,749,15,16,1275
Commissioner of Agriculture,0615,450,299,779,1967,39.60%,486,247,22,10,765
Commissioner of Agriculture,0616,739,663,1402,3436,40.80%,969,348,31,17,1365
Commissioner of Agriculture,0617,541,393,934,3809,24.52%,373,521,17,11,922
Commissioner of Agriculture,0618,946,567,1513,6003,25.20%,738,682,36,21,1477
Commissioner of Agriculture,0619,1219,803,2022,4297,47.06%,1483,400,60,33,1976
Commissioner of Agriculture,0620,689,264,953,2897,32.90%,613,299,10,6,928
Commissioner of Agriculture,0621,154,101,255,1133,22.51%,139,95,5,8,247
Commissioner of Agriculture,0622,881,524,1405,4403,31.91%,847,470,30,19,1366
Commissioner of Agriculture,0623,887,487,1374,3691,37.23%,934,362,30,16,1342
Commissioner of Agriculture,0624,1,1,2,3,66.67%,1,1,0,0,2
Commissioner of Agriculture,0625,477,362,839,1820,46.10%,483,296,18,19,816
Commissioner of Agriculture,0626,551,440,1021,2861,35.69%,567,376,21,17,981
Commissioner of Agriculture,0627,345,322,668,3049,21.91%,240,385,10,11,646
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0628,152,219,371,1675,22.15%,192,162,7,3,364
Commissioner of Agriculture,0629,37,53,90,696,12.93%,16,73,0,1,90
Commissioner of Agriculture,0630,975,600,1575,3905,40.36%,109,1394,19,24,1546
Commissioner of Agriculture,0631,822,404,1226,2846,43.08%,890,270,28,13,1201
Commissioner of Agriculture,0632,7,4,11,343,3.21%,3,7,1,0,11
Commissioner of Agriculture,0633,945,731,1676,3559,47.09%,1194,405,31,12,1642
Commissioner of Agriculture,0634,458,442,900,3029,29.71%,571,266,34,13,884
Commissioner of Agriculture,0635,743,485,1228,3393,36.19%,885,253,39,22,1199
Commissioner of Agriculture,0636,835,874,1710,4140,41.30%,1472,175,26,9,1682
Commissioner of Agriculture,0637,409,362,771,2512,30.69%,187,516,16,14,733
Commissioner of Agriculture,0638,304,245,549,2204,24.91%,44,477,7,7,535
Commissioner of Agriculture,0639,549,547,1096,2526,43.39%,870,162,26,10,1068
Commissioner of Agriculture,0640,641,459,1100,3733,29.47%,668,363,34,12,1077
Commissioner of Agriculture,0641,649,596,1245,3650,34.11%,813,364,31,17,1225
Commissioner of Agriculture,0642,472,394,866,1764,49.09%,694,136,14,3,847
Commissioner of Agriculture,0643,934,653,1587,5945,26.69%,610,891,28,19,1548
Commissioner of Agriculture,0644,1020,823,1843,5523,33.37%,1188,531,46,25,1790
Commissioner of Agriculture,0645,655,594,1249,4185,29.84%,664,490,35,22,1211
Commissioner of Agriculture,0646,364,287,651,2220,29.32%,205,395,6,11,617
