Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wesley Ward,DEM Barbara Gardner,Totals
"District Judge, 234th Judicial District",0359,234,224,458,3061,14.96%,57,391,448
"District Judge, 234th Judicial District",0360,522,380,902,2146,42.03%,465,356,821
"District Judge, 234th Judicial District",0361,41,295,336,1673,20.08%,50,249,299
"District Judge, 234th Judicial District",0362,1138,887,2025,5086,39.82%,1484,440,1924
"District Judge, 234th Judicial District",0363,620,412,1032,3677,28.07%,462,545,1007
"District Judge, 234th Judicial District",0364,488,405,893,2658,33.60%,505,346,851
"District Judge, 234th Judicial District",0365,478,231,709,1305,54.33%,54,636,690
"District Judge, 234th Judicial District",0366,252,270,522,2454,21.27%,128,380,508
"District Judge, 234th Judicial District",0367,170,138,308,1130,27.26%,66,236,302
"District Judge, 234th Judicial District",0368,178,88,266,958,27.77%,73,182,255
"District Judge, 234th Judicial District",0369,32,29,61,559,10.91%,15,45,60
"District Judge, 234th Judicial District",0370,1532,1105,2637,6593,40.00%,1992,555,2547
"District Judge, 234th Judicial District",0371,122,52,174,502,34.66%,7,161,168
"District Judge, 234th Judicial District",0372,221,170,391,1224,31.94%,47,331,378
"District Judge, 234th Judicial District",0373,21,12,33,157,21.02%,1,30,31
"District Judge, 234th Judicial District",0374,85,93,158,738,21.41%,56,98,154
"District Judge, 234th Judicial District",0375,254,220,474,2645,17.92%,234,204,438
"District Judge, 234th Judicial District",0376,278,205,483,1910,25.29%,209,254,463
"District Judge, 234th Judicial District",0377,525,583,1109,2920,37.98%,809,246,1055
"District Judge, 234th Judicial District",0378,232,354,586,1829,32.04%,365,195,560
"District Judge, 234th Judicial District",0379,431,289,720,2027,35.52%,70,634,704
"District Judge, 234th Judicial District",0380,1299,995,2294,5666,40.49%,1253,979,2232
"District Judge, 234th Judicial District",0381,412,248,660,2855,23.12%,310,326,636
"District Judge, 234th Judicial District",0382,132,157,289,922,31.34%,210,69,279
"District Judge, 234th Judicial District",0383,289,263,552,2173,25.40%,222,312,534
"District Judge, 234th Judicial District",0384,573,373,946,2657,35.60%,194,714,908
"District Judge, 234th Judicial District",0385,583,670,1253,2207,56.77%,971,213,1184
"District Judge, 234th Judicial District",0386,662,469,1131,2922,38.71%,828,260,1088
"District Judge, 234th Judicial District",0387,555,672,1227,3935,31.18%,888,299,1187
"District Judge, 234th Judicial District",0388,1430,1010,2440,6888,35.42%,1407,963,2370
"District Judge, 234th Judicial District",0389,91,208,299,1026,29.14%,42,236,278
"District Judge, 234th Judicial District",0390,356,263,619,1480,41.82%,77,518,595
"District Judge, 234th Judicial District",0391,508,260,768,1883,40.79%,481,249,730
"District Judge, 234th Judicial District",0392,387,155,542,1446,37.48%,7,527,534
"District Judge, 234th Judicial District",0393,165,185,350,1292,27.09%,158,182,340
"District Judge, 234th Judicial District",0394,69,73,142,834,17.03%,72,63,135
"District Judge, 234th Judicial District",0395,469,404,873,1846,47.29%,630,195,825
"District Judge, 234th Judicial District",0396,622,216,838,2082,40.25%,21,805,826
"District Judge, 234th Judicial District",0397,86,78,164,760,21,58%,79,81,160
"District Judge, 234th Judicial District",0398,615,521,1136,4022,28.24%,609,502,1111
"District Judge, 234th Judicial District",0399,402,366,768,2791,27.52%,421,328,749
"District Judge, 234th Judicial District",0400,620,359,979,2411,40.61%,708,221,929
"District Judge, 234th Judicial District",0401,330,205,535,1913,27.97%,19,506,525
"District Judge, 234th Judicial District",0402,466,266,732,1794,40.80%,37,679,716
"District Judge, 234th Judicial District",0403,475,498,973,1715,56.73%,529,358,887
"District Judge, 234th Judicial District",0404,419,330,749,2585,28.97%,441,279,720
"District Judge, 234th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"District Judge, 234th Judicial District",0406,137,67,204,628,32.48%,3,198,201
"District Judge, 234th Judicial District",0407,688,793,1481,3769,39.29%,993,401,1394
"District Judge, 234th Judicial District",0408,146,153,299,1691,17.68%,143,141,284
"District Judge, 234th Judicial District",0409,122,149,271,1459,18.57%,110,151,261
"District Judge, 234th Judicial District",0410,132,80,212,899,23.58%,43,160,203
"District Judge, 234th Judicial District",0411,235,200,435,2339,18.60%,159,261,420
"District Judge, 234th Judicial District",0412,74,44,118,468,25.21%,8,105,113
"District Judge, 234th Judicial District",0413,767,386,1153,2992,38.54%,457,650,1107
"District Judge, 234th Judicial District",0414,654,480,1134,3453,32.84%,873,221,1094
"District Judge, 234th Judicial District",0415,539,598,1137,2203,51.61%,758,332,1090
"District Judge, 234th Judicial District",0416,538,558,1096,3791,28.91%,609,447,1056
"District Judge, 234th Judicial District",041,7,353,385,738,2448,30.15%,370,333,703
"District Judge, 234th Judicial District",0418,403,469,872,3584,24.33%,360,472,832
"District Judge, 234th Judicial District",0419,571,324,895,2658,33.67%,596,261,857
"District Judge, 234th Judicial District",0420,1036,874,1910,4762,40.11%,1558,282,1840
"District Judge, 234th Judicial District",0421,36,37,73,410,17.80%,23,45,68
"District Judge, 234th Judicial District",0422,731,402,1133,3345,33.87%,29,1083,1112
"District Judge, 234th Judicial District",0423,108,120,228,1376,16.57%,73,145,218
"District Judge, 234th Judicial District",0424,240,111,351,967,36.30%,208,124,332
"District Judge, 234th Judicial District",0425,107,123,230,883,26.05%,89,133,222
"District Judge, 234th Judicial District",0426,260,183,443,1218,36.37%,255,164,419
"District Judge, 234th Judicial District",0427,179,134,313,1092,28.66%,136,154,290
"District Judge, 234th Judicial District",0428,619,421,1040,4538,22.92%,330,635,965
"District Judge, 234th Judicial District",0429,445,314,759,3197,23.74%,211,509,720
"District Judge, 234th Judicial District",0430,161,133,294,1657,17.74%,85,194,279
"District Judge, 234th Judicial District",0431,327,84,411,3417,12.03%,149,244,393
"District Judge, 234th Judicial District",0432,123,157,280,1455,19.24%,105,163,268
"District Judge, 234th Judicial District",0433,50,63,113,581,19.45%,24,86,110
"District Judge, 234th Judicial District",0434,370,289,659,1503,43.85%,421,199,620
"District Judge, 234th Judicial District",0435,855,636,1491,3252,45.85%,973,440,1413
"District Judge, 234th Judicial District",0436,629,531,1160,2933,39.55%,718,377,1095
"District Judge, 234th Judicial District",0437,521,512,1033,2033,50.81%,725,246,971
"District Judge, 234th Judicial District",0438,517,389,1006,1861,54.06%,766,180,946
"District Judge, 234th Judicial District",0439,710,884,1594,3554,44.85%,1162,343,1505
"District Judge, 234th Judicial District",0440,664,858,1522,2930,51.95%,1207,232,1439
"District Judge, 234th Judicial District",0441,345,420,765,1669,45.84%,583,135,718
"District Judge, 234th Judicial District",0442,612,574,1186,2575,46.06%,978,163,1141
"District Judge, 234th Judicial District",0443,225,138,354,646,56.35%,260,85,345
"District Judge, 234th Judicial District",0444,587,583,1270,3262,38.93%,807,385,1192
"District Judge, 234th Judicial District",0445,499,348,847,2026,41.81%,575,237,812
"District Judge, 234th Judicial District",0446,31,22,53,291,18.21%,24,25,49
"District Judge, 234th Judicial District",0447,93,86,179,637,28.10%,52,119,171
"District Judge, 234th Judicial District",0448,590,778,1368,3138,43.59%,753,529,1282
"District Judge, 234th Judicial District",0449,12,23,35,198,17.68%,4,30,34
"District Judge, 234th Judicial District",0450,435,328,763,2635,28.96%,241,492,733
"District Judge, 234th Judicial District",0451,1002,510,1512,2687,56.27%,1236,212,1448
"District Judge, 234th Judicial District",0452,554,444,998,3048,32.74%,734,231,965
"District Judge, 234th Judicial District",0453,231,262,493,1937,25.45%,194,277,471
"District Judge, 234th Judicial District",0454,594,248,842,2561,32.88%,9,820,829
"District Judge, 234th Judicial District",0455,367,165,532,1689,31.50%,21,504,525
"District Judge, 234th Judicial District",0456,482,362,844,3513,24.03%,494,328,822
"District Judge, 234th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 234th Judicial District",0458,471,237,708,1924,36.80%,28,661,689
"District Judge, 234th Judicial District",0459,951,474,1425,3021,47.17%,1122,250,1372
"District Judge, 234th Judicial District",0460,554,331,885,2837,31.19%,229,640,869
"District Judge, 234th Judicial District",0461,1155,735,1900,3871,49.08%,1327,450,1777
"District Judge, 234th Judicial District",0462,674,619,1293,3384,38.21%,474,759,1233
"District Judge, 234th Judicial District",0463,480,404,884,3326,26.58%,409,448,857
"District Judge, 234th Judicial District",0464,356,430,786,2257,34.82%,563,199,762
"District Judge, 234th Judicial District",0465,687,520,1207,3564,33.87%,687,481,1168
"District Judge, 234th Judicial District",0466,1058,614,1672,4184,39.96%,984,636,1620
"District Judge, 234th Judicial District",0467,213,189,402,1270,31.65%,98,294,392
"District Judge, 234th Judicial District",0468,352,443,795,3598,22.10%,248,519,767
"District Judge, 234th Judicial District",0469,1294,547,1841,3985,46.20%,1466,297,1763
"District Judge, 234th Judicial District",0470,185,176,361,1326,27.22%,269,73,342
"District Judge, 234th Judicial District",0471,375,380,755,2387,31.63%,600,134,734
"District Judge, 234th Judicial District",0472,198,278,476,1081,44.03%,203,238,441
"District Judge, 234th Judicial District",0473,599,391,990,1806,54.82%,691,250,941
"District Judge, 234th Judicial District",0474,559,588,1147,3037,37.77%,791,315,1106
"District Judge, 234th Judicial District",0475,189,267,456,1809,25.21%,217,223,440
"District Judge, 234th Judicial District",0476,404,473,877,2430,36.09%,487,357,844
"District Judge, 234th Judicial District",0477,737,567,1304,3505,37.20%,979,278,1257
"District Judge, 234th Judicial District",0478,958,657,1615,4461,36.20%,1092,452,1544
"District Judge, 234th Judicial District",0479,638,612,1250,2714,46.06%,927,274,1201
"District Judge, 234th Judicial District",0480,493,450,943,2415,39.05%,679,227,906
"District Judge, 234th Judicial District",0481,770,623,1393,3482,40.01%,1063,273,1336
"District Judge, 234th Judicial District",0482,878,630,1508,4373,34.48%,1084,370,1454
"District Judge, 234th Judicial District",0483,1042,478,1520,4308,35.28%,890,572,1462
"District Judge, 234th Judicial District",0484,1107,930,2037,4979,40.91%,1468,505,1973
"District Judge, 234th Judicial District",0485,1095,911,2006,5388,37.23%,1555,395,1950
"District Judge, 234th Judicial District",0486,873,855,1728,3866,44.70%,1355,304,1659
"District Judge, 234th Judicial District",0487,570,294,864,3860,22.38%,311,481,792
"District Judge, 234th Judicial District",0488,268,254,522,1719,30.37%,195,292,487
"District Judge, 234th Judicial District",0489,350,290,640,1893,33.81%,214,396,610
"District Judge, 234th Judicial District",0490,444,368,812,1975,41.11%,283,497,780
"District Judge, 234th Judicial District",0491,314,372,686,1888,36.33%,407,250,657
"District Judge, 234th Judicial District",0492,556,410,966,2335,41.37%,590,331,921
"District Judge, 234th Judicial District",0493,479,322,801,1853,43.23%,540,218,758
"District Judge, 234th Judicial District",0494,381,247,628,2467,25.46%,78,537,615
"District Judge, 234th Judicial District",0495,522,523,1045,2375,44.00%,749,237,986
"District Judge, 234th Judicial District",0496,190,315,505,2160,23.38%,191,297,488
"District Judge, 234th Judicial District",0497,526,243,769,2257,34.07%,25,725,750
"District Judge, 234th Judicial District",0498,363,323,686,2297,29.87%,303,368,671
"District Judge, 234th Judicial District",0499,750,518,1268,2326,54.51%,938,261,1199
"District Judge, 234th Judicial District",0500,729,715,1444,3507,41.17%,1003,385,1388
"District Judge, 234th Judicial District",0501,341,417,758,1801,42.09%,278,429,707
"District Judge, 234th Judicial District",0502,477,350,827,2501,33.07%,670,128,798
"District Judge, 234th Judicial District",0503,174,116,290,1374,21.11%,108,162,270
"District Judge, 234th Judicial District",0504,524,527,1151,2288,50.31%,744,338,1082
"District Judge, 234th Judicial District",0505,531,562,1193,3773,31.62%,531,593,1124
"District Judge, 234th Judicial District",0506,665,670,1335,3502,38.12%,233,1054,1287
"District Judge, 234th Judicial District",0507,221,149,370,2452,15.09%,74,227,301
"District Judge, 234th Judicial District",0508,492,412,904,3287,27.50%,342,500,842
"District Judge, 234th Judicial District",0509,753,596,1349,3732,36.15%,938,348,1286
"District Judge, 234th Judicial District",0510,687,514,1201,3590,33.45%,608,544,1152
"District Judge, 234th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"District Judge, 234th Judicial District",0512,602,660,1262,5057,24.96%,601,626,1227
"District Judge, 234th Judicial District",0513,1019,487,1506,2894,52.04%,1168,272,1440
"District Judge, 234th Judicial District",0514,953,720,1673,4275,39.13%,1271,344,1615
"District Judge, 234th Judicial District",0515,942,683,1625,3455,47.03%,1307,248,1555
"District Judge, 234th Judicial District",0516,1000,800,1800,5356,33.61%,943,783,1726
"District Judge, 234th Judicial District",0517,481,256,737,2954,24.95%,420,294,714
"District Judge, 234th Judicial District",0518,635,693,1328,3943,33.68%,876,397,1273
"District Judge, 234th Judicial District",0519,623,493,1116,2966,37.63%,826,249,1075
"District Judge, 234th Judicial District",0520,473,457,930,4580,20.31%,170,741,911
"District Judge, 234th Judicial District",0521,471,464,935,2866,32.62%,505,396,901
"District Judge, 234th Judicial District",0522,715,572,1,288,2689,47.90%,998,246,1244
"District Judge, 234th Judicial District",0523,751,415,1166,3052,38.20%,794,322,1116
"District Judge, 234th Judicial District",0524,567,459,1026,3410,30.09%,358,631,989
"District Judge, 234th Judicial District",0525,707,482,1189,3091,38.47%,269,866,1135
"District Judge, 234th Judicial District",0526,58,84,152,780,19.49%,46,96,142
"District Judge, 234th Judicial District",0527,37,40,77,574,13.41%,41,32,73
"District Judge, 234th Judicial District",0528,14,12,26,90,28.89%,2,23,25
"District Judge, 234th Judicial District",0529,1043,491,1534,3710,41.35%,1319,158,1477
"District Judge, 234th Judicial District",0530,114,107,221,1196,18.48%,53,152,205
"District Judge, 234th Judicial District",0531,363,174,537,1145,46.90%,416,101,517
"District Judge, 234th Judicial District",0532,205,146,351,1048,33.49%,253,89,342
"District Judge, 234th Judicial District",0533,124,108,232,1119,20.73%,137,84,221
"District Judge, 234th Judicial District",0534,783,524,1,307,3837,34.06%,990,261,1251
"District Judge, 234th Judicial District",0535,33,29,62,416,14.90%,30,30,60
"District Judge, 234th Judicial District",0536,554,780,1334,5139,25.96%,514,774,1288
"District Judge, 234th Judicial District",0537,855,778,1633,3050,53.54%,1196,367,1563
"District Judge, 234th Judicial District",0538,204,160,364,1303,27.94%,7,350,357
"District Judge, 234th Judicial District",0539,15,241,256,64,400.00%,73,164,237
"District Judge, 234th Judicial District",0540,378,316,694,1567,44.29%,284,356,640
"District Judge, 234th Judicial District",0541,784,505,1289,4599,28.03%,186,1047,1233
"District Judge, 234th Judicial District",0542,360,382,742,2557,29.02%,44,667,711
"District Judge, 234th Judicial District",0543,141,213,354,1565,22.62%,115,219,334
"District Judge, 234th Judicial District",0544,35,41,77,310,24.84%,12,63,75
"District Judge, 234th Judicial District",0545,596,620,1216,3629,33.51%,618,551,1169
"District Judge, 234th Judicial District",0546,2,2,4,37,10.81%,2,1,3
"District Judge, 234th Judicial District",0547,501,466,967,2406,40.19%,673,253,926
"District Judge, 234th Judicial District",0548,286,293,579,2215,26.14%,305,259,564
"District Judge, 234th Judicial District",0549,343,418,761,2663,28.58%,108,637,745
"District Judge, 234th Judicial District",0550,501,431,932,3031,30.75%,530,373,903
"District Judge, 234th Judicial District",0551,1288,1394,2682,7034,38.13%,2024,584,2608
"District Judge, 234th Judicial District",0552,847,883,1730,3415,50.66%,1446,230,1676
"District Judge, 234th Judicial District",0553,578,529,1107,4686,23.62%,498,580,1078
"District Judge, 234th Judicial District",0554,261,199,460,1757,26.18%,97,329,426
"District Judge, 234th Judicial District",0555,225,277,502,2219,22.62%,110,375,485
"District Judge, 234th Judicial District",0556,276,186,462,2319,19.92%,137,310,447
"District Judge, 234th Judicial District",0557,455,183,638,2830,22.54%,264,298,562
"District Judge, 234th Judicial District",0558,693,463,1156,4380,26.39%,405,707,1112
"District Judge, 234th Judicial District",0559,640,494,1134,4969,22.82%,343,750,1093
"District Judge, 234th Judicial District",0560,72,131,203,1120,18.13%,53,135,188
"District Judge, 234th Judicial District",0561,362,436,798,3064,26.04%,479,285,764
"District Judge, 234th Judicial District",0562,113,68,181,694,26.08%,25,152,177
"District Judge, 234th Judicial District",0563,1107,376,1483,3105,47.76%,1164,257,1421
"District Judge, 234th Judicial District",0564,470,426,896,3155,28.40%,233,621,854
"District Judge, 234th Judicial District",0565,108,78,186,1354,13.74%,41,132,173
"District Judge, 234th Judicial District",0566,417,324,741,2882,25.71%,225,495,720
"District Judge, 234th Judicial District",0567,301,193,494,2238,22.07%,162,290,452
"District Judge, 234th Judicial District",0568,876,685,1561,3594,43.43%,1026,449,1475
"District Judge, 234th Judicial District",0569,572,667,1239,3525,35.15%,672,497,1169
"District Judge, 234th Judicial District",0570,238,210,448,1562,28.68%,155,259,414
"District Judge, 234th Judicial District",0571,155,149,304,1827,16.64%,119,175,294
"District Judge, 234th Judicial District",0572,555,375,930,3108,29.92%,479,410,889
"District Judge, 234th Judicial District",0573,290,151,441,1619,27.24%,6,427,433
"District Judge, 234th Judicial District",0574,31,42,73,402,18.16%,8,64,72
"District Judge, 234th Judicial District",0575,13,11,24,74,32.43%,19,4,23
"District Judge, 234th Judicial District",0576,485,318,803,2734,29.37%,26,760,786
"District Judge, 234th Judicial District",0577,147,88,235,608,38.65%,144,82,226
"District Judge, 234th Judicial District",0578,409,538,947,1799,52.64%,575,320,895
"District Judge, 234th Judicial District",0579,75,101,176,1056,16.67%,34,134,168
"District Judge, 234th Judicial District",0580,179,118,297,1031,28.81%,4,284,288
"District Judge, 234th Judicial District",0581,212,174,386,1032,37.40%,7,367,374
"District Judge, 234th Judicial District",0582,258,171,429,1588,27.02%,22,396,418
"District Judge, 234th Judicial District",0583,225,131,356,1262,28.21%,14,332,346
"District Judge, 234th Judicial District",0584,182,93,275,1014,27.12%,11,258,269
"District Judge, 234th Judicial District",0585,417,172,589,2511,23.46%,14,569,583
"District Judge, 234th Judicial District",0586,638,680,1318,4316,30.54%,796,475,1271
"District Judge, 234th Judicial District",0587,436,284,720,2598,27.71%,286,415,701
"District Judge, 234th Judicial District",0588,758,674,1432,3645,39.29%,1018,367,1385
"District Judge, 234th Judicial District",0589,500,386,886,3420,25.91%,490,371,861
"District Judge, 234th Judicial District",0590,772,399,1171,2162,54.16%,923,208,1131
"District Judge, 234th Judicial District",0591,183,231,414,2121,19.52%,118,279,397
"District Judge, 234th Judicial District",0592,133,157,290,1350,21.48%,79,199,278
"District Judge, 234th Judicial District",0593,543,564,1107,4380,25.27%,538,520,1058
"District Judge, 234th Judicial District",0594,561,326,887,2490,35.62%,252,606,858
"District Judge, 234th Judicial District",0595,201,178,379,1693,22.39%,69,302,371
"District Judge, 234th Judicial District",0596,441,348,789,3007,26.24%,439,324,763
"District Judge, 234th Judicial District",0597,367,394,761,3653,20.83%,324,425,749
"District Judge, 234th Judicial District",0598,195,57,252,728,34.62%,205,42,247
"District Judge, 234th Judicial District",0599,850,578,1428,4950,28.85%,510,872,1382
"District Judge, 234th Judicial District",0600,667,429,1096,3957,27.70%,437,606,1043
"District Judge, 234th Judicial District",0601,1073,756,1829,4057,45.08%,1399,365,1764
"District Judge, 234th Judicial District",0602,293,235,528,1326,39.82%,387,127,514
"District Judge, 234th Judicial District",0603,884,794,1678,4843,34.65%,1073,571,1644
"District Judge, 234th Judicial District",0604,702,518,1220,3005,40.60%,1005,176,1181
"District Judge, 234th Judicial District",0605,907,556,1463,5582,26.21%,358,1063,1421
"District Judge, 234th Judicial District",0606,176,70,246,937,26.25%,3,239,242
"District Judge, 234th Judicial District",0607,62,51,113,728,15.52%,12,95,107
"District Judge, 234th Judicial District",0608,31,47,78,537,14.53%,43,29,72
"District Judge, 234th Judicial District",0609,667,680,1347,3384,39.80%,842,439,1281
"District Judge, 234th Judicial District",0610,231,188,419,1927,21.74%,213,174,387
"District Judge, 234th Judicial District",0611,495,242,737,2488,29.62%,22,701,723
"District Judge, 234th Judicial District",0612,996,497,1493,3307,45.15%,1121,293,1414
"District Judge, 234th Judicial District",0613,186,204,390,1554,25.10%,65,315,380
"District Judge, 234th Judicial District",0614,737,566,1303,4207,30.97%,501,756,1257
"District Judge, 234th Judicial District",0615,480,299,779,1967,39.60%,500,258,758
"District Judge, 234th Judicial District",0616,739,663,1402,3436,40.80%,991,360,1351
"District Judge, 234th Judicial District",0617,541,393,934,3809,24.52%,389,524,913
"District Judge, 234th Judicial District",0618,946,567,1513,6003,25.20%,764,704,1468
"District Judge, 234th Judicial District",0619,1219,803,2022,4297,47.06%,1498,428,1926
"District Judge, 234th Judicial District",0620,689,264,953,2897,32.90%,605,306,911
"District Judge, 234th Judicial District",0621,154,101,255,1133,22.51%,135,107,242
"District Judge, 234th Judicial District",0622,881,524,1405,4403,31.91%,861,495,1356
"District Judge, 234th Judicial District",0623,887,487,1374,3691,37.23%,929,386,1315
"District Judge, 234th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"District Judge, 234th Judicial District",0625,477,362,839,1820,46.10%,489,301,790
"District Judge, 234th Judicial District",0626,581,440,1021,2861,35.69%,566,399,965
"District Judge, 234th Judicial District",0627,346,322,668,3049,21.91%,238,398,636
"District Judge, 234th Judicial District",0628,152,219,371,1675,22.15%,194,164,358
"District Judge, 234th Judicial District",0629,37,53,90,696,12.93%,15,74,89
"District Judge, 234th Judicial District",0630,974,600,1574,3905,40.31%,119,1417,1536
"District Judge, 234th Judicial District",0631,822,404,1226,2846,43.08%,900,284,1184
"District Judge, 234th Judicial District",0632,7,4,11,343,3.21%,4,7,11
"District Judge, 234th Judicial District",0633,943,731,1674,3559,47.04%,1190,425,1615
"District Judge, 234th Judicial District",0634,458,442,900,3029,29.71%,598,273,871
"District Judge, 234th Judicial District",0635,743,485,1228,3393,36.19%,927,269,1196
"District Judge, 234th Judicial District",0636,835,874,1710,4140,41.30%,1475,185,1660
"District Judge, 234th Judicial District",0637,409,362,771,2512,30.69%,178,539,717
"District Judge, 234th Judicial District",0638,304,245,549,2204,24.91%,44,483,527
"District Judge, 234th Judicial District",0639,549,547,1096,2526,43.39%,885,167,1052
"District Judge, 234th Judicial District",0640,641,459,1100,3733,29.47%,692,379,1071
"District Judge, 234th Judicial District",0641,649,596,1245,3650,34.11%,828,372,1200
"District Judge, 234th Judicial District",0642,471,394,865,1764,49.04%,696,130,826
"District Judge, 234th Judicial District",0643,934,653,1587,5945,26.69%,616,923,1539
"District Judge, 234th Judicial District",0644,1019,823,1842,5523,33.35%,1213,554,1767
"District Judge, 234th Judicial District",0645,654,594,1248,4185,29.82%,682,511,1193
"District Judge, 234th Judicial District",0646,364,287,651,2220,29.32%,204,409,613
"District Judge, 234th Judicial District",0647,904,470,1374,6084,22.58%,373,889,1262
"District Judge, 234th Judicial District",0648,838,579,1417,3367,42.08%,1019,352,1371
"District Judge, 234th Judicial District",0649,687,434,1121,4576,24.50%,372,683,1055
"District Judge, 234th Judicial District",0650,906,766,1672,3888,43.00%,1201,394,1595
"District Judge, 234th Judicial District",0651,963,766,1729,5128,33.72%,1101,554,1655
"District Judge, 234th Judicial District",0652,467,515,982,2815,34.88%,168,779,947
"District Judge, 234th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"District Judge, 234th Judicial District",0654,950,1005,1955,6208,31.49%,1078,809,1887
"District Judge, 234th Judicial District",0655,1115,1079,2195,6855,32.02%,1375,736,2111
"District Judge, 234th Judicial District",0656,579,393,972,2674,36.35%,38,913,951
"District Judge, 234th Judicial District",0657,246,172,418,1292,32.35%,170,232,402
"District Judge, 234th Judicial District",0658,540,426,966,2807,34.41%,627,314,941
"District Judge, 234th Judicial District",0659,1149,788,1937,4856,39.89%,1393,491,1884
"District Judge, 234th Judicial District",0660,950,825,1775,5372,33.04%,165,1569,1734
"District Judge, 234th Judicial District",0661,675,765,1440,4567,31.53%,841,545,1386
"District Judge, 234th Judicial District",0662,1148,890,2038,4874,41.81%,1623,352,1975
"District Judge, 234th Judicial District",0663,717,797,1514,3346,45.25%,750,664,1414
"District Judge, 234th Judicial District",0664,352,250,602,2869,20.98%,132,444,576
"District Judge, 234th Judicial District",0665,482,348,830,2154,38.53%,692,113,805
"District Judge, 234th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 234th Judicial District",0667,488,502,990,2149,46.07%,778,170,948
"District Judge, 234th Judicial District",0668,399,509,908,2775,32.72%,595,287,882
"District Judge, 234th Judicial District",0669,850,738,1588,3425,46.36%,1150,374,1524
"District Judge, 234th Judicial District",0670,955,471,1427,2983,47.84%,1143,236,1379
"District Judge, 234th Judicial District",0671,403,565,968,3037,31.87%,594,335,929
"District Judge, 234th Judicial District",0672,959,862,1821,5706,31.91%,1239,532,1771
"District Judge, 234th Judicial District",0673,729,516,1245,2995,41.57%,985,208,1193
"District Judge, 234th Judicial District",0674,1071,618,1689,4091,41.29%,1255,373,1628
"District Judge, 234th Judicial District",0675,0,1,1,0,0.00%,1,0,1
"District Judge, 234th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 234th Judicial District",0677,127,127,254,1266,20.06%,92,147,239
"District Judge, 234th Judicial District",0678,166,108,274,735,37.28%,174,82,256
"District Judge, 234th Judicial District",0679,635,520,1155,3381,34.16%,869,238,1107
"District Judge, 234th Judicial District",0680,21,14,35,162,21.60%,13,22,35
"District Judge, 234th Judicial District",0681,1,0,1,5,20.00%,1,0,1
"District Judge, 234th Judicial District",0682,711,654,1365,4216,32.38%,1003,317,1320
"District Judge, 234th Judicial District",0683,29,20,49,276,17.75%,8,37,45
"District Judge, 234th Judicial District",0684,27,22,49,223,21.97%,25,22,47
"District Judge, 234th Judicial District",0685,110,29,139,307,45.28%,63,67,130
"District Judge, 234th Judicial District",0686,17,12,29,208,13.94%,12,16,28
"District Judge, 234th Judicial District",0687,549,537,1086,2609,41.63%,728,294,1022
"District Judge, 234th Judicial District",0688,999,617,1616,3504,46.12%,1299,262,1561
"District Judge, 234th Judicial District",0689,211,387,598,2346,25.49%,297,273,570
"District Judge, 234th Judicial District",0690,926,1104,2030,5102,39.79%,1643,324,1967
"District Judge, 234th Judicial District",0691,2,5,7,25,28.00%,3,4,7
"District Judge, 234th Judicial District",0692,444,548,992,2847,34.84%,749,204,953
"District Judge, 234th Judicial District",0693,167,91,258,666,38.74%,70,177,247
"District Judge, 234th Judicial District",0694,260,120,380,845,44.97%,259,97,356
"District Judge, 234th Judicial District",0695,232,193,425,1724,24.65%,271,141,412
"District Judge, 234th Judicial District",0696,261,207,468,1982,23.61%,297,153,450
"District Judge, 234th Judicial District",0697,605,613,1218,4413,27.60%,301,875,1176
"District Judge, 234th Judicial District",0698,448,489,937,3189,29.38%,102,812,914
"District Judge, 234th Judicial District",0699,568,414,982,2343,41.91%,660,265,925
"District Judge, 234th Judicial District",0700,255,251,506,1371,36.91%,424,64,488
"District Judge, 234th Judicial District",0701,56,43,99,588,16.84%,62,32,94
"District Judge, 234th Judicial District",0702,54,70,134,539,24.86%,18,114,132
"District Judge, 234th Judicial District",0703,372,490,862,1882,45.80%,629,194,823
"District Judge, 234th Judicial District",0704,569,599,1168,3064,38.12%,947,177,1124
"District Judge, 234th Judicial District",0705,114,113,227,1523,14.90%,30,191,221
"District Judge, 234th Judicial District",0706,115,71,186,610,30.49%,92,82,174
"District Judge, 234th Judicial District",0707,153,86,239,707,33.80%,157,69,226
"District Judge, 234th Judicial District",0708,54,52,106,563,18.83%,50,47,97
"District Judge, 234th Judicial District",0709,1375,947,2322,6848,33.91%,1408,855,2263
"District Judge, 234th Judicial District",0710,371,462,833,2082,40.01%,458,318,776
"District Judge, 234th Judicial District",0711,702,506,1208,3484,34.67%,741,405,1146
"District Judge, 234th Judicial District",0712,491,463,954,3670,25.99%,405,530,935
"District Judge, 234th Judicial District",0713,228,262,490,1907,25.69%,246,224,470
"District Judge, 234th Judicial District",0714,35,19,55,296,18.58%,33,19,52
"District Judge, 234th Judicial District",0715,176,187,363,1408,25.78%,206,138,344
"District Judge, 234th Judicial District",0716,449,407,856,2680,31.94%,599,232,831
