Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0338,730,391,1121,4934,22.72%,377,666,1043
"District Judge, 247th Judicial District",0339,202,222,424,1757,24.13%,92,309,401
"District Judge, 247th Judicial District",0340,1038,594,1632,3765,43.35%,1222,343,1565
"District Judge, 247th Judicial District",0341,91,167,258,1290,20.00%,87,165,252
"District Judge, 247th Judicial District",0342,675,605,1280,6526,19.61%,209,1035,1244
"District Judge, 247th Judicial District",0343,189,271,460,1964,23.42%,135,292,427
"District Judge, 247th Judicial District",0344,154,172,326,1160,28.10%,14,298,312
"District Judge, 247th Judicial District",0345,156,165,321,1804,17.79%,97,211,308
"District Judge, 247th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"District Judge, 247th Judicial District",0347,592,436,1028,3387,30.35%,673,318,991
"District Judge, 247th Judicial District",0348,438,208,646,1708,37.82%,497,121,618
"District Judge, 247th Judicial District",0349,188,267,455,1349,33.73%,276,156,432
"District Judge, 247th Judicial District",0350,524,526,1050,2909,36.09%,391,576,967
"District Judge, 247th Judicial District",0351,1491,710,2201,4712,46.71%,1713,407,2120
"District Judge, 247th Judicial District",0352,520,339,859,3205,26.80%,625,201,826
"District Judge, 247th Judicial District",0353,665,451,1116,3862,28.90%,201,880,1081
"District Judge, 247th Judicial District",0354,715,338,1053,3388,31.08%,260,759,1019
"District Judge, 247th Judicial District",0355,301,264,565,1560,36.22%,49,500,549
"District Judge, 247th Judicial District",0356,594,538,1132,2972,38.09%,713,366,1079
"District Judge, 247th Judicial District",0357,837,575,1412,3517,40.15%,1016,343,1359
"District Judge, 247th Judicial District",0358,212,254,466,2492,18.70%,52,400,452
"District Judge, 247th Judicial District",0359,234,224,458,3061,14.96%,59,388,447
"District Judge, 247th Judicial District",0360,522,380,902,2146,42.03%,434,390,824
"District Judge, 247th Judicial District",0361,41,295,336,1673,20.08%,48,249,297
"District Judge, 247th Judicial District",0362,1138,887,2025,5086,39.82%,1471,445,1916
"District Judge, 247th Judicial District",0363,620,412,1032,3677,28.07%,467,535,1002
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0364,488,405,893,2658,33.60%,506,343,849
"District Judge, 247th Judicial District",0365,478,231,709,1305,54.33%,49,639,688
"District Judge, 247th Judicial District",0366,252,270,522,2454,21.27%,139,367,506
"District Judge, 247th Judicial District",0367,170,138,308,1130,27.26%,67,233,300
"District Judge, 247th Judicial District",0368,178,88,266,958,27.77%,72,183,255
"District Judge, 247th Judicial District",0369,32,29,61,559,10.91%,18,41,59
"District Judge, 247th Judicial District",0370,1532,1105,2637,6593,40.00%,1993,549,2542
"District Judge, 247th Judicial District",0371,122,52,174,502,34.66%,5,162,167
"District Judge, 247th Judicial District",0372,221,170,391,1224,31.94%,47,326,373
"District Judge, 247th Judicial District",0373,21,12,33,157,21.02%,3,29,32
"District Judge, 247th Judicial District",0374,65,93,158,738,21.41%,57,97,154
"District Judge, 247th Judicial District",0375,254,220,474,2645,17.92%,231,208,439
"District Judge, 247th Judicial District",0376,278,205,483,1910,25.29%,218,243,461
"District Judge, 247th Judicial District",0377,525,583,1109,2920,37.98%,807,243,1050
"District Judge, 247th Judicial District",0378,232,354,586,1829,32.04%,365,198,563
"District Judge, 247th Judicial District",0379,431,289,720,2027,35.52%,70,631,701
"District Judge, 247th Judicial District",0380,1299,995,2294,5666,40.49%,1254,963,2217
"District Judge, 247th Judicial District",0381,412,248,660,2855,23.12%,306,328,634
"District Judge, 247th Judicial District",0382,132,157,289,922,31.34%,212,68,280
"District Judge, 247th Judicial District",0383,289,263,552,2173,25.40%,225,307,532
"District Judge, 247th Judicial District",0384,573,373,946,2657,35.60%,190,717,907
"District Judge, 247th Judicial District",0385,583,670,1253,2207,56.77%,908,268,1176
"District Judge, 247th Judicial District",0386,662,469,1131,2922,38.71%,823,263,1086
"District Judge, 247th Judicial District",0387,555,672,1227,3935,31.18%,883,299,1182
"District Judge, 247th Judicial District",0388,1430,1010,2440,6888,35.42%,1418,952,2370
"District Judge, 247th Judicial District",0389,91,208,299,1026,29.14%,42,234,276
"District Judge, 247th Judicial District",0390,356,263,619,1480,41.82%,69,528,597
"District Judge, 247th Judicial District",0391,508,260,768,1883,40.79%,471,261,732
"District Judge, 247th Judicial District",0392,387,155,542,1446,37.48%,7,527,534
"District Judge, 247th Judicial District",0393,165,185,350,1292,27.09%,166,174,340
"District Judge, 247th Judicial District",0394,69,73,142,834,17.03%,70,65,135
"District Judge, 247th Judicial District",0395,469,404,873,1846,47.29%,604,218,822
"District Judge, 247th Judicial District",0396,622,216,838,2082,40.25%,17,807,824
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0397,86,78,164,760,21.58%,78,81,159
"District Judge, 247th Judicial District",0398,615,521,1136,4022,28.24%,606,499,1105
"District Judge, 247th Judicial District",0399,402,366,768,2791,27.52%,419,325,744
"District Judge, 247th Judicial District",0400,620,359,979,2411,40.61%,707,223,930
"District Judge, 247th Judicial District",0401,330,205,535,1913,27.97%,21,504,525
"District Judge, 247th Judicial District",0402,466,266,732,1794,40.80%,38,672,710
"District Judge, 247th Judicial District",0403,475,498,973,1715,56.73%,498,381,879
"District Judge, 247th Judicial District",0404,419,330,749,2585,28.97%,433,285,718
"District Judge, 247th Judicial District",0405,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0406,137,67,204,628,32.48%,3,198,201
"District Judge, 247th Judicial District",0407,688,793,1481,3769,39.29%,963,430,1393
"District Judge, 247th Judicial District",0408,146,153,299,1691,17.68%,145,138,283
"District Judge, 247th Judicial District",0409,122,149,271,1459,18.57%,112,152,264
"District Judge, 247th Judicial District",0410,132,80,212,899,23.58%,44,157,201
"District Judge, 247th Judicial District",0411,235,200,435,2339,18.60%,159,258,417
"District Judge, 247th Judicial District",0412,74,44,118,468,25.21%,7,107,114
"District Judge, 247th Judicial District",0413,767,386,1153,2992,38.54%,460,646,1106
"District Judge, 247th Judicial District",0414,654,480,1134,3453,32.84%,866,224,1090
"District Judge, 247th Judicial District",0415,539,598,1137,2203,51.61%,749,338,1087
"District Judge, 247th Judicial District",0416,538,558,1096,3791,28.91%,605,449,1054
"District Judge, 247th Judicial District",0417,353,385,738,2448,30.15%,373,332,705
"District Judge, 247th Judicial District",0418,403,469,872,3584,24.33%,359,470,829
"District Judge, 247th Judicial District",0419,571,324,895,2658,33.67%,598,256,854
"District Judge, 247th Judicial District",0420,1036,874,1910,4762,40.11%,1558,282,1840
"District Judge, 247th Judicial District",0421,36,37,73,410,17.80%,23,44,67
"District Judge, 247th Judicial District",0422,731,402,1133,3345,33.87%,35,1077,1112
"District Judge, 247th Judicial District",0423,108,120,228,1376,16.57%,76,144,220
"District Judge, 247th Judicial District",0424,240,111,351,967,36.30%,196,134,330
"District Judge, 247th Judicial District",0425,107,123,230,883,26.05%,89,132,221
"District Judge, 247th Judicial District",0426,260,183,443,1218,36.37%,261,159,420
"District Judge, 247th Judicial District",0427,179,134,313,1092,28.66%,133,158,291
"District Judge, 247th Judicial District",0428,619,421,1040,4538,22.92%,342,621,963
"District Judge, 247th Judicial District",0429,445,314,759,3197,23.74%,214,502,716
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0430,161,133,294,1657,17.74%,82,195,277
"District Judge, 247th Judicial District",0431,327,84,411,3417,12.03%,146,244,390
"District Judge, 247th Judicial District",0432,123,157,280,1455,19.24%,105,165,270
"District Judge, 247th Judicial District",0433,50,63,113,581,19.45%,26,83,109
"District Judge, 247th Judicial District",0434,370,289,659,1503,43.85%,392,226,618
"District Judge, 247th Judicial District",0435,855,636,1491,3252,45.85%,914,488,1402
"District Judge, 247th Judicial District",0436,629,531,1160,2933,39.55%,705,389,1094
"District Judge, 247th Judicial District",0437,521,512,1033,2033,50.81%,702,266,968
"District Judge, 247th Judicial District",0438,517,389,1006,1861,54.06%,719,221,940
"District Judge, 247th Judicial District",0439,710,884,1594,3554,44.85%,1104,394,1498
"District Judge, 247th Judicial District",0440,664,858,1522,2930,51.95%,1149,276,1425
"District Judge, 247th Judicial District",0441,345,420,765,1669,45.84%,555,165,720
"District Judge, 247th Judicial District",0442,612,574,1186,2575,46.06%,960,180,1140
"District Judge, 247th Judicial District",0443,225,138,354,646,56.35%,245,96,341
"District Judge, 247th Judicial District",0444,587,583,1270,3262,38.93%,779,416,1195
"District Judge, 247th Judicial District",0445,499,348,847,2026,41.81%,552,250,802
"District Judge, 247th Judicial District",0446,31,22,53,291,18.21%,26,24,50
"District Judge, 247th Judicial District",0447,93,86,179,637,28.10%,53,118,171
"District Judge, 247th Judicial District",0448,590,778,1368,3138,43.59%,736,542,1278
"District Judge, 247th Judicial District",0449,12,23,35,198,17.68%,3,32,35
"District Judge, 247th Judicial District",0450,435,328,763,2635,28.96%,232,503,735
"District Judge, 247th Judicial District",0451,1002,510,1512,2687,56.27%,1201,235,1436
"District Judge, 247th Judicial District",0452,554,444,998,3048,32.74%,741,226,967
"District Judge, 247th Judicial District",0453,231,262,493,1937,25.45%,203,272,475
"District Judge, 247th Judicial District",0454,594,248,842,2561,32.88%,10,819,829
"District Judge, 247th Judicial District",0455,367,165,532,1689,31.50%,19,505,524
"District Judge, 247th Judicial District",0456,482,362,844,3513,24.03%,489,331,820
"District Judge, 247th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0458,471,237,708,1924,36.80%,30,655,685
"District Judge, 247th Judicial District",0459,951,474,1425,3021,47.17%,1116,258,1374
"District Judge, 247th Judicial District",0460,554,331,885,2837,31.19%,230,634,864
"District Judge, 247th Judicial District",0461,1155,735,1900,3871,49.08%,1267,507,1774
"District Judge, 247th Judicial District",0462,674,619,1293,3384,38.21%,475,756,1231
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0463,480,404,884,3326,26.58%,404,449,853
"District Judge, 247th Judicial District",0464,356,430,786,2257,34.82%,566,193,759
"District Judge, 247th Judicial District",0465,687,520,1207,3564,33.87%,679,489,1168
"District Judge, 247th Judicial District",0466,1058,614,1672,4184,39.96%,964,652,1616
"District Judge, 247th Judicial District",0467,213,189,402,1270,31.65%,94,296,390
"District Judge, 247th Judicial District",0468,352,443,795,3598,22.10%,258,507,765
"District Judge, 247th Judicial District",0469,1294,547,1841,3985,46.20%,1430,330,1760
"District Judge, 247th Judicial District",0470,185,176,361,1326,27.22%,265,76,341
"District Judge, 247th Judicial District",0471,375,380,755,2387,31.63%,602,133,735
"District Judge, 247th Judicial District",0472,198,278,476,1081,44.03%,168,270,438
"District Judge, 247th Judicial District",0473,599,391,990,1806,54.82%,678,264,942
"District Judge, 247th Judicial District",0474,559,588,1147,3037,37.77%,795,309,1104
"District Judge, 247th Judicial District",0475,189,267,456,1809,25.21%,218,216,434
"District Judge, 247th Judicial District",0476,404,473,877,2430,36.09%,490,352,842
"District Judge, 247th Judicial District",0477,737,567,1304,3505,37.20%,989,267,1256
"District Judge, 247th Judicial District",0478,958,657,1615,4461,36.20%,1088,458,1546
"District Judge, 247th Judicial District",0479,638,612,1250,2714,46.06%,919,280,1199
"District Judge, 247th Judicial District",0480,493,450,943,2415,39.05%,674,231,905
"District Judge, 247th Judicial District",0481,770,623,1393,3482,40.01%,1054,276,1330
"District Judge, 247th Judicial District",0482,878,630,1508,4373,34.48%,1076,379,1455
"District Judge, 247th Judicial District",0483,1042,478,1520,4308,35.28%,870,587,1457
"District Judge, 247th Judicial District",0484,1107,930,2037,4979,40.91%,1458,511,1969
"District Judge, 247th Judicial District",0485,1095,911,2006,5388,37.23%,1563,390,1953
"District Judge, 247th Judicial District",0486,873,855,1728,3866,44.70%,1340,319,1659
"District Judge, 247th Judicial District",0487,570,294,864,3860,22.38%,316,478,794
"District Judge, 247th Judicial District",0488,268,254,522,1719,30.37%,198,287,485
"District Judge, 247th Judicial District",0489,350,290,640,1893,33.81%,215,392,607
"District Judge, 247th Judicial District",0490,444,368,812,1975,41.11%,285,495,780
"District Judge, 247th Judicial District",0491,314,372,686,1888,36.33%,400,252,652
"District Judge, 247th Judicial District",0492,556,410,966,2335,41.37%,570,350,920
"District Judge, 247th Judicial District",0493,479,322,801,1853,43.23%,531,221,752
"District Judge, 247th Judicial District",0494,381,247,628,2467,25.46%,84,529,613
"District Judge, 247th Judicial District",0495,522,523,1045,2375,44.00%,738,239,977
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0496,190,315,505,2160,23.38%,198,287,485
"District Judge, 247th Judicial District",0497,526,243,769,2257,34.07%,25,726,751
"District Judge, 247th Judicial District",0498,363,323,686,2297,29.87%,312,354,666
"District Judge, 247th Judicial District",0499,750,518,1268,2326,54.51%,895,298,1193
"District Judge, 247th Judicial District",0500,729,715,1444,3507,41.17%,988,402,1390
"District Judge, 247th Judicial District",0501,341,417,758,1801,42.09%,261,439,700
"District Judge, 247th Judicial District",0502,477,350,827,2501,33.07%,670,129,799
"District Judge, 247th Judicial District",0503,174,116,290,1374,21.11%,108,162,270
"District Judge, 247th Judicial District",0504,624,527,1151,2288,50.31%,720,359,1079
"District Judge, 247th Judicial District",0505,531,562,1193,3773,31.62%,530,585,1115
"District Judge, 247th Judicial District",0506,665,670,1335,3502,38.12%,238,1047,1285
"District Judge, 247th Judicial District",0507,221,149,370,2452,15.09%,77,223,300
"District Judge, 247th Judicial District",0508,492,412,904,3287,27.50%,341,491,832
"District Judge, 247th Judicial District",0509,753,596,1349,3732,36.15%,947,337,1284
"District Judge, 247th Judicial District",0510,687,514,1201,3590,33.45%,595,556,1151
"District Judge, 247th Judicial District",0511,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0512,602,660,1262,5057,24.96%,604,625,1229
"District Judge, 247th Judicial District",0513,1019,487,1506,2894,52.04%,1127,312,1439
"District Judge, 247th Judicial District",0514,953,720,1673,4275,39.13%,1261,343,1604
"District Judge, 247th Judicial District",0515,942,683,1625,3455,47.03%,1294,261,1555
"District Judge, 247th Judicial District",0516,1000,800,1800,5356,33.61%,952,768,1720
"District Judge, 247th Judicial District",0517,481,256,737,2954,24.95%,418,295,713
"District Judge, 247th Judicial District",0518,635,693,1328,3943,33.68%,862,410,1272
"District Judge, 247th Judicial District",0519,623,493,1116,2966,37.63%,832,245,1077
"District Judge, 247th Judicial District",0520,473,457,930,4580,20.31%,168,739,907
"District Judge, 247th Judicial District",0521,471,464,935,2866,32.62%,501,399,900
"District Judge, 247th Judicial District",0522,715,572,1288,2689,47.90%,979,262,1241
"District Judge, 247th Judicial District",0523,751,415,1166,3052,38.20%,782,332,1114
"District Judge, 247th Judicial District",0524,567,459,1026,3410,30.09%,349,642,991
"District Judge, 247th Judicial District",0525,707,482,1189,3091,38.47%,263,873,1136
"District Judge, 247th Judicial District",0526,58,84,152,780,19.49%,43,99,142
"District Judge, 247th Judicial District",0527,37,40,77,574,13.41%,41,34,75
"District Judge, 247th Judicial District",0528,14,12,26,90,28.89%,2,23,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0529,1043,491,1534,3710,41.35%,1317,160,1477
"District Judge, 247th Judicial District",0530,114,107,221,1196,18.48%,56,149,205
"District Judge, 247th Judicial District",0531,363,174,537,1145,46.90%,414,103,517
"District Judge, 247th Judicial District",0532,205,146,351,1048,33.49%,255,86,341
"District Judge, 247th Judicial District",0533,124,108,232,1119,20.73%,134,87,221
"District Judge, 247th Judicial District",0534,783,524,1,307,3837,34.06%,992,258,1250
"District Judge, 247th Judicial District",0535,33,29,62,416,14.90%,28,33,61
"District Judge, 247th Judicial District",0536,554,780,1334,5139,25.96%,524,762,1286
"District Judge, 247th Judicial District",0537,855,778,1633,3050,53.54%,1185,375,1560
"District Judge, 247th Judicial District",0538,204,160,364,1303,27.94%,6,348,354
"District Judge, 247th Judicial District",0539,15,241,256,64,400.00%,73,163,236
"District Judge, 247th Judicial District",0540,378,316,694,1567,44.29%,250,385,635
"District Judge, 247th Judicial District",0541,784,505,1289,4599,28.03%,187,1052,1239
"District Judge, 247th Judicial District",0542,360,382,742,2557,29.02%,49,661,710
"District Judge, 247th Judicial District",0543,141,213,354,1565,22.62%,121,215,336
"District Judge, 247th Judicial District",0544,35,41,77,310,24.84%,10,64,74
"District Judge, 247th Judicial District",0545,596,620,1216,3629,33.51%,613,556,1169
"District Judge, 247th Judicial District",0546,2,2,4,37,10.81%,3,0,3
"District Judge, 247th Judicial District",0547,501,466,967,2406,40.19%,676,247,923
"District Judge, 247th Judicial District",0548,286,293,579,2215,26.14%,302,259,561
"District Judge, 247th Judicial District",0549,343,418,761,2663,28.58%,110,632,742
"District Judge, 247th Judicial District",0550,501,431,932,3031,30.75%,530,369,899
"District Judge, 247th Judicial District",0551,1288,1394,2682,7034,38.13%,2009,593,2602
"District Judge, 247th Judicial District",0552,847,883,1730,3415,50.66%,1426,251,1677
"District Judge, 247th Judicial District",0553,578,529,1107,4686,23.62%,505,565,1070
"District Judge, 247th Judicial District",0554,261,199,460,1757,26.18%,94,330,424
"District Judge, 247th Judicial District",0555,225,277,502,2219,22.62%,104,381,485
"District Judge, 247th Judicial District",0556,276,186,462,2319,19.92%,136,308,444
"District Judge, 247th Judicial District",0557,455,183,638,2830,22.54%,263,295,558
"District Judge, 247th Judicial District",0558,693,463,1156,4380,26.39%,412,697,1109
"District Judge, 247th Judicial District",0559,640,494,1134,4969,22.82%,339,751,1090
"District Judge, 247th Judicial District",0560,72,131,203,1120,18.13%,54,136,190
"District Judge, 247th Judicial District",0561,362,436,798,3064,26.04%,482,287,769
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0562,113,68,181,694,26.08%,23,155,178
"District Judge, 247th Judicial District",0563,1107,376,1483,3105,47.76%,1145,270,1415
"District Judge, 247th Judicial District",0564,470,426,896,3155,28.40%,234,618,852
"District Judge, 247th Judicial District",0565,108,78,186,1354,13.74%,42,130,172
"District Judge, 247th Judicial District",0566,417,324,741,2882,25.71%,233,486,719
"District Judge, 247th Judicial District",0567,301,193,494,2238,22.07%,156,291,447
"District Judge, 247th Judicial District",0568,876,685,1561,3594,43.43%,1010,460,1470
"District Judge, 247th Judicial District",0569,572,667,1239,3525,35.15%,628,535,1163
"District Judge, 247th Judicial District",0570,238,210,448,1562,28.68%,147,262,409
"District Judge, 247th Judicial District",0571,155,149,304,1827,16.64%,122,170,292
"District Judge, 247th Judicial District",0572,555,375,930,3108,29.92%,467,420,887
"District Judge, 247th Judicial District",0573,290,151,441,1619,27.24%,6,428,434
"District Judge, 247th Judicial District",0574,31,42,73,402,18.16%,11,62,73
"District Judge, 247th Judicial District",0575,13,11,24,74,32.43%,18,5,23
"District Judge, 247th Judicial District",0576,485,318,803,2734,29.37%,24,764,788
"District Judge, 247th Judicial District",0577,147,88,235,608,38.65%,142,85,227
"District Judge, 247th Judicial District",0578,409,538,947,1799,52.64%,544,349,893
"District Judge, 247th Judicial District",0579,75,101,176,1056,16.67%,35,133,168
"District Judge, 247th Judicial District",0580,179,118,297,1031,28.81%,4,285,289
"District Judge, 247th Judicial District",0581,212,174,386,1032,37.40%,7,369,376
"District Judge, 247th Judicial District",0582,258,171,429,1588,27.02%,23,396,419
"District Judge, 247th Judicial District",0583,225,131,356,1262,28.21%,12,332,344
"District Judge, 247th Judicial District",0584,182,93,275,1014,27.12%,12,257,269
"District Judge, 247th Judicial District",0585,417,172,589,2511,23.46%,16,565,581
"District Judge, 247th Judicial District",0586,638,680,1318,4316,30.54%,792,476,1268
"District Judge, 247th Judicial District",0587,436,284,720,2598,27.71%,288,413,701
"District Judge, 247th Judicial District",0588,758,674,1432,3645,39.29%,1010,373,1383
"District Judge, 247th Judicial District",0589,500,386,886,3420,25.91%,495,364,859
"District Judge, 247th Judicial District",0590,772,399,1171,2162,54.16%,885,242,1127
"District Judge, 247th Judicial District",0591,183,231,414,2121,19.52%,123,273,396
"District Judge, 247th Judicial District",0592,133,157,290,1350,21.48%,80,199,279
"District Judge, 247th Judicial District",0593,543,564,1107,4380,25.27%,538,515,1053
"District Judge, 247th Judicial District",0594,561,326,887,2490,35.62%,249,606,855
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0595,201,178,379,1693,22.39%,70,300,370
"District Judge, 247th Judicial District",0596,441,348,789,3007,26.24%,440,325,765
"District Judge, 247th Judicial District",0597,367,394,761,3653,20.83%,331,418,749
"District Judge, 247th Judicial District",0598,195,57,252,728,34.62%,201,45,246
"District Judge, 247th Judicial District",0599,850,578,1428,4950,28.85%,508,875,1383
"District Judge, 247th Judicial District",0600,667,429,1096,3957,27.70%,447,602,1049
"District Judge, 247th Judicial District",0601,1073,756,1829,4057,45.08%,1380,382,1762
"District Judge, 247th Judicial District",0602,293,235,528,1326,39.82%,387,125,512
"District Judge, 247th Judicial District",0603,554,794,1678,4843,34.65%,1060,578,1638
"District Judge, 247th Judicial District",0604,702,518,1220,3005,40.60%,1004,179,1183
"District Judge, 247th Judicial District",0605,907,556,1463,5582,26.21%,364,1057,1421
"District Judge, 247th Judicial District",0606,176,70,246,937,26.25%,4,237,241
"District Judge, 247th Judicial District",0607,52,51,113,728,15.52%,12,96,108
"District Judge, 247th Judicial District",0608,31,47,78,537,14.53%,44,29,73
"District Judge, 247th Judicial District",0609,557,680,1347,3384,39.80%,830,442,1272
"District Judge, 247th Judicial District",0610,231,188,419,1927,21.74%,216,171,387
"District Judge, 247th Judicial District",0611,495,242,737,2488,29.62%,23,701,724
"District Judge, 247th Judicial District",0612,996,497,1493,3307,45.15%,1113,300,1413
"District Judge, 247th Judicial District",0613,186,204,390,1554,25.10%,67,313,380
"District Judge, 247th Judicial District",0614,737,566,1303,4207,30.97%,498,750,1248
"District Judge, 247th Judicial District",0615,450,299,779,1967,39.60%,499,259,758
"District Judge, 247th Judicial District",0616,739,663,1402,3436,40.80%,972,376,1348
"District Judge, 247th Judicial District",0617,541,393,934,3809,24.52%,381,531,912
"District Judge, 247th Judicial District",0618,945,567,1513,6003,25.20%,763,701,1464
"District Judge, 247th Judicial District",0619,1219,803,2022,4297,47.06%,1483,443,1926
"District Judge, 247th Judicial District",0620,589,264,953,2897,32.90%,584,322,906
"District Judge, 247th Judicial District",0621,154,101,255,1133,22.51%,132,109,241
"District Judge, 247th Judicial District",0622,881,524,1405,4403,31.91%,862,492,1354
"District Judge, 247th Judicial District",0623,887,487,1374,3691,37.23%,934,380,1314
"District Judge, 247th Judicial District",0624,1,1,2,3,66.67%,1,1,2
"District Judge, 247th Judicial District",0625,477,362,839,1820,46.10%,470,322,792
"District Judge, 247th Judicial District",0626,551,440,1021,2861,35.69%,550,410,960
"District Judge, 247th Judicial District",0627,345,322,668,3049,21.91%,238,404,642
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0628,152,219,371,1675,22.15%,196,164,360
"District Judge, 247th Judicial District",0629,37,53,90,696,12.93%,15,74,89
"District Judge, 247th Judicial District",0630,974,600,1574,3905,40.31%,121,1410,1531
"District Judge, 247th Judicial District",0631,822,404,1226,2846,43.08%,888,294,1182
"District Judge, 247th Judicial District",0632,7,4,11,343,3.21%,3,8,11
"District Judge, 247th Judicial District",0633,943,731,1674,3559,47.04%,1188,426,1614
"District Judge, 247th Judicial District",0634,458,442,900,3029,29.71%,603,268,871
"District Judge, 247th Judicial District",0635,743,485,1228,3393,36.19%,927,267,1194
"District Judge, 247th Judicial District",0636,836,874,1710,4140,41.30%,1476,186,1662
"District Judge, 247th Judicial District",0637,409,362,771,2512,30.69%,187,530,717
"District Judge, 247th Judicial District",0638,304,245,549,2204,24.91%,44,485,529
"District Judge, 247th Judicial District",0639,549,547,1096,2526,43.39%,876,176,1052
"District Judge, 247th Judicial District",0640,641,459,1100,3733,29.47%,690,380,1070
"District Judge, 247th Judicial District",0641,649,596,1245,3650,34.11%,831,369,1200
"District Judge, 247th Judicial District",0642,471,394,865,1764,49.04%,691,135,826
"District Judge, 247th Judicial District",0643,934,653,1587,5945,26.69%,627,908,1535
"District Judge, 247th Judicial District",0644,1019,823,1842,5523,33.35%,1218,543,1761
"District Judge, 247th Judicial District",0645,654,594,1248,4185,29.82%,664,527,1191
"District Judge, 247th Judicial District",0646,364,287,651,2220,29.32%,207,400,607
"District Judge, 247th Judicial District",0647,904,470,1374,6084,22.58%,390,867,1257
"District Judge, 247th Judicial District",0648,838,579,1417,3367,42.08%,1019,351,1370
"District Judge, 247th Judicial District",0649,687,434,1121,4576,24.50%,371,678,1049
"District Judge, 247th Judicial District",0650,906,766,1672,3888,43.00%,1200,396,1596
"District Judge, 247th Judicial District",0651,963,766,1729,5128,33.72%,1099,555,1654
"District Judge, 247th Judicial District",0652,467,515,982,2815,34.88%,167,775,942
"District Judge, 247th Judicial District",0653,0,4,4,0,0.00%,0,4,4
"District Judge, 247th Judicial District",0654,950,1005,1955,6208,31.49%,1091,797,1888
"District Judge, 247th Judicial District",0655,1116,1079,2195,6855,32.02%,1369,742,2111
"District Judge, 247th Judicial District",0656,579,393,972,2674,36.35%,37,912,949
"District Judge, 247th Judicial District",0657,246,172,418,1292,32.35%,170,233,403
"District Judge, 247th Judicial District",0658,540,426,966,2807,34.41%,626,317,943
"District Judge, 247th Judicial District",0659,1149,788,1937,4856,39.89%,1393,487,1880
"District Judge, 247th Judicial District",0660,950,825,1775,5372,33.04%,165,1568,1733
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0661,675,765,1440,4567,31.53%,835,548,1383
"District Judge, 247th Judicial District",0662,1148,890,2038,4874,41.81%,1637,341,1978
"District Judge, 247th Judicial District",0663,717,797,1514,3346,45.25%,730,674,1404
"District Judge, 247th Judicial District",0664,352,250,602,2869,20.98%,127,447,574
"District Judge, 247th Judicial District",0665,482,348,830,2154,38.53%,693,112,805
"District Judge, 247th Judicial District",0666,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0667,488,502,990,2149,46.07%,768,180,948
"District Judge, 247th Judicial District",0668,399,509,908,2775,32.72%,597,282,879
"District Judge, 247th Judicial District",0669,850,738,1,588,3425,46.36%,1124,395,1519
"District Judge, 247th Judicial District",0670,955,471,1427,2983,47.84%,1106,267,1373
"District Judge, 247th Judicial District",0671,403,565,968,3037,31.87%,596,329,925
"District Judge, 247th Judicial District",0672,959,862,1821,5706,31.91%,1247,526,1773
"District Judge, 247th Judicial District",0673,729,516,1245,2995,41.57%,988,208,1196
