Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM William Moody,LIB Tom Oxford,Totals
"Chief Justice, Supreme Court",0341,91,167,258,1290,20.00%,80,165,5,250
"Chief Justice, Supreme Court",0342,675,605,1280,6526,19.61%,207,1034,21,1262
"Chief Justice, Supreme Court",0343,189,271,460,1964,23.42%,132,294,9,435
"Chief Justice, Supreme Court",0344,154,172,326,1160,28.10%,12,299,3,314
"Chief Justice, Supreme Court",0345,156,165,321,1804,17.79%,98,202,7,307
"Chief Justice, Supreme Court",0346,0,1,1,3,33.33%,1,0,0,1
"Chief Justice, Supreme Court",0347,592,436,1028,3387,30.35%,680,307,24,1011
"Chief Justice, Supreme Court",0348,438,208,646,1708,37.82%,503,122,12,637
"Chief Justice, Supreme Court",0349,188,267,455,1349,33.73%,279,148,22,449
"Chief Justice, Supreme Court",0350,525,526,1051,2909,36.13%,457,515,39,1011
"Chief Justice, Supreme Court",0351,1491,710,2201,4712,46.71%,1765,360,44,2169
"Chief Justice, Supreme Court",0352,520,339,859,3205,26.80%,615,205,21,841
"Chief Justice, Supreme Court",0353,665,451,1116,3862,28.90%,201,883,10,1094
"Chief Justice, Supreme Court",0354,715,338,1053,3388,31.08%,260,755,15,1030
"Chief Justice, Supreme Court",0355,301,264,565,1560,36.22%,51,502,3,556
"Chief Justice, Supreme Court",0356,594,538,1132,2972,38.09%,749,331,24,1104
"Chief Justice, Supreme Court",0357,837,575,1412,3517,40.15%,1030,325,34,1389
"Chief Justice, Supreme Court",0358,213,254,467,2492,18.74%,49,399,8,456
"Chief Justice, Supreme Court",0359,235,224,459,3061,15.00%,58,383,8,449
"Chief Justice, Supreme Court",0360,524,380,904,2146,42.12%,488,358,21,867
"Chief Justice, Supreme Court",0361,41,295,336,1673,20.08%,51,248,17,316
"Chief Justice, Supreme Court",0362,1138,887,2025,5086,39.82%,1498,433,46,1977
"Chief Justice, Supreme Court",0363,620,412,1032,3677,28.07%,459,536,18,1013
"Chief Justice, Supreme Court",0364,489,405,894,2658,33.63%,523,331,19,873
"Chief Justice, Supreme Court",0365,478,231,709,1305,54.33%,56,632,11,699
"Chief Justice, Supreme Court",0366,252,270,522,2454,21.27%,134,363,12,509
"Chief Justice, Supreme Court",0367,170,138,308,1130,27.26%,62,234,8,304
"Chief Justice, Supreme Court",0368,178,88,266,958,27.77%,70,186,2,258
"Chief Justice, Supreme Court",0369,32,29,61,559,10.91%,18,42,1,61
"Chief Justice, Supreme Court",0370,1532,1105,2637,6593,40.00%,1997,538,52,2587
"Chief Justice, Supreme Court",0371,122,52,174,502,34.66%,5,162,3,170
"Chief Justice, Supreme Court",0372,221,170,391,1224,31.94%,55,324,2,381
"Chief Justice, Supreme Court",0373,21,12,33,157,21.02%,3,29,0,32
"Chief Justice, Supreme Court",0374,65,93,158,738,21.41%,53,101,2,156
"Chief Justice, Supreme Court",0375,254,220,474,2645,17.92%,235,207,8,450
"Chief Justice, Supreme Court",0376,278,205,483,1910,25.29%,214,248,4,466
"Chief Justice, Supreme Court",0377,526,583,1109,2920,37.98%,819,236,24,1079
"Chief Justice, Supreme Court",0378,232,354,586,1829,32.04%,364,190,22,576
"Chief Justice, Supreme Court",0379,432,289,721,2027,35.57%,75,624,7,706
"Chief Justice, Supreme Court",0380,1303,995,2298,5666,40.56%,1251,943,61,2255
"Chief Justice, Supreme Court",0381,412,248,660,2855,23.12%,306,331,7,644
"Chief Justice, Supreme Court",0382,132,157,289,922,31.34%,214,64,5,283
"Chief Justice, Supreme Court",0383,289,263,552,2173,25.40%,228,298,14,540
"Chief Justice, Supreme Court",0384,573,373,946,2657,35.60%,204,712,11,927
"Chief Justice, Supreme Court",0385,583,670,1253,2207,56.77%,996,211,17,1224
"Chief Justice, Supreme Court",0386,662,469,1131,2922,38.71%,829,266,11,1106
"Chief Justice, Supreme Court",0387,555,672,1227,3935,31.18%,883,291,27,1201
"Chief Justice, Supreme Court",0388,1432,1010,2442,6888,35.45%,1395,969,43,2407
"Chief Justice, Supreme Court",0389,91,208,299,1026,29.14%,37,229,18,284
"Chief Justice, Supreme Court",0390,356,263,619,1480,41.82%,75,520,12,607
"Chief Justice, Supreme Court",0391,508,260,768,1883,40.79%,491,239,20,750
"Chief Justice, Supreme Court",0392,387,155,542,1446,37.48%,8,525,2,535
"Chief Justice, Supreme Court",0393,165,185,350,1292,27.09%,163,166,16,345
"Chief Justice, Supreme Court",0394,69,73,142,834,17.03%,66,64,6,136
"Chief Justice, Supreme Court",0395,470,404,874,1846,47.35%,633,187,31,851
"Chief Justice, Supreme Court",0396,623,216,839,2082,40.30%,1,7,806,5,828
"Chief Justice, Supreme Court",0397,86,78,164,760,21.58%,80,80,1,161
"Chief Justice, Supreme Court",0398,615,521,1136,4022,28.24%,605,489,25,1119
"Chief Justice, Supreme Court",0399,404,366,770,2791,27.59%,427,319,14,760
"Chief Justice, Supreme Court",0400,620,359,979,2411,40.61%,721,208,24,953
"Chief Justice, Supreme Court",0401,330,205,535,1913,27.97%,21,501,3,525
"Chief Justice, Supreme Court",0402,466,266,732,1794,40.80%,40,678,2,720
"Chief Justice, Supreme Court",0403,475,498,973,1715,56.73%,577,342,14,933
"Chief Justice, Supreme Court",0404,419,330,749,2585,28.97%,438,282,11,731
"Chief Justice, Supreme Court",0405,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0406,137,67,204,628,32.48%,3,199,1,203
"Chief Justice, Supreme Court",0407,692,793,1485,3769,39.40%,1002,404,31,1437
"Chief Justice, Supreme Court",0408,146,153,299,1691,17.68%,142,141,8,291
"Chief Justice, Supreme Court",0409,122,149,271,1459,18.57%,109,149,5,263
"Chief Justice, Supreme Court",0410,132,80,212,899,23.58%,45,158,2,205
"Chief Justice, Supreme Court",0411,235,200,435,2339,18.60%,157,258,6,421
"Chief Justice, Supreme Court",0412,74,44,118,468,25.21%,7,108,0,115
"Chief Justice, Supreme Court",0413,767,386,1153,2992,38.54%,454,653,14,1121
"Chief Justice, Supreme Court",0414,654,480,1134,3453,32.84%,877,217,17,1111
"Chief Justice, Supreme Court",0415,539,598,1137,2203,51.61%,773,309,31,1113
"Chief Justice, Supreme Court",0416,538,558,1096,3791,28.91%,608,436,27,1071
"Chief Justice, Supreme Court",0417,353,385,738,2448,30.15%,380,323,15,718
"Chief Justice, Supreme Court",0418,404,469,873,3584,24.36%,368,462,18,848
"Chief Justice, Supreme Court",0419,571,324,895,2658,33.67%,601,246,22,869
"Chief Justice, Supreme Court",0420,1036,874,1910,4762,40.11%,1568,269,34,1871
"Chief Justice, Supreme Court",0421,36,37,73,410,17.80%,24,45,2,71
"Chief Justice, Supreme Court",0422,731,402,1133,3345,33.87%,30,1086,2,1118
"Chief Justice, Supreme Court",0423,108,120,228,1376,16.57%,72,146,3,221
"Chief Justice, Supreme Court",0424,240,111,351,967,36.30%,212,121,12,345
"Chief Justice, Supreme Court",0425,107,123,230,883,26.05%,87,128,8,223
"Chief Justice, Supreme Court",0426,260,183,443,1218,36.37%,265,160,7,432
"Chief Justice, Supreme Court",0427,179,134,313,1092,28.66%,142,151,3,296
"Chief Justice, Supreme Court",0428,619,421,1040,4538,22.92%,332,628,13,973
"Chief Justice, Supreme Court",0429,445,314,759,3197,23.74%,209,507,8,724
"Chief Justice, Supreme Court",0430,161,133,294,1657,17.74%,86,185,14,285
"Chief Justice, Supreme Court",0431,327,84,411,3417,12.03%,147,234,11,392
"Chief Justice, Supreme Court",0432,123,157,280,1455,19.24%,96,164,15,275
"Chief Justice, Supreme Court",0433,50,63,113,581,19.45%,22,81,3,106
"Chief Justice, Supreme Court",0434,371,289,660,1503,43.91%,440,193,15,648
"Chief Justice, Supreme Court",0435,856,636,1492,3252,45.88%,998,424,33,1455
"Chief Justice, Supreme Court",0436,629,531,1160,2933,39.55%,753,352,20,1125
"Chief Justice, Supreme Court",0437,521,512,1033,2033,50.81%,755,228,16,999
"Chief Justice, Supreme Court",0438,519,389,1008,1861,54.16%,772,190,14,976
"Chief Justice, Supreme Court",0439,710,884,1594,3554,44.85%,1168,343,32,1543
"Chief Justice, Supreme Court",0440,664,858,1522,2930,51.95%,1247,211,25,1483
"Chief Justice, Supreme Court",0441,345,420,765,1669,45.84%,600,134,16,750
"Chief Justice, Supreme Court",0442,612,574,1186,2575,46.06%,987,156,20,1163
"Chief Justice, Supreme Court",0443,227,138,365,646,56.50%,270,77,10,357
"Chief Justice, Supreme Court",0444,587,583,1270,3262,38.93%,795,395,46,1236
"Chief Justice, Supreme Court",0445,499,348,847,2026,41.81%,594,221,15,830
"Chief Justice, Supreme Court",0446,31,22,53,291,18.21%,25,24,1,50
"Chief Justice, Supreme Court",0447,93,86,179,637,28.10%,58,111,8,177
"Chief Justice, Supreme Court",0448,590,778,1368,3138,43.59%,757,515,46,1318
"Chief Justice, Supreme Court",0449,12,23,35,198,17.68%,3,31,0,34
"Chief Justice, Supreme Court",0450,435,328,764,2635,28.99%,237,502,12,751
"Chief Justice, Supreme Court",0451,1002,510,1512,2687,56.27%,1250,205,25,1480
"Chief Justice, Supreme Court",0452,554,444,998,3048,32.74%,722,226,29,977
"Chief Justice, Supreme Court",0453,231,262,493,1937,25.45%,202,268,4,474
"Chief Justice, Supreme Court",0454,594,248,842,2561,32.88%,14,814,2,830
"Chief Justice, Supreme Court",0455,367,165,532,1689,31.50%,19,503,5,527
"Chief Justice, Supreme Court",0456,482,362,844,3513,24.03%,494,324,10,828
"Chief Justice, Supreme Court",0457,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0458,471,237,708,1924,36.80%,26,656,8,690
"Chief Justice, Supreme Court",0459,951,474,1425,3021,47.17%,1126,245,28,1399
"Chief Justice, Supreme Court",0460,554,331,885,2837,31.19%,228,629,13,870
"Chief Justice, Supreme Court",0461,1155,735,1900,3871,49.08%,1365,434,41,1840
"Chief Justice, Supreme Court",0462,675,619,1294,3384,38.24%,482,754,23,1259
"Chief Justice, Supreme Court",0463,481,404,885,3326,26.61%,405,441,26,872
"Chief Justice, Supreme Court",0464,356,430,786,2257,34.82%,557,192,23,772
"Chief Justice, Supreme Court",0465,688,520,1208,3564,33.89%,696,472,24,1192
"Chief Justice, Supreme Court",0466,1058,614,1672,4184,39.96%,986,639,23,1648
"Chief Justice, Supreme Court",0467,213,189,402,1270,31.65%,98,290,7,395
"Chief Justice, Supreme Court",0468,352,443,795,3598,22.10%,250,517,7,774
"Chief Justice, Supreme Court",0469,1299,547,1846,3985,46.32%,1480,310,22,1812
"Chief Justice, Supreme Court",0470,185,176,361,1326,27.22%,269,70,12,351
"Chief Justice, Supreme Court",0471,375,380,755,2387,31.63%,604,124,20,748
"Chief Justice, Supreme Court",0472,198,278,476,1081,44.03%,220,228,13,461
"Chief Justice, Supreme Court",0473,603,391,994,1806,55.04%,714,240,20,974
"Chief Justice, Supreme Court",0474,559,588,1147,3037,37.77%,794,299,33,1126
"Chief Justice, Supreme Court",0475,189,267,456,1809,25.21%,221,211,10,442
"Chief Justice, Supreme Court",0476,404,473,877,2430,36.09%,484,346,23,853
"Chief Justice, Supreme Court",0477,737,567,1304,3505,37.20%,989,262,33,1284
"Chief Justice, Supreme Court",0478,958,657,1615,4461,36.20%,1105,448,34,1587
"Chief Justice, Supreme Court",0479,640,612,1252,2714,46.13%,923,264,37,1224
"Chief Justice, Supreme Court",0480,493,450,943,2415,39.05%,678,219,29,926
"Chief Justice, Supreme Court",0481,770,623,1393,3482,40.01%,1054,268,28,1350
"Chief Justice, Supreme Court",0482,878,630,1508,4373,34.48%,1069,356,58,1483
"Chief Justice, Supreme Court",0483,1043,478,1521,4308,35.31%,890,554,39,1483
"Chief Justice, Supreme Court",0484,1107,930,2037,4979,40.91%,1482,487,37,2006
"Chief Justice, Supreme Court",0485,1095,911,2006,5388,37.23%,1556,376,50,1982
"Chief Justice, Supreme Court",0486,873,855,1728,3866,44.70%,1343,300,46,1689
"Chief Justice, Supreme Court",0487,570,294,864,3860,22.38%,315,477,18,810
"Chief Justice, Supreme Court",0488,268,254,522,1719,30.37%,196,284,15,495
"Chief Justice, Supreme Court",0489,350,290,640,1893,33.81%,226,384,15,625
"Chief Justice, Supreme Court",0490,444,368,812,1975,41.11%,308,464,16,788
"Chief Justice, Supreme Court",0491,315,372,687,1888,36.39%,419,232,24,675
"Chief Justice, Supreme Court",0492,556,410,966,2335,41.37%,611,323,13,947
"Chief Justice, Supreme Court",0493,480,322,802,1853,43.28%,548,208,18,774
"Chief Justice, Supreme Court",0494,381,247,628,2467,25.46%,81,530,8,619
"Chief Justice, Supreme Court",0495,522,523,1045,2375,44.00%,768,221,27,1016
"Chief Justice, Supreme Court",0496,190,315,505,2160,23.38%,200,286,8,494
"Chief Justice, Supreme Court",0497,526,243,769,2257,34.07%,22,728,2,752
"Chief Justice, Supreme Court",0498,363,323,686,2297,29.87%,305,345,24,674
"Chief Justice, Supreme Court",0499,751,518,1269,2326,54.56%,950,259,33,1242
"Chief Justice, Supreme Court",0500,729,715,1444,3507,41.17%,1004,368,38,1410
"Chief Justice, Supreme Court",0501,341,417,758,1801,42.09%,274,424,36,734
"Chief Justice, Supreme Court",0502,477,350,827,2501,33.07%,664,127,14,805
"Chief Justice, Supreme Court",0503,174,116,290,1374,21.11%,107,157,8,272
"Chief Justice, Supreme Court",0504,624,527,1151,2288,50.31%,773,306,41,1120
"Chief Justice, Supreme Court",0505,531,562,1193,3773,31.62%,545,565,44,1154
"Chief Justice, Supreme Court",0506,665,670,1335,3502,38.12%,236,1048,15,1299
"Chief Justice, Supreme Court",0507,221,149,370,2452,15.09%,72,231,5,308
"Chief Justice, Supreme Court",0508,492,412,904,3287,27.50%,335,491,26,852
"Chief Justice, Supreme Court",0509,754,596,1350,3732,36.17%,949,328,44,1321
"Chief Justice, Supreme Court",0510,689,514,1203,3590,33.51%,614,522,43,1179
"Chief Justice, Supreme Court",0511,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0512,602,660,1262,5057,24.96%,585,627,35,1247
"Chief Justice, Supreme Court",0513,1019,487,1506,2894,52.04%,1181,270,29,1480
"Chief Justice, Supreme Court",0514,954,720,1674,4275,39.16%,1272,321,48,1641
"Chief Justice, Supreme Court",0515,943,683,1626,3455,47.06%,1313,244,38,1595
"Chief Justice, Supreme Court",0516,1001,800,1801,5356,33.63%,963,752,48,1763
"Chief Justice, Supreme Court",0517,482,256,738,2954,24.98%,425,281,16,722
"Chief Justice, Supreme Court",0518,635,693,1328,3943,33.68%,877,396,28,1301
"Chief Justice, Supreme Court",0519,623,493,1116,2966,37.63%,835,237,29,1101
"Chief Justice, Supreme Court",0520,474,457,931,4580,20.33%,174,732,14,920
"Chief Justice, Supreme Court",0521,471,464,935,2866,32.62%,496,395,24,915
"Chief Justice, Supreme Court",0522,716,572,1288,2689,47.90%,992,234,38,1264
"Chief Justice, Supreme Court",0523,751,415,1166,3052,38.20%,796,312,37,1145
"Chief Justice, Supreme Court",0524,568,459,1027,3410,30.12%,355,631,15,1001
"Chief Justice, Supreme Court",0525,707,482,1189,3091,38.47%,294,856,15,1165
"Chief Justice, Supreme Court",0526,58,84,152,780,19.49%,44,93,6,143
"Chief Justice, Supreme Court",0527,37,40,77,574,13.41%,40,32,4,76
"Chief Justice, Supreme Court",0528,14,12,26,90,28.89%,1,22,1,24
"Chief Justice, Supreme Court",0529,1043,491,1534,3710,41.35%,1312,154,35,1501
"Chief Justice, Supreme Court",0530,114,107,221,1196,18.48%,54,149,7,210
"Chief Justice, Supreme Court",0531,363,174,537,1145,46.90%,421,96,6,523
"Chief Justice, Supreme Court",0532,205,146,351,1048,33.49%,263,79,6,348
"Chief Justice, Supreme Court",0533,124,108,232,1119,20.73%,132,86,7,225
"Chief Justice, Supreme Court",0534,783,524,1,307,3837,34.06%,990,257,27,1274
"Chief Justice, Supreme Court",0535,33,29,62,416,14.90%,28,31,2,61
"Chief Justice, Supreme Court",0536,554,780,1,334,5139,25.96%,511,761,30,1302
"Chief Justice, Supreme Court",0537,857,778,1635,3050,53.61%,1212,362,26,1600
"Chief Justice, Supreme Court",0538,204,160,364,1,303,27.94%,12,342,3,357
"Chief Justice, Supreme Court",0539,15,241,256,64,400.00%,76,162,9,247
"Chief Justice, Supreme Court",0540,378,316,694,1567,44.29%,304,348,15,667
"Chief Justice, Supreme Court",0541,789,505,1294,4599,28.14%,188,1046,27,1261
"Chief Justice, Supreme Court",0542,360,382,742,2557,29.02%,47,662,9,718
"Chief Justice, Supreme Court",0543,141,213,354,1565,22.62%,124,211,7,342
"Chief Justice, Supreme Court",0544,35,41,77,310,24.84%,13,61,0,74
"Chief Justice, Supreme Court",0545,596,620,1216,3629,33.51%,629,543,27,1199
"Chief Justice, Supreme Court",0546,2,2,4,37,10.81%,3,1,0,4
"Chief Justice, Supreme Court",0547,501,466,967,2406,40.19%,672,230,40,942
"Chief Justice, Supreme Court",0548,286,293,579,2215,26.14%,301,254,15,570
"Chief Justice, Supreme Court",0549,343,418,761,2663,28.58%,110,631,4,745
"Chief Justice, Supreme Court",0550,501,431,932,3031,30.75%,529,362,25,916
"Chief Justice, Supreme Court",0551,1288,1394,2682,7034,38.13%,2040,557,50,2647
"Chief Justice, Supreme Court",0552,847,883,1730,3415,50.66%,1449,228,24,1701
"Chief Justice, Supreme Court",0553,579,529,1108,4686,23.64%,503,556,28,1087
"Chief Justice, Supreme Court",0554,261,199,460,1757,26.18%,98,329,8,435
"Chief Justice, Supreme Court",0555,225,277,502,2219,22.62%,108,369,10,487
"Chief Justice, Supreme Court",0556,276,186,462,2319,19.92%,134,302,13,449
"Chief Justice, Supreme Court",0557,455,183,638,2830,22.54%,275,290,10,575
"Chief Justice, Supreme Court",0558,694,463,1157,4380,26.42%,408,688,33,1129
"Chief Justice, Supreme Court",0559,641,494,1135,4969,22.84%,338,739,29,1106
"Chief Justice, Supreme Court",0560,72,131,203,1120,18.13%,54,135,4,193
"Chief Justice, Supreme Court",0561,362,436,798,3064,26.04%,489,269,24,782
"Chief Justice, Supreme Court",0562,113,68,181,694,26.08%,23,153,2,178
"Chief Justice, Supreme Court",0563,1108,376,1484,3105,47.79%,1178,249,32,1459
"Chief Justice, Supreme Court",0564,471,426,897,3155,28.43%,243,602,30,875
"Chief Justice, Supreme Court",0565,108,78,186,1354,13.74%,44,128,4,176
"Chief Justice, Supreme Court",0566,418,324,742,2882,25.75%,229,474,23,726
"Chief Justice, Supreme Court",0567,301,193,494,2238,22.07%,172,282,9,463
"Chief Justice, Supreme Court",0568,876,685,1561,3594,43.43%,1027,448,38,1513
"Chief Justice, Supreme Court",0569,575,667,1242,3525,35.23%,688,488,34,1210
"Chief Justice, Supreme Court",0570,239,210,449,1562,28.75%,154,255,16,425
"Chief Justice, Supreme Court",0571,155,149,304,1827,16.64%,118,173,3,294
"Chief Justice, Supreme Court",0572,556,375,931,3108,29.95%,494,398,29,921
"Chief Justice, Supreme Court",0573,290,151,441,1619,27.24%,5,425,5,435
"Chief Justice, Supreme Court",0574,31,42,73,402,18.16%,9,63,1,73
"Chief Justice, Supreme Court",0575,13,11,24,74,32.43%,17,6,0,23
"Chief Justice, Supreme Court",0576,486,318,804,2734,29.41%,23,758,10,791
"Chief Justice, Supreme Court",0577,148,88,236,608,38.82%,142,88,1,231
"Chief Justice, Supreme Court",0578,409,538,947,1799,52.64%,592,307,22,921
"Chief Justice, Supreme Court",0579,76,101,177,1056,16.76%,33,134,3,170
"Chief Justice, Supreme Court",0580,179,118,297,1031,28.81%,3,287,0,290
"Chief Justice, Supreme Court",0581,212,174,386,1032,37.40%,8,370,2,380
"Chief Justice, Supreme Court",0582,258,171,429,1588,27.02%,23,396,1,420
"Chief Justice, Supreme Court",0583,225,131,356,1262,28.21%,10,335,3,348
"Chief Justice, Supreme Court",0584,182,93,275,1014,27.12%,8,261,4,273
"Chief Justice, Supreme Court",0585,417,172,589,2511,23.46%,15,562,3,580
"Chief Justice, Supreme Court",0586,638,680,1318,4316,30.54%,789,462,34,1285
"Chief Justice, Supreme Court",0587,439,284,723,2598,27.83%,289,409,15,713
"Chief Justice, Supreme Court",0588,758,674,1432,3645,39.29%,1021,347,38,1406
"Chief Justice, Supreme Court",0589,500,386,886,3420,25.91%,486,351,30,867
"Chief Justice, Supreme Court",0590,773,399,1172,2162,54.21%,928,200,23,1151
"Chief Justice, Supreme Court",0591,183,231,414,2121,19.52%,123,264,9,396
"Chief Justice, Supreme Court",0592,133,157,290,1350,21.48%,80,199,4,283
"Chief Justice, Supreme Court",0593,544,564,1108,4380,25.30%,540,510,25,1075
"Chief Justice, Supreme Court",0594,561,326,887,2490,35.62%,258,608,9,875
"Chief Justice, Supreme Court",0595,201,178,379,1693,22.39%,71,296,6,373
"Chief Justice, Supreme Court",0596,441,348,789,3007,26.24%,434,313,28,775
"Chief Justice, Supreme Court",0597,367,394,761,3653,20.83%,322,413,18,753
"Chief Justice, Supreme Court",0598,195,57,252,728,34.62%,209,34,5,248
"Chief Justice, Supreme Court",0599,850,578,1428,4950,28.85%,516,862,23,1401
"Chief Justice, Supreme Court",0600,667,429,1096,3957,27.70%,441,593,22,1056
"Chief Justice, Supreme Court",0601,1074,756,1830,4057,45.11%,1385,367,45,1797
"Chief Justice, Supreme Court",0602,293,235,528,1326,39.82%,385,126,15,526
"Chief Justice, Supreme Court",0603,884,794,1678,4843,34.65%,1052,539,56,1647
"Chief Justice, Supreme Court",0604,702,518,1220,3005,40.60%,1011,164,24,1199
"Chief Justice, Supreme Court",0605,907,556,1463,5582,26.21%,371,1052,16,1439
"Chief Justice, Supreme Court",0606,176,70,246,937,26.25%,3,240,0,243
"Chief Justice, Supreme Court",0607,52,51,113,728,15.52%,13,94,0,107
"Chief Justice, Supreme Court",0608,31,47,78,537,14.53%,44,28,1,73
"Chief Justice, Supreme Court",0609,557,680,1347,3384,39.80%,849,434,28,1311
"Chief Justice, Supreme Court",0610,231,188,419,1927,21.74%,227,164,13,404
"Chief Justice, Supreme Court",0611,495,242,737,2488,29.62%,21,697,3,721
"Chief Justice, Supreme Court",0612,996,497,1493,3307,45.15%,1136,282,33,1451
"Chief Justice, Supreme Court",0613,186,204,390,1554,25.10%,64,316,6,386
"Chief Justice, Supreme Court",0614,737,566,1303,4207,30.97%,504,752,19,1275
"Chief Justice, Supreme Court",0615,480,299,779,1967,39.60%,492,254,19,765
"Chief Justice, Supreme Court",0616,739,663,1402,3436,40.80%,986,352,35,1373
"Chief Justice, Supreme Court",0617,541,393,934,3809,24.52%,379,520,24,923
"Chief Justice, Supreme Court",0618,946,567,1513,6003,25.20%,751,693,41,1485
"Chief Justice, Supreme Court",0619,1219,803,2022,4297,47.06%,1503,412,62,1977
"Chief Justice, Supreme Court",0620,689,264,953,2897,32.90%,624,297,9,930
"Chief Justice, Supreme Court",0621,154,101,255,1133,22.51%,137,100,11,248
"Chief Justice, Supreme Court",0622,881,524,1405,4403,31.91%,879,468,30,1377
"Chief Justice, Supreme Court",0623,887,487,1374,3691,37.23%,944,375,26,1345
"Chief Justice, Supreme Court",0624,1,1,2,3,66.67%,1,1,0,2
"Chief Justice, Supreme Court",0625,477,362,839,1820,46.10%,497,297,23,817
"Chief Justice, Supreme Court",0626,581,440,1021,2861,35.69%,581,392,20,993
"Chief Justice, Supreme Court",0627,346,322,668,3049,21.91%,239,394,12,645
"Chief Justice, Supreme Court",0628,152,219,371,1675,22.15%,200,158,8,366
"Chief Justice, Supreme Court",0629,37,53,90,696,12.93%,16,74,0,90
"Chief Justice, Supreme Court",0630,976,600,1576,3905,40.36%,119,1413,18,1550
"Chief Justice, Supreme Court",0631,822,404,1226,2846,43.08%,901,277,25,1203
"Chief Justice, Supreme Court",0632,7,4,11,343,3.21%,4,7,0,11
"Chief Justice, Supreme Court",0633,945,731,1676,3559,47.09%,1199,411,35,1645
"Chief Justice, Supreme Court",0634,458,442,900,3029,29.71%,584,268,30,882
"Chief Justice, Supreme Court",0635,743,485,1228,3393,36.19%,904,261,42,1207
"Chief Justice, Supreme Court",0636,835,874,1710,4140,41.30%,1482,177,23,1682
"Chief Justice, Supreme Court",0637,409,362,771,2512,30.69%,191,529,16,736
"Chief Justice, Supreme Court",0638,304,245,549,2204,24.91%,44,485,5,534
"Chief Justice, Supreme Court",0639,549,547,1096,2526,43.39%,876,162,31,1069
"Chief Justice, Supreme Court",0640,641,459,1100,3733,29.47%,680,369,28,1077
"Chief Justice, Supreme Court",0641,649,596,1245,3650,34.11%,832,361,28,1221
"Chief Justice, Supreme Court",0642,472,394,866,1764,49.09%,705,131,15,851
"Chief Justice, Supreme Court",0643,934,653,1587,5945,26.69%,623,896,36,1555
"Chief Justice, Supreme Court",0644,1020,823,1843,5523,33.37%,1215,535,47,1797
"Chief Justice, Supreme Court",0645,655,594,1249,4185,29.84%,685,505,32,1222
"Chief Justice, Supreme Court",0646,364,287,651,2220,29.32%,204,402,7,613
"Chief Justice, Supreme Court",0647,904,470,1374,6084,22.58%,390,870,13,1273
"Chief Justice, Supreme Court",0648,838,579,1417,3367,42.08%,1030,336,30,1396
"Chief Justice, Supreme Court",0649,687,434,1121,4576,24.50%,370,682,21,1073
"Chief Justice, Supreme Court",0650,906,766,1672,3888,43.00%,1222,372,38,1632
"Chief Justice, Supreme Court",0651,963,766,1729,5128,33.72%,1112,533,43,1688
"Chief Justice, Supreme Court",0652,467,515,982,2815,34.88%,175,771,13,959
"Chief Justice, Supreme Court",0653,0,4,4,0,0.00%,0,4,0,4
"Chief Justice, Supreme Court",0654,950,1005,1955,6208,31.49%,1073,789,47,1909
"Chief Justice, Supreme Court",0655,1115,1079,2195,6855,32.02%,1367,723,66,2156
"Chief Justice, Supreme Court",0656,579,393,972,2674,36.35%,40,908,6,954
"Chief Justice, Supreme Court",0657,247,172,419,1292,32.43%,175,235,5,415
"Chief Justice, Supreme Court",0658,540,426,966,2807,34.41%,630,307,16,953
"Chief Justice, Supreme Court",0659,1150,788,1938,4856,39.91%,1390,476,46,1912
"Chief Justice, Supreme Court",0660,950,825,1775,5372,33.04%,167,1564,19,1750
"Chief Justice, Supreme Court",0661,675,765,1440,4567,31.53%,843,529,36,1408
"Chief Justice, Supreme Court",0662,1148,890,2038,4874,41.81%,1636,340,28,2004
"Chief Justice, Supreme Court",0663,719,797,1515,3346,45.31%,762,654,44,1460
"Chief Justice, Supreme Court",0664,352,250,602,2869,20.98%,131,434,16,581
"Chief Justice, Supreme Court",0665,484,348,832,2154,38.63%,697,100,23,820
"Chief Justice, Supreme Court",0666,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0667,488,502,990,2149,46.07%,778,174,24,976
"Chief Justice, Supreme Court",0668,399,509,908,2775,32.72%,573,276,40,889
"Chief Justice, Supreme Court",0669,850,738,1588,3425,46.36%,1155,371,31,1557
"Chief Justice, Supreme Court",0670,957,471,1428,2983,47.87%,1138,223,41,1402
"Chief Justice, Supreme Court",0671,403,565,968,3037,31.87%,596,322,33,951
"Chief Justice, Supreme Court",0672,960,862,1822,5706,31.93%,1224,523,43,1790
"Chief Justice, Supreme Court",0673,729,516,1245,2995,41.57%,985,198,28,1211
"Chief Justice, Supreme Court",0674,1071,618,1689,4091,41.29%,1257,353,39,1649
"Chief Justice, Supreme Court",0675,0,1,1,0,0.00%,1,0,0,1
"Chief Justice, Supreme Court",0676,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0677,127,127,254,1266,20.06%,96,144,4,244
"Chief Justice, Supreme Court",0678,166,108,274,735,37.28%,174,79,10,263
"Chief Justice, Supreme Court",0679,635,520,1155,3381,34.16%,873,232,15,1120
"Chief Justice, Supreme Court",0680,21,14,35,162,21.60%,13,20,2,35
