Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,"REP Michael ""Mike"" Schneider",Totals
"Family District Judge, 315th Judicial District",0361,41,295,336,1673,20.08%,108,108
"Family District Judge, 315th Judicial District",0362,1138,887,2025,5086,39.82%,1569,1569
"Family District Judge, 315th Judicial District",0363,620,412,1032,3677,28.07%,529,529
"Family District Judge, 315th Judicial District",0364,488,405,893,2658,33.60%,564,564
"Family District Judge, 315th Judicial District",0365,478,231,709,1305,54.33%,92,92
"Family District Judge, 315th Judicial District",0366,252,270,522,2454,21.27%,190,190
"Family District Judge, 315th Judicial District",0367,170,138,308,1130,27.26%,92,92
"Family District Judge, 315th Judicial District",0368,178,88,266,958,27.77%,98,98
"Family District Judge, 315th Judicial District",0369,32,29,61,559,10.91%,25,25
"Family District Judge, 315th Judicial District",0370,1532,1105,2637,6593,40.00%,2077,2077
"Family District Judge, 315th Judicial District",0371,122,52,174,502,34.66%,14,14
"Family District Judge, 315th Judicial District",0372,221,170,391,1224,31.94%,76,76
"Family District Judge, 315th Judicial District",0373,21,12,33,157,21.02%,4,4
"Family District Judge, 315th Judicial District",0374,85,93,158,738,21.41%,65,65
"Family District Judge, 315th Judicial District",0375,254,220,474,2645,17.92%,275,275
"Family District Judge, 315th Judicial District",0376,278,205,483,1910,25.29%,243,243
"Family District Judge, 315th Judicial District",0377,526,583,1109,2920,37.98%,839,839
"Family District Judge, 315th Judicial District",0378,232,354,586,1829,32.04%,403,403
"Family District Judge, 315th Judicial District",0379,431,289,720,2027,35.52%,113,113
"Family District Judge, 315th Judicial District",0380,1299,995,2294,5666,40.49%,1387,1387
"Family District Judge, 315th Judicial District",0381,412,248,660,2855,23.12%,353,353
"Family District Judge, 315th Judicial District",0382,132,157,289,922,31.34%,226,226
"Family District Judge, 315th Judicial District",0383,289,263,552,2173,25.40%,258,258
"Family District Judge, 315th Judicial District",0384,573,373,946,2657,35.60%,255,255
"Family District Judge, 315th Judicial District",0385,583,670,1253,2207,56.77%,982,982
"Family District Judge, 315th Judicial District",0386,662,469,1131,2922,38.71%,872,872
"Family District Judge, 315th Judicial District",0387,555,672,1227,3935,31.18%,937,937
"Family District Judge, 315th Judicial District",0388,1430,1010,2440,6888,35.42%,1534,1534
"Family District Judge, 315th Judicial District",0389,91,208,299,1026,29.14%,88,88
"Family District Judge, 315th Judicial District",0390,356,263,619,1480,41.82%,144,144
"Family District Judge, 315th Judicial District",0391,508,260,768,1883,40.79%,517,517
"Family District Judge, 315th Judicial District",0392,387,155,542,1446,37.48%,34,34
"Family District Judge, 315th Judicial District",0393,165,185,350,1292,27.09%,191,191
"Family District Judge, 315th Judicial District",0394,89,73,142,834,17.03%,78,78
"Family District Judge, 315th Judicial District",0395,469,404,873,1846,47.29%,663,663
"Family District Judge, 315th Judicial District",0396,622,216,838,2082,40.25%,44,44
"Family District Judge, 315th Judicial District",0397,86,78,164,760,21.58%,90,90
"Family District Judge, 315th Judicial District",0398,615,521,1136,4022,28.24%,680,680
"Family District Judge, 315th Judicial District",0399,402,366,768,2791,27.52%,474,474
"Family District Judge, 315th Judicial District",0400,620,359,979,2411,40.61%,765,765
"Family District Judge, 315th Judicial District",0401,330,205,535,1913,27.97%,50,50
"Family District Judge, 315th Judicial District",0402,466,266,732,1794,40.80%,68,68
"Family District Judge, 315th Judicial District",0403,475,498,973,1715,56.73%,594,594
"Family District Judge, 315th Judicial District",0404,419,330,749,2585,28.97%,484,484
"Family District Judge, 315th Judicial District",0405,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0406,137,67,204,628,32.48%,16,16
"Family District Judge, 315th Judicial District",0407,688,793,1481,3769,39.29%,1067,1067
"Family District Judge, 315th Judicial District",0408,146,153,299,1691,17.68%,168,168
"Family District Judge, 315th Judicial District",0409,122,149,271,1459,18.57%,131,131
"Family District Judge, 315th Judicial District",0410,132,80,212,899,23.58%,51,51
"Family District Judge, 315th Judicial District",0411,235,200,435,2339,18.60%,195,195
"Family District Judge, 315th Judicial District",0412,74,44,118,468,25.21%,15,15
"Family District Judge, 315th Judicial District",0413,767,386,1153,2992,38.54%,505,505
"Family District Judge, 315th Judicial District",0414,654,480,1134,3453,32.84%,905,905
"Family District Judge, 315th Judicial District",0415,539,598,1137,2203,51.61%,800,800
"Family District Judge, 315th Judicial District",0416,538,558,1096,3791,28.91%,684,684
"Family District Judge, 315th Judicial District",0417,353,385,738,2448,30.15%,415,415
"Family District Judge, 315th Judicial District",0418,403,469,872,3584,24.33%,426,426
"Family District Judge, 315th Judicial District",0419,571,324,895,2658,33.67%,638,638
"Family District Judge, 315th Judicial District",0420,1036,874,1910,4762,40.11%,1597,1597
"Family District Judge, 315th Judicial District",0421,36,37,73,410,17.80%,34,34
"Family District Judge, 315th Judicial District",0422,731,402,1133,3345,33.87%,83,83
"Family District Judge, 315th Judicial District",0423,108,120,228,1376,16.57%,95,95
"Family District Judge, 315th Judicial District",0424,240,111,351,967,36.30%,230,230
"Family District Judge, 315th Judicial District",0425,107,123,230,883,26.05%,102,102
"Family District Judge, 315th Judicial District",0426,260,183,443,1218,36.37%,288,288
"Family District Judge, 315th Judicial District",0427,179,134,313,1092,28.66%,153,153
"Family District Judge, 315th Judicial District",0428,619,421,1040,4538,22.92%,411,411
"Family District Judge, 315th Judicial District",0429,445,314,759,3197,23.74%,269,269
"Family District Judge, 315th Judicial District",0430,161,133,294,1657,17.74%,117,117
"Family District Judge, 315th Judicial District",0431,327,84,411,3417,12.03%,184,184
"Family District Judge, 315th Judicial District",0432,123,157,280,1455,19.24%,128,128
"Family District Judge, 315th Judicial District",0433,50,63,113,581,19.45%,36,36
"Family District Judge, 315th Judicial District",0434,370,289,659,1503,43.85%,454,454
"Family District Judge, 315th Judicial District",0435,855,636,1491,3252,45.85%,1035,1035
"Family District Judge, 315th Judicial District",0436,629,531,1160,2933,39.55%,792,792
"Family District Judge, 315th Judicial District",0437,521,512,1033,2033,50.81%,757,757
"Family District Judge, 315th Judicial District",0438,617,389,1006,1861,54.06%,784,784
"Family District Judge, 315th Judicial District",0439,710,884,1594,3554,44.85%,1200,1200
"Family District Judge, 315th Judicial District",0440,664,858,1522,2930,51.95%,1231,1231
"Family District Judge, 315th Judicial District",0441,345,420,765,1669,45.84%,598,598
"Family District Judge, 315th Judicial District",0442,612,574,1186,2575,46.06%,997,997
"Family District Judge, 315th Judicial District",0443,226,138,364,646,56.35%,272,272
"Family District Judge, 315th Judicial District",0444,687,583,1270,3262,38.93%,859,859
"Family District Judge, 315th Judicial District",0445,499,348,847,2026,41.81%,599,599
"Family District Judge, 315th Judicial District",0446,31,22,53,291,18.21%,27,27
"Family District Judge, 315th Judicial District",0447,93,86,179,637,28.10%,70,70
"Family District Judge, 315th Judicial District",0448,590,778,1368,3138,43.59%,820,820
"Family District Judge, 315th Judicial District",0449,12,23,35,198,17.68%,5,5
"Family District Judge, 315th Judicial District",0450,435,328,763,2635,28.96%,290,290
"Family District Judge, 315th Judicial District",0451,1002,510,1512,2687,56.27%,1266,1266
"Family District Judge, 315th Judicial District",0452,554,444,998,3048,32.74%,773,773
"Family District Judge, 315th Judicial District",0453,231,262,493,1937,25.45%,231,231
"Family District Judge, 315th Judicial District",0454,594,248,842,2561,32.88%,35,35
"Family District Judge, 315th Judicial District",0455,367,165,532,1689,31.50%,42,42
"Family District Judge, 315th Judicial District",0456,482,362,844,3513,24.03%,533,533
"Family District Judge, 315th Judicial District",0457,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0458,471,237,708,1924,36.80%,84,84
"Family District Judge, 315th Judicial District",0459,951,474,1425,3021,47.17%,1170,1170
"Family District Judge, 315th Judicial District",0460,554,331,885,2837,31.19%,303,303
"Family District Judge, 315th Judicial District",0461,1165,735,1900,3871,49.08%,1382,1382
"Family District Judge, 315th Judicial District",0462,674,619,1293,3384,38.21%,555,555
"Family District Judge, 315th Judicial District",0463,480,404,884,3326,26.58%,483,483
"Family District Judge, 315th Judicial District",0464,356,430,786,2257,34,82%,592,592
"Family District Judge, 315th Judicial District",0465,687,520,1207,3564,33.87%,765,765
"Family District Judge, 315th Judicial District",0466,1058,614,1672,4184,39.96%,1044,1044
"Family District Judge, 315th Judicial District",0467,213,189,402,1270,31.65%,126,126
"Family District Judge, 315th Judicial District",0468,352,443,795,3598,22.10%,305,305
"Family District Judge, 315th Judicial District",0469,1294,547,1841,3985,46.20%,1479,1479
"Family District Judge, 315th Judicial District",0470,185,176,361,1326,27.22%,287,287
"Family District Judge, 315th Judicial District",0471,375,380,755,2387,31.63%,637,637
"Family District Judge, 315th Judicial District",0472,198,278,476,1081,44.03%,244,244
"Family District Judge, 315th Judicial District",0473,599,391,990,1806,54.82%,717,717
"Family District Judge, 315th Judicial District",0474,559,588,1147,3037,37.77%,853,853
"Family District Judge, 315th Judicial District",0475,189,267,456,1809,25.21%,252,252
"Family District Judge, 315th Judicial District",0476,404,473,877,2430,36.09%,538,538
"Family District Judge, 315th Judicial District",0477,737,567,1304,3505,37.20%,1056,1056
"Family District Judge, 315th Judicial District",0478,958,657,1615,4461,36.20%,1153,1153
"Family District Judge, 315th Judicial District",0479,638,612,1250,2714,46.06%,976,976
"Family District Judge, 315th Judicial District",0480,493,450,943,2415,39.05%,713,713
"Family District Judge, 315th Judicial District",0481,770,623,1393,3482,40.01%,1116,1116
"Family District Judge, 315th Judicial District",0482,878,630,1508,4373,34.48%,1158,1158
"Family District Judge, 315th Judicial District",0483,1042,478,1520,4308,35.28%,977,977
"Family District Judge, 315th Judicial District",0484,1107,930,2037,4979,40.91%,1553,1553
"Family District Judge, 315th Judicial District",0485,1095,911,2006,5388,37.23%,1636,1636
"Family District Judge, 315th Judicial District",0486,873,855,1728,3866,44.70%,1400,1400
"Family District Judge, 315th Judicial District",0487,570,294,864,3860,22.38%,358,358
"Family District Judge, 315th Judicial District",0488,268,254,522,1719,30.37%,229,229
"Family District Judge, 315th Judicial District",0489,350,290,640,1893,33.81%,271,271
"Family District Judge, 315th Judicial District",0490,444,368,812,1975,41.11%,339,339
"Family District Judge, 315th Judicial District",0491,314,372,686,1888,36.33%,451,451
"Family District Judge, 315th Judicial District",0492,556,410,966,2335,41.37%,630,630
"Family District Judge, 315th Judicial District",0493,479,322,801,1853,43.23%,576,576
"Family District Judge, 315th Judicial District",0494,381,247,628,2467,25.46%,122,122
"Family District Judge, 315th Judicial District",0495,522,523,1045,2375,44.00%,791,791
"Family District Judge, 315th Judicial District",0496,190,315,505,2160,23.38%,232,232
"Family District Judge, 315th Judicial District",0497,526,243,769,2257,34.07%,49,49
"Family District Judge, 315th Judicial District",0498,363,323,686,2297,29.87%,357,357
"Family District Judge, 315th Judicial District",0499,750,518,1268,2326,54.51%,973,973
"Family District Judge, 315th Judicial District",0500,729,715,1444,3507,41.17%,1072,1072
"Family District Judge, 315th Judicial District",0501,341,417,758,1801,42.09%,347,347
"Family District Judge, 315th Judicial District",0502,477,350,827,2501,33.07%,694,694
"Family District Judge, 315th Judicial District",0503,174,116,290,1374,21.11%,132,132
"Family District Judge, 315th Judicial District",0504,624,527,1151,2288,50.31%,796,796
"Family District Judge, 315th Judicial District",0505,531,562,1193,3773,31,62%,636,636
"Family District Judge, 315th Judicial District",0506,665,670,1335,3502,38.12%,335,335
"Family District Judge, 315th Judicial District",0507,221,149,370,2452,15.09%,96,96
"Family District Judge, 315th Judicial District",0508,492,412,904,3287,27.50%,402,402
"Family District Judge, 315th Judicial District",0509,753,596,1349,3732,36.15%,1022,1022
"Family District Judge, 315th Judicial District",0510,687,514,1201,3590,33.45%,684,684
"Family District Judge, 315th Judicial District",0511,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0512,602,660,1262,5057,24.96%,697,697
"Family District Judge, 315th Judicial District",0513,1019,487,1506,2894,52.04%,1207,1207
"Family District Judge, 315th Judicial District",0514,953,720,1673,4275,39.13%,1315,1315
"Family District Judge, 315th Judicial District",0515,942,683,1625,3455,47.03%,1348,1348
"Family District Judge, 315th Judicial District",0516,1000,800,1800,5356,33.61%,1054,1054
"Family District Judge, 315th Judicial District",0517,481,256,737,2954,24.95%,462,462
"Family District Judge, 315th Judicial District",0518,635,693,1328,3943,33.68%,948,948
"Family District Judge, 315th Judicial District",0519,623,493,1116,2966,37.63%,884,884
"Family District Judge, 315th Judicial District",0520,473,457,930,4580,20.31%,245,245
"Family District Judge, 315th Judicial District",0521,471,464,935,2866,32.62%,575,575
"Family District Judge, 315th Judicial District",0522,715,572,1288,2689,47.90%,1032,1032
"Family District Judge, 315th Judicial District",0523,751,415,1166,3052,38.20%,837,837
"Family District Judge, 315th Judicial District",0524,567,459,1026,3410,30.09%,425,425
"Family District Judge, 315th Judicial District",0525,707,482,1189,3091,38.47%,343,343
"Family District Judge, 315th Judicial District",0526,68,84,152,780,19.49%,52,52
"Family District Judge, 315th Judicial District",0527,37,40,77,574,13.41%,45,45
"Family District Judge, 315th Judicial District",0528,14,12,26,90,28.89%,3,3
"Family District Judge, 315th Judicial District",0529,1043,491,1534,3710,41.35%,1349,1349
"Family District Judge, 315th Judicial District",0530,114,107,221,1196,18.48%,79,79
"Family District Judge, 315th Judicial District",0531,363,174,537,1145,46.90%,431,431
"Family District Judge, 315th Judicial District",0532,205,146,351,1048,33.49%,273,273
"Family District Judge, 315th Judicial District",0533,124,108,232,1119,20.73%,144,144
"Family District Judge, 315th Judicial District",0534,783,524,1307,3837,34.06%,1054,1054
"Family District Judge, 315th Judicial District",0535,33,29,62,416,14.90%,39,39
"Family District Judge, 315th Judicial District",0536,554,780,1334,5139,25.96%,639,639
"Family District Judge, 315th Judicial District",0537,855,778,1633,3050,53.54%,1239,1239
"Family District Judge, 315th Judicial District",0538,204,160,364,1303,27.94%,30,30
"Family District Judge, 315th Judicial District",0539,15,241,256,64,400.00%,99,99
"Family District Judge, 315th Judicial District",0540,378,316,694,1567,44.29%,324,324
"Family District Judge, 315th Judicial District",0541,784,505,1289,4599,28.03%,313,313
"Family District Judge, 315th Judicial District",0542,360,382,742,2557,29.02%,105,105
"Family District Judge, 315th Judicial District",0543,141,213,354,1565,22.62%,163,163
"Family District Judge, 315th Judicial District",0544,35,41,77,310,24.84%,15,15
"Family District Judge, 315th Judicial District",0545,596,620,1216,3629,33.51%,687,687
"Family District Judge, 315th Judicial District",0546,2,2,4,37,10.81%,3,3
"Family District Judge, 315th Judicial District",0547,501,466,967,2406,40.19%,729,729
"Family District Judge, 315th Judicial District",0548,286,293,579,2215,26.14%,346,346
"Family District Judge, 315th Judicial District",0549,343,418,761,2663,28.58%,158,158
"Family District Judge, 315th Judicial District",0550,501,431,932,3031,30.75%,569,569
"Family District Judge, 315th Judicial District",0551,1288,1394,2682,7034,38.13%,2154,2154
"Family District Judge, 315th Judicial District",0552,847,883,1730,3415,50.66%,1469,1469
"Family District Judge, 315th Judicial District",0553,578,529,1107,4686,23.62%,601,601
"Family District Judge, 315th Judicial District",0554,261,199,460,1757,26.18%,135,135
"Family District Judge, 315th Judicial District",0555,225,277,502,2219,22.62%,143,143
"Family District Judge, 315th Judicial District",0556,276,186,462,2319,19.92%,157,157
"Family District Judge, 315th Judicial District",0557,455,183,638,2830,22.54%,305,305
"Family District Judge, 315th Judicial District",0558,693,463,1156,4380,26.39%,505,505
"Family District Judge, 315th Judicial District",0559,640,494,1134,4969,22.82%,441,441
"Family District Judge, 315th Judicial District",0560,72,131,203,1120,18.13%,81,81
"Family District Judge, 315th Judicial District",0561,362,436,798,3064,26.04%,515,515
"Family District Judge, 315th Judicial District",0562,113,68,181,694,26.08%,36,36
"Family District Judge, 315th Judicial District",0563,1107,376,1483,3105,47.76%,1202,1202
"Family District Judge, 315th Judicial District",0564,470,426,896,3155,28.40%,332,332
"Family District Judge, 315th Judicial District",0565,108,78,186,1354,13.74%,57,57
"Family District Judge, 315th Judicial District",0566,417,324,741,2882,25.71%,291,291
"Family District Judge, 315th Judicial District",0567,301,193,494,2238,22.07%,193,193
"Family District Judge, 315th Judicial District",0568,876,685,1561,3594,43.43%,1073,1073
"Family District Judge, 315th Judicial District",0569,572,667,1239,3525,35.15%,754,754
"Family District Judge, 315th Judicial District",0570,238,210,448,1562,28.68%,204,204
"Family District Judge, 315th Judicial District",0571,155,149,304,1827,16.64%,143,143
"Family District Judge, 315th Judicial District",0572,555,375,930,3108,29.92%,549,549
"Family District Judge, 315th Judicial District",0573,290,151,441,1619,27.24%,24,24
"Family District Judge, 315th Judicial District",0574,31,42,73,402,18.16%,11,11
"Family District Judge, 315th Judicial District",0575,13,11,24,74,32.43%,20,20
"Family District Judge, 315th Judicial District",0576,485,318,803,2734,29.37%,53,53
"Family District Judge, 315th Judicial District",0577,147,88,235,608,38.65%,156,156
"Family District Judge, 315th Judicial District",0578,409,538,947,1799,52.64%,632,632
"Family District Judge, 315th Judicial District",0579,75,101,176,1056,16.67%,47,47
"Family District Judge, 315th Judicial District",0580,179,118,297,1031,28.81%,25,25
"Family District Judge, 315th Judicial District",0581,212,174,386,1032,37.40%,23,23
"Family District Judge, 315th Judicial District",0582,258,171,429,1588,27.02%,37,37
"Family District Judge, 315th Judicial District",0583,225,131,356,1262,28.21%,28,28
"Family District Judge, 315th Judicial District",0584,182,93,275,1014,27.12%,31,31
"Family District Judge, 315th Judicial District",0585,417,172,589,2511,23.46%,48,48
"Family District Judge, 315th Judicial District",0586,638,680,1318,4316,30.54%,859,859
"Family District Judge, 315th Judicial District",0587,436,284,720,2598,27.71%,329,329
"Family District Judge, 315th Judicial District",0588,758,674,1432,3645,39.29%,1077,1077
"Family District Judge, 315th Judicial District",0589,500,386,886,3420,25.91%,548,548
"Family District Judge, 315th Judicial District",0590,772,399,1171,2162,54.16%,942,942
"Family District Judge, 315th Judicial District",0591,183,231,414,2121,19.52%,162,162
"Family District Judge, 315th Judicial District",0592,133,157,290,1350,21.48%,98,98
"Family District Judge, 315th Judicial District",0593,543,564,1107,4380,25.27%,635,635
"Family District Judge, 315th Judicial District",0594,561,326,887,2490,35.62%,313,313
"Family District Judge, 315th Judicial District",0595,201,178,379,1693,22.39%,95,95
"Family District Judge, 315th Judicial District",0596,441,348,789,3007,26.24%,490,490
"Family District Judge, 315th Judicial District",0597,367,394,761,3653,20.83%,388,388
"Family District Judge, 315th Judicial District",0598,195,57,252,728,34.62%,211,211
"Family District Judge, 315th Judicial District",0599,850,578,1428,4950,28.85%,608,608
"Family District Judge, 315th Judicial District",0600,667,429,1096,3957,27.70%,510,510
"Family District Judge, 315th Judicial District",0601,1073,756,1829,4057,45.08%,1442,1442
"Family District Judge, 315th Judicial District",0602,293,235,528,1326,39.82%,415,415
"Family District Judge, 315th Judicial District",0603,884,794,1678,4843,34.65%,1175,1175
"Family District Judge, 315th Judicial District",0604,702,518,1220,3005,40.60%,1032,1032
"Family District Judge, 315th Judicial District",0605,907,556,1463,5582,26.21%,484,484
"Family District Judge, 315th Judicial District",0606,176,70,246,937,26.25%,15,15
"Family District Judge, 315th Judicial District",0607,52,51,113,728,15.52%,18,18
"Family District Judge, 315th Judicial District",0608,31,47,78,537,14.53%,50,50
"Family District Judge, 315th Judicial District",0609,557,680,1347,3384,39.80%,908,908
"Family District Judge, 315th Judicial District",0610,231,188,419,1927,21.74%,247,247
"Family District Judge, 315th Judicial District",0611,495,242,737,2488,29.62%,47,47
"Family District Judge, 315th Judicial District",0612,996,497,1493,3307,45.15%,1157,1157
"Family District Judge, 315th Judicial District",0613,186,204,390,1554,25.10%,95,95
"Family District Judge, 315th Judicial District",0614,737,566,1303,4207,30.97%,588,588
"Family District Judge, 315th Judicial District",0615,480,299,779,1967,39.60%,532,532
"Family District Judge, 315th Judicial District",0616,739,663,1402,3436,40.80%,1049,1049
"Family District Judge, 315th Judicial District",0617,541,393,934,3809,24.52%,474,474
"Family District Judge, 315th Judicial District",0618,946,567,1513,6003,25.20%,883,883
"Family District Judge, 315th Judicial District",0619,1219,803,2022,4297,47.06%,1594,1594
"Family District Judge, 315th Judicial District",0620,689,264,953,2897,32.90%,632,632
"Family District Judge, 315th Judicial District",0621,154,101,255,1133,22.51%,154,154
"Family District Judge, 315th Judicial District",0622,881,524,1405,4403,31.91%,943,943
"Family District Judge, 315th Judicial District",0623,887,487,1374,3691,37.23%,986,986
"Family District Judge, 315th Judicial District",0624,1,1,2,3,66.67%,1,1
"Family District Judge, 315th Judicial District",0625,477,362,839,1820,46.10%,521,521
"Family District Judge, 315th Judicial District",0626,581,440,1021,2861,35.69%,645,645
"Family District Judge, 315th Judicial District",0627,346,322,668,3049,21.91%,284,284
"Family District Judge, 315th Judicial District",0628,152,219,371,1675,22.15%,222,222
"Family District Judge, 315th Judicial District",0629,37,53,90,696,12.93%,19,19
"Family District Judge, 315th Judicial District",0630,974,600,1574,3905,40.31%,269,269
"Family District Judge, 315th Judicial District",0631,822,404,1226,2846,43.08%,949,949
"Family District Judge, 315th Judicial District",0632,7,4,11,343,3.21%,4,4
"Family District Judge, 315th Judicial District",0633,943,731,1674,3559,47.04%,1263,1263
"Family District Judge, 315th Judicial District",0634,458,442,900,3029,29.71%,635,635
"Family District Judge, 315th Judicial District",0635,743,485,1228,3393,36.19%,966,966
"Family District Judge, 315th Judicial District",0636,836,874,1710,4140,41.30%,1506,1506
"Family District Judge, 315th Judicial District",0637,409,362,771,2512,30.69%,260,260
"Family District Judge, 315th Judicial District",0638,304,245,549,2204,24.91%,86,86
"Family District Judge, 315th Judicial District",0639,549,547,1096,2526,43.39%,914,914
"Family District Judge, 315th Judicial District",0640,641,459,1100,3733,29.47%,748,748
"Family District Judge, 315th Judicial District",0641,649,596,1245,3650,34.11%,879,879
"Family District Judge, 315th Judicial District",0642,471,394,865,1764,49.04%,715,715
"Family District Judge, 315th Judicial District",0643,934,653,1587,5945,26.69%,746,746
"Family District Judge, 315th Judicial District",0644,1019,823,1842,5523,33.35%,1327,1327
"Family District Judge, 315th Judicial District",0645,654,594,1248,4185,29.82%,760,760
"Family District Judge, 315th Judicial District",0646,364,287,651,2220,29.32%,257,257
"Family District Judge, 315th Judicial District",0647,904,470,1374,6084,22.58%,495,495
"Family District Judge, 315th Judicial District",0648,838,579,1417,3367,42.08%,1083,1083
"Family District Judge, 315th Judicial District",0649,687,434,1121,4576,24.50%,452,452
"Family District Judge, 315th Judicial District",0650,906,766,1672,3888,43.00%,1288,1288
"Family District Judge, 315th Judicial District",0651,963,766,1729,5128,33.72%,1201,1201
"Family District Judge, 315th Judicial District",0652,467,515,982,2815,34.88%,248,248
"Family District Judge, 315th Judicial District",0653,0,4,4,0,0.00%,1,1
"Family District Judge, 315th Judicial District",0654,950,1005,1955,6208,31.49%,1219,1219
"Family District Judge, 315th Judicial District",0655,1116,1079,2195,6855,32.02%,1469,1469
"Family District Judge, 315th Judicial District",0656,579,393,972,2674,36.35%,69,69
"Family District Judge, 315th Judicial District",0657,246,172,418,1292,32.35%,198,198
"Family District Judge, 315th Judicial District",0658,540,426,966,2807,34.41%,680,680
"Family District Judge, 315th Judicial District",0659,1149,788,1937,4856,39.89%,1451,1451
"Family District Judge, 315th Judicial District",0660,950,825,1775,5372,33.04%,286,286
"Family District Judge, 315th Judicial District",0661,675,765,1440,4567,31.53%,926,926
"Family District Judge, 315th Judicial District",0662,1148,890,2038,4874,41.81%,1684,1684
"Family District Judge, 315th Judicial District",0663,717,797,1514,3346,45.25%,856,856
"Family District Judge, 315th Judicial District",0664,352,250,602,2869,20.98%,190,190
"Family District Judge, 315th Judicial District",0665,482,348,830,2154,38.53%,722,722
"Family District Judge, 315th Judicial District",0666,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0667,488,502,990,2149,46.07%,807,807
"Family District Judge, 315th Judicial District",0668,399,509,908,2775,32.72%,642,642
"Family District Judge, 315th Judicial District",0669,850,738,1588,3425,46.36%,1217,1217
"Family District Judge, 315th Judicial District",0670,955,471,1427,2983,47.84%,1174,1174
"Family District Judge, 315th Judicial District",0671,403,565,968,3037,31.87%,667,667
"Family District Judge, 315th Judicial District",0672,959,862,1821,5706,31.91%,1328,1328
"Family District Judge, 315th Judicial District",0673,729,516,1245,2995,41.57%,1023,1023
"Family District Judge, 315th Judicial District",0674,1071,618,1689,4091,41.29%,1331,1331
"Family District Judge, 315th Judicial District",0675,0,1,1,0,0.00%,1,1
"Family District Judge, 315th Judicial District",0676,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0677,127,127,254,1266,20.06%,112,112
"Family District Judge, 315th Judicial District",0678,166,108,274,735,37.28%,196,196
"Family District Judge, 315th Judicial District",0679,635,520,1155,3381,34.16%,928,928
"Family District Judge, 315th Judicial District",0680,21,14,35,162,21.60%,15,15
"Family District Judge, 315th Judicial District",0681,1,0,1,5,20.00%,1,1
"Family District Judge, 315th Judicial District",0682,711,654,1365,4216,32.38%,1063,1063
"Family District Judge, 315th Judicial District",0683,29,20,49,276,17.75%,13,13
"Family District Judge, 315th Judicial District",0684,27,22,49,223,21.97%,31,31
"Family District Judge, 315th Judicial District",0685,110,29,139,307,45.28%,69,69
"Family District Judge, 315th Judicial District",0686,17,12,29,208,13.94%,12,12
"Family District Judge, 315th Judicial District",0687,549,537,1086,2609,41.63%,790,790
"Family District Judge, 315th Judicial District",0688,999,617,1616,3504,46.12%,1344,1344
"Family District Judge, 315th Judicial District",0689,211,387,598,2346,25.49%,343,343
"Family District Judge, 315th Judicial District",0690,926,1104,2030,5102,39.79%,1719,1719
"Family District Judge, 315th Judicial District",0691,2,5,7,25,28.00%,5,5
"Family District Judge, 315th Judicial District",0692,444,548,992,2847,34.84%,780,780
"Family District Judge, 315th Judicial District",0693,167,91,258,666,38.74%,87,87
"Family District Judge, 315th Judicial District",0694,260,120,380,845,44.97%,285,285
"Family District Judge, 315th Judicial District",0695,232,193,425,1724,24.65%,295,295
"Family District Judge, 315th Judicial District",0696,261,207,468,1982,23.61%,321,321
"Family District Judge, 315th Judicial District",0697,605,613,1218,4413,27.60%,395,395
"Family District Judge, 315th Judicial District",0698,448,489,937,3189,29.38%,166,166
"Family District Judge, 315th Judicial District",0699,568,414,982,2343,41.91%,704,704
"Family District Judge, 315th Judicial District",0700,255,251,506,1371,36.91%,433,433
"Family District Judge, 315th Judicial District",0701,56,43,99,588,16.84%,69,69
"Family District Judge, 315th Judicial District",0702,54,70,134,539,24.86%,33,33
"Family District Judge, 315th Judicial District",0703,372,490,862,1882,45.80%,667,667
"Family District Judge, 315th Judicial District",0704,569,599,1168,3064,38.12%,968,968
"Family District Judge, 315th Judicial District",0705,114,113,227,1523,14.90%,43,43
"Family District Judge, 315th Judicial District",0706,115,71,186,610,30.49%,104,104
"Family District Judge, 315th Judicial District",0707,153,86,239,707,33.80%,163,163
"Family District Judge, 315th Judicial District",0708,54,52,106,563,18.83%,60,60
"Family District Judge, 315th Judicial District",0709,1375,947,2322,6848,33.91%,1535,1535
"Family District Judge, 315th Judicial District",0710,371,462,833,2082,40.01%,516,516
"Family District Judge, 315th Judicial District",0711,702,506,1208,3484,34.67%,803,803
"Family District Judge, 315th Judicial District",0712,491,463,954,3670,25.99%,490,490
"Family District Judge, 315th Judicial District",0713,228,262,490,1907,25.69%,280,280
"Family District Judge, 315th Judicial District",0714,35,19,55,296,18.58%,36,36
"Family District Judge, 315th Judicial District",0715,176,187,363,1408,25.78%,222,222
"Family District Judge, 315th Judicial District",0716,449,407,856,2680,31.94%,637,637
"Family District Judge, 315th Judicial District",0717,373,250,623,2002,31.12%,110,110
"Family District Judge, 315th Judicial District",0718,1017,806,1823,4229,43.11%,1356,1356
"Family District Judge, 315th Judicial District",0719,247,137,384,1589,24.17%,260,260
"Family District Judge, 315th Judicial District",0720,994,780,1774,4282,41.43%,1421,1421
