Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0435,855,636,1491,3252,45.85%,995,423,1418
District Clerk,0436,629,531,1160,2933,39.55%,746,350,1096
District Clerk,0437,521,512,1033,2033,50.81%,741,236,977
District Clerk,0438,517,389,1006,1861,54.06%,784,168,952
District Clerk,0439,710,884,1594,3554,44.85%,1179,329,1508
District Clerk,0440,664,858,1522,2930,51.95%,1224,211,1435
District Clerk,0441,345,420,765,1669,45.84%,598,128,726
District Clerk,0442,612,574,1186,2575,46.06%,985,160,1145
District Clerk,0443,226,138,364,646,56.35%,257,81,338
District Clerk,0444,587,583,1270,3262,38.93%,823,380,1203
District Clerk,0445,499,348,847,2026,41.81%,591,224,815
District Clerk,0446,31,22,53,291,18.21%,27,23,50
District Clerk,0447,93,86,179,637,28.10%,56,114,170
District Clerk,0448,590,778,1368,3138,43.59%,770,516,1286
District Clerk,0449,12,23,35,198,17.68%,4,31,35
District Clerk,0450,435,328,763,2635,28.96%,247,486,733
District Clerk,0451,1002,510,1512,2687,56.27%,1245,193,1438
District Clerk,0452,554,444,998,3048,32.74%,739,230,969
District Clerk,0453,231,262,493,1937,25.45%,207,268,475
District Clerk,0454,594,248,842,2561,32.88%,16,810,826
District Clerk,0455,367,165,532,1689,31.50%,23,501,524
District Clerk,0456,482,362,844,3513,24.03%,500,321,821
District Clerk,0457,0,0,0,0,0.00%,0,0,0
District Clerk,0458,471,237,708,1924,36.80%,43,638,681
District Clerk,0459,951,474,1425,3021,47.17%,1140,239,1379
District Clerk,0460,554,331,885,2837,31.19%,241,624,865
District Clerk,0461,1155,735,1900,3871,49.08%,1352,435,1787
District Clerk,0462,674,619,1293,3384,38.21%,488,744,1232
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0463,480,404,884,3326,26.58%,414,439,853
District Clerk,0464,356,430,786,2257,34.82%,568,193,761
District Clerk,0465,687,520,1207,3564,33.87%,699,472,1171
District Clerk,0466,1058,614,1672,4184,39.96%,993,627,1620
District Clerk,0467,213,189,402,1270,31.65%,103,290,393
District Clerk,0468,352,443,795,3598,22.10%,248,513,761
District Clerk,0469,1294,547,1841,3985,46.20%,1480,289,1769
District Clerk,0470,185,176,361,1326,27.22%,272,71,343
District Clerk,0471,375,380,755,2387,31.63%,607,127,734
District Clerk,0472,198,278,476,1081,44.03%,210,227,437
District Clerk,0473,599,391,990,1806,54.82%,703,240,943
District Clerk,0474,559,588,1147,3037,37.77%,795,308,1103
District Clerk,0475,189,267,456,1809,25.21%,225,209,434
District Clerk,0476,404,473,877,2430,36.09%,496,348,844
District Clerk,0477,737,567,1304,3505,37.20%,1006,251,1257
District Clerk,0478,958,657,1615,4461,36.20%,1109,443,1552
District Clerk,0479,638,612,1250,2714,46.06%,936,263,1199
District Clerk,0480,493,450,943,2415,39.05%,686,221,907
District Clerk,0481,770,623,1393,3482,40.01%,1075,265,1340
District Clerk,0482,878,630,1508,4373,34.48%,1105,355,1460
District Clerk,0483,1042,478,1520,4308,35.28%,911,553,1464
District Clerk,0484,1107,930,2037,4979,40.91%,1491,488,1979
District Clerk,0485,1095,911,2006,5388,37.23%,1573,383,1956
District Clerk,0486,873,855,1728,3866,44.70%,1371,287,1658
District Clerk,0487,570,294,864,3860,22.38%,319,472,791
District Clerk,0488,268,254,522,1719,30.37%,201,278,479
District Clerk,0489,350,290,640,1893,33.81%,221,387,608
District Clerk,0490,444,368,812,1975,41.11%,309,474,783
District Clerk,0491,314,372,686,1888,36.33%,423,232,655
District Clerk,0492,556,410,966,2335,41.37%,605,325,930
District Clerk,0493,479,322,801,1853,43.23%,552,211,763
District Clerk,0494,381,247,628,2467,25.46%,80,529,609
District Clerk,0495,522,523,1045,2375,44.00%,760,221,981
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0496,190,315,505,2160,23.38%,201,288,489
District Clerk,0497,526,243,769,2257,34.07%,29,722,751
District Clerk,0498,363,323,686,2297,29.87%,314,356,670
District Clerk,0499,750,518,1268,2326,54.51%,955,247,1202
District Clerk,0500,729,715,1444,3507,41.17%,1007,388,1395
District Clerk,0501,341,417,758,1801,42.09%,286,423,709
District Clerk,0502,477,350,827,2501,33.07%,680,124,804
District Clerk,0503,174,116,290,1374,21.11%,111,158,269
District Clerk,0504,524,527,1151,2288,50.31%,762,334,1096
District Clerk,0505,531,562,1193,3773,31.62%,549,571,1120
District Clerk,0506,665,670,1335,3502,38.12%,248,1043,1291
District Clerk,0507,221,149,370,2452,15.09%,74,230,304
District Clerk,0508,492,412,904,3287,27.50%,351,488,839
District Clerk,0509,753,596,1349,3732,36.15%,955,335,1290
District Clerk,0510,687,514,1201,3590,33.45%,620,538,1158
District Clerk,0511,0,0,0,0,0.00%,0,0,0
District Clerk,0512,602,660,1262,5057,24.96%,613,618,1231
District Clerk,0513,1019,487,1506,2894,52.04%,1180,267,1447
District Clerk,0514,953,720,1673,4275,39.13%,1285,330,1615
District Clerk,0515,942,683,1625,3455,47.03%,1326,238,1564
District Clerk,0516,1000,800,1800,5356,33.61%,984,745,1729
District Clerk,0517,481,256,737,2954,24.95%,429,286,715
District Clerk,0518,635,693,1328,3943,33.68%,884,397,1281
District Clerk,0519,623,493,1116,2966,37.63%,841,241,1082
District Clerk,0520,473,457,930,4580,20.31%,175,735,910
District Clerk,0521,471,464,935,2866,32.62%,506,397,903
District Clerk,0522,715,572,1255,2689,47.90%,1005,244,1249
District Clerk,0523,751,415,1166,3052,38.20%,807,312,1119
District Clerk,0524,567,459,1026,3410,30.09%,352,638,990
District Clerk,0525,707,482,1189,3091,38.47%,284,856,1140
District Clerk,0526,58,84,152,780,19.49%,47,93,140
District Clerk,0527,37,40,77,574,13.41%,44,30,74
District Clerk,0528,14,12,26,90,28.89%,2,23,25
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0529,1043,491,1534,3710,41.35%,1316,164,1480
District Clerk,0530,114,107,221,1196,18.48%,58,147,205
District Clerk,0531,363,174,537,1145,46.90%,417,96,513
District Clerk,0532,205,146,351,1048,33.49%,259,82,341
District Clerk,0533,124,108,232,1119,20.73%,136,84,220
District Clerk,0534,783,524,1,307,3837,34.06%,1009,245,1254
District Clerk,0535,33,29,62,416,14.90%,31,30,61
District Clerk,0536,554,780,1334,5139,25.96%,540,747,1287
District Clerk,0537,855,778,1633,3050,53.54%,1218,355,1573
District Clerk,0538,204,160,364,1303,27.94%,9,348,357
District Clerk,0539,15,241,256,64,400.00%,76,162,238
District Clerk,0540,378,316,694,1567,44.29%,284,362,646
District Clerk,0541,784,505,1289,4599,28.03%,196,1040,1236
District Clerk,0542,360,382,742,2557,29.02%,46,667,713
District Clerk,0543,141,213,354,1565,22.62%,118,212,330
District Clerk,0544,35,41,77,310,24.84%,12,64,76
District Clerk,0545,596,620,1216,3629,33.51%,633,543,1176
District Clerk,0546,2,2,4,37,10.81%,3,0,3
District Clerk,0547,501,466,967,2406,40.19%,682,246,928
District Clerk,0548,286,293,579,2215,26.14%,312,255,567
District Clerk,0549,343,418,761,2663,28.58%,114,633,747
District Clerk,0550,501,431,932,3031,30.75%,540,362,902
District Clerk,0551,1288,1394,2682,7034,38.13%,2049,563,2612
District Clerk,0552,847,883,1730,3415,50.66%,1457,223,1680
District Clerk,0553,578,529,1107,4686,23.62%,507,567,1074
District Clerk,0554,261,199,460,1757,26.18%,102,327,429
District Clerk,0555,225,277,502,2219,22.62%,112,371,483
District Clerk,0556,276,186,462,2319,19.92%,142,304,446
District Clerk,0557,455,183,638,2830,22.54%,273,284,557
District Clerk,0558,693,463,1156,4380,26.39%,419,692,1111
District Clerk,0559,640,494,1134,4969,22.82%,359,736,1095
District Clerk,0560,72,131,203,1120,18.13%,55,135,190
District Clerk,0561,362,436,798,3064,26.04%,489,277,766
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0562,113,68,181,694,26.08%,27,150,177
District Clerk,0563,1107,376,1483,3105,47.76%,1186,237,1423
District Clerk,0564,470,426,896,3155,28.40%,243,609,852
District Clerk,0565,108,78,186,1354,13.74%,42,129,171
District Clerk,0566,417,324,741,2882,25.71%,240,482,722
District Clerk,0567,301,193,494,2238,22.07%,168,288,456
District Clerk,0568,876,685,1561,3594,43.43%,1039,440,1479
District Clerk,0569,572,667,1239,3525,35.15%,680,497,1177
District Clerk,0570,238,210,448,1562,28.68%,165,252,417
District Clerk,0571,155,149,304,1827,16.64%,122,173,295
District Clerk,0572,555,375,930,3108,29.92%,497,399,896
District Clerk,0573,290,151,441,1619,27.24%,10,425,435
District Clerk,0574,31,42,73,402,18.16%,10,62,72
District Clerk,0575,13,11,24,74,32.43%,19,4,23
District Clerk,0576,485,318,803,2734,29.37%,25,760,785
District Clerk,0577,147,88,235,608,38.65%,146,79,225
District Clerk,0578,409,538,947,1799,52.64%,606,301,907
District Clerk,0579,75,101,176,1056,16.67%,35,133,168
District Clerk,0580,179,118,297,1031,28.81%,7,280,287
District Clerk,0581,212,174,386,1032,37.40%,7,367,374
District Clerk,0582,258,171,429,1588,27.02%,23,398,421
District Clerk,0583,225,131,356,1262,28.21%,13,334,347
District Clerk,0584,182,93,275,1014,27.12%,14,258,272
District Clerk,0585,417,172,589,2511,23.46%,19,556,575
District Clerk,0586,638,680,1318,4316,30.54%,817,460,1277
District Clerk,0587,436,284,720,2598,27.71%,292,407,699
District Clerk,0588,758,674,1432,3645,39.29%,1042,343,1385
District Clerk,0589,500,386,886,3420,25.91%,500,361,861
District Clerk,0590,772,399,1171,2162,54.16%,926,203,1129
District Clerk,0591,183,231,414,2121,19.52%,130,266,396
District Clerk,0592,133,157,290,1350,21.48%,80,198,278
District Clerk,0593,543,564,1107,4380,25.27%,546,512,1058
District Clerk,0594,561,326,887,2490,35.62%,262,597,859
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0595,201,178,379,1693,22.39%,70,299,369
District Clerk,0596,441,348,789,3007,26.24%,445,318,763
District Clerk,0597,367,394,761,3653,20.83%,338,411,749
District Clerk,0598,195,57,252,728,34.62%,206,39,245
District Clerk,0599,850,578,1428,4950,28.85%,525,868,1393
District Clerk,0600,667,429,1096,3957,27.70%,455,597,1052
District Clerk,0601,1073,756,1829,4057,45.08%,1410,372,1782
District Clerk,0602,293,235,528,1326,39.82%,392,123,515
District Clerk,0603,884,794,1678,4843,34.65%,1089,554,1643
District Clerk,0604,702,518,1220,3005,40.60%,1011,168,1179
District Clerk,0605,907,556,1463,5582,26.21%,377,1052,1429
District Clerk,0606,176,70,246,937,26.25%,7,237,244
District Clerk,0607,62,51,113,728,15.52%,13,97,110
District Clerk,0608,31,47,78,537,14.53%,47,28,75
District Clerk,0609,667,680,1347,3384,39.80%,851,426,1277
District Clerk,0610,231,188,419,1927,21.74%,219,170,389
District Clerk,0611,495,242,737,2488,29.62%,30,693,723
District Clerk,0612,996,497,1493,3307,45.15%,1132,287,1419
District Clerk,0613,186,204,390,1554,25.10%,70,308,378
District Clerk,0614,737,566,1303,4207,30.97%,516,741,1257
District Clerk,0615,480,299,779,1967,39.60%,506,251,757
District Clerk,0616,739,663,1402,3436,40.80%,994,357,1351
District Clerk,0617,541,393,934,3809,24.52%,394,520,914
District Clerk,0618,946,567,1513,6003,25.20%,766,704,1470
District Clerk,0619,1219,803,2022,4297,47.06%,1518,414,1932
District Clerk,0620,689,264,953,2897,32.90%,614,297,911
District Clerk,0621,154,101,255,1133,22.51%,142,103,245
District Clerk,0622,881,524,1405,4403,31.91,%,882,476,1358
District Clerk,0623,887,487,1374,3691,37.23%,942,370,1312
District Clerk,0624,1,1,2,3,66.67%,1,1,2
District Clerk,0625,477,362,839,1820,46.10%,497,295,792
District Clerk,0626,581,440,1021,2861,35.69%,585,390,975
District Clerk,0627,346,322,668,3049,21.91%,244,393,637
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0628,152,219,371,1675,22.15%,199,161,360
District Clerk,0629,37,53,90,696,12.93%,16,74,90
District Clerk,0630,974,600,1574,3905,40.31%,129,1401,1530
District Clerk,0631,822,404,1226,2846,43.08%,916,268,1184
District Clerk,0632,7,4,11,343,3.21%,4,7,11
District Clerk,0633,943,731,1674,3559,47.04%,1202,417,1619
District Clerk,0634,458,442,900,3029,29.71%,605,266,871
District Clerk,0635,743,485,1228,3393,36.19%,933,258,1191
District Clerk,0636,836,874,1710,4140,41.30%,1482,173,1655
District Clerk,0637,409,362,771,2512,30.69%,190,532,722
District Clerk,0638,304,245,549,2204,24.91%,46,479,525
District Clerk,0639,549,547,1096,2526,43.39%,886,168,1054
District Clerk,0640,641,459,1100,3733,29.47%,699,366,1065
District Clerk,0641,649,596,1245,3650,34.11%,841,366,1207
District Clerk,0642,471,394,865,1764,49.04%,694,135,829
District Clerk,0643,934,653,1587,5945,26.69%,642,895,1537
District Clerk,0644,1019,823,1842,5523,33.35%,1231,539,1770
District Clerk,0645,654,594,1248,4185,29.82%,698,505,1203
District Clerk,0646,364,287,651,2220,29.32%,208,407,615
District Clerk,0647,904,470,1374,6084,22.58%,397,864,1261
District Clerk,0648,838,579,1417,3367,42.08%,1026,351,1377
District Clerk,0649,687,434,1121,4576,24.50%,377,679,1056
District Clerk,0650,906,766,1672,3888,43.00%,1238,368,1606
District Clerk,0651,963,766,1729,5128,33.72%,1127,537,1664
District Clerk,0652,467,515,982,2815,34.88%,181,771,952
District Clerk,0653,0,4,4,0,0.00%,0,4,4
District Clerk,0654,950,1005,1955,6208,31.49%,1103,790,1893
District Clerk,0655,1116,1079,2195,6855,32.02%,1391,725,2116
District Clerk,0656,579,393,972,2674,36.35%,38,909,947
District Clerk,0657,246,172,418,1292,32.35%,175,228,403
District Clerk,0658,540,426,966,2807,34.41%,637,307,944
District Clerk,0659,1149,788,1937,4856,39.89%,1398,481,1879
District Clerk,0660,950,825,1775,5372,33.04%,176,1559,1735
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0661,675,765,1440,4567,31.53%,866,522,1388
District Clerk,0662,1148,890,2038,4874,41.81%,1661,319,1980
District Clerk,0663,717,797,1514,3346,45.25%,781,648,1429
District Clerk,0664,352,250,602,2869,20.98%,144,429,573
District Clerk,0665,482,348,830,2154,38.53%,704,101,805
District Clerk,0666,0,0,0,0,0.00%,0,0,0
District Clerk,0667,488,502,990,2149,46.07%,782,178,960
District Clerk,0668,399,509,908,2775,32.72%,601,286,887
District Clerk,0669,850,738,1,588,3425,46.36%,1172,358,1530
District Clerk,0670,955,471,1427,2983,47.84%,1151,227,1378
District Clerk,0671,403,565,968,3037,31.87%,599,331,930
District Clerk,0672,959,862,1821,5706,31.91%,1256,514,1770
District Clerk,0673,729,516,1245,2995,41.57%,1001,195,1196
District Clerk,0674,1071,618,1689,4091,41.29%,1278,358,1636
District Clerk,0675,0,1,1,0,0.00%,1,0,1
District Clerk,0676,0,0,0,0,0.00%,0,0,0
District Clerk,0677,127,127,254,1266,20.06%,98,143,241
District Clerk,0678,166,108,274,735,37.28%,181,77,258
District Clerk,0679,635,520,1155,3381,34.16%,881,225,1106
District Clerk,0680,21,14,35,162,21.60%,13,21,34
District Clerk,0681,1,0,1,5,20.00%,1,0,1
District Clerk,0682,711,654,1365,4216,32.38%,1017,304,1321
District Clerk,0683,29,20,49,276,17.75%,12,34,46
District Clerk,0684,27,22,49,223,21.97%,27,20,47
District Clerk,0685,110,29,139,307,45.28%,65,64,129
District Clerk,0686,17,12,29,208,13.94%,12,16,28
District Clerk,0687,549,537,1086,2609,41.63%,752,280,1032
District Clerk,0688,999,617,1616,3504,46.12%,1316,250,1566
District Clerk,0689,211,387,598,2346,25.49%,308,259,567
District Clerk,0690,926,1104,2030,5102,39.79%,1660,312,1972
District Clerk,0691,2,5,7,25,28.00%,4,3,7
District Clerk,0692,444,548,992,2847,34.84%,757,198,955
District Clerk,0693,167,91,258,666,38.74%,76,170,246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0694,260,120,380,845,44.97%,263,93,356
District Clerk,0695,232,193,425,1724,24.65%,277,134,411
District Clerk,0696,261,207,468,1982,23.61%,298,148,446
District Clerk,0697,605,613,1218,4413,27.60%,319,855,1174
District Clerk,0698,448,489,937,3189,29.38%,103,809,912
District Clerk,0699,568,414,982,2343,41.91%,677,251,928
District Clerk,0700,255,251,506,1371,36.91%,428,58,486
District Clerk,0701,56,43,99,588,16.84%,63,31,94
District Clerk,0702,54,70,134,539,24.86%,18,114,132
District Clerk,0703,372,490,862,1882,45.80%,646,177,823
District Clerk,0704,569,599,1168,3064,38.12%,954,170,1124
District Clerk,0705,114,113,227,1523,14.90%,30,187,217
District Clerk,0706,115,71,186,610,30.49%,95,82,177
District Clerk,0707,153,86,239,707,33.80%,161,68,229
District Clerk,0708,54,52,106,563,18.83%,49,49,98
District Clerk,0709,1375,947,2322,6848,33.91%,1420,840,2260
District Clerk,0710,371,462,833,2082,40.01%,476,306,782
District Clerk,0711,702,506,1208,3484,34.67%,758,394,1152
District Clerk,0712,491,463,954,3670,25.99%,413,525,938
District Clerk,0713,228,262,490,1907,25.69%,258,215,473
District Clerk,0714,35,19,55,296,18.58%,35,19,54
District Clerk,0715,176,187,363,1408,25.78%,213,132,345
District Clerk,0716,449,407,856,2680,31.94%,608,227,835
District Clerk,0717,373,250,623,2002,31.12%,78,528,606
District Clerk,0718,1017,806,1823,4229,43.11%,1311,425,1736
District Clerk,0719,247,137,384,1589,24.17%,237,134,371
District Clerk,0720,994,780,1774,4282,41.43%,1351,368,1719
District Clerk,0721,754,532,1286,2870,44.81%,859,368,1227
District Clerk,0722,871,494,1365,4479,30.48%,100,1219,1319
District Clerk,0723,401,202,603,1858,32.45%,137,445,582
District Clerk,0724,151,128,279,766,36.42%,216,54,270
District Clerk,0725,423,237,660,2237,29.50%,318,323,641
District Clerk,0726,592,402,994,2087,47.63%,874,97,971
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0727,338,290,628,2488,25.24%,217,381,598
District Clerk,0728,209,151,360,880,40.91%,227,110,337
District Clerk,0729,136,59,195,464,42.03%,125,66,191
District Clerk,0730,428,359,787,1747,45.05%,525,221,746
District Clerk,0731,58,27,85,352,24.15%,24,59,83
District Clerk,0732,441,324,765,1924,39.76%,489,238,727
District Clerk,0733,13,7,20,215,9.30%,9,10,19
District Clerk,0734,1558,962,2520,7005,35.97%,1744,703,2447
District Clerk,0735,8,0,6,18,33.33%,5,1,6
District Clerk,0736,3,1,4,22,18.18%,0,3,3
District Clerk,0737,11,7,18,51,35.29%,13,5,18
District Clerk,0738,139,100,239,1361,17.56%,47,186,233
District Clerk,0739,353,301,654,2955,22.13%,347,284,631
District Clerk,0740,96,98,194,939,20.66%,129,56,185
District Clerk,0741,0,1,1,0,0.00%,0,0,0
District Clerk,0742,0,11,11,0,0.00%,6,5,11
District Clerk,0743,15,18,33,210,15.71%,17,14,31
District Clerk,0744,456,392,848,2027,41.84%,562,244,806
District Clerk,0745,683,372,1055,2494,42.30%,667,339,1006
District Clerk,0746,114,77,191,691,27.64%,92,95,187
District Clerk,0747,550,467,1017,3743,27.17%,513,478,991
District Clerk,0748,170,140,310,1403,22.10%,161,140,301
District Clerk,0749,30,17,47,377,12.47%,10,35,45
District Clerk,0750,111,96,207,767,26.99%,130,74,204
District Clerk,0751,925,964,1889,5084,37.16%,1273,557,1830
District Clerk,0752,286,200,486,1483,32.77%,368,101,469
District Clerk,0753,55,73,128,259,49.42%,81,41,122
District Clerk,0754,0,0,0,0,0.00%,0,0,0
District Clerk,0755,442,584,1026,4294,23.89%,467,520,987
District Clerk,0756,251,177,428,1600,26.75%,174,238,412
District Clerk,0757,520,508,1028,4035,25.48%,189,809,998
District Clerk,0758,1114,692,1806,4096,44.09%,1465,286,1751
District Clerk,0759,465,413,878,2730,32.16%,563,287,850
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0760,1432,639,2071,4367,47.42%,1738,255,1993
District Clerk,0761,548,253,801,1550,51.68%,580,184,764
District Clerk,0762,0,0,0,0,0.00%,0,0,0
District Clerk,0763,108,146,254,1212,20.96%,107,138,245
District Clerk,0764,1133,774,1907,5217,36.55%,1224,625,1849
District Clerk,0765,647,426,1073,4055,26.46%,462,557,1019
District Clerk,0766,40,25,65,392,16.58%,17,41,58
District Clerk,0767,10,2,12,86,13.95%,6,5,11
District Clerk,0768,1359,1015,2374,5857,40.53%,1958,363,2321
District Clerk,0769,54,16,70,183,38.25%,3,66,69
District Clerk,0770,31,25,56,323,17.34%,26,26,52
District Clerk,0771,324,254,578,2426,23.83%,339,223,562
District Clerk,0772,1792,851,2643,5709,46.30%,2037,496,2533
District Clerk,0773,473,312,785,2918,26.90%,235,490,725
District Clerk,0774,30,41,71,378,18.78%,16,53,69
District Clerk,0775,18,3,21,92,22.83%,0,20,20
District Clerk,0776,551,496,1047,3053,34.29%,632,376,1008
District Clerk,0777,46,40,86,652,13.19%,33,52,85
District Clerk,0778,0,0,0,0,0.00%,0,0,0
District Clerk,0779,64,51,115,940,12.23%,42,68,110
District Clerk,0780,63,59,122,595,20.50%,71,48,119
District Clerk,0781,666,273,939,3603,26.06%,444,405,849
District Clerk,0782,368,370,738,2236,33.01%,472,242,714
District Clerk,0783,49,13,62,294,21.09%,47,13,60
District Clerk,0784,208,128,336,1079,31.14%,8,312,320
District Clerk,0785,28,25,53,296,17.91%,28,25,53
District Clerk,0786,100,98,198,1251,15.83%,76,116,192
District Clerk,0787,46,52,98,488,20.08%,37,59,96
District Clerk,0788,74,32,106,454,23.35%,51,51,102
District Clerk,0789,0,3,3,3,100.00%,1,2,3
District Clerk,0790,0,0,0,3,0.00%,0,0,0
District Clerk,0791,0,0,0,0,0.00%,0,0,0
District Clerk,0792,269,239,508,1865,27.24%,129,357,486
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0793,448,247,695,2484,27.98%,428,250,678
District Clerk,0794,124,144,268,2710,9.89%,35,229,264
District Clerk,0795,90,125,215,1217,17.67%,85,121,206
District Clerk,0796,83,51,134,476,28.15%,77,53,130
District Clerk,0797,0,0,0,0,0.00%,0,0,0
District Clerk,0798,99,111,210,500,42.00%,85,115,200
District Clerk,0799,28,15,43,161,26.71%,8,35,43
District Clerk,0800,588,642,1230,2932,41.95%,855,323,1178
District Clerk,0801,32,14,46,258,17.83%,16,28,44
District Clerk,0802,51,27,78,312,25.00%,16,60,76
District Clerk,0803,725,511,1236,2893,42.72%,928,276,1204
District Clerk,0804,932,591,1523,4768,31.94%,976,504,1480
District Clerk,0805,765,533,1298,2866,45.29%,1060,198,1258
District Clerk,0806,0,0,0,0,0.00%,0,0,0
District Clerk,0807,211,204,415,2028,20.46%,95,305,400
District Clerk,0808,12,17,29,131,22.14%,9,19,28
District Clerk,0809,7,6,13,92,14.13%,5,6,11
District Clerk,0810,9,16,25,211,11.85%,8,16,24
District Clerk,0811,29,50,79,270,29.26%,27,50,77
District Clerk,0812,0,0,0,0,0.00%,0,0,0
District Clerk,0813,938,761,1699,5807,29.26%,865,792,1657
District Clerk,0814,673,533,1206,5102,23.64%,305,860,1165
District Clerk,0815,0,0,0,0,0.00%,0,0,0
District Clerk,0816,10,0,10,73,13.70%,3,7,10
District Clerk,0817,0,0,0,0,0.00%,0,0,0
District Clerk,0818,86,39,125,616,20.29%,30,91,121
District Clerk,0819,64,30,94,240,39.17%,53,32,85
District Clerk,0820,0,0,0,0,0.00%,0,0,0
District Clerk,0821,124,120,244,1242,19.65%,32,203,235
District Clerk,0822,332,167,499,1535,32.51%,16,468,484
District Clerk,0823,821,564,1385,5087,27.23%,815,529,1344
District Clerk,0824,428,282,710,2700,26.30%,169,524,693
District Clerk,0825,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0828,73,50,123,358,34.38%,70,48,118
District Clerk,0827,80,98,158,979,18.14%,78,77,153
District Clerk,0828,541,388,929,1918,48.49%,758,133,891
District Clerk,0829,54,22,78,284,28.79%,19,55,74
District Clerk,0830,0,0,0,2,0.00%,0,0,0
District Clerk,0831,0,0,0,0,0.00%,0,0,0
District Clerk,0832,34,28,82,352,17.81%,18,40,58
District Clerk,0833,0,1,1,20,5.00%,0,1,1
District Clerk,0834,0,0,0,0,0.00%,0,0,0
District Clerk,0835,38,19,57,290,19.88%,15,38,53
District Clerk,0838,3,0,3,19,15.79%,2,1,3
District Clerk,0837,0,0,0,0,0.00%,0,0,0
District Clerk,0838,0,0,0,0,0.00%,0,0,0
District Clerk,0839,138,118,254,1128,22.52%,55,188,241
District Clerk,0840,381,174,555,1705,32.55%,198,345,543
District Clerk,0841,0,0,0,0,0.00%,0,0,0
District Clerk,0842,421,434,855,3259,28.24%,410,418,828
District Clerk,0843,0,1,1,0,0.00%,0,1,1
District Clerk,0844,1,0,1,11,9.09%,0,1,1
District Clerk,0845,54,9,83,134,47.01%,39,21,80
District Clerk,0848,23,24,47,229,20.52%,4,42,48
District Clerk,0847,305,211,518,2015,25.81%,149,351,500
District Clerk,0848,489,288,755,1858,40.88%,234,490,724
District Clerk,0849,201,291,492,2124,23.18%,195,275,470
District Clerk,0850,48,41,87,210,41.43%,33,53,88
District Clerk,0851,1029,857,1888,4709,35.80%,1151,477,1828
District Clerk,0852,0,0,0,1,0.00%,0,0,0
District Clerk,0853,575,820,1298,2882,44.97%,994,248,1242
District Clerk,0854,15,28,41,172,23.84%,8,33,39
District Clerk,0855,5,9,14,18,87.50%,5,8,13
District Clerk,0858,0,1,1,0,0.00%,0,1,1
District Clerk,0857,0,0,0,1,0.00%,0,0,0
District Clerk,0858,83,34,97,343,28.28%,4,89,93
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0859,157,106,263,890,29.55%,71,185,256
District Clerk,0860,0,0,0,0,0.00%,0,0,0
District Clerk,0861,315,199,514,1842,27.90%,90,413,503
District Clerk,0862,0,0,0,0,0.00%,0,0,0
District Clerk,0863,101,54,155,584,26.54%,8,146,154
District Clerk,0864,193,299,492,2569,19.15%,145,327,472
District Clerk,0865,2,3,5,21,23.81%,0,5,5
District Clerk,0866,0,0,0,0,0.00%,0,0,0
District Clerk,0867,0,0,0,0,0.00%,0,0,0
District Clerk,0868,236,271,507,2326,21.80%,170,317,487
District Clerk,0869,53,39,92,470,19.57%,25,64,89
District Clerk,0870,0,0,0,0,0.00%,0,0,0
District Clerk,0871,1,0,1,3,33.33%,0,1,1
