Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0332,18,7,25,138,18.12%,13,9,22
"Judge, County Criminal Court No.4",0333,524,714,1238,3021,40.98%,859,309,1168
"Judge, County Criminal Court No.4",0334,83,42,125,742,16.85%,21,100,121
"Judge, County Criminal Court No.4",0335,121,98,219,1300,16.85%,85,118,203
"Judge, County Criminal Court No.4",0336,866,624,1490,4051,36.78%,131,1325,1456
"Judge, County Criminal Court No.4",0337,124,103,227,1029,22.06%,41,176,217
"Judge, County Criminal Court No.4",0338,730,391,1121,4934,22.72%,389,654,1043
"Judge, County Criminal Court No.4",0339,202,222,424,1757,24.13%,95,299,394
"Judge, County Criminal Court No.4",0340,1038,594,1632,3765,43.35%,1226,327,1553
"Judge, County Criminal Court No.4",0341,91,167,258,1290,20.00%,90,159,249
"Judge, County Criminal Court No.4",0342,675,605,1280,6526,19.61%,204,1043,1247
"Judge, County Criminal Court No.4",0343,189,271,460,1964,23.42%,141,290,431
"Judge, County Criminal Court No.4",0344,154,172,326,1160,28.10%,14,298,312
"Judge, County Criminal Court No.4",0345,156,165,321,1804,17.79%,100,203,303
"Judge, County Criminal Court No.4",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Criminal Court No.4",0347,592,436,1028,3387,30.35%,699,293,992
"Judge, County Criminal Court No.4",0348,438,208,646,1708,37.82%,496,119,615
"Judge, County Criminal Court No.4",0349,188,267,455,1349,33.73%,283,146,429
"Judge, County Criminal Court No.4",0350,524,526,1050,2909,36.09%,429,527,956
"Judge, County Criminal Court No.4",0351,1491,710,2201,4712,46.71%,1739,380,2119
"Judge, County Criminal Court No.4",0352,520,339,859,3205,26.80%,632,195,827
"Judge, County Criminal Court No.4",0353,665,451,1116,3862,28.90%,205,880,1085
"Judge, County Criminal Court No.4",0354,715,338,1053,3388,31.08%,264,758,1022
"Judge, County Criminal Court No.4",0355,301,264,565,1560,36.22%,51,497,548
"Judge, County Criminal Court No.4",0356,594,538,1132,2972,38.09%,749,332,1081
"Judge, County Criminal Court No.4",0357,837,575,1412,3517,40.15%,1038,322,1360
"Judge, County Criminal Court No.4",0358,212,254,466,2492,18.70%,56,397,453
"Judge, County Criminal Court No.4",0359,234,224,458,3061,14.96%,63,384,447
"Judge, County Criminal Court No.4",0360,522,380,902,2146,42.03%,474,345,819
"Judge, County Criminal Court No.4",0361,41,295,336,1673,20.08%,51,242,293
"Judge, County Criminal Court No.4",0362,1138,887,2025,5086,39.82%,1487,430,1917
"Judge, County Criminal Court No.4",0363,620,412,1032,3677,28.07%,463,535,998
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0364,488,405,893,2658,33.60%,520,334,854
"Judge, County Criminal Court No.4",0365,478,231,709,1305,54.33%,52,644,696
"Judge, County Criminal Court No.4",0366,252,270,522,2454,21.27%,137,372,509
"Judge, County Criminal Court No.4",0367,170,138,308,1130,27.26%,69,234,303
"Judge, County Criminal Court No.4",0368,178,88,266,958,27.77%,74,181,255
"Judge, County Criminal Court No.4",0369,32,29,61,559,10.91%,19,40,59
"Judge, County Criminal Court No.4",0370,1532,1105,2637,6593,40.00%,1997,550,2547
"Judge, County Criminal Court No.4",0371,122,52,174,502,34.66%,6,162,168
"Judge, County Criminal Court No.4",0372,221,170,391,1224,31.94%,50,324,374
"Judge, County Criminal Court No.4",0373,21,12,33,157,21.02%,1,30,31
"Judge, County Criminal Court No.4",0374,85,93,158,738,21.41,%,54,98,152
"Judge, County Criminal Court No.4",0375,254,220,474,2645,17.92%,237,202,439
"Judge, County Criminal Court No.4",0376,278,205,483,1910,25.29%,211,247,458
"Judge, County Criminal Court No.4",0377,525,583,1109,2920,37.98%,808,240,1048
"Judge, County Criminal Court No.4",0378,232,354,586,1829,32.04%,362,195,557
"Judge, County Criminal Court No.4",0379,431,289,720,2027,35.52%,68,630,698
"Judge, County Criminal Court No.4",0380,1299,995,2294,5666,40.49%,1246,976,2222
"Judge, County Criminal Court No.4",0381,412,248,660,2855,23.12%,312,321,633
"Judge, County Criminal Court No.4",0382,132,157,289,922,31.34%,211,69,280
"Judge, County Criminal Court No.4",0383,289,263,552,2173,25.40%,230,299,529
"Judge, County Criminal Court No.4",0384,573,373,946,2657,35.60%,185,722,907
"Judge, County Criminal Court No.4",0385,583,670,1253,2207,56.77%,962,207,1169
"Judge, County Criminal Court No.4",0386,662,469,1131,2922,38.71%,824,258,1082
"Judge, County Criminal Court No.4",0387,555,672,1227,3935,31.18%,892,295,1187
"Judge, County Criminal Court No.4",0388,1430,1010,2440,6888,35.42%,1406,963,2369
"Judge, County Criminal Court No.4",0389,91,208,299,1026,29.14%,41,234,275
"Judge, County Criminal Court No.4",0390,356,263,619,1480,41.82%,71,526,597
"Judge, County Criminal Court No.4",0391,508,260,768,1883,40.79%,485,245,730
"Judge, County Criminal Court No.4",0392,387,155,542,1446,37.48%,6,527,533
"Judge, County Criminal Court No.4",0393,165,185,350,1292,27.09%,164,175,339
"Judge, County Criminal Court No.4",0394,69,73,142,834,17.03%,73,62,135
"Judge, County Criminal Court No.4",0395,469,404,873,1846,47.29%,631,189,820
"Judge, County Criminal Court No.4",0396,622,216,838,2082,40.25%,16,803,819
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0397,86,78,164,760,21,58%,76,83,159
"Judge, County Criminal Court No.4",0398,615,521,1136,4022,28.24%,607,494,1101
"Judge, County Criminal Court No.4",0399,402,366,768,2791,27.52%,423,319,742
"Judge, County Criminal Court No.4",0400,520,359,979,2411,40.61%,716,212,928
"Judge, County Criminal Court No.4",0401,330,205,535,1913,27.97%,17,502,519
"Judge, County Criminal Court No.4",0402,466,266,732,1794,40.80%,33,681,714
"Judge, County Criminal Court No.4",0403,475,498,973,1715,56.73%,542,332,874
"Judge, County Criminal Court No.4",0404,419,330,749,2585,28.97%,440,277,717
"Judge, County Criminal Court No.4",0405,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0406,137,67,204,628,32.48%,4,196,200
"Judge, County Criminal Court No.4",0407,688,793,1481,3769,39.29%,998,391,1389
"Judge, County Criminal Court No.4",0408,146,153,299,1691,17.68%,143,140,283
"Judge, County Criminal Court No.4",0409,122,149,271,1459,18.57%,112,148,260
"Judge, County Criminal Court No.4",0410,132,80,212,899,23.58%,43,158,201
"Judge, County Criminal Court No.4",0411,235,200,435,2339,18.60%,164,249,413
"Judge, County Criminal Court No.4",0412,74,44,118,468,25.21%,6,105,111
"Judge, County Criminal Court No.4",0413,767,386,1153,2992,38.54%,467,640,1107
"Judge, County Criminal Court No.4",0414,654,480,1134,3453,32.84%,880,206,1086
"Judge, County Criminal Court No.4",0415,539,598,1137,2203,51.61%,774,306,1080
"Judge, County Criminal Court No.4",0416,538,558,1096,3791,28.91%,605,445,1050
"Judge, County Criminal Court No.4",0417,353,385,738,2448,30.15%,378,323,701
"Judge, County Criminal Court No.4",0418,403,469,872,3584,24.33%,367,463,830
"Judge, County Criminal Court No.4",0419,571,324,895,2658,33.67%,598,256,854
"Judge, County Criminal Court No.4",0420,1036,874,1910,4762,40.11%,1562,271,1833
"Judge, County Criminal Court No.4",0421,35,37,73,410,17.80%,25,43,68
"Judge, County Criminal Court No.4",0422,731,402,1133,3345,33.87%,32,1079,1111
"Judge, County Criminal Court No.4",0423,108,120,228,1376,16.57%,76,140,216
"Judge, County Criminal Court No.4",0424,240,111,351,967,36.30%,209,122,331
"Judge, County Criminal Court No.4",0425,107,123,230,883,26.05%,88,132,220
"Judge, County Criminal Court No.4",0426,260,183,443,1218,36.37%,265,155,420
"Judge, County Criminal Court No.4",0427,179,134,313,1092,28.66%,143,147,290
"Judge, County Criminal Court No.4",0428,619,421,1040,4538,22.92%,335,619,954
"Judge, County Criminal Court No.4",0429,445,314,759,3197,23.74%,212,506,718
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0430,161,133,294,1657,17.74%,93,188,281
"Judge, County Criminal Court No.4",0431,327,84,411,3417,12.03%,159,233,392
"Judge, County Criminal Court No.4",0432,123,157,280,1455,19.24%,102,167,269
"Judge, County Criminal Court No.4",0433,50,63,113,581,19.45%,26,81,107
"Judge, County Criminal Court No.4",0434,370,289,659,1503,43.85%,410,206,616
"Judge, County Criminal Court No.4",0435,855,636,1491,3252,45.85%,983,418,1401
"Judge, County Criminal Court No.4",0436,629,531,1160,2933,39.55%,723,359,1082
"Judge, County Criminal Court No.4",0437,521,512,1033,2033,50.81%,726,240,966
"Judge, County Criminal Court No.4",0438,517,389,1006,1861,54.06%,768,173,941
"Judge, County Criminal Court No.4",0439,710,884,1594,3554,44.85%,1150,340,1490
"Judge, County Criminal Court No.4",0440,664,858,1522,2930,51.95%,1217,205,1422
"Judge, County Criminal Court No.4",0441,345,420,765,1669,45.84%,585,132,717
"Judge, County Criminal Court No.4",0442,612,574,1186,2575,46.06%,987,153,1140
"Judge, County Criminal Court No.4",0443,226,138,364,646,56.35%,258,77,335
"Judge, County Criminal Court No.4",0444,587,583,1270,3262,38.93%,814,375,1189
"Judge, County Criminal Court No.4",0445,499,348,847,2026,41.81%,586,219,805
"Judge, County Criminal Court No.4",0446,31,22,53,291,18.21%,28,22,50
"Judge, County Criminal Court No.4",0447,93,86,179,637,28.10%,52,117,169
"Judge, County Criminal Court No.4",0448,590,778,1368,3138,43.59%,769,497,1266
"Judge, County Criminal Court No.4",0449,12,23,35,198,17.68%,3,32,35
"Judge, County Criminal Court No.4",0450,435,328,763,2635,28.96%,243,487,730
"Judge, County Criminal Court No.4",0451,1002,510,1512,2687,56.27%,1234,191,1425
"Judge, County Criminal Court No.4",0452,554,444,998,3048,32.74%,741,223,964
"Judge, County Criminal Court No.4",0453,231,262,493,1937,25.45%,197,273,470
"Judge, County Criminal Court No.4",0454,594,248,842,2561,32.88%,11,814,825
"Judge, County Criminal Court No.4",0455,367,165,532,1689,31.50%,18,506,524
"Judge, County Criminal Court No.4",0456,482,362,844,3513,24.03%,489,329,818
"Judge, County Criminal Court No.4",0457,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0458,471,237,708,1924,36.80%,36,648,684
"Judge, County Criminal Court No.4",0459,951,474,1425,3021,47.17%,1130,243,1373
"Judge, County Criminal Court No.4",0460,554,331,885,2837,31.19%,229,636,865
"Judge, County Criminal Court No.4",0461,1155,735,1900,3871,49.08%,1322,446,1768
"Judge, County Criminal Court No.4",0462,674,619,1293,3384,38.21%,487,742,1229
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0463,480,404,884,3326,26.58%,407,446,853
"Judge, County Criminal Court No.4",0464,356,430,786,2257,34.82%,565,191,756
"Judge, County Criminal Court No.4",0465,687,520,1207,3564,33.87%,691,475,1166
"Judge, County Criminal Court No.4",0466,1058,614,1672,4184,39.96%,986,628,1614
"Judge, County Criminal Court No.4",0467,213,189,402,1270,31.65%,102,292,394
"Judge, County Criminal Court No.4",0468,352,443,795,3598,22.10%,257,506,763
"Judge, County Criminal Court No.4",0469,1294,547,1841,3985,46.20%,1471,283,1754
"Judge, County Criminal Court No.4",0470,185,176,361,1326,27.22%,265,76,341
"Judge, County Criminal Court No.4",0471,375,380,755,2387,31.63%,606,126,732
"Judge, County Criminal Court No.4",0472,198,278,476,1081,44.03%,203,231,434
"Judge, County Criminal Court No.4",0473,599,391,990,1806,54.82%,693,246,939
"Judge, County Criminal Court No.4",0474,559,588,1147,3037,37.77%,801,301,1102
"Judge, County Criminal Court No.4",0475,189,267,456,1809,25.21%,224,208,432
"Judge, County Criminal Court No.4",0476,404,473,877,2430,36.09%,499,342,841
"Judge, County Criminal Court No.4",0477,737,567,1304,3505,37.20%,989,265,1254
"Judge, County Criminal Court No.4",0478,958,657,1615,4461,36.20%,1092,443,1535
"Judge, County Criminal Court No.4",0479,638,612,1250,2714,46.06%,929,271,1200
"Judge, County Criminal Court No.4",0480,493,450,943,2415,39.05%,682,218,900
"Judge, County Criminal Court No.4",0481,770,623,1393,3482,40.01%,1059,272,1331
"Judge, County Criminal Court No.4",0482,878,630,1508,4373,34.48%,1101,359,1460
"Judge, County Criminal Court No.4",0483,1042,478,1520,4308,35.28%,898,554,1452
"Judge, County Criminal Court No.4",0484,1107,930,2037,4979,40.91%,1471,490,1961
"Judge, County Criminal Court No.4",0485,1095,911,2006,5388,37.23%,1566,382,1948
"Judge, County Criminal Court No.4",0486,873,855,1728,3866,44.70%,1357,291,1648
"Judge, County Criminal Court No.4",0487,570,294,864,3860,22.38%,317,478,795
"Judge, County Criminal Court No.4",0488,268,254,522,1719,30.37%,196,285,481
"Judge, County Criminal Court No.4",0489,350,290,640,1893,33.81%,212,398,610
"Judge, County Criminal Court No.4",0490,444,368,812,1975,41.11%,296,479,775
"Judge, County Criminal Court No.4",0491,314,372,686,1888,36.33%,415,231,646
"Judge, County Criminal Court No.4",0492,556,410,966,2335,41.37%,596,319,915
"Judge, County Criminal Court No.4",0493,479,322,801,1853,43.23%,541,207,748
"Judge, County Criminal Court No.4",0494,381,247,628,2467,25.46%,81,534,615
"Judge, County Criminal Court No.4",0495,522,523,1045,2375,44.00%,759,223,982
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0496,190,315,505,2160,23.38%,197,290,487
"Judge, County Criminal Court No.4",0497,526,243,769,2257,34.07%,24,722,746
"Judge, County Criminal Court No.4",0498,363,323,686,2297,29.87%,313,356,669
"Judge, County Criminal Court No.4",0499,750,518,1268,2326,54.51%,937,248,1185
"Judge, County Criminal Court No.4",0500,729,715,1444,3507,41.17%,1000,384,1384
"Judge, County Criminal Court No.4",0501,341,417,758,1801,42.09%,278,416,694
"Judge, County Criminal Court No.4",0502,477,350,827,2501,33.07%,675,122,797
"Judge, County Criminal Court No.4",0503,174,116,290,1374,21.11%,112,159,271
"Judge, County Criminal Court No.4",0504,624,527,1151,2288,50.31%,746,334,1080
"Judge, County Criminal Court No.4",0505,531,562,1193,3773,31.62%,552,559,1111
"Judge, County Criminal Court No.4",0506,665,670,1335,3502,38.12%,237,1052,1289
"Judge, County Criminal Court No.4",0507,221,149,370,2452,15.09%,75,229,304
"Judge, County Criminal Court No.4",0508,492,412,904,3287,27.50%,354,486,840
"Judge, County Criminal Court No.4",0509,753,596,1349,3732,36.15%,944,335,1279
"Judge, County Criminal Court No.4",0510,687,514,1201,3590,33.45%,613,533,1146
"Judge, County Criminal Court No.4",0511,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0512,602,660,1262,5057,24.96%,613,617,1230
"Judge, County Criminal Court No.4",0513,1019,487,1506,2894,52.04%,1161,263,1424
"Judge, County Criminal Court No.4",0514,953,720,1673,4275,39.13%,1269,333,1602
"Judge, County Criminal Court No.4",0515,942,683,1625,3455,47.03%,1317,232,1549
"Judge, County Criminal Court No.4",0516,1000,800,1800,5356,33.61%,952,760,1712
"Judge, County Criminal Court No.4",0517,481,256,737,2954,24.95%,431,281,712
"Judge, County Criminal Court No.4",0518,635,693,1328,3943,33.68%,872,399,1271
"Judge, County Criminal Court No.4",0519,623,493,1116,2966,37.63%,833,241,1074
"Judge, County Criminal Court No.4",0520,473,457,930,4580,20.31%,175,735,910
"Judge, County Criminal Court No.4",0521,471,464,935,2866,32.62%,504,395,899
"Judge, County Criminal Court No.4",0522,715,572,1288,2689,47.90%,1002,229,1231
"Judge, County Criminal Court No.4",0523,751,415,1166,3052,38.20%,803,309,1112
"Judge, County Criminal Court No.4",0524,567,459,1026,3410,30.09%,362,628,990
"Judge, County Criminal Court No.4",0525,707,482,1189,3091,38.47%,275,858,1133
"Judge, County Criminal Court No.4",0526,68,84,152,780,19.49%,48,93,141
"Judge, County Criminal Court No.4",0527,37,40,77,574,13.41%,43,31,74
"Judge, County Criminal Court No.4",0528,14,12,26,90,28.89%,2,22,24
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0529,1043,491,1534,3710,41.35%,1316,156,1472
"Judge, County Criminal Court No.4",0530,114,107,221,1196,18.48%,59,147,206
"Judge, County Criminal Court No.4",0531,363,174,537,1145,46.90%,418,95,513
"Judge, County Criminal Court No.4",0532,205,146,351,1048,33.49%,254,85,339
"Judge, County Criminal Court No.4",0533,124,108,232,1119,20.73%,133,86,219
"Judge, County Criminal Court No.4",0534,783,524,1,307,3837,34.06%,997,252,1249
"Judge, County Criminal Court No.4",0535,33,29,62,416,14.90%,31,30,61
"Judge, County Criminal Court No.4",0536,554,780,1334,5139,25.96%,536,756,1292
"Judge, County Criminal Court No.4",0537,855,778,1633,3050,53.54%,1207,354,1561
"Judge, County Criminal Court No.4",0538,204,160,364,1303,27.94%,6,350,356
"Judge, County Criminal Court No.4",0539,15,241,256,64,400.00%,74,163,237
"Judge, County Criminal Court No.4",0540,378,316,694,1567,44.29%,293,337,630
"Judge, County Criminal Court No.4",0541,784,505,1289,4599,28.03%,184,1051,1235
"Judge, County Criminal Court No.4",0542,360,382,742,2557,29.02%,49,665,714
"Judge, County Criminal Court No.4",0543,141,213,354,1565,22.62%,120,212,332
"Judge, County Criminal Court No.4",0544,35,41,77,310,24.84%,11,65,76
"Judge, County Criminal Court No.4",0545,596,620,1216,3629,33.51%,619,547,1166
"Judge, County Criminal Court No.4",0546,2,2,4,37,10.81%,2,1,3
"Judge, County Criminal Court No.4",0547,501,466,967,2406,40.19%,678,246,924
"Judge, County Criminal Court No.4",0548,286,293,579,2215,26.14%,303,259,562
"Judge, County Criminal Court No.4",0549,343,418,761,2663,28.58%,111,636,747
"Judge, County Criminal Court No.4",0550,501,431,932,3031,30.75%,537,360,897
"Judge, County Criminal Court No.4",0551,1288,1394,2682,7034,38.13%,2033,568,2601
"Judge, County Criminal Court No.4",0552,847,883,1730,3415,50.66%,1447,226,1673
"Judge, County Criminal Court No.4",0553,578,529,1107,4686,23.62%,511,561,1072
"Judge, County Criminal Court No.4",0554,261,199,460,1757,26.18%,104,323,427
"Judge, County Criminal Court No.4",0555,225,277,502,2219,22.62%,113,367,480
"Judge, County Criminal Court No.4",0556,276,186,462,2319,19.92%,138,304,442
"Judge, County Criminal Court No.4",0557,455,183,638,2830,22.54%,270,287,557
"Judge, County Criminal Court No.4",0558,693,463,1156,4380,26.39%,412,695,1107
"Judge, County Criminal Court No.4",0559,640,494,1134,4969,22.82%,353,740,1093
"Judge, County Criminal Court No.4",0560,72,131,203,1120,18.13%,56,130,186
"Judge, County Criminal Court No.4",0561,362,436,798,3064,26.04%,481,278,759
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0562,113,68,181,694,26.08%,26,152,178
"Judge, County Criminal Court No.4",0563,1107,376,1483,3105,47.76%,1174,244,1418
"Judge, County Criminal Court No.4",0564,470,426,896,3155,28.40%,230,621,851
"Judge, County Criminal Court No.4",0565,108,78,186,1354,13.74%,45,125,170
"Judge, County Criminal Court No.4",0566,417,324,741,2882,25.71%,230,490,720
"Judge, County Criminal Court No.4",0567,301,193,494,2238,22.07%,170,283,453
"Judge, County Criminal Court No.4",0568,876,685,1561,3594,43.43%,1025,438,1463
"Judge, County Criminal Court No.4",0569,572,667,1239,3525,35.15%,662,498,1160
"Judge, County Criminal Court No.4",0570,238,210,448,1562,28.68%,159,253,412
"Judge, County Criminal Court No.4",0571,155,149,304,1827,16.64%,126,167,293
"Judge, County Criminal Court No.4",0572,555,375,930,3108,29.92%,486,397,883
"Judge, County Criminal Court No.4",0573,290,151,441,1619,27.24%,10,427,437
"Judge, County Criminal Court No.4",0574,31,42,73,402,18.16%,9,63,72
"Judge, County Criminal Court No.4",0575,13,11,24,74,32.43%,18,5,23
"Judge, County Criminal Court No.4",0576,485,318,803,2734,29.37%,24,763,787
"Judge, County Criminal Court No.4",0577,147,88,235,608,38.65%,139,85,224
"Judge, County Criminal Court No.4",0578,409,538,947,1799,52.64%,593,300,893
"Judge, County Criminal Court No.4",0579,75,101,176,1056,16.67%,35,133,168
"Judge, County Criminal Court No.4",0580,179,118,297,1031,28.81%,7,279,286
"Judge, County Criminal Court No.4",0581,212,174,386,1032,37.40%,7,366,373
"Judge, County Criminal Court No.4",0582,258,171,429,1588,27.02%,20,397,417
"Judge, County Criminal Court No.4",0583,225,131,356,1262,28.21%,13,335,348
"Judge, County Criminal Court No.4",0584,182,93,275,1014,27.12%,10,260,270
"Judge, County Criminal Court No.4",0585,417,172,589,2511,23.46%,16,563,579
"Judge, County Criminal Court No.4",0586,638,680,1318,4316,30.54%,804,465,1269
"Judge, County Criminal Court No.4",0587,436,284,720,2598,27.71%,286,414,700
"Judge, County Criminal Court No.4",0588,758,574,1432,3645,39.29%,1023,355,1378
"Judge, County Criminal Court No.4",0589,500,386,886,3420,25.91%,496,362,858
"Judge, County Criminal Court No.4",0590,772,399,1171,2162,54.16%,927,199,1126
"Judge, County Criminal Court No.4",0591,183,231,414,2121,19.52%,125,269,394
"Judge, County Criminal Court No.4",0592,133,157,290,1350,21.48%,79,198,277
"Judge, County Criminal Court No.4",0593,543,564,1107,4380,25.27%,550,505,1055
"Judge, County Criminal Court No.4",0594,561,326,887,2490,35.62%,255,601,856
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0595,201,178,379,1693,22.39%,72,296,368
"Judge, County Criminal Court No.4",0596,441,348,789,3007,26.24%,441,319,760
"Judge, County Criminal Court No.4",0597,367,394,761,3653,20.83%,335,413,748
"Judge, County Criminal Court No.4",0598,195,57,252,728,34.62%,206,39,245
"Judge, County Criminal Court No.4",0599,850,578,1428,4950,28.85%,508,871,1379
"Judge, County Criminal Court No.4",0600,667,429,1096,3957,27.70%,443,602,1045
"Judge, County Criminal Court No.4",0601,1073,756,1829,4057,45.08%,1392,369,1761
"Judge, County Criminal Court No.4",0602,293,235,528,1326,39.82%,386,125,511
"Judge, County Criminal Court No.4",0603,884,794,1678,4843,34.65%,1079,556,1635
"Judge, County Criminal Court No.4",0604,702,518,1220,3005,40.60%,1007,170,1177
"Judge, County Criminal Court No.4",0605,907,556,1463,5582,26.21%,372,1048,1420
"Judge, County Criminal Court No.4",0606,176,70,246,937,26.25%,4,239,243
"Judge, County Criminal Court No.4",0607,62,51,113,728,15.52%,13,94,107
"Judge, County Criminal Court No.4",0608,31,47,78,537,14.53%,45,27,72
"Judge, County Criminal Court No.4",0609,667,680,1347,3384,39.80%,837,432,1269
"Judge, County Criminal Court No.4",0610,231,188,419,1927,21.74%,223,163,386
"Judge, County Criminal Court No.4",0611,495,242,737,2488,29.62%,26,700,726
"Judge, County Criminal Court No.4",0612,996,497,1493,3307,45.15%,1127,281,1408
"Judge, County Criminal Court No.4",0613,186,204,390,1554,25.10%,65,314,379
"Judge, County Criminal Court No.4",0614,737,566,1303,4207,30.97%,504,749,1253
"Judge, County Criminal Court No.4",0615,480,299,779,1967,39.60%,500,254,754
"Judge, County Criminal Court No.4",0616,739,663,1402,3436,40.80%,993,354,1347
"Judge, County Criminal Court No.4",0617,541,393,934,3809,24.52%,389,521,910
"Judge, County Criminal Court No.4",0618,946,567,1513,6003,25.20%,762,697,1459
"Judge, County Criminal Court No.4",0619,1219,803,2022,4297,47.06%,1500,417,1917
"Judge, County Criminal Court No.4",0620,689,264,953,2897,32.90%,613,297,910
"Judge, County Criminal Court No.4",0621,154,101,255,1133,22.51%,137,104,241
"Judge, County Criminal Court No.4",0622,881,524,1405,4403,31.91,%,872,482,1354
"Judge, County Criminal Court No.4",0623,887,487,1374,3691,37.23%,934,373,1307
"Judge, County Criminal Court No.4",0624,1,1,2,3,66.67%,1,1,2
"Judge, County Criminal Court No.4",0625,477,362,839,1820,46.10%,487,298,785
"Judge, County Criminal Court No.4",0626,581,440,1021,2861,35.69%,573,392,965
"Judge, County Criminal Court No.4",0627,346,322,668,3049,21.91%,250,388,638
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0628,152,219,371,1675,22.15%,205,155,360
"Judge, County Criminal Court No.4",0629,37,53,90,696,12.93%,16,73,89
"Judge, County Criminal Court No.4",0630,974,600,1574,3905,40.31%,117,1416,1533
"Judge, County Criminal Court No.4",0631,822,404,1226,2846,43.08%,904,273,1177
"Judge, County Criminal Court No.4",0632,7,4,11,343,3.21%,3,8,11
"Judge, County Criminal Court No.4",0633,943,731,1674,3559,47.04%,1189,416,1605
"Judge, County Criminal Court No.4",0634,458,442,900,3029,29.71%,598,268,866
"Judge, County Criminal Court No.4",0635,743,485,1228,3393,36.19%,928,260,1188
"Judge, County Criminal Court No.4",0636,836,874,1710,4140,41.30%,1484,169,1653
"Judge, County Criminal Court No.4",0637,409,362,771,2512,30.69%,197,522,719
"Judge, County Criminal Court No.4",0638,304,245,549,2204,24.91%,44,480,524
"Judge, County Criminal Court No.4",0639,549,547,1096,2526,43.39%,882,169,1051
"Judge, County Criminal Court No.4",0640,641,459,1100,3733,29.47%,699,364,1063
"Judge, County Criminal Court No.4",0641,649,596,1245,3650,34.11%,830,368,1198
"Judge, County Criminal Court No.4",0642,471,394,865,1764,49.04%,688,131,819
"Judge, County Criminal Court No.4",0643,934,653,1587,5945,26.69%,628,909,1537
"Judge, County Criminal Court No.4",0644,1019,823,1842,5523,33.35%,1221,544,1765
"Judge, County Criminal Court No.4",0645,654,594,1248,4185,29.82%,685,514,1199
"Judge, County Criminal Court No.4",0646,364,287,651,2220,29.32%,217,395,612
"Judge, County Criminal Court No.4",0647,904,470,1374,6084,22.58%,395,864,1259
"Judge, County Criminal Court No.4",0648,838,579,1417,3367,42.08%,1027,343,1370
"Judge, County Criminal Court No.4",0649,687,434,1121,4576,24.50%,372,675,1047
"Judge, County Criminal Court No.4",0650,906,766,1672,3888,43.00%,1227,367,1594
"Judge, County Criminal Court No.4",0651,963,766,1729,5128,33.72%,1118,536,1654
"Judge, County Criminal Court No.4",0652,467,515,982,2815,34.88%,171,774,945
"Judge, County Criminal Court No.4",0653,0,4,4,0,0.00%,0,4,4
"Judge, County Criminal Court No.4",0654,950,1005,1955,6208,31.49%,1098,777,1875
"Judge, County Criminal Court No.4",0655,1116,1079,2195,6855,32.02%,1375,733,2108
"Judge, County Criminal Court No.4",0656,579,393,972,2674,36.35%,36,914,950
"Judge, County Criminal Court No.4",0657,246,172,418,1292,32.35%,169,231,400
