Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0283,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0284,1136,595,1731,3262,53.07%,637,1005,1642
"Justice, 14th Court of Appeals District, Place 8",0285,988,509,1497,2505,59.76%,99,1344,1443
"Justice, 14th Court of Appeals District, Place 8",0286,2658,1053,3711,5719,64.89%,289,3260,3549
"Justice, 14th Court of Appeals District, Place 8",0287,647,542,1189,1616,73.58%,619,488,1107
"Justice, 14th Court of Appeals District, Place 8",0288,1036,380,1416,2259,62.68%,18,1348,1366
"Justice, 14th Court of Appeals District, Place 8",0289,374,397,771,1510,51.06%,280,432,712
"Justice, 14th Court of Appeals District, Place 8",0290,577,429,1006,1567,64.20%,744,226,970
"Justice, 14th Court of Appeals District, Place 8",0291,541,298,839,1203,69.74%,397,390,787
"Justice, 14th Court of Appeals District, Place 8",0292,478,236,714,1272,56.13%,85,604,689
"Justice, 14th Court of Appeals District, Place 8",0293,620,557,1177,1733,67.92%,522,574,1096
"Justice, 14th Court of Appeals District, Place 8",0294,989,298,1287,2107,61.08%,10,1230,1240
"Justice, 14th Court of Appeals District, Place 8",0295,314,189,503,862,58.35%,9,481,490
"Justice, 14th Court of Appeals District, Place 8",0296,602,432,1034,1693,61.08%,572,367,939
"Justice, 14th Court of Appeals District, Place 8",0297,579,445,1024,1978,51.77%,363,589,952
"Justice, 14th Court of Appeals District, Place 8",0298,848,475,1323,2083,63.51%,710,522,1232
"Justice, 14th Court of Appeals District, Place 8",0299,328,213,541,1231,43.95%,168,340,508
"Justice, 14th Court of Appeals District, Place 8",0300,3014,922,3936,5040,78.10%,2947,760,3707
"Justice, 14th Court of Appeals District, Place 8",0301,450,655,1105,2397,46.10%,388,662,1050
"Justice, 14th Court of Appeals District, Place 8",0302,713,635,1348,2724,49.49%,701,562,1263
"Justice, 14th Court of Appeals District, Place 8",0303,1773,755,2528,3172,79.70%,1998,372,2370
"Justice, 14th Court of Appeals District, Place 8",0304,970,648,1618,2266,71.40%,903,575,1478
"Justice, 14th Court of Appeals District, Place 8",0305,1319,858,2177,3621,60.12%,762,1319,2081
"Justice, 14th Court of Appeals District, Place 8",0306,1013,323,1336,1847,72.33%,986,264,1250
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0307,1242,876,2118,2931,72.26%,1439,564,2003
"Justice, 14th Court of Appeals District, Place 8",0308,444,238,682,1266,53.87%,168,480,648
"Justice, 14th Court of Appeals District, Place 8",0309,1385,612,1997,2529,78.96%,1598,280,1878
"Justice, 14th Court of Appeals District, Place 8",0310,619,348,967,1437,67.29%,629,277,906
"Justice, 14th Court of Appeals District, Place 8",0311,862,699,1561,2997,52.09%,664,730,1394
"Justice, 14th Court of Appeals District, Place 8",0312,1600,718,2318,3669,63.18%,1256,923,2179
"Justice, 14th Court of Appeals District, Place 8",0313,22,1,23,60,38.33%,11,9,20
"Justice, 14th Court of Appeals District, Place 8",0314,2494,1221,3715,5225,71.10%,2191,1374,3565
"Justice, 14th Court of Appeals District, Place 8",0315,711,479,1190,1618,73.55%,703,391,1094
"Justice, 14th Court of Appeals District, Place 8",0316,682,411,1093,1522,71.81%,599,396,995
"Justice, 14th Court of Appeals District, Place 8",0317,552,336,888,1469,60.45%,260,584,844
"Justice, 14th Court of Appeals District, Place 8",0318,1708,611,2319,3531,65.68%,88,2144,2232
"Justice, 14th Court of Appeals District, Place 8",0319,965,290,1255,2081,60.31%,71,1136,1207
"Justice, 14th Court of Appeals District, Place 8",0320,464,300,764,1505,50.76%,306,413,719
"Justice, 14th Court of Appeals District, Place 8",0321,442,306,748,2029,36.87%,233,483,716
"Justice, 14th Court of Appeals District, Place 8",0322,397,237,634,1322,47.96%,159,452,611
"Justice, 14th Court of Appeals District, Place 8",0323,482,332,814,1719,47.35%,327,425,752
"Justice, 14th Court of Appeals District, Place 8",0324,967,718,1685,2339,72.04%,1062,497,1559
"Justice, 14th Court of Appeals District, Place 8",0325,657,397,1054,2251,46.82%,222,780,1002
"Justice, 14th Court of Appeals District, Place 8",0326,202,128,330,678,48.67%,125,178,303
"Justice, 14th Court of Appeals District, Place 8",0327,726,244,970,1751,55.40%,17,922,939
"Justice, 14th Court of Appeals District, Place 8",0328,344,270,614,1361,45.11%,209,380,589
"Justice, 14th Court of Appeals District, Place 8",0329,405,307,712,1367,52.08%,203,466,669
"Justice, 14th Court of Appeals District, Place 8",0330,590,376,966,1849,52.24%,414,484,898
"Justice, 14th Court of Appeals District, Place 8",0331,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 8",0332,23,4,27,128,21.09%,10,15,25
"Justice, 14th Court of Appeals District, Place 8",0333,1018,939,1957,2901,67.46%,1371,471,1842
"Justice, 14th Court of Appeals District, Place 8",0334,255,114,369,755,48.87%,73,281,354
"Justice, 14th Court of Appeals District, Place 8",0335,285,246,531,1227,43.28%,146,335,481
"Justice, 14th Court of Appeals District, Place 8",0336,1820,588,2408,3161,76.18%,212,2118,2330
"Justice, 14th Court of Appeals District, Place 8",0337,310,207,517,951,54.36%,80,423,503
"Justice, 14th Court of Appeals District, Place 8",0338,1541,824,2365,4673,50.61%,622,1590,2212
"Justice, 14th Court of Appeals District, Place 8",0339,369,373,742,1716,43.24%,138,553,691
"Justice, 14th Court of Appeals District, Place 8",0340,1778,833,2611,3717,70.24%,1876,579,2455
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0341,246,316,562,1248,45.03%,116,422,538
"Justice, 14th Court of Appeals District, Place 8",0342,2029,1113,3142,5718,54.95%,402,2640,3042
"Justice, 14th Court of Appeals District, Place 8",0343,436,483,919,1904,48.27%,194,646,840
"Justice, 14th Court of Appeals District, Place 8",0344,395,245,640,1207,53.02%,22,590,612
"Justice, 14th Court of Appeals District, Place 8",0345,428,357,785,1708,45.96%,160,583,743
"Justice, 14th Court of Appeals District, Place 8",0346,1,2,3,1,300.00%,3,0,3
"Justice, 14th Court of Appeals District, Place 8",0347,1250,614,1864,3299,56.50%,1113,666,1779
"Justice, 14th Court of Appeals District, Place 8",0348,751,280,1031,1740,59.25%,723,260,983
"Justice, 14th Court of Appeals District, Place 8",0349,405,407,812,1315,61.75%,462,305,767
"Justice, 14th Court of Appeals District, Place 8",0350,1115,780,1895,2906,65.21%,780,968,1748
"Justice, 14th Court of Appeals District, Place 8",0351,2495,793,3288,4537,72.47%,2577,583,3160
"Justice, 14th Court of Appeals District, Place 8",0352,1152,583,1735,3193,54.34%,1166,491,1657
"Justice, 14th Court of Appeals District, Place 8",0353,1544,703,2247,3697,60.78%,352,1813,2165
"Justice, 14th Court of Appeals District, Place 8",0354,1476,517,1993,3193,62.42%,424,1482,1906
"Justice, 14th Court of Appeals District, Place 8",0355,701,286,987,1384,71.32%,86,868,954
"Justice, 14th Court of Appeals District, Place 8",0356,1382,618,2000,2836,70.52%,1135,725,1860
"Justice, 14th Court of Appeals District, Place 8",0357,1633,709,2342,3371,69.47%,1685,535,2220
"Justice, 14th Court of Appeals District, Place 8",0358,740,464,1204,2297,52.42%,85,1078,1163
"Justice, 14th Court of Appeals District, Place 8",0359,706,482,1188,3008,39.49%,90,1056,1146
"Justice, 14th Court of Appeals District, Place 8",0360,971,515,1486,2190,67.85%,800,550,1350
"Justice, 14th Court of Appeals District, Place 8",0361,135,691,826,1585,52.11%,148,549,697
"Justice, 14th Court of Appeals District, Place 8",0362,2131,1200,3331,4952,67.27%,2352,801,3153
"Justice, 14th Court of Appeals District, Place 8",0363,1347,687,2034,3291,61.80%,872,1088,1960
"Justice, 14th Court of Appeals District, Place 8",0364,912,602,1514,2539,59.63%,734,699,1433
"Justice, 14th Court of Appeals District, Place 8",0365,735,245,980,1302,75.27%,86,866,952
"Justice, 14th Court of Appeals District, Place 8",0366,638,466,1104,2089,52.85%,218,848,1066
"Justice, 14th Court of Appeals District, Place 8",0367,328,212,540,1019,52.99%,88,431,519
"Justice, 14th Court of Appeals District, Place 8",0368,418,143,561,929,60.39%,136,408,544
"Justice, 14th Court of Appeals District, Place 8",0369,107,53,160,490,32.65%,58,96,154
"Justice, 14th Court of Appeals District, Place 8",0370,3144,1178,4322,5781,74.76%,3179,947,4126
"Justice, 14th Court of Appeals District, Place 8",0371,226,69,295,475,62.11%,5,281,286
"Justice, 14th Court of Appeals District, Place 8",0372,498,231,729,1215,60.00%,77,618,695
"Justice, 14th Court of Appeals District, Place 8",0373,61,16,77,159,48.43%,1,74,75
"Justice, 14th Court of Appeals District, Place 8",0374,139,187,326,748,43.58%,83,231,314
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0375,577,524,1101,2607,42.23%,421,619,1040
"Justice, 14th Court of Appeals District, Place 8",0376,629,334,963,1916,50.26%,378,525,903
"Justice, 14th Court of Appeals District, Place 8",0377,1055,707,1762,2871,61.37%,1274,373,1647
"Justice, 14th Court of Appeals District, Place 8",0378,559,521,1080,1777,60.78%,662,370,1032
"Justice, 14th Court of Appeals District, Place 8",0379,801,338,1139,2017,56.47%,76,1013,1089
"Justice, 14th Court of Appeals District, Place 8",0380,2502,1183,3685,4753,77.53%,2024,1481,3505
"Justice, 14th Court of Appeals District, Place 8",0381,957,424,1381,2715,50.87%,542,776,1318
"Justice, 14th Court of Appeals District, Place 8",0382,276,231,507,841,60.29%,350,135,485
"Justice, 14th Court of Appeals District, Place 8",0383,599,493,1092,2076,52.60%,316,726,1042
"Justice, 14th Court of Appeals District, Place 8",0384,1173,505,1678,2596,64.64%,329,1283,1612
"Justice, 14th Court of Appeals District, Place 8",0385,1099,621,1720,2175,79.08%,1314,284,1598
"Justice, 14th Court of Appeals District, Place 8",0386,1464,460,1924,2872,66.99%,1344,497,1841
"Justice, 14th Court of Appeals District, Place 8",0387,1369,802,2171,3727,58.25%,1452,606,2058
"Justice, 14th Court of Appeals District, Place 8",0388,2780,1222,4002,5329,75.10%,2183,1656,3839
"Justice, 14th Court of Appeals District, Place 8",0389,285,261,546,975,56.00%,86,418,504
"Justice, 14th Court of Appeals District, Place 8",0390,644,368,1012,1565,64.66%,128,840,968
"Justice, 14th Court of Appeals District, Place 8",0391,856,355,1211,1805,67.09%,760,387,1147
"Justice, 14th Court of Appeals District, Place 8",0392,737,197,934,1441,64.82%,9,903,912
"Justice, 14th Court of Appeals District, Place 8",0393,346,318,664,1206,55.06%,276,345,621
"Justice, 14th Court of Appeals District, Place 8",0394,166,176,342,860,39.77%,124,199,323
"Justice, 14th Court of Appeals District, Place 8",0395,830,491,1321,1820,72.58%,906,321,1227
"Justice, 14th Court of Appeals District, Place 8",0396,1157,219,1376,2073,66.38%,12,1320,1332
"Justice, 14th Court of Appeals District, Place 8",0397,163,148,311,750,41.47%,112,175,287
"Justice, 14th Court of Appeals District, Place 8",0398,1439,840,2279,3816,59.72%,1065,1118,2183
"Justice, 14th Court of Appeals District, Place 8",0399,897,593,1490,2542,58.62%,711,727,1438
"Justice, 14th Court of Appeals District, Place 8",0400,1051,506,1557,2238,69.57%,1080,387,1467
"Justice, 14th Court of Appeals District, Place 8",0401,723,284,1007,1876,53.68%,39,939,978
"Justice, 14th Court of Appeals District, Place 8",0402,892,245,1137,1737,65.46%,52,1055,1107
"Justice, 14th Court of Appeals District, Place 8",0403,791,527,1318,1703,77.39%,748,438,1186
"Justice, 14th Court of Appeals District, Place 8",0404,778,552,1330,2589,51.37%,652,614,1266
"Justice, 14th Court of Appeals District, Place 8",0405,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 8",0406,281,72,353,610,57.87%,5,335,340
"Justice, 14th Court of Appeals District, Place 8",0407,1317,1000,2317,3652,63.44%,1432,734,2166
"Justice, 14th Court of Appeals District, Place 8",0408,154,179,333,933,35.69%,133,181,314
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0409,277,289,566,1371,41.28%,163,367,530
"Justice, 14th Court of Appeals District, Place 8",0410,337,102,439,849,51.71%,77,348,425
"Justice, 14th Court of Appeals District, Place 8",0411,542,462,1004,2302,43.61%,257,684,941
"Justice, 14th Court of Appeals District, Place 8",0412,193,74,267,433,61.66%,12,249,261
"Justice, 14th Court of Appeals District, Place 8",0413,1493,525,2018,3023,66.75%,734,1172,1906
"Justice, 14th Court of Appeals District, Place 8",0414,1452,593,2045,3457,59.16%,1414,495,1909
"Justice, 14th Court of Appeals District, Place 8",0415,950,633,1583,2124,74.53%,1067,413,1480
"Justice, 14th Court of Appeals District, Place 8",0416,1177,916,2093,3582,58.43%,1055,919,1974
"Justice, 14th Court of Appeals District, Place 8",0417,777,619,1396,2465,56.63%,582,740,1322
"Justice, 14th Court of Appeals District, Place 8",0418,1057,758,1815,3420,53.07%,636,1086,1722
"Justice, 14th Court of Appeals District, Place 8",0419,1006,578,1584,2697,58.73%,981,523,1504
"Justice, 14th Court of Appeals District, Place 8",0420,2174,1089,3263,4639,70.34%,2594,497,3091
"Justice, 14th Court of Appeals District, Place 8",0421,124,92,216,467,46.25%,46,161,207
"Justice, 14th Court of Appeals District, Place 8",0422,1456,585,2041,3345,61.02%,45,1936,1981
"Justice, 14th Court of Appeals District, Place 8",0423,190,309,499,894,55.82%,197,271,468
"Justice, 14th Court of Appeals District, Place 8",0424,435,1,57,592,888,66.67%,340,234,574
"Justice, 14th Court of Appeals District, Place 8",0425,227,234,461,875,52.69%,143,287,430
"Justice, 14th Court of Appeals District, Place 8",0426,415,283,698,1224,57.03%,380,262,642
"Justice, 14th Court of Appeals District, Place 8",0427,325,249,574,1115,51.48%,199,338,537
"Justice, 14th Court of Appeals District, Place 8",0428,1284,907,2191,4316,50.76%,617,1427,2044
"Justice, 14th Court of Appeals District, Place 8",0429,1093,777,1870,3929,47.59%,325,1401,1726
"Justice, 14th Court of Appeals District, Place 8",0430,405,335,740,1654,44.74%,145,535,680
"Justice, 14th Court of Appeals District, Place 8",0431,820,403,1223,3188,38.36%,310,840,1150
"Justice, 14th Court of Appeals District, Place 8",0432,312,271,583,1344,43.38%,154,400,554
"Justice, 14th Court of Appeals District, Place 8",0433,139,106,245,573,42.76%,36,195,231
"Justice, 14th Court of Appeals District, Place 8",0434,628,371,999,1386,72.08%,625,309,934
"Justice, 14th Court of Appeals District, Place 8",0435,1534,768,2302,3097,74.33%,1488,655,2143
"Justice, 14th Court of Appeals District, Place 8",0436,1334,709,2043,3012,67.83%,1185,710,1895
"Justice, 14th Court of Appeals District, Place 8",0437,951,542,1493,2007,74.39%,1047,351,1398
"Justice, 14th Court of Appeals District, Place 8",0438,1046,387,1433,1802,79.52%,1049,268,1317
"Justice, 14th Court of Appeals District, Place 8",0439,1526,905,2431,3416,71.17%,1717,548,2265
"Justice, 14th Court of Appeals District, Place 8",0440,1326,876,2202,2867,76.81%,1702,328,2030
"Justice, 14th Court of Appeals District, Place 8",0441,698,513,1211,1616,74.94%,879,251,1130
"Justice, 14th Court of Appeals District, Place 8",0442,1366,513,1879,2504,75.04%,1505,282,1787
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0443,335,148,483,605,79.83%,346,104,450
"Justice, 14th Court of Appeals District, Place 8",0444,1258,731,1989,3172,62.70%,1162,683,1845
"Justice, 14th Court of Appeals District, Place 8",0445,860,443,1303,1938,67.23%,790,433,1223
"Justice, 14th Court of Appeals District, Place 8",0446,70,52,122,268,45.52%,46,71,117
"Justice, 14th Court of Appeals District, Place 8",0447,271,108,379,583,65.01%,122,230,352
"Justice, 14th Court of Appeals District, Place 8",0448,1239,869,2108,3081,68.42%,1201,749,1950
"Justice, 14th Court of Appeals District, Place 8",0449,62,37,99,164,60.37%,12,80,92
"Justice, 14th Court of Appeals District, Place 8",0450,856,537,1393,2622,53.13%,339,988,1327
"Justice, 14th Court of Appeals District, Place 8",0451,1575,515,2090,2674,78.16%,1676,318,1994
"Justice, 14th Court of Appeals District, Place 8",0452,1109,639,1748,2810,62.21%,1265,410,1675
"Justice, 14th Court of Appeals District, Place 8",0453,559,475,1034,1885,54.85%,323,654,977
"Justice, 14th Court of Appeals District, Place 8",0454,1227,311,1538,2571,59.82%,10,1484,1494
"Justice, 14th Court of Appeals District, Place 8",0455,748,216,964,1679,57.42%,21,910,931
"Justice, 14th Court of Appeals District, Place 8",0456,1266,593,1859,3350,55.49%,945,813,1758
"Justice, 14th Court of Appeals District, Place 8",0457,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 8",0458,909,271,1180,1893,62.33%,44,1095,1139
"Justice, 14th Court of Appeals District, Place 8",0459,1637,476,2113,2950,71.63%,1630,369,1999
"Justice, 14th Court of Appeals District, Place 8",0460,1250,402,1652,2346,70.42%,402,1187,1589
"Justice, 14th Court of Appeals District, Place 8",0461,1959,828,2787,3733,74.66%,1802,761,2563
"Justice, 14th Court of Appeals District, Place 8",0462,1319,865,2184,3367,64.86%,762,1284,2046
"Justice, 14th Court of Appeals District, Place 8",0463,1124,656,1780,2962,60.09%,688,1003,1691
"Justice, 14th Court of Appeals District, Place 8",0464,787,612,1399,2126,65.80%,929,393,1322
"Justice, 14th Court of Appeals District, Place 8",0465,1465,702,2167,3343,64.82%,1112,988,2100
"Justice, 14th Court of Appeals District, Place 8",0466,2052,729,2781,4072,68.30%,1509,1156,2665
"Justice, 14th Court of Appeals District, Place 8",0467,478,229,707,1230,57.48%,161,514,675
"Justice, 14th Court of Appeals District, Place 8",0468,985,793,1778,3354,53.01%,475,1206,1681
"Justice, 14th Court of Appeals District, Place 8",0469,2039,638,2677,3779,70.84%,2043,491,2534
"Justice, 14th Court of Appeals District, Place 8",0470,443,323,766,1349,56.78%,516,206,722
"Justice, 14th Court of Appeals District, Place 8",0471,792,597,1389,2349,59.13%,1041,290,1331
"Justice, 14th Court of Appeals District, Place 8",0472,371,337,708,1027,68.94%,329,315,644
"Justice, 14th Court of Appeals District, Place 8",0473,914,442,1356,1827,74.22%,924,339,1263
"Justice, 14th Court of Appeals District, Place 8",0474,1146,766,1912,3006,63.61%,1270,536,1806
"Justice, 14th Court of Appeals District, Place 8",0475,485,473,958,1651,58.03%,391,505,896
"Justice, 14th Court of Appeals District, Place 8",0476,809,658,1467,2412,60.82%,782,620,1402
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0477,1441,742,2183,3195,68.33%,1585,502,2087
"Justice, 14th Court of Appeals District, Place 8",0478,1959,898,2857,4150,68.84%,1830,880,2710
"Justice, 14th Court of Appeals District, Place 8",0479,1298,588,1886,2648,71.22%,1348,454,1802
"Justice, 14th Court of Appeals District, Place 8",0480,936,555,1491,2267,65.77%,1013,395,1408
"Justice, 14th Court of Appeals District, Place 8",0481,1464,852,2316,3298,70.22%,1688,514,2202
"Justice, 14th Court of Appeals District, Place 8",0482,1964,836,2800,4129,67.81%,1876,804,2680
"Justice, 14th Court of Appeals District, Place 8",0483,1868,759,2627,4141,63.44%,1368,1126,2494
"Justice, 14th Court of Appeals District, Place 8",0484,2237,1008,3245,4594,70.64%,2258,838,3096
"Justice, 14th Court of Appeals District, Place 8",0485,2421,990,3411,4838,70.50%,2462,808,3270
"Justice, 14th Court of Appeals District, Place 8",0486,1843,805,2648,3572,74.13%,2010,514,2524
"Justice, 14th Court of Appeals District, Place 8",0487,1005,612,1617,3318,48.73%,449,1032,1481
"Justice, 14th Court of Appeals District, Place 8",0488,580,440,1020,1713,59.54%,318,623,941
"Justice, 14th Court of Appeals District, Place 8",0489,784,378,1162,1823,63.74%,314,783,1097
"Justice, 14th Court of Appeals District, Place 8",0490,877,439,1316,1944,67.70%,467,768,1235
"Justice, 14th Court of Appeals District, Place 8",0491,667,489,1156,1782,64.87%,657,424,1081
"Justice, 14th Court of Appeals District, Place 8",0492,1070,504,1574,2351,66.95%,800,659,1459
"Justice, 14th Court of Appeals District, Place 8",0493,858,400,1258,1804,69.73%,783,382,1165
"Justice, 14th Court of Appeals District, Place 8",0494,761,431,1192,2176,54.78%,128,1025,1153
"Justice, 14th Court of Appeals District, Place 8",0495,1120,494,1614,2284,70.67%,1115,404,1519
"Justice, 14th Court of Appeals District, Place 8",0496,496,571,1067,2086,51.15%,362,641,1003
"Justice, 14th Court of Appeals District, Place 8",0497,1124,303,1427,2226,64.11%,52,1325,1377
"Justice, 14th Court of Appeals District, Place 8",0498,759,499,1258,2123,59.26%,505,690,1195
"Justice, 14th Court of Appeals District, Place 8",0499,1301,517,1818,2304,78.91%,1314,397,1711
"Justice, 14th Court of Appeals District, Place 8",0500,1507,746,2253,3175,70.96%,1488,656,2144
"Justice, 14th Court of Appeals District, Place 8",0501,653,487,1140,1647,69.22%,427,618,1045
"Justice, 14th Court of Appeals District, Place 8",0502,1151,332,1483,2364,62.73%,1102,294,1396
"Justice, 14th Court of Appeals District, Place 8",0503,359,273,632,1363,46.37%,180,401,581
"Justice, 14th Court of Appeals District, Place 8",0504,1129,538,1667,2197,75.88%,1081,485,1566
"Justice, 14th Court of Appeals District, Place 8",0505,1209,829,2038,3654,55.77%,864,1035,1899
"Justice, 14th Court of Appeals District, Place 8",0506,1471,801,2272,3380,67.22%,354,1825,2179
"Justice, 14th Court of Appeals District, Place 8",0507,582,385,967,2435,39.71%,139,691,830
"Justice, 14th Court of Appeals District, Place 8",0508,946,760,1706,3248,52.52%,526,1043,1569
"Justice, 14th Court of Appeals District, Place 8",0509,1340,864,2204,3536,62.33%,1493,603,2096
"Justice, 14th Court of Appeals District, Place 8",0510,1492,682,2174,3511,61.92%,941,1112,2053
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0511,0,6,6,0,0.00%,1,5,6
"Justice, 14th Court of Appeals District, Place 8",0512,1560,1127,2687,4582,58.64%,1170,1401,2571
"Justice, 14th Court of Appeals District, Place 8",0513,1605,507,2112,2752,76.74%,1563,439,2002
"Justice, 14th Court of Appeals District, Place 8",0514,1967,860,2827,3941,71.73%,2033,665,2698
"Justice, 14th Court of Appeals District, Place 8",0515,1692,708,2400,3173,75.64%,1886,395,2281
"Justice, 14th Court of Appeals District, Place 8",0516,2179,1066,3245,4934,65.77%,1545,1519,3064
"Justice, 14th Court of Appeals District, Place 8",0517,1208,653,1861,3320,56.05%,919,841,1760
"Justice, 14th Court of Appeals District, Place 8",0518,1478,919,2397,3755,63.83%,1443,820,2263
"Justice, 14th Court of Appeals District, Place 8",0519,1234,645,1879,2951,63.67%,1321,471,1792
"Justice, 14th Court of Appeals District, Place 8",0520,1542,857,2399,4064,59.03%,368,1946,2314
"Justice, 14th Court of Appeals District, Place 8",0521,1014,694,1708,2725,62.68%,834,791,1625
"Justice, 14th Court of Appeals District, Place 8",0522,1171,658,1829,2682,68.20%,1333,398,1731
"Justice, 14th Court of Appeals District, Place 8",0523,1339,689,2028,3060,66.27%,1311,578,1889
"Justice, 14th Court of Appeals District, Place 8",0524,1238,675,1913,3292,58.11%,554,1272,1826
"Justice, 14th Court of Appeals District, Place 8",0525,1381,610,1991,2947,67.56%,380,1508,1888
"Justice, 14th Court of Appeals District, Place 8",0526,167,171,338,731,46.24%,80,240,320
"Justice, 14th Court of Appeals District, Place 8",0527,80,24,104,569,18.28%,44,54,98
"Justice, 14th Court of Appeals District, Place 8",0528,36,12,48,92,52.17%,2,45,47
"Justice, 14th Court of Appeals District, Place 8",0529,1988,441,2429,3616,67.17%,1992,326,2318
"Justice, 14th Court of Appeals District, Place 8",0530,259,235,494,1196,41.30%,90,372,462
"Justice, 14th Court of Appeals District, Place 8",0531,672,113,785,1094,71.76%,597,143,740
"Justice, 14th Court of Appeals District, Place 8",0532,452,184,636,1039,61.21%,419,192,611
"Justice, 14th Court of Appeals District, Place 8",0533,317,207,524,1069,49.02%,254,241,495
"Justice, 14th Court of Appeals District, Place 8",0534,1658,675,2333,3795,61.48%,1629,587,2216
"Justice, 14th Court of Appeals District, Place 8",0535,80,94,174,421,41.33%,55,107,162
"Justice, 14th Court of Appeals District, Place 8",0536,1332,1195,2527,4576,55.22%,858,1551,2409
"Justice, 14th Court of Appeals District, Place 8",0537,1454,823,2277,2971,76.64%,1641,524,2165
"Justice, 14th Court of Appeals District, Place 8",0538,433,237,670,1282,52.26%,15,633,648
"Justice, 14th Court of Appeals District, Place 8",0539,26,209,235,71,330.99%,47,166,213
"Justice, 14th Court of Appeals District, Place 8",0540,666,380,1046,1491,70.15%,460,490,950
"Justice, 14th Court of Appeals District, Place 8",0541,1826,779,2605,4183,62.28%,339,2147,2486
"Justice, 14th Court of Appeals District, Place 8",0542,997,501,1498,2525,59.33%,71,1382,1453
"Justice, 14th Court of Appeals District, Place 8",0543,287,378,665,1528,43.52%,180,452,632
"Justice, 14th Court of Appeals District, Place 8",0544,92,53,145,318,45.60%,15,124,139
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0545,1314,857,2171,3339,65.02%,978,1092,2070
"Justice, 14th Court of Appeals District, Place 8",0546,4,4,8,30,26.67%,2,6,8
"Justice, 14th Court of Appeals District, Place 8",0547,877,647,1524,2408,63.29%,1019,424,1443
"Justice, 14th Court of Appeals District, Place 8",0548,720,476,1196,2129,56.18%,516,627,1143
"Justice, 14th Court of Appeals District, Place 8",0549,944,586,1530,2530,60.47%,194,1277,1471
"Justice, 14th Court of Appeals District, Place 8",0550,1134,629,1763,2847,61.92%,853,841,1694
"Justice, 14th Court of Appeals District, Place 8",0551,3088,1527,4615,6135,75.22%,3242,1140,4382
"Justice, 14th Court of Appeals District, Place 8",0552,1521,844,2465,3241,76.06%,1994,360,2354
"Justice, 14th Court of Appeals District, Place 8",0553,1465,951,2416,4355,55.48%,978,1333,2311
"Justice, 14th Court of Appeals District, Place 8",0554,562,340,902,1731,52.11%,134,707,841
"Justice, 14th Court of Appeals District, Place 8",0555,598,447,1045,2119,49.32%,165,833,998
"Justice, 14th Court of Appeals District, Place 8",0556,584,421,1005,2249,44.69%,202,750,952
"Justice, 14th Court of Appeals District, Place 8",0557,822,556,1378,2726,50.55%,421,855,1276
"Justice, 14th Court of Appeals District, Place 8",0558,1589,824,2413,4084,59.08%,731,1561,2292
"Justice, 14th Court of Appeals District, Place 8",0559,1787,899,2686,4633,57.98%,619,1927,2546
"Justice, 14th Court of Appeals District, Place 8",0560,172,289,461,1176,39.20%,78,352,430
"Justice, 14th Court of Appeals District, Place 8",0561,837,759,1596,3033,52.62%,861,659,1520
"Justice, 14th Court of Appeals District, Place 8",0562,201,146,347,645,53.80%,21,312,333
"Justice, 14th Court of Appeals District, Place 8",0563,1699,415,2114,2969,71.20%,1598,394,1992
"Justice, 14th Court of Appeals District, Place 8",0564,1150,713,1863,3096,60.17%,482,1244,1726
