Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0282,690,591,1281,1988,64.44%,751,454,1205
"Justice, 14th Court of Appeals District, Place 5",0283,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0284,1136,595,1731,3262,53.07%,659,984,1643
"Justice, 14th Court of Appeals District, Place 5",0285,988,509,1497,2505,59.76%,111,1334,1445
"Justice, 14th Court of Appeals District, Place 5",0286,2658,1053,3711,5719,64.89%,327,3224,3551
"Justice, 14th Court of Appeals District, Place 5",0287,647,542,1189,1616,73.58%,636,470,1106
"Justice, 14th Court of Appeals District, Place 5",0288,1036,380,1416,2259,62.68%,24,1344,1368
"Justice, 14th Court of Appeals District, Place 5",0289,374,397,771,1510,51.06%,309,402,711
"Justice, 14th Court of Appeals District, Place 5",0290,577,429,1006,1567,64.20%,759,211,970
"Justice, 14th Court of Appeals District, Place 5",0291,541,298,839,1203,69.74%,412,369,781
"Justice, 14th Court of Appeals District, Place 5",0292,478,236,714,1272,56.13%,93,594,687
"Justice, 14th Court of Appeals District, Place 5",0293,620,557,1177,1733,67.92%,541,545,1086
"Justice, 14th Court of Appeals District, Place 5",0294,989,298,1287,2107,61.08%,9,1239,1248
"Justice, 14th Court of Appeals District, Place 5",0295,314,189,503,862,58.35%,7,482,489
"Justice, 14th Court of Appeals District, Place 5",0296,602,432,1034,1693,61.08%,580,361,941
"Justice, 14th Court of Appeals District, Place 5",0297,579,445,1024,1978,51.77%,384,567,951
"Justice, 14th Court of Appeals District, Place 5",0298,848,475,1323,2083,63.51%,727,496,1223
"Justice, 14th Court of Appeals District, Place 5",0299,328,213,541,1231,43.95%,174,329,503
"Justice, 14th Court of Appeals District, Place 5",0300,3014,922,3936,5040,78.10%,3008,705,3713
"Justice, 14th Court of Appeals District, Place 5",0301,450,655,1105,2397,46.10%,407,634,1041
"Justice, 14th Court of Appeals District, Place 5",0302,713,635,1348,2724,49.49%,697,563,1260
"Justice, 14th Court of Appeals District, Place 5",0303,1773,755,2528,3172,79.70%,2025,355,2380
"Justice, 14th Court of Appeals District, Place 5",0304,970,648,1618,2266,71.40%,928,546,1474
"Justice, 14th Court of Appeals District, Place 5",0305,1319,858,2177,3621,60.12%,796,1282,2078
"Justice, 14th Court of Appeals District, Place 5",0306,1013,323,1336,1847,72.33%,976,266,1242
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0307,1242,876,2118,2931,72.26%,1473,520,1993
"Justice, 14th Court of Appeals District, Place 5",0308,444,238,682,1266,53.87%,189,449,638
"Justice, 14th Court of Appeals District, Place 5",0309,1385,612,1997,2529,78.96%,1611,273,1884
"Justice, 14th Court of Appeals District, Place 5",0310,519,348,967,1437,67.29%,650,255,905
"Justice, 14th Court of Appeals District, Place 5",0311,862,699,1561,2997,52.09%,695,707,1402
"Justice, 14th Court of Appeals District, Place 5",0312,1600,718,2318,3669,63.18%,1280,902,2182
"Justice, 14th Court of Appeals District, Place 5",0313,22,1,23,60,38.33%,12,8,20
"Justice, 14th Court of Appeals District, Place 5",0314,2494,1221,3715,5225,71.10%,2246,1318,3564
"Justice, 14th Court of Appeals District, Place 5",0315,711,479,1190,1618,73.55%,717,376,1093
"Justice, 14th Court of Appeals District, Place 5",0316,682,411,1093,1522,71.81%,624,378,1002
"Justice, 14th Court of Appeals District, Place 5",0317,552,336,888,1469,60.45%,269,576,845
"Justice, 14th Court of Appeals District, Place 5",0318,1708,611,2319,3531,65.68%,111,2120,2231
"Justice, 14th Court of Appeals District, Place 5",0319,965,290,1255,2081,60.31%,79,1126,1205
"Justice, 14th Court of Appeals District, Place 5",0320,464,300,764,1505,50.76%,328,386,714
"Justice, 14th Court of Appeals District, Place 5",0321,442,305,748,2029,36.87%,250,457,707
"Justice, 14th Court of Appeals District, Place 5",0322,397,237,634,1322,47.96%,163,449,612
"Justice, 14th Court of Appeals District, Place 5",0323,482,332,814,1719,47.35%,338,412,750
"Justice, 14th Court of Appeals District, Place 5",0324,967,718,1685,2339,72.04%,1086,465,1551
"Justice, 14th Court of Appeals District, Place 5",0325,657,397,1054,2251,46.82%,235,769,1004
"Justice, 14th Court of Appeals District, Place 5",0326,202,128,330,678,48.67%,136,166,302
"Justice, 14th Court of Appeals District, Place 5",0327,725,244,970,1751,55.40%,15,924,939
"Justice, 14th Court of Appeals District, Place 5",0328,344,270,614,1361,45.11%,230,355,585
"Justice, 14th Court of Appeals District, Place 5",0329,405,307,712,1367,52.08%,228,436,664
"Justice, 14th Court of Appeals District, Place 5",0330,590,376,966,1849,52.24%,436,459,895
"Justice, 14th Court of Appeals District, Place 5",0331,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 5",0332,23,4,27,128,21.09%,11,14,25
"Justice, 14th Court of Appeals District, Place 5",0333,1018,939,1957,2901,67.46%,1388,460,1848
"Justice, 14th Court of Appeals District, Place 5",0334,255,114,369,755,48.87%,74,279,353
"Justice, 14th Court of Appeals District, Place 5",0335,285,246,531,1227,43.28%,159,317,476
"Justice, 14th Court of Appeals District, Place 5",0336,1820,588,2408,3161,76.18%,214,2112,2326
"Justice, 14th Court of Appeals District, Place 5",0337,310,207,517,951,54.36%,89,413,502
"Justice, 14th Court of Appeals District, Place 5",0338,1541,824,2365,4673,50.61%,654,1556,2210
"Justice, 14th Court of Appeals District, Place 5",0339,369,373,742,1716,43.24%,155,520,675
"Justice, 14th Court of Appeals District, Place 5",0340,1778,833,2611,3717,70.24%,1905,541,2446
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0341,246,316,562,1248,45.03%,142,390,532
"Justice, 14th Court of Appeals District, Place 5",0342,2029,1113,3142,5718,54.95%,455,2583,3038
"Justice, 14th Court of Appeals District, Place 5",0343,436,483,919,1904,48.27%,227,605,832
"Justice, 14th Court of Appeals District, Place 5",0344,395,245,640,1207,53.02%,27,587,614
"Justice, 14th Court of Appeals District, Place 5",0345,428,357,785,1708,45.96%,170,575,745
"Justice, 14th Court of Appeals District, Place 5",0346,1,2,3,1,300.00%,3,0,3
"Justice, 14th Court of Appeals District, Place 5",0347,1250,614,1864,3299,56.50%,1147,627,1774
"Justice, 14th Court of Appeals District, Place 5",0348,751,280,1031,1740,59.25%,718,257,975
"Justice, 14th Court of Appeals District, Place 5",0349,405,407,812,1315,61.75%,467,302,769
"Justice, 14th Court of Appeals District, Place 5",0350,1115,780,1895,2906,65.21%,809,930,1739
"Justice, 14th Court of Appeals District, Place 5",0351,2495,793,3288,4537,72.47%,2592,565,3157
"Justice, 14th Court of Appeals District, Place 5",0352,1152,583,1735,3193,54.34%,1175,478,1653
"Justice, 14th Court of Appeals District, Place 5",0353,1544,703,2247,3697,60.78%,375,1785,2160
"Justice, 14th Court of Appeals District, Place 5",0354,1476,517,1993,3193,62.42%,438,1465,1903
"Justice, 14th Court of Appeals District, Place 5",0355,701,286,987,1384,71.32%,92,864,956
"Justice, 14th Court of Appeals District, Place 5",0356,1382,618,2000,2836,70.52%,1155,707,1862
"Justice, 14th Court of Appeals District, Place 5",0357,1633,709,2342,3371,69.47%,1714,504,2218
"Justice, 14th Court of Appeals District, Place 5",0358,740,464,1204,2297,52.42%,92,1070,1162
"Justice, 14th Court of Appeals District, Place 5",0359,706,482,1188,3008,39.49%,93,1050,1143
"Justice, 14th Court of Appeals District, Place 5",0360,971,515,1486,2190,67.85%,816,525,1341
"Justice, 14th Court of Appeals District, Place 5",0361,135,691,826,1585,52.11%,148,553,701
"Justice, 14th Court of Appeals District, Place 5",0362,2131,1200,3331,4952,67.27%,2391,763,3154
"Justice, 14th Court of Appeals District, Place 5",0363,1347,687,2034,3291,61.80%,890,1067,1957
"Justice, 14th Court of Appeals District, Place 5",0364,912,602,1514,2539,59.63%,768,668,1436
"Justice, 14th Court of Appeals District, Place 5",0365,735,245,980,1302,75.27%,92,859,951
"Justice, 14th Court of Appeals District, Place 5",0366,638,466,1104,2089,52.85%,235,829,1064
"Justice, 14th Court of Appeals District, Place 5",0367,328,212,540,1019,52.99%,94,425,519
"Justice, 14th Court of Appeals District, Place 5",0368,418,143,561,929,60.39%,154,390,544
"Justice, 14th Court of Appeals District, Place 5",0369,107,53,160,490,32.65%,58,95,153
"Justice, 14th Court of Appeals District, Place 5",0370,3144,1178,4322,5781,74.76%,3230,894,4124
"Justice, 14th Court of Appeals District, Place 5",0371,226,69,295,475,62.11%,5,283,288
"Justice, 14th Court of Appeals District, Place 5",0372,498,231,729,1215,60.00%,87,609,696
"Justice, 14th Court of Appeals District, Place 5",0373,61,16,77,159,48.43%,1,75,76
"Justice, 14th Court of Appeals District, Place 5",0374,139,187,326,748,43.58%,97,210,307
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0375,577,524,1101,2607,42.23%,444,593,1037
"Justice, 14th Court of Appeals District, Place 5",0376,629,334,963,1916,50.26%,389,515,904
"Justice, 14th Court of Appeals District, Place 5",0377,1055,707,1762,2871,61.37%,1299,347,1646
"Justice, 14th Court of Appeals District, Place 5",0378,559,521,1080,1777,60.78%,668,363,1031
"Justice, 14th Court of Appeals District, Place 5",0379,801,338,1139,2017,56.47%,87,1007,1094
"Justice, 14th Court of Appeals District, Place 5",0380,2502,1183,3685,4753,77.53%,2089,1413,3502
"Justice, 14th Court of Appeals District, Place 5",0381,957,424,1381,2715,50.87%,562,756,1318
"Justice, 14th Court of Appeals District, Place 5",0382,276,231,507,841,60.29%,352,132,484
"Justice, 14th Court of Appeals District, Place 5",0383,599,493,1092,2076,52.60%,344,691,1035
"Justice, 14th Court of Appeals District, Place 5",0384,1173,505,1678,2596,64.64%,336,1279,1615
"Justice, 14th Court of Appeals District, Place 5",0385,1099,621,1720,2175,79.08%,1324,275,1599
"Justice, 14th Court of Appeals District, Place 5",0386,1464,460,1924,2872,66.99%,1353,487,1840
"Justice, 14th Court of Appeals District, Place 5",0387,1369,802,2171,3727,58.25%,1465,594,2059
"Justice, 14th Court of Appeals District, Place 5",0388,2780,1222,4002,5329,75.10%,2239,1599,3838
"Justice, 14th Court of Appeals District, Place 5",0389,285,261,546,975,56.00%,92,418,510
"Justice, 14th Court of Appeals District, Place 5",0390,644,368,1012,1565,64.66%,128,834,962
"Justice, 14th Court of Appeals District, Place 5",0391,856,355,1211,1805,67.09%,785,363,1148
"Justice, 14th Court of Appeals District, Place 5",0392,737,197,934,1441,64.82%,8,903,911
"Justice, 14th Court of Appeals District, Place 5",0393,346,318,664,1206,55.06%,289,333,622
"Justice, 14th Court of Appeals District, Place 5",0394,166,176,342,860,39.77%,136,186,322
"Justice, 14th Court of Appeals District, Place 5",0395,830,491,1321,1820,72.58%,919,309,1228
"Justice, 14th Court of Appeals District, Place 5",0396,1157,219,1376,2073,66.38%,12,1324,1336
"Justice, 14th Court of Appeals District, Place 5",0397,163,148,311,750,41.47%,123,167,290
"Justice, 14th Court of Appeals District, Place 5",0398,1439,840,2279,3816,59.72%,1108,1071,2179
"Justice, 14th Court of Appeals District, Place 5",0399,897,593,1490,2542,58.62%,722,714,1436
"Justice, 14th Court of Appeals District, Place 5",0400,1051,506,1557,2238,69.57%,1113,356,1469
"Justice, 14th Court of Appeals District, Place 5",0401,723,284,1007,1876,53.68%,43,940,983
"Justice, 14th Court of Appeals District, Place 5",0402,892,245,1137,1737,65.46%,53,1050,1103
"Justice, 14th Court of Appeals District, Place 5",0403,791,527,1318,1703,77.39%,750,436,1186
"Justice, 14th Court of Appeals District, Place 5",0404,778,552,1330,2589,51.37%,672,588,1260
"Justice, 14th Court of Appeals District, Place 5",0405,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 5",0406,281,72,353,610,57.87%,8,331,339
"Justice, 14th Court of Appeals District, Place 5",0407,1317,1000,2317,3652,63.44%,1465,690,2155
"Justice, 14th Court of Appeals District, Place 5",0408,154,179,333,933,35.69%,140,172,312
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0409,277,289,566,1371,41.28%,169,360,529
"Justice, 14th Court of Appeals District, Place 5",0410,337,102,439,849,51.71%,76,346,422
"Justice, 14th Court of Appeals District, Place 5",0411,542,462,1004,2302,43.61%,297,637,934
"Justice, 14th Court of Appeals District, Place 5",0412,193,74,267,433,61.66%,17,243,260
"Justice, 14th Court of Appeals District, Place 5",0413,1493,525,2018,3023,66.75%,755,1147,1902
"Justice, 14th Court of Appeals District, Place 5",0414,1452,593,2045,3457,59.16%,1445,464,1909
"Justice, 14th Court of Appeals District, Place 5",0415,950,633,1583,2124,74.53%,1090,387,1477
"Justice, 14th Court of Appeals District, Place 5",0416,1177,916,2093,3582,58.43%,1077,894,1971
"Justice, 14th Court of Appeals District, Place 5",0417,777,619,1396,2465,56.63%,617,700,1317
"Justice, 14th Court of Appeals District, Place 5",0418,1057,758,1815,3420,53.07%,667,1052,1719
"Justice, 14th Court of Appeals District, Place 5",0419,1006,578,1584,2697,58.73%,997,498,1495
"Justice, 14th Court of Appeals District, Place 5",0420,2174,1089,3263,4639,70.34%,2608,487,3095
"Justice, 14th Court of Appeals District, Place 5",0421,124,92,216,467,46.25%,42,165,207
"Justice, 14th Court of Appeals District, Place 5",0422,1456,585,2041,3345,61.02%,45,1934,1979
"Justice, 14th Court of Appeals District, Place 5",0423,190,309,499,894,55.82%,202,263,465
"Justice, 14th Court of Appeals District, Place 5",0424,435,1,57,592,888,66.67%,342,229,571
"Justice, 14th Court of Appeals District, Place 5",0425,227,234,461,875,52.69%,144,289,433
"Justice, 14th Court of Appeals District, Place 5",0426,415,283,698,1224,57.03%,386,253,639
"Justice, 14th Court of Appeals District, Place 5",0427,325,249,574,1115,51.48%,204,331,535
"Justice, 14th Court of Appeals District, Place 5",0428,1284,907,2191,4316,50.76%,636,1400,2036
"Justice, 14th Court of Appeals District, Place 5",0429,1093,777,1870,3929,47.59%,347,1377,1724
"Justice, 14th Court of Appeals District, Place 5",0430,405,335,740,1654,44.74%,149,534,683
"Justice, 14th Court of Appeals District, Place 5",0431,820,403,1223,3188,38.36%,316,826,1142
"Justice, 14th Court of Appeals District, Place 5",0432,312,271,583,1344,43.38%,160,396,556
"Justice, 14th Court of Appeals District, Place 5",0433,139,106,245,573,42.76%,42,189,231
"Justice, 14th Court of Appeals District, Place 5",0434,628,371,999,1386,72.08%,643,295,938
"Justice, 14th Court of Appeals District, Place 5",0435,1534,768,2302,3097,74.33%,1527,619,2146
"Justice, 14th Court of Appeals District, Place 5",0436,1334,709,2043,3012,67.83%,1233,656,1889
"Justice, 14th Court of Appeals District, Place 5",0437,951,542,1493,2007,74.39%,1059,334,1393
"Justice, 14th Court of Appeals District, Place 5",0438,1046,387,1433,1802,79.52%,1073,242,1315
"Justice, 14th Court of Appeals District, Place 5",0439,1526,905,2431,3416,71.17%,1740,520,2260
"Justice, 14th Court of Appeals District, Place 5",0440,1326,876,2202,2867,76.81%,1740,305,2045
"Justice, 14th Court of Appeals District, Place 5",0441,698,513,1211,1616,74.94%,898,233,1131
"Justice, 14th Court of Appeals District, Place 5",0442,1366,513,1879,2504,75.04%,1524,263,1787
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0443,335,148,483,605,79.83%,357,91,448
"Justice, 14th Court of Appeals District, Place 5",0444,1258,731,1989,3172,62.70%,1198,645,1843
"Justice, 14th Court of Appeals District, Place 5",0445,860,443,1303,1938,67.23%,806,410,1216
"Justice, 14th Court of Appeals District, Place 5",0446,70,52,122,268,45.52%,43,70,113
"Justice, 14th Court of Appeals District, Place 5",0447,271,108,379,583,65.01%,125,225,350
"Justice, 14th Court of Appeals District, Place 5",0448,1239,869,2108,3081,68.42%,1228,715,1943
"Justice, 14th Court of Appeals District, Place 5",0449,62,37,99,164,60.37%,12,82,94
"Justice, 14th Court of Appeals District, Place 5",0450,856,537,1393,2622,53.13%,353,970,1323
"Justice, 14th Court of Appeals District, Place 5",0451,1575,515,2090,2674,78.16%,1684,304,1988
"Justice, 14th Court of Appeals District, Place 5",0452,1109,639,1748,2810,62.21%,1286,392,1678
"Justice, 14th Court of Appeals District, Place 5",0453,559,475,1034,1885,54.85%,338,633,971
"Justice, 14th Court of Appeals District, Place 5",0454,1227,311,1538,2571,59.82%,13,1484,1497
"Justice, 14th Court of Appeals District, Place 5",0455,748,216,964,1679,57.42%,28,904,932
"Justice, 14th Court of Appeals District, Place 5",0456,1266,593,1859,3350,55.49%,973,781,1754
"Justice, 14th Court of Appeals District, Place 5",0457,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 5",0458,909,271,1180,1893,62.33%,55,1076,1131
"Justice, 14th Court of Appeals District, Place 5",0459,1637,476,2113,2950,71.63%,1646,355,2001
"Justice, 14th Court of Appeals District, Place 5",0460,1250,402,1652,2346,70.42%,418,1162,1580
"Justice, 14th Court of Appeals District, Place 5",0461,1959,828,2787,3733,74.66%,1818,740,2558
"Justice, 14th Court of Appeals District, Place 5",0462,1319,865,2184,3367,64.86%,776,1256,2032
"Justice, 14th Court of Appeals District, Place 5",0463,1124,656,1780,2962,60.09%,710,981,1691
"Justice, 14th Court of Appeals District, Place 5",0464,787,612,1399,2126,65.80%,941,382,1323
"Justice, 14th Court of Appeals District, Place 5",0465,1465,702,2167,3343,64.82%,1137,965,2102
"Justice, 14th Court of Appeals District, Place 5",0466,2052,729,2781,4072,68.30%,1549,1119,2668
"Justice, 14th Court of Appeals District, Place 5",0467,478,229,707,1230,57.48%,166,508,674
"Justice, 14th Court of Appeals District, Place 5",0468,985,793,1778,3354,53.01%,508,1170,1678
"Justice, 14th Court of Appeals District, Place 5",0469,2039,638,2677,3779,70.84%,2063,475,2538
"Justice, 14th Court of Appeals District, Place 5",0470,443,323,766,1349,56.78%,524,196,720
"Justice, 14th Court of Appeals District, Place 5",0471,792,597,1389,2349,59.13%,1052,277,1329
"Justice, 14th Court of Appeals District, Place 5",0472,371,337,708,1027,68.94%,362,281,643
"Justice, 14th Court of Appeals District, Place 5",0473,914,442,1356,1827,74.22%,932,329,1261
"Justice, 14th Court of Appeals District, Place 5",0474,1146,766,1912,3006,63.61%,1320,487,1807
"Justice, 14th Court of Appeals District, Place 5",0475,485,473,958,1651,58.03%,412,487,899
"Justice, 14th Court of Appeals District, Place 5",0476,809,658,1467,2412,60.82%,840,556,1396
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0477,1441,742,2183,3195,68.33%,1625,460,2085
"Justice, 14th Court of Appeals District, Place 5",0478,1959,898,2857,4150,68.84%,1865,840,2705
"Justice, 14th Court of Appeals District, Place 5",0479,1298,588,1886,2648,71.22%,1384,422,1806
"Justice, 14th Court of Appeals District, Place 5",0480,936,555,1491,2267,65.77%,1024,382,1406
"Justice, 14th Court of Appeals District, Place 5",0481,1464,852,2316,3298,70.22%,1683,512,2195
"Justice, 14th Court of Appeals District, Place 5",0482,1964,836,2800,4129,67.81%,1921,768,2689
"Justice, 14th Court of Appeals District, Place 5",0483,1868,759,2627,4141,63.44%,1409,1088,2497
"Justice, 14th Court of Appeals District, Place 5",0484,2237,1008,3245,4594,70.64%,2289,799,3088
"Justice, 14th Court of Appeals District, Place 5",0485,2421,990,3411,4838,70.50%,2510,762,3272
"Justice, 14th Court of Appeals District, Place 5",0486,1843,805,2648,3572,74.13%,2051,477,2528
"Justice, 14th Court of Appeals District, Place 5",0487,1005,612,1617,3318,48.73%,468,1017,1485
"Justice, 14th Court of Appeals District, Place 5",0488,580,440,1020,1713,59.54%,335,599,934
"Justice, 14th Court of Appeals District, Place 5",0489,784,378,1162,1823,63.74%,332,749,1081
"Justice, 14th Court of Appeals District, Place 5",0490,877,439,1316,1944,67.70%,488,747,1235
"Justice, 14th Court of Appeals District, Place 5",0491,667,489,1156,1782,64.87%,669,410,1079
"Justice, 14th Court of Appeals District, Place 5",0492,1070,504,1574,2351,66.95%,827,635,1462
"Justice, 14th Court of Appeals District, Place 5",0493,858,400,1258,1804,69.73%,807,360,1167
"Justice, 14th Court of Appeals District, Place 5",0494,761,431,1192,2176,54.78%,149,1005,1154
"Justice, 14th Court of Appeals District, Place 5",0495,1120,494,1614,2284,70.67%,1132,385,1517
"Justice, 14th Court of Appeals District, Place 5",0496,496,571,1067,2086,51.15%,387,603,990
"Justice, 14th Court of Appeals District, Place 5",0497,1124,303,1427,2226,64.11%,57,1314,1371
"Justice, 14th Court of Appeals District, Place 5",0498,759,499,1258,2123,59.26%,515,686,1201
"Justice, 14th Court of Appeals District, Place 5",0499,1301,517,1818,2304,78.91%,1333,371,1704
"Justice, 14th Court of Appeals District, Place 5",0500,1507,746,2253,3175,70.96%,1527,617,2144
"Justice, 14th Court of Appeals District, Place 5",0501,653,487,1140,1647,69.22%,441,601,1042
"Justice, 14th Court of Appeals District, Place 5",0502,1151,332,1483,2364,62.73%,1112,288,1400
"Justice, 14th Court of Appeals District, Place 5",0503,359,273,632,1363,46.37%,195,387,582
"Justice, 14th Court of Appeals District, Place 5",0504,1129,538,1667,2197,75.88%,1121,445,1566
"Justice, 14th Court of Appeals District, Place 5",0505,1209,829,2038,3654,55.77%,903,993,1896
"Justice, 14th Court of Appeals District, Place 5",0506,1471,801,2272,3380,67.22%,375,1805,2180
"Justice, 14th Court of Appeals District, Place 5",0507,582,385,967,2435,39.71%,151,682,833
"Justice, 14th Court of Appeals District, Place 5",0508,946,760,1706,3248,52.52%,558,1009,1567
"Justice, 14th Court of Appeals District, Place 5",0509,1340,864,2204,3536,62.33%,1519,569,2088
"Justice, 14th Court of Appeals District, Place 5",0510,1492,682,2174,3511,61.92%,973,1072,2045
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0511,0,6,6,0,0.00%,1,5,6
"Justice, 14th Court of Appeals District, Place 5",0512,1560,1127,2687,4582,58.64%,1209,1361,2570
"Justice, 14th Court of Appeals District, Place 5",0513,1605,507,2112,2752,76.74%,1573,421,1994
"Justice, 14th Court of Appeals District, Place 5",0514,1967,860,2827,3941,71.73%,2063,633,2696
"Justice, 14th Court of Appeals District, Place 5",0515,1692,708,2400,3173,75.64%,1907,374,2281
"Justice, 14th Court of Appeals District, Place 5",0516,2179,1066,3245,4934,65.77%,1581,1483,3064
"Justice, 14th Court of Appeals District, Place 5",0517,1208,653,1861,3320,56.05%,960,800,1760
"Justice, 14th Court of Appeals District, Place 5",0518,1478,919,2397,3755,63.83%,1476,786,2262
"Justice, 14th Court of Appeals District, Place 5",0519,1234,645,1879,2951,63.67%,1332,467,1799
"Justice, 14th Court of Appeals District, Place 5",0520,1542,857,2399,4064,59.03%,379,1935,2314
"Justice, 14th Court of Appeals District, Place 5",0521,1014,694,1708,2725,62.68%,854,769,1623
"Justice, 14th Court of Appeals District, Place 5",0522,1171,658,1829,2682,68.20%,1352,379,1731
"Justice, 14th Court of Appeals District, Place 5",0523,1339,689,2028,3060,66.27%,1333,556,1889
"Justice, 14th Court of Appeals District, Place 5",0524,1238,675,1913,3292,58.11%,572,1254,1826
"Justice, 14th Court of Appeals District, Place 5",0525,1381,610,1991,2947,67.56%,404,1492,1896
"Justice, 14th Court of Appeals District, Place 5",0526,167,171,338,731,46.24%,91,230,321
"Justice, 14th Court of Appeals District, Place 5",0527,80,24,104,569,18.28%,45,52,97
"Justice, 14th Court of Appeals District, Place 5",0528,36,12,48,92,52.17%,4,43,47
"Justice, 14th Court of Appeals District, Place 5",0529,1988,441,2429,3616,67.17%,2002,326,2328
"Justice, 14th Court of Appeals District, Place 5",0530,259,235,494,1196,41.30%,108,350,458
"Justice, 14th Court of Appeals District, Place 5",0531,672,113,785,1094,71.76%,590,147,737
"Justice, 14th Court of Appeals District, Place 5",0532,452,184,636,1039,61.21%,431,181,612
"Justice, 14th Court of Appeals District, Place 5",0533,317,207,524,1069,49.02%,267,230,497
"Justice, 14th Court of Appeals District, Place 5",0534,1658,675,2333,3795,61.48%,1665,551,2216
"Justice, 14th Court of Appeals District, Place 5",0535,80,94,174,421,41.33%,67,97,164
"Justice, 14th Court of Appeals District, Place 5",0536,1332,1195,2527,4576,55.22%,937,1465,2402
"Justice, 14th Court of Appeals District, Place 5",0537,1454,823,2277,2971,76.64%,1666,494,2160
"Justice, 14th Court of Appeals District, Place 5",0538,433,237,670,1282,52.26%,23,625,648
"Justice, 14th Court of Appeals District, Place 5",0539,26,209,235,71,330.99%,48,167,215
"Justice, 14th Court of Appeals District, Place 5",0540,666,380,1046,1491,70.15%,484,461,945
"Justice, 14th Court of Appeals District, Place 5",0541,1826,779,2605,4183,62.28%,361,2127,2488
"Justice, 14th Court of Appeals District, Place 5",0542,997,501,1498,2525,59.33%,96,1353,1449
"Justice, 14th Court of Appeals District, Place 5",0543,287,378,665,1528,43.52%,213,409,622
"Justice, 14th Court of Appeals District, Place 5",0544,92,53,145,318,45.60%,17,123,140
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0545,1314,857,2171,3339,65.02%,1035,1030,2065
"Justice, 14th Court of Appeals District, Place 5",0546,4,4,8,30,26.67%,2,6,8
"Justice, 14th Court of Appeals District, Place 5",0547,877,647,1524,2408,63.29%,1038,412,1450
"Justice, 14th Court of Appeals District, Place 5",0548,720,476,1196,2129,56.18%,536,610,1146
"Justice, 14th Court of Appeals District, Place 5",0549,944,586,1530,2530,60.47%,218,1257,1475
"Justice, 14th Court of Appeals District, Place 5",0550,1134,629,1763,2847,61.92%,876,822,1698
"Justice, 14th Court of Appeals District, Place 5",0551,3088,1527,4615,6135,75.22%,3301,1088,4389
"Justice, 14th Court of Appeals District, Place 5",0552,1521,844,2465,3241,76.06%,2009,340,2349
"Justice, 14th Court of Appeals District, Place 5",0553,1465,951,2416,4355,55.48%,1031,1278,2309
"Justice, 14th Court of Appeals District, Place 5",0554,562,340,902,1731,52.11%,139,704,843
"Justice, 14th Court of Appeals District, Place 5",0555,598,447,1045,2119,49.32%,176,816,992
"Justice, 14th Court of Appeals District, Place 5",0556,584,421,1005,2249,44.69%,207,752,959
"Justice, 14th Court of Appeals District, Place 5",0557,822,556,1378,2726,50.55%,441,827,1268
"Justice, 14th Court of Appeals District, Place 5",0558,1589,824,2413,4084,59.08%,766,1522,2288
"Justice, 14th Court of Appeals District, Place 5",0559,1787,899,2686,4633,57.98%,636,1906,2542
"Justice, 14th Court of Appeals District, Place 5",0560,172,289,461,1176,39.20%,92,332,424
"Justice, 14th Court of Appeals District, Place 5",0561,837,759,1596,3033,52.62%,866,649,1515
"Justice, 14th Court of Appeals District, Place 5",0562,201,146,347,645,53.80%,28,304,332
