Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Wise,DEM Donna Roth,Totals
"District Judge, 334th Judicial District",0349,405,407,812,1315,61.75%,466,297,763
"District Judge, 334th Judicial District",0350,1112,780,1892,2906,65.11%,786,942,1728
"District Judge, 334th Judicial District",0351,2495,793,3288,4537,72.47%,2588,567,3155
"District Judge, 334th Judicial District",0352,1151,583,1734,3193,54.31%,1159,488,1647
"District Judge, 334th Judicial District",0353,1544,703,2247,3697,60.78%,368,1784,2152
"District Judge, 334th Judicial District",0354,1476,517,1993,3193,62.42%,443,1459,1902
"District Judge, 334th Judicial District",0355,700,286,986,1384,71.24%,90,860,950
"District Judge, 334th Judicial District",0356,1382,618,2000,2836,70.52%,1152,705,1857
"District Judge, 334th Judicial District",0357,1633,709,2342,3371,69.47%,1690,522,2212
"District Judge, 334th Judicial District",0358,740,464,1204,2297,52.42%,90,1068,1158
"District Judge, 334th Judicial District",0359,706,482,1188,3008,39.49%,95,1053,1148
"District Judge, 334th Judicial District",0360,969,515,1484,2190,67.76%,802,533,1335
"District Judge, 334th Judicial District",0361,135,691,826,1585,52.11%,143,549,692
"District Judge, 334th Judicial District",0362,2131,1200,3331,4952,67.27%,2362,780,3142
"District Judge, 334th Judicial District",0363,1346,687,2033,3291,61.77%,889,1068,1957
"District Judge, 334th Judicial District",0364,912,602,1514,2539,59.63%,752,674,1426
"District Judge, 334th Judicial District",0365,734,245,979,1302,75.19%,84,862,946
"District Judge, 334th Judicial District",0366,638,466,1104,2089,52.85%,232,833,1065
"District Judge, 334th Judicial District",0367,328,212,540,1019,52.99%,97,423,520
"District Judge, 334th Judicial District",0368,418,143,561,929,60.39%,144,398,542
"District Judge, 334th Judicial District",0369,107,53,160,490,32.65%,58,95,153
"District Judge, 334th Judicial District",0370,3143,1178,4321,5781,74.74%,3190,917,4107
"District Judge, 334th Judicial District",0371,226,69,295,475,62.11%,8,280,288
"District Judge, 334th Judicial District",0372,498,231,729,1215,60.00%,77,615,692
"District Judge, 334th Judicial District",0373,61,16,77,159,48.43%,1,74,75
"District Judge, 334th Judicial District",0374,139,187,326,748,43.58%,89,215,304
"District Judge, 334th Judicial District",0375,577,524,1101,2607,42.23%,445,590,1035
"District Judge, 334th Judicial District",0376,629,334,963,1916,50.26%,388,513,901
"District Judge, 334th Judicial District",0377,1055,707,1762,2871,61.37%,1278,362,1640
"District Judge, 334th Judicial District",0378,559,521,1080,1777,60.78%,663,369,1032
"District Judge, 334th Judicial District",0379,800,338,1138,2017,56.42%,83,1005,1088
"District Judge, 334th Judicial District",0380,2500,1183,3683,4753,77.49%,2064,1424,3488
"District Judge, 334th Judicial District",0381,957,424,1381,2715,50.87%,541,766,1307
"District Judge, 334th Judicial District",0382,276,231,507,841,60.29%,350,133,483
"District Judge, 334th Judicial District",0383,599,493,1092,2076,52.60%,331,703,1034
"District Judge, 334th Judicial District",0384,1172,505,1677,2596,64.60%,338,1267,1605
"District Judge, 334th Judicial District",0385,1099,621,1720,2175,79.08%,1314,286,1600
"District Judge, 334th Judicial District",0386,1464,460,1924,2872,66.99%,1353,475,1828
"District Judge, 334th Judicial District",0387,1369,802,2171,3727,58.25%,1455,596,2051
"District Judge, 334th Judicial District",0388,2780,1222,4002,5329,75.10%,2191,1626,3817
"District Judge, 334th Judicial District",0389,283,261,544,975,55.79%,83,416,499
"District Judge, 334th Judicial District",0390,644,368,1012,1565,64.66%,122,841,963
"District Judge, 334th Judicial District",0391,856,355,1211,1805,67.09%,766,373,1139
"District Judge, 334th Judicial District",0392,737,197,934,1441,64.82%,11,898,909
"District Judge, 334th Judicial District",0393,346,318,664,1206,55.06%,284,332,616
"District Judge, 334th Judicial District",0394,166,176,342,860,39.77%,135,186,321
"District Judge, 334th Judicial District",0395,830,491,1321,1820,72.58%,904,324,1228
"District Judge, 334th Judicial District",0396,1157,219,1376,2073,66.38%,11,1322,1333
"District Judge, 334th Judicial District",0397,163,148,311,750,41.47%,118,169,287
"District Judge, 334th Judicial District",0398,1438,840,2278,3816,59.70%,1078,1095,2173
"District Judge, 334th Judicial District",0399,896,593,1489,2542,58.58%,713,713,1426
"District Judge, 334th Judicial District",0400,1048,506,1554,2238,69.44%,1090,368,1458
"District Judge, 334th Judicial District",0401,723,284,1007,1876,53.68%,37,945,982
"District Judge, 334th Judicial District",0402,891,245,1136,1737,65.40%,50,1052,1102
"District Judge, 334th Judicial District",0403,791,527,1318,1703,77.39%,746,439,1185
"District Judge, 334th Judicial District",0404,778,552,1330,2589,51.37%,665,596,1261
"District Judge, 334th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 334th Judicial District",0406,281,72,353,610,57.87%,5,332,337
"District Judge, 334th Judicial District",0407,1317,1000,2317,3652,63.44%,1440,700,2140
"District Judge, 334th Judicial District",0408,154,179,333,933,35.69%,137,172,309
"District Judge, 334th Judicial District",0409,277,289,566,1371,41.28%,168,360,528
"District Judge, 334th Judicial District",0410,337,102,439,849,51.71%,80,343,423
"District Judge, 334th Judicial District",0411,542,462,1004,2302,43.61%,278,650,928
"District Judge, 334th Judicial District",0412,193,74,267,433,61.66%,13,245,258
"District Judge, 334th Judicial District",0413,1493,525,2018,3023,66.75%,756,1140,1896
"District Judge, 334th Judicial District",0414,1452,593,2045,3457,59.16%,1426,476,1902
"District Judge, 334th Judicial District",0415,950,633,1583,2124,74.53%,1066,410,1476
"District Judge, 334th Judicial District",0416,1174,916,2090,3582,58.35%,1054,903,1957
"District Judge, 334th Judicial District",0417,777,619,1396,2465,56.63%,603,707,1310
"District Judge, 334th Judicial District",0418,1057,758,1815,3420,53.07%,648,1064,1712
"District Judge, 334th Judicial District",0419,1006,578,1584,2697,58.73%,999,500,1499
"District Judge, 334th Judicial District",0420,2174,1089,3263,4639,70.34%,2593,488,3081
"District Judge, 334th Judicial District",0421,124,92,216,467,46.25%,47,161,208
"District Judge, 334th Judicial District",0422,1456,585,2041,3345,61.02%,40,1937,1977
"District Judge, 334th Judicial District",0423,190,309,499,894,55.82%,197,267,464
"District Judge, 334th Judicial District",0424,435,157,592,888,66.67%,341,231,572
"District Judge, 334th Judicial District",0425,227,234,461,875,52.69%,141,291,432
"District Judge, 334th Judicial District",0426,415,283,698,1224,57.03%,389,242,631
"District Judge, 334th Judicial District",0427,325,249,574,1115,51.48%,208,324,532
"District Judge, 334th Judicial District",0428,1284,907,2191,4316,50.76%,626,1415,2041
"District Judge, 334th Judicial District",0429,1091,777,1868,3929,47.54%,343,1379,1722
"District Judge, 334th Judicial District",0430,403,335,738,1654,44.62%,151,523,674
"District Judge, 334th Judicial District",0431,819,403,1222,3188,38.33%,316,825,1141
"District Judge, 334th Judicial District",0432,311,271,582,1344,43.30%,161,390,551
"District Judge, 334th Judicial District",0433,139,106,245,573,42.76%,41,189,230
"District Judge, 334th Judicial District",0434,628,371,999,1386,72.08%,631,305,936
"District Judge, 334th Judicial District",0435,1534,768,2302,3097,74.33%,1500,634,2134
"District Judge, 334th Judicial District",0436,1334,709,2043,3012,67.83%,1209,674,1883
"District Judge, 334th Judicial District",0437,951,542,1493,2007,74.39%,1045,339,1384
"District Judge, 334th Judicial District",0438,1046,387,1433,1802,79.52%,1057,254,1311
"District Judge, 334th Judicial District",0439,1526,905,2431,3416,71.17%,1712,540,2252
"District Judge, 334th Judicial District",0440,1326,876,2202,2867,76.81%,1719,313,2032
"District Judge, 334th Judicial District",0441,698,513,1211,1616,74.94%,899,236,1135
"District Judge, 334th Judicial District",0442,1366,513,1879,2504,75.04%,1520,264,1784
"District Judge, 334th Judicial District",0443,335,148,483,605,79.83%,352,94,446
"District Judge, 334th Judicial District",0444,1258,731,1989,3172,62.70%,1172,663,1835
"District Judge, 334th Judicial District",0445,860,443,1303,1938,67.23%,798,414,1212
"District Judge, 334th Judicial District",0446,70,52,122,268,45.52%,45,69,114
"District Judge, 334th Judicial District",0447,271,108,379,583,65.01%,125,223,348
"District Judge, 334th Judicial District",0448,1239,869,2108,3081,68.42%,1221,703,1924
"District Judge, 334th Judicial District",0449,62,37,99,164,60.37%,12,81,93
"District Judge, 334th Judicial District",0450,856,537,1393,2622,53.13%,349,976,1325
"District Judge, 334th Judicial District",0451,1575,515,2090,2674,78.16%,1680,301,1981
"District Judge, 334th Judicial District",0452,1109,639,1748,2810,62.21%,1266,409,1675
"District Judge, 334th Judicial District",0453,559,475,1034,1885,54.85%,329,646,975
"District Judge, 334th Judicial District",0454,1226,311,1537,2571,59.78%,9,1485,1494
"District Judge, 334th Judicial District",0455,748,216,964,1679,57.42%,23,906,929
"District Judge, 334th Judicial District",0456,1266,593,1859,3350,55.49%,962,788,1750
"District Judge, 334th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 334th Judicial District",0458,908,271,1179,1893,62.28%,52,1086,1138
"District Judge, 334th Judicial District",0459,1637,476,2113,2950,71.63%,1644,350,1994
"District Judge, 334th Judicial District",0460,1250,402,1652,2346,70.42%,411,1166,1577
"District Judge, 334th Judicial District",0461,1958,828,2786,3733,74.63%,1804,756,2560
"District Judge, 334th Judicial District",0462,1318,865,2183,3367,64.84%,775,1258,2033
"District Judge, 334th Judicial District",0463,1124,656,1780,2962,60.09%,695,997,1692
"District Judge, 334th Judicial District",0464,786,612,1398,2126,65.76%,932,387,1319
"District Judge, 334th Judicial District",0465,1465,702,2167,3343,64.82%,1124,970,2094
"District Judge, 334th Judicial District",0466,2052,729,2781,4072,68.30%,1529,1136,2665
"District Judge, 334th Judicial District",0467,478,229,707,1230,57.48%,162,506,668
"District Judge, 334th Judicial District",0468,984,793,1777,3354,52.98%,499,1168,1667
"District Judge, 334th Judicial District",0469,2039,638,2677,3779,70.84%,2051,464,2515
"District Judge, 334th Judicial District",0470,443,323,766,1349,56.78%,524,194,718
"District Judge, 334th Judicial District",0471,792,597,1389,2349,59.13%,1035,288,1323
"District Judge, 334th Judicial District",0472,370,337,707,1027,68.84%,358,282,640
"District Judge, 334th Judicial District",0473,914,442,1356,1827,74.22%,919,337,1256
"District Judge, 334th Judicial District",0474,1146,766,1912,3006,63.61%,1299,502,1801
"District Judge, 334th Judicial District",0475,485,473,958,1651,58.03%,401,492,893
"District Judge, 334th Judicial District",0476,809,658,1467,2412,60.82%,826,569,1395
"District Judge, 334th Judicial District",0477,1441,742,2183,3195,68.33%,1582,495,2077
"District Judge, 334th Judicial District",0478,1959,898,2857,4150,68.84%,1839,856,2695
"District Judge, 334th Judicial District",0479,1298,588,1886,2648,71.22%,1348,446,1794
"District Judge, 334th Judicial District",0480,936,555,1491,2267,65.77%,1020,380,1400
"District Judge, 334th Judicial District",0481,1463,852,2315,3298,70.19%,1682,512,2194
"District Judge, 334th Judicial District",0482,1963,836,2799,4129,67.79%,1887,792,2679
"District Judge, 334th Judicial District",0483,1868,759,2627,4141,63.44%,1374,1105,2479
"District Judge, 334th Judicial District",0484,2236,1008,3244,4594,70.61%,2269,825,3094
"District Judge, 334th Judicial District",0485,2421,990,3411,4838,70.50%,2472,784,3256
"District Judge, 334th Judicial District",0486,1843,805,2648,3572,74.13%,2012,506,2518
"District Judge, 334th Judicial District",0487,1005,612,1617,3318,48.73%,449,1036,1485
"District Judge, 334th Judicial District",0488,580,440,1020,1713,59.54%,325,614,939
"District Judge, 334th Judicial District",0489,783,378,1161,1823,63.69%,327,761,1088
"District Judge, 334th Judicial District",0490,876,439,1315,1944,67.64%,472,755,1227
"District Judge, 334th Judicial District",0491,667,489,1156,1782,64.87%,654,413,1067
"District Judge, 334th Judicial District",0492,1069,504,1573,2351,66.91%,813,638,1451
"District Judge, 334th Judicial District",0493,858,400,1258,1804,69.73%,796,362,1158
"District Judge, 334th Judicial District",0494,760,431,1191,2176,54.73%,143,1008,1151
"District Judge, 334th Judicial District",0495,1120,494,1614,2284,70.67%,1117,392,1509
"District Judge, 334th Judicial District",0496,496,571,1067,2086,51.15%,383,611,994
"District Judge, 334th Judicial District",0497,1123,303,1426,2226,64.06%,51,1322,1373
"District Judge, 334th Judicial District",0498,759,499,1258,2123,59.26%,514,679,1193
"District Judge, 334th Judicial District",0499,1301,517,1818,2304,78.91%,1310,396,1706
"District Judge, 334th Judicial District",0500,1507,746,2253,3175,70.96%,1503,632,2135
"District Judge, 334th Judicial District",0501,653,487,1140,1647,69.22%,440,602,1042
"District Judge, 334th Judicial District",0502,1150,332,1482,2364,62.69%,1107,284,1391
"District Judge, 334th Judicial District",0503,359,273,632,1363,46.37%,187,394,581
"District Judge, 334th Judicial District",0504,1129,538,1667,2197,75.88%,1092,466,1558
"District Judge, 334th Judicial District",0505,1209,829,2038,3654,55.77%,875,1012,1887
"District Judge, 334th Judicial District",0506,1470,801,2271,3380,67.19%,358,1819,2177
"District Judge, 334th Judicial District",0507,582,385,967,2435,39.71%,144,688,832
"District Judge, 334th Judicial District",0508,946,760,1706,3248,52.52%,548,1018,1566
"District Judge, 334th Judicial District",0509,1340,864,2204,3536,62.33%,1513,580,2093
"District Judge, 334th Judicial District",0510,1492,682,2174,3511,61.92%,946,1093,2039
"District Judge, 334th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 334th Judicial District",0512,1558,1127,2885,4582,58.80%,1188,1389,2555
"District Judge, 334th Judicial District",0513,1805,507,2112,2752,78.74%,1588,435,2003
"District Judge, 334th Judicial District",0514,1988,880,2828,3941,71.71%,2031,881,2892
"District Judge, 334th Judicial District",0515,1892,708,2400,3173,75.84%,1881,390,2271
"District Judge, 334th Judicial District",0518,2179,1088,3245,4934,85.77%,1570,1480,3050
"District Judge, 334th Judicial District",0517,1208,853,1881,3320,58.05%,948,809,1757
"District Judge, 334th Judicial District",0518,1478,919,2397,3755,83.83%,1454,795,2249
"District Judge, 334th Judicial District",0519,1234,845,1879,2951,83.87%,1325,459,1784
"District Judge, 334th Judicial District",0520,1542,857,2399,4084,59.03%,388,1941,2307
"District Judge, 334th Judicial District",0521,1011,894,1705,2725,82.57%,841,770,1811
"District Judge, 334th Judicial District",0522,1171,858,1829,2882,88.20%,1339,389,1728
"District Judge, 334th Judicial District",0523,1338,889,2027,3080,88.24%,1318,581,1879
"District Judge, 334th Judicial District",0524,1237,875,1912,3292,58.08%,551,1287,1818
"District Judge, 334th Judicial District",0525,1380,810,1990,2947,87.53%,388,1504,1890
"District Judge, 334th Judicial District",0528,187,171,338,731,48.24%,83,238,319
"District Judge, 334th Judicial District",0527,80,24,104,589,18.28%,45,53,98
"District Judge, 334th Judicial District",0528,38,12,48,92,52.17%,3,44,47
"District Judge, 334th Judicial District",0529,1987,441,2428,3818,87.15%,1987,320,2307
"District Judge, 334th Judicial District",0530,259,235,494,1198,41.30%,102,359,481
"District Judge, 334th Judicial District",0531,872,113,785,1094,71.78%,593,142,735
"District Judge, 334th Judicial District",0532,452,184,838,1039,81.21%,420,188,808
"District Judge, 334th Judicial District",0533,317,207,524,1089,49.02%,258,238,494
"District Judge, 334th Judicial District",0534,1858,875,2333,3795,81.48%,1853,557,2210
"District Judge, 334th Judicial District",0535,80,94,174,421,41.33%,82,98,180
"District Judge, 334th Judicial District",0538,1332,1195,2527,4578,55.22%,907,1485,2392
"District Judge, 334th Judicial District",0537,1454,823,2277,2971,78.84%,1842,510,2152
"District Judge, 334th Judicial District",0538,433,237,870,1282,52.28%,21,828,847
"District Judge, 334th Judicial District",0539,28,209,235,71,330.99%,47,188,213
"District Judge, 334th Judicial District",0540,888,380,1048,1491,70.15%,487,470,937
"District Judge, 334th Judicial District",0541,1824,779,2803,4183,82.23%,333,2145,2478
"District Judge, 334th Judicial District",0542,997,501,1498,2525,59.33%,92,1380,1452
"District Judge, 334th Judicial District",0543,287,378,885,1528,43.52%,199,420,819
"District Judge, 334th Judicial District",0544,92,53,145,318,45.80%,18,125,141
"District Judge, 334th Judicial District",0545,1314,857,2171,3339,65.02%,1008,1045,2053
"District Judge, 334th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 334th Judicial District",0547,877,647,1524,2408,63.29%,1018,423,1441
"District Judge, 334th Judicial District",0548,720,476,1196,2129,56.18%,520,620,1140
"District Judge, 334th Judicial District",0549,944,586,1530,2530,60.47%,206,1262,1468
"District Judge, 334th Judicial District",0550,1134,629,1763,2847,61.92%,850,843,1693
"District Judge, 334th Judicial District",0551,3088,1527,4615,6135,75.22%,3280,1088,4368
"District Judge, 334th Judicial District",0552,1521,844,2465,3241,76.06%,2001,348,2349
"District Judge, 334th Judicial District",0553,1465,951,2416,4355,55.48%,1008,1295,2303
"District Judge, 334th Judicial District",0554,562,340,902,1731,52.11%,138,701,839
"District Judge, 334th Judicial District",0555,597,447,1044,2119,49.27%,178,812,990
"District Judge, 334th Judicial District",0556,584,421,1005,2249,44.69%,204,747,951
"District Judge, 334th Judicial District",0557,822,556,1378,2726,50.55%,431,838,1269
"District Judge, 334th Judicial District",0558,1588,824,2412,4084,59.06%,742,1540,2282
"District Judge, 334th Judicial District",0559,1787,899,2686,4633,57.98%,623,1912,2535
"District Judge, 334th Judicial District",0560,172,289,461,1176,39.20%,86,340,426
"District Judge, 334th Judicial District",0561,837,759,1596,3033,52.62%,845,666,1511
"District Judge, 334th Judicial District",0562,201,146,347,645,53.80%,27,305,332
"District Judge, 334th Judicial District",0563,1699,415,2114,2969,71.20%,1602,386,1988
"District Judge, 334th Judicial District",0564,1150,713,1863,3096,60.17%,486,1230,1716
"District Judge, 334th Judicial District",0565,315,194,509,1373,37.07%,88,385,473
"District Judge, 334th Judicial District",0566,1122,478,1600,2950,54.24%,429,1104,1533
"District Judge, 334th Judicial District",0567,672,394,1066,2198,48.50%,281,691,972
"District Judge, 334th Judicial District",0568,1628,837,2465,3487,70.69%,1564,705,2269
"District Judge, 334th Judicial District",0569,1294,865,2159,3249,66.45%,1158,830,1988
"District Judge, 334th Judicial District",0570,525,409,934,1473,63.41%,402,437,839
"District Judge, 334th Judicial District",0571,333,312,645,1758,36.69%,191,404,595
"District Judge, 334th Judicial District",0572,1283,574,1857,2998,61.94%,860,892,1752
"District Judge, 334th Judicial District",0573,577,368,945,1618,58.41%,11,908,919
"District Judge, 334th Judicial District",0574,98,79,177,391,45.27%,17,146,163
"District Judge, 334th Judicial District",0575,27,9,36,79,45.57%,32,3,35
"District Judge, 334th Judicial District",0576,1050,552,1602,2671,59.98%,48,1500,1548
"District Judge, 334th Judicial District",0577,231,113,344,573,60.03%,182,141,323
"District Judge, 334th Judicial District",0578,745,553,1298,1689,76.85%,794,390,1184
"District Judge, 334th Judicial District",0579,487,351,838,1806,46.40%,182,601,783
"District Judge, 334th Judicial District",0580,429,146,575,1027,55.99%,12,551,563
"District Judge, 334th Judicial District",0581,510,162,672,1041,64.55%,20,624,644
"District Judge, 334th Judicial District",0582,614,256,870,1613,53.94%,48,794,842
"District Judge, 334th Judicial District",0583,544,127,671,1248,53.77%,13,643,656
"District Judge, 334th Judicial District",0584,392,139,531,971,54.69%,32,495,527
"District Judge, 334th Judicial District",0585,934,304,1238,2403,51.52%,32,1168,1200
"District Judge, 334th Judicial District",0586,1306,1189,2495,4230,58.98%,1472,914,2386
"District Judge, 334th Judicial District",0587,933,465,1398,2174,64.31%,485,857,1342
"District Judge, 334th Judicial District",0588,1536,871,2407,3468,69.41%,1674,621,2295
"District Judge, 334th Judicial District",0589,1033,738,1771,3130,56.58%,909,775,1684
"District Judge, 334th Judicial District",0590,1158,463,1621,2136,75.89%,1227,306,1533
"District Judge, 334th Judicial District",0591,420,449,869,2114,41.11%,216,593,809
"District Judge, 334th Judicial District",0592,370,288,658,1258,52.31%,147,481,628
"District Judge, 334th Judicial District",0593,1148,999,2147,4059,52.89%,939,1091,2030
"District Judge, 334th Judicial District",0594,1031,535,1566,2361,66.33%,433,1070,1503
"District Judge, 334th Judicial District",0595,497,380,877,1647,53.25%,136,704,840
"District Judge, 334th Judicial District",0596,945,690,1635,2848,57.41%,836,727,1563
"District Judge, 334th Judicial District",0597,1067,719,1786,3267,54.67%,598,1116,1714
"District Judge, 334th Judicial District",0598,335,103,438,724,60.50%,328,82,410
"District Judge, 334th Judicial District",0599,1895,866,2761,4135,66.77%,911,1738,2649
"District Judge, 334th Judicial District",0600,1383,869,2252,3820,58.95%,759,1375,2134
"District Judge, 334th Judicial District",0601,2028,858,2886,3990,72.33%,2137,626,2763
"District Judge, 334th Judicial District",0602,562,296,858,1237,69.36%,583,240,823
"District Judge, 334th Judicial District",0603,1437,1163,2600,3917,66.38%,1539,962,2501
"District Judge, 334th Judicial District",0604,1444,528,1972,2910,67.77%,1599,278,1877
"District Judge, 334th Judicial District",0605,2227,889,3116,5251,59.34%,732,2246,2978
"District Judge, 334th Judicial District",0606,420,122,542,1053,51.47%,7,514,521
"District Judge, 334th Judicial District",0607,194,118,312,731,42.68%,20,276,296
"District Judge, 334th Judicial District",0608,245,290,535,1256,42.60%,201,292,493
"District Judge, 334th Judicial District",0609,1364,844,2208,3261,67.71%,1327,737,2064
"District Judge, 334th Judicial District",0610,403,398,801,1825,43.89%,336,410,746
"District Judge, 334th Judicial District",0611,1120,301,1421,2450,58.00%,38,1347,1385
"District Judge, 334th Judicial District",0612,1700,579,2279,3272,69.65%,1687,449,2136
"District Judge, 334th Judicial District",0613,495,309,804,1450,55.45%,117,654,771
"District Judge, 334th Judicial District",0614,1631,812,2443,3932,62.13%,785,1542,2327
"District Judge, 334th Judicial District",0615,931,404,1335,1926,69.31%,769,501,1270
"District Judge, 334th Judicial District",0616,1352,970,2322,3378,68.74%,1557,637,2194
"District Judge, 334th Judicial District",0617,1318,849,2167,3546,61.11%,760,1309,2069
"District Judge, 334th Judicial District",0618,1920,1021,2941,5344,55.03%,1245,1573,2818
"District Judge, 334th Judicial District",0619,2133,857,2990,4266,70.09%,2179,659,2838
"District Judge, 334th Judicial District",0620,2382,856,3238,5271,61.43%,1526,1504,3030
"District Judge, 334th Judicial District",0621,397,203,600,1173,51.15%,289,279,568
"District Judge, 334th Judicial District",0622,1722,829,2551,4305,59.26%,1439,982,2421
"District Judge, 334th Judicial District",0623,1708,626,2334,3481,67.05%,1453,738,2191
"District Judge, 334th Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 334th Judicial District",0625,862,454,1316,1796,73.27%,722,480,1202
"District Judge, 334th Judicial District",0626,1148,655,1803,2838,63.53%,882,812,1694
"District Judge, 334th Judicial District",0627,795,647,1442,2964,48.65%,406,945,1351
"District Judge, 334th Judicial District",0628,292,456,748,1600,46.75%,296,410,706
"District Judge, 334th Judicial District",0629,175,127,302,629,48.01%,21,274,295
"District Judge, 334th Judicial District",0630,2018,535,2553,3190,80.03%,219,2235,2454
"District Judge, 334th Judicial District",0631,1489,392,1881,2733,68.83%,1312,466,1778
"District Judge, 334th Judicial District",0632,12,9,21,231,9.09%,5,13,18
"District Judge, 334th Judicial District",0633,1782,678,2460,3257,75.53%,1754,579,2333
"District Judge, 334th Judicial District",0634,1020,734,1754,2922,60.03%,1065,600,1665
"District Judge, 334th Judicial District",0635,1326,706,2032,3280,61.95%,1527,415,1942
"District Judge, 334th Judicial District",0636,1791,974,2765,3881,71.24%,2312,335,2647
"District Judge, 334th Judicial District",0637,739,509,1248,2471,50.51%,288,850,1138
"District Judge, 334th Judicial District",0638,740,684,1424,2078,68.53%,92,1269,1361
"District Judge, 334th Judicial District",0639,828,711,1539,2501,61.54%,1183,283,1466
"District Judge, 334th Judicial District",0640,1382,723,2105,3548,59.33%,1169,835,2004
"District Judge, 334th Judicial District",0641,1265,878,2143,3375,63.50%,1279,763,2042
"District Judge, 334th Judicial District",0642,871,447,1318,1779,74.09%,1057,191,1248
"District Judge, 334th Judicial District",0643,2157,994,3151,5310,59.34%,1189,1805,2994
"District Judge, 334th Judicial District",0644,2123,1204,3327,5261,63.24%,2037,1102,3139
"District Judge, 334th Judicial District",0645,1639,895,2534,4035,62.80%,1137,1241,2378
"District Judge, 334th Judicial District",0646,708,456,1164,2163,53.81%,336,764,1100
"District Judge, 334th Judicial District",0647,1770,1020,2790,5593,49.88%,673,1890,2563
"District Judge, 334th Judicial District",0648,1590,668,2258,3197,70.63%,1551,599,2150
"District Judge, 334th Judicial District",0649,1389,854,2243,4426,50.68%,609,1501,2110
"District Judge, 334th Judicial District",0650,1328,939,2267,3151,71.95%,1640,508,2148
"District Judge, 334th Judicial District",0651,2085,1070,3155,4931,63.98%,1918,1065,2983
"District Judge, 334th Judicial District",0652,1049,653,1702,2633,64.64%,266,1370,1636
"District Judge, 334th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 334th Judicial District",0654,2103,1344,3447,5765,59.79%,1720,1518,3238
"District Judge, 334th Judicial District",0655,2612,1451,4063,6304,64.45%,2464,1362,3826
"District Judge, 334th Judicial District",0656,1198,421,1619,2622,61.75%,53,1513,1566
"District Judge, 334th Judicial District",0657,490,268,758,1200,63.17%,288,425,713
"District Judge, 334th Judicial District",0658,985,708,1693,2824,59.95%,1016,595,1611
"District Judge, 334th Judicial District",0659,2141,1091,3232,4588,70.44%,2260,828,3088
"District Judge, 334th Judicial District",0660,2460,932,3392,5048,67.19%,322,2941,3263
"District Judge, 334th Judicial District",0661,1614,1012,2626,4179,62.84%,1366,1100,2466
"District Judge, 334th Judicial District",0662,2477,999,3476,4807,72.31%,2733,585,3318
"District Judge, 334th Judicial District",0663,1302,913,2215,3232,68.53%,1200,831,2031
"District Judge, 334th Judicial District",0664,681,607,1288,2801,45.98%,284,933,1217
"District Judge, 334th Judicial District",0665,951,394,1345,2007,67.02%,1069,204,1273
"District Judge, 334th Judicial District",0666,0,1,1,0,0.00%,0,1,1
"District Judge, 334th Judicial District",0657,989,547,1536,2181,70.43%,1149,295,1444
"District Judge, 334th Judicial District",0668,927,655,1582,2458,64.36%,959,542,1501
"District Judge, 334th Judicial District",0669,1606,823,2429,3243,74.90%,1687,601,2288
"District Judge, 334th Judicial District",0670,1566,518,2084,2952,70.60%,1607,345,1952
"District Judge, 334th Judicial District",0671,1090,773,1863,2942,63.32%,1047,698,1745
"District Judge, 334th Judicial District",0672,2301,1078,3379,4710,71.74%,2179,1052,3231
"District Judge, 334th Judicial District",0673,1376,643,2019,2988,67.57%,1540,365,1905
"District Judge, 334th Judicial District",0674,2092,813,2905,4055,71.64%,2135,645,2780
"District Judge, 334th Judicial District",0675,0,0,0,0,0.00%,0,0,0
"District Judge, 334th Judicial District",0676,0,0,0,0,0.00%,0,0,0
"District Judge, 334th Judicial District",0677,220,239,459,954,48.11%,121,311,432
"District Judge, 334th Judicial District",0678,297,164,461,756,60.98%,307,119,426
"District Judge, 334th Judicial District",0679,1466,661,2127,3331,63.85%,1544,455,1999
"District Judge, 334th Judicial District",0680,56,22,78,181,43.09%,34,37,71
"District Judge, 334th Judicial District",0681,1,0,1,5,20.00%,0,1,1
"District Judge, 334th Judicial District",0682,1673,912,2585,4134,62.53%,1798,652,2450
"District Judge, 334th Judicial District",0683,48,50,98,261,37.55%,22,69,91
"District Judge, 334th Judicial District",0684,72,24,96,187,51.34%,57,31,88
"District Judge, 334th Judicial District",0685,167,29,196,326,60.12%,88,94,182
"District Judge, 334th Judicial District",0686,46,34,80,196,40.82%,18,57,75
"District Judge, 334th Judicial District",0687,1084,641,1725,2497,69.08%,1144,457,1601
"District Judge, 334th Judicial District",0688,1815,673,2488,3266,76.18%,1961,391,2352
"District Judge, 334th Judicial District",0689,505,651,1156,2276,50.79%,518,538,1056
"District Judge, 334th Judicial District",0690,1965,1116,3081,4184,73.64%,2357,572,2929
"District Judge, 334th Judicial District",0691,10,2,12,34,35.29%,5,7,12
"District Judge, 334th Judicial District",0692,999,717,1716,2626,65.35%,1233,389,1622
"District Judge, 334th Judicial District",0693,303,116,419,651,64.36%,108,273,381
