Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0383,599,485,1084,2076,52.22%,424,302,726
"City of Houston, Proposition No. 1",0384,1172,505,1677,2596,64.60%,834,360,1194
"City of Houston, Proposition No. 1",0385,1099,621,1720,2175,79.08%,952,416,1368
"City of Houston, Proposition No. 1",0388,0,6,6,0,0.00%,5,1,6
"City of Houston, Proposition No. 1",0389,283,261,544,975,55.79%,281,113,394
"City of Houston, Proposition No. 1",0390,544,358,1012,1565,64.66%,577,196,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0391,655,253,908,1326,68.48%,497,227,724
"City of Houston, Proposition No. 1",0392,737,197,934,1441,64.82%,399,231,630
"City of Houston, Proposition No. 1",0393,346,318,664,1206,55.06%,340,152,492
"City of Houston, Proposition No. 1",0395,830,491,1321,1820,72.58%,730,351,1081
"City of Houston, Proposition No. 1",0396,1157,219,1376,2073,66.38%,430,303,733
"City of Houston, Proposition No. 1",0397,0,1,1,2,50.00%,0,1,1
"City of Houston, Proposition No. 1",0398,7,2,9,7,128.57%,3,0,3
"City of Houston, Proposition No. 1",0399,0,0,0,4,0.00%,0,0,0
"City of Houston, Proposition No. 1",0400,0,6,6,7,85.71%,2,1,3
"City of Houston, Proposition No. 1",0401,723,284,1007,1876,53.68%,321,222,543
"City of Houston, Proposition No. 1",0402,840,234,1074,1622,66.21%,428,321,749
"City of Houston, Proposition No. 1",0403,791,527,1318,1703,77.39%,836,255,1091
"City of Houston, Proposition No. 1",0405,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0406,281,72,353,610,57.87%,113,85,198
"City of Houston, Proposition No. 1",0407,1317,1000,2317,3652,63.44%,1157,662,1819
"City of Houston, Proposition No. 1",0408,31,10,41,104,39.42%,14,13,27
"City of Houston, Proposition No. 1",0410,337,102,439,849,51.71%,160,116,276
"City of Houston, Proposition No. 1",0411,1,100,101,0,0.00%,41,19,60
"City of Houston, Proposition No. 1",0412,193,74,267,433,61.66%,119,52,171
"City of Houston, Proposition No. 1",0413,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0416,919,850,1769,2956,59.84%,907,403,1310
"City of Houston, Proposition No. 1",0417,404,259,663,1128,58.78%,311,184,495
"City of Houston, Proposition No. 1",0418,1057,758,1815,3420,53.07%,808,459,1267
"City of Houston, Proposition No. 1",0421,124,92,216,467,46.25%,114,42,156
"City of Houston, Proposition No. 1",0422,1456,585,2041,3345,61.02%,845,494,1339
"City of Houston, Proposition No. 1",0423,176,293,469,851,55.11%,161,138,299
"City of Houston, Proposition No. 1",0424,435,1,57,592,888,66.67%,344,1,24,468
"City of Houston, Proposition No. 1",0425,227,234,461,875,52.69%,185,116,301
"City of Houston, Proposition No. 1",0426,415,283,698,1224,57.03%,353,179,532
"City of Houston, Proposition No. 1",0427,325,249,574,1115,51.48%,265,147,412
"City of Houston, Proposition No. 1",0428,49,34,83,160,51.88%,45,17,62
"City of Houston, Proposition No. 1",0429,1091,777,1868,3929,47.54%,799,406,1205
"City of Houston, Proposition No. 1",0430,403,335,738,1654,44.62%,326,125,451
"City of Houston, Proposition No. 1",0431,819,403,1222,3188,38.33%,567,277,844
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0432,311,271,582,1344,43.30%,311,129,440
"City of Houston, Proposition No. 1",0433,139,106,245,573,42.76%,120,61,181
"City of Houston, Proposition No. 1",0434,628,371,999,1386,72.08%,569,201,770
"City of Houston, Proposition No. 1",0435,1534,768,2302,3097,74.33%,1306,484,1790
"City of Houston, Proposition No. 1",0436,1334,709,2043,3012,67.83%,1164,419,1583
"City of Houston, Proposition No. 1",0437,951,542,1493,2007,74.39%,915,280,1195
"City of Houston, Proposition No. 1",0438,1046,387,1433,1802,79.52%,825,315,1140
"City of Houston, Proposition No. 1",0439,1526,905,2431,3416,71.17%,1321,577,1898
"City of Houston, Proposition No. 1",0440,0,6,6,0,0.00%,4,0,4
"City of Houston, Proposition No. 1",0441,0,2,2,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0442,0,1,1,1,100.00%,1,0,1
"City of Houston, Proposition No. 1",0443,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0444,1258,731,1989,3172,62.70%,958,597,1555
"City of Houston, Proposition No. 1",0445,860,443,1303,1938,67.23%,660,370,1030
"City of Houston, Proposition No. 1",0446,70,52,122,268,45.52%,48,45,93
"City of Houston, Proposition No. 1",0447,271,108,379,583,65.01%,225,73,298
"City of Houston, Proposition No. 1",0448,1239,869,2108,3081,68.42%,1144,579,1723
"City of Houston, Proposition No. 1",0449,62,37,99,164,60.37%,31,21,52
"City of Houston, Proposition No. 1",0450,856,537,1393,2622,53.13%,706,339,1045
"City of Houston, Proposition No. 1",0451,2,0,2,2,100.00%,0,2,2
"City of Houston, Proposition No. 1",0452,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0453,559,475,1034,1885,54.85%,468,260,728
"City of Houston, Proposition No. 1",0454,1226,311,1537,2571,59.78%,465,307,772
"City of Houston, Proposition No. 1",0455,748,216,964,1679,57.42%,363,187,550
"City of Houston, Proposition No. 1",0457,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0458,908,271,1179,1893,62.28%,521,290,811
"City of Houston, Proposition No. 1",0459,1637,476,2113,2950,71.63%,863,849,1712
"City of Houston, Proposition No. 1",0460,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0461,1958,828,2786,3733,74.63%,1583,617,2200
"City of Houston, Proposition No. 1",0462,1111,731,1842,2761,66.71%,975,457,1432
"City of Houston, Proposition No. 1",0463,611,337,948,1705,55.60%,477,233,710
"City of Houston, Proposition No. 1",0464,0,2,2,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0465,9,650,659,18,3661.11%,308,169,477
"City of Houston, Proposition No. 1",0466,0,4,4,5,80.00%,1,1,2
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0467,0,2,2,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0468,1,1,2,13,15.38%,0,1,1
"City of Houston, Proposition No. 1",0469,2039,638,2677,3779,70.84%,1200,860,2060
"City of Houston, Proposition No. 1",0472,370,337,707,1027,68.84%,483,107,590
"City of Houston, Proposition No. 1",0473,914,442,1356,1827,74.22%,736,364,1100
"City of Houston, Proposition No. 1",0475,451,447,898,1493,60.15%,402,208,610
"City of Houston, Proposition No. 1",0476,354,351,705,1224,57.60%,332,202,534
"City of Houston, Proposition No. 1",0477,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0478,422,144,566,910,62.20%,268,104,372
"City of Houston, Proposition No. 1",0479,1,2,3,3,100.00%,2,1,3
"City of Houston, Proposition No. 1",0480,1,0,1,2,50.00%,1,0,1
"City of Houston, Proposition No. 1",0481,0,7,7,4,175.00%,3,1,4
"City of Houston, Proposition No. 1",0482,2,1,3,1,300.00%,0,2,2
"City of Houston, Proposition No. 1",0483,1868,759,2627,4141,63.44%,1393,618,2011
"City of Houston, Proposition No. 1",0484,4,1,5,2,250.00%,3,1,4
"City of Houston, Proposition No. 1",0485,0,1,1,0,0.00%,0,1,1
"City of Houston, Proposition No. 1",0486,4,2,6,5,120.00%,3,1,4
"City of Houston, Proposition No. 1",0487,1005,612,1617,3318,48.73%,607,359,966
"City of Houston, Proposition No. 1",0488,580,440,1020,1713,59.54%,454,255,709
"City of Houston, Proposition No. 1",0489,783,378,1161,1823,63.69%,583,315,898
"City of Houston, Proposition No. 1",0490,875,439,1315,1944,67.64%,702,288,990
"City of Houston, Proposition No. 1",0491,667,489,1156,1782,64.87%,645,231,876
"City of Houston, Proposition No. 1",0492,1069,504,1573,2351,66.91%,858,390,1248
"City of Houston, Proposition No. 1",0493,858,400,1258,1804,69.73%,709,317,1026
"City of Houston, Proposition No. 1",0495,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",0496,0,11,11,0,0.00%,5,1,6
"City of Houston, Proposition No. 1",0497,882,155,1047,1492,70.17%,369,219,588
"City of Houston, Proposition No. 1",0498,759,499,1258,2123,59.26%,607,314,921
"City of Houston, Proposition No. 1",0499,1301,517,1818,2304,78.91%,982,502,1484
"City of Houston, Proposition No. 1",0500,41,8,49,84,58.33%,20,8,28
"City of Houston, Proposition No. 1",0501,653,487,1140,1647,69.22%,711,217,928
"City of Houston, Proposition No. 1",0503,359,273,632,1363,46.37%,256,137,393
"City of Houston, Proposition No. 1",0504,1129,538,1667,2197,75.88%,941,449,1390
"City of Houston, Proposition No. 1",0505,1209,829,2038,3654,55.77%,1027,580,1607
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0506,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0507,582,385,967,2435,39.71%,323,192,515
"City of Houston, Proposition No. 1",0508,946,760,1706,3248,52.52%,694,370,1064
"City of Houston, Proposition No. 1",0509,453,253,706,1293,54.60%,350,139,489
"City of Houston, Proposition No. 1",0510,1492,682,2174,3511,61.92%,1121,517,1638
"City of Houston, Proposition No. 1",0512,91,2,93,169,55.03%,45,13,58
"City of Houston, Proposition No. 1",0513,1,0,1,1,100.00%,1,0,1
"City of Houston, Proposition No. 1",0514,0,12,12,0,0.00%,5,2,7
"City of Houston, Proposition No. 1",0515,2,0,2,2,100.00%,0,0,0
"City of Houston, Proposition No. 1",0516,201,109,310,520,59.62%,136,65,201
"City of Houston, Proposition No. 1",0517,8,2,10,10,100.00%,5,2,7
"City of Houston, Proposition No. 1",0518,55,24,79,174,45.40%,38,13,51
"City of Houston, Proposition No. 1",0519,3,0,3,5,60.00%,1,1,2
"City of Houston, Proposition No. 1",0520,0,856,856,10,3560.00%,360,167,527
"City of Houston, Proposition No. 1",0521,0,3,3,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0522,2,2,4,9,44.44%,1,1,2
"City of Houston, Proposition No. 1",0523,6,2,8,4,200.00%,3,3,6
"City of Houston, Proposition No. 1",0524,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0525,1380,610,1990,2947,67.53%,1001,407,1408
"City of Houston, Proposition No. 1",0526,167,171,338,731,46.24%,137,96,233
"City of Houston, Proposition No. 1",0527,0,2,2,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0528,36,12,48,92,52.17%,15,8,23
"City of Houston, Proposition No. 1",0530,259,235,494,1196,41.30%,189,120,309
"City of Houston, Proposition No. 1",0536,1332,1195,2527,4576,55.22%,1126,681,1807
"City of Houston, Proposition No. 1",0538,433,237,670,1282,52.26%,255,154,409
"City of Houston, Proposition No. 1",0539,26,209,235,71,330.99%,116,50,166
"City of Houston, Proposition No. 1",0540,see,380,1046,1491,70.15%,699,139,838
"City of Houston, Proposition No. 1",0541,1824,779,2603,4183,62.23%,1346,527,1873
"City of Houston, Proposition No. 1",0542,997,501,1498,2525,59.33%,630,388,1018
"City of Houston, Proposition No. 1",0543,287,378,665,1528,43.52%,313,198,511
"City of Houston, Proposition No. 1",0544,92,53,145,318,45.60%,58,33,91
"City of Houston, Proposition No. 1",0545,11,5,16,23,69.57%,5,6,11
"City of Houston, Proposition No. 1",0546,4,4,8,30,26.67%,5,2,7
"City of Houston, Proposition No. 1",0547,0,0,0,0,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0548,2,2,4,2,200.00%,1,2,3
"City of Houston, Proposition No. 1",0549,0,6,6,0,0.00%,1,1,2
"City of Houston, Proposition No. 1",0550,35,14,49,163,30.06%,18,11,29
"City of Houston, Proposition No. 1",0551,1,0,1,1,100.00%,1,0,1
"City of Houston, Proposition No. 1",0552,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0553,3,3,6,3,200.00%,2,2,4
"City of Houston, Proposition No. 1",0554,562,340,902,1731,52.11%,448,149,597
"City of Houston, Proposition No. 1",0555,597,447,1044,2119,49.27%,487,215,702
"City of Houston, Proposition No. 1",0556,584,421,1005,2249,44.69%,435,222,657
"City of Houston, Proposition No. 1",0557,822,556,1378,2726,50.55%,556,332,888
"City of Houston, Proposition No. 1",0558,1078,584,1662,2752,60.39%,791,394,1185
"City of Houston, Proposition No. 1",0559,1787,899,2686,4633,57.98%,1378,536,1914
"City of Houston, Proposition No. 1",0560,172,289,461,1176,39.20%,182,109,291
"City of Houston, Proposition No. 1",0562,201,146,347,645,53.80%,130,78,208
"City of Houston, Proposition No. 1",0563,1599,415,2114,2969,71.20%,935,706,1641
"City of Houston, Proposition No. 1",0564,1150,713,1863,3096,60.17%,1102,332,1434
"City of Houston, Proposition No. 1",0565,315,194,509,1373,37.07%,204,114,318
"City of Houston, Proposition No. 1",0566,1122,478,1600,2950,54.24%,786,351,1137
"City of Houston, Proposition No. 1",0567,672,394,1066,2198,48.50%,463,183,646
"City of Houston, Proposition No. 1",0568,1628,837,2465,3487,70.69%,1382,519,1901
"City of Houston, Proposition No. 1",0569,1294,855,2159,3249,66.45%,1245,436,1681
"City of Houston, Proposition No. 1",0570,525,409,934,1473,63.41%,583,133,716
"City of Houston, Proposition No. 1",0571,75,128,203,373,54.42%,81,59,140
"City of Houston, Proposition No. 1",0572,1248,572,1820,2941,61.88%,986,380,1366
"City of Houston, Proposition No. 1",0573,577,368,945,1618,58.41%,345,216,561
"City of Houston, Proposition No. 1",0574,98,79,177,391,45.27%,76,33,109
"City of Houston, Proposition No. 1",0576,1050,552,1602,2671,59.98%,623,390,1013
"City of Houston, Proposition No. 1",0577,231,113,344,573,60.03%,188,92,280
"City of Houston, Proposition No. 1",0578,745,553,1298,1689,76.85%,717,364,1081
"City of Houston, Proposition No. 1",0579,487,351,838,1806,46.40%,341,239,580
"City of Houston, Proposition No. 1",0580,429,146,575,1027,55.99%,218,143,361
"City of Houston, Proposition No. 1",0581,510,162,672,1041,64.55%,238,148,386
"City of Houston, Proposition No. 1",0582,614,256,870,1613,53.94%,260,207,467
"City of Houston, Proposition No. 1",0583,544,1,27,671,1248,53.77%,224,129,353
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0584,379,1,30,509,883,57.64%,164,1,06,270
"City of Houston, Proposition No. 1",0585,934,304,1238,2403,51.52%,434,280,714
"City of Houston, Proposition No. 1",0586,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0587,3,2,5,1,500.00%,1,2,3
"City of Houston, Proposition No. 1",0588,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0589,326,229,555,938,59.17%,268,131,399
"City of Houston, Proposition No. 1",0590,1158,463,1621,2136,75.89%,753,573,1326
"City of Houston, Proposition No. 1",0592,1,3,4,15,26.67%,1,2,3
"City of Houston, Proposition No. 1",0593,112,125,237,615,38.54%,112,66,178
"City of Houston, Proposition No. 1",0594,756,436,1192,1779,67.00%,592,295,887
"City of Houston, Proposition No. 1",0595,0,1,1,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0596,2,2,4,3,133.33%,1,1,2
"City of Houston, Proposition No. 1",0597,81,55,136,185,73.51%,64,28,92
"City of Houston, Proposition No. 1",0598,50,39,89,154,57.79%,35,25,60
"City of Houston, Proposition No. 1",0599,5,0,5,16,31.25%,3,1,4
"City of Houston, Proposition No. 1",0600,0,3,3,1,300.00%,3,0,3
"City of Houston, Proposition No. 1",0601,0,4,4,2,200.00%,2,0,2
"City of Houston, Proposition No. 1",0602,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0603,0,1,1,0,0.00%,0,1,1
"City of Houston, Proposition No. 1",0604,29,9,38,64,59.38%,17,17,34
"City of Houston, Proposition No. 1",0605,0,6,6,0,0.00%,2,1,3
"City of Houston, Proposition No. 1",0606,420,122,542,1053,51.47%,193,122,315
"City of Houston, Proposition No. 1",0607,194,118,312,731,42.68%,127,61,188
"City of Houston, Proposition No. 1",0608,68,48,116,252,46.03%,55,34,89
"City of Houston, Proposition No. 1",0609,0,4,4,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0610,403,398,801,1825,43.89%,352,219,571
"City of Houston, Proposition No. 1",0611,1120,301,1421,2450,58.00%,445,239,684
"City of Houston, Proposition No. 1",0612,1700,579,2279,3272,69.65%,1036,784,1820
"City of Houston, Proposition No. 1",0613,0,0,0,3,0.00%,0,0,0
"City of Houston, Proposition No. 1",0614,1,3,4,3,133.33%,1,1,2
"City of Houston, Proposition No. 1",0615,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0617,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",061,8,9,2,11,28,39.29%,2,6,8
"City of Houston, Proposition No. 1",0620,2382,856,3238,5271,61.43%,1637,708,2345
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0621,397,203,600,1173,51.15%,292,159,451
"City of Houston, Proposition No. 1",0622,0,2,2,1,200.00%,1,1,2
"City of Houston, Proposition No. 1",0623,2,3,5,9,55.56%,1,0,1
"City of Houston, Proposition No. 1",0624,7,0,7,12,58.33%,2,3,5
"City of Houston, Proposition No. 1",0625,862,454,1316,1796,73.27%,731,318,1049
"City of Houston, Proposition No. 1",0626,1148,655,1803,2838,63.53%,954,390,1344
"City of Houston, Proposition No. 1",0627,793,645,1438,2956,48.65%,645,332,977
"City of Houston, Proposition No. 1",0628,292,455,748,1600,46.75%,368,214,582
"City of Houston, Proposition No. 1",0629,175,127,302,629,48.01%,134,61,195
"City of Houston, Proposition No. 1",0630,228,69,297,404,73.51%,147,71,218
"City of Houston, Proposition No. 1",0631,3,0,3,0,0.00%,3,0,3
"City of Houston, Proposition No. 1",0632,12,9,21,231,9.09%,13,4,17
"City of Houston, Proposition No. 1",0633,0,5,5,0,0.00%,2,1,3
"City of Houston, Proposition No. 1",0634,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0635,1325,705,2032,3280,61.95%,830,722,1552
"City of Houston, Proposition No. 1",0637,739,509,1248,2471,50.51%,582,312,894
"City of Houston, Proposition No. 1",0638,740,684,1424,2078,68.53%,612,279,891
"City of Houston, Proposition No. 1",0639,0,5,5,0,0.00%,2,0,2
"City of Houston, Proposition No. 1",0640,0,2,2,2,100.00%,1,1,2
"City of Houston, Proposition No. 1",0641,20,12,32,52,61.54%,19,4,23
"City of Houston, Proposition No. 1",0642,0,5,5,0,0.00%,3,0,3
"City of Houston, Proposition No. 1",0643,69,22,91,95,95.79%,37,20,57
"City of Houston, Proposition No. 1",0644,1,8,9,8,112.50%,3,0,3
"City of Houston, Proposition No. 1",0645,1639,895,2534,4035,62.80%,1345,572,1917
"City of Houston, Proposition No. 1",0646,6,0,6,18,33.33%,3,2,5
"City of Houston, Proposition No. 1",0647,137,99,236,363,65.01%,98,74,172
"City of Houston, Proposition No. 1",0648,3,2,5,3,166.67%,3,1,4
"City of Houston, Proposition No. 1",0649,1389,854,2243,4426,50.68%,991,514,1505
"City of Houston, Proposition No. 1",0650,0,3,3,0,0.00%,2,0,2
"City of Houston, Proposition No. 1",0651,0,1,1,2,50.00%,1,0,1
"City of Houston, Proposition No. 1",0652,1049,653,1702,2633,64.64%,815,361,1176
"City of Houston, Proposition No. 1",0653,0,8,8,0,0.00%,4,3,7
"City of Houston, Proposition No. 1",0654,0,13,13,0,0.00%,4,3,7
"City of Houston, Proposition No. 1",0655,2,1,3,0,0.00%,1,1,2
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0656,1139,391,1530,2371,64.53%,447,337,784
"City of Houston, Proposition No. 1",0657,0,68,68,0,0.00%,30,21,51
"City of Houston, Proposition No. 1",0658,0,3,3,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0659,126,40,166,225,73.78%,69,50,119
"City of Houston, Proposition No. 1",0660,0,1,1,0,0.00%,0,1,1
"City of Houston, Proposition No. 1",0661,0,3,3,0,0.00%,1,1,2
"City of Houston, Proposition No. 1",0663,1302,913,2215,3232,68.53%,1200,591,1791
"City of Houston, Proposition No. 1",0666,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0667,0,0,0,2,0.00%,0,0,0
"City of Houston, Proposition No. 1",0668,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0669,1,3,4,3,133.33%,3,0,3
"City of Houston, Proposition No. 1",0670,1566,518,2084,2952,70.60%,1003,712,1715
"City of Houston, Proposition No. 1",0671,1,411,412,1,|200.00%,196,81,277
"City of Houston, Proposition No. 1",0672,6,0,6,8,75.00%,2,2,4
"City of Houston, Proposition No. 1",0674,20,3,23,26,88.46%,9,8,17
"City of Houston, Proposition No. 1",0675,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0676,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0677,220,239,459,954,48.11%,215,146,361
"City of Houston, Proposition No. 1",0678,297,164,461,756,60.98%,259,116,375
"City of Houston, Proposition No. 1",0680,56,22,78,181,43.09%,47,11,58
"City of Houston, Proposition No. 1",0681,1,0,1,5,20.00%,0,0,0
"City of Houston, Proposition No. 1",0683,48,50,98,261,37.55%,50,27,77
"City of Houston, Proposition No. 1",0684,72,24,96,187,51.34%,59,16,75
"City of Houston, Proposition No. 1",0685,167,29,196,326,60.12%,96,44,140
"City of Houston, Proposition No. 1",0686,46,34,80,196,40.82%,34,23,57
"City of Houston, Proposition No. 1",0688,0,1,5,1,5,0,0.00%,5,6,1,1
"City of Houston, Proposition No. 1",0689,498,647,1145,2254,50.80%,495,267,762
"City of Houston, Proposition No. 1",0690,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0691,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0693,303,116,419,651,64.36%,230,90,320
"City of Houston, Proposition No. 1",0694,420,137,557,817,68.18%,299,144,443
"City of Houston, Proposition No. 1",0697,2,16,18,2,900.00%,6,4,10
"City of Houston, Proposition No. 1",0698,1,5,6,1,600.00%,1,1,2
"City of Houston, Proposition No. 1",0699,1031,566,1597,2288,69.80%,880,343,1223
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0701,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0702,150,123,273,549,49.73%,122,66,188
"City of Houston, Proposition No. 1",0705,82,57,139,245,56.73%,40,22,62
"City of Houston, Proposition No. 1",0706,222,135,357,529,67.49%,192,84,276
"City of Houston, Proposition No. 1",0707,284,136,420,707,59.41%,236,105,341
"City of Houston, Proposition No. 1",0709,0,2,2,2,100.00%,0,0,0
"City of Houston, Proposition No. 1",0710,877,602,1479,2023,73.11%,927,263,1190
"City of Houston, Proposition No. 1",0711,1492,701,2193,3351,65.44%,1201,507,1708
"City of Houston, Proposition No. 1",0712,4,1,5,6,83.33%,0,1,1
"City of Houston, Proposition No. 1",071,3,8,3,11,14,78.57%,3,5,8
"City of Houston, Proposition No. 1",0714,62,3,65,269,24.16%,24,26,50
"City of Houston, Proposition No. 1",0715,405,326,731,1380,52.97%,335,187,522
"City of Houston, Proposition No. 1",0717,0,2,2,0,0.00%,0,1,1
"City of Houston, Proposition No. 1",0718,1842,1019,2861,4050,70.64%,1588,608,2196
"City of Houston, Proposition No. 1",0719,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0720,128,7,135,149,90.60%,55,25,80
"City of Houston, Proposition No. 1",0721,1334,637,1971,2842,69.35%,1138,427,1565
"City of Houston, Proposition No. 1",0722,1892,642,2534,4357,58.16%,1076,630,1706
"City of Houston, Proposition No. 1",0723,0,1,1,1,100.00%,1,0,1
"City of Houston, Proposition No. 1",0724,325,170,495,716,69.13%,279,108,387
"City of Houston, Proposition No. 1",0725,121,52,173,442,39.14%,58,36,94
"City of Houston, Proposition No. 1",0727,931,466,1397,2488,56.15%,697,319,1016
"City of Houston, Proposition No. 1",0728,343,208,551,881,62.54%,302,144,446
"City of Houston, Proposition No. 1",0730,800,437,1237,1630,75.89%,681,278,959
"City of Houston, Proposition No. 1",0731,121,36,157,373,42.09%,76,40,116
"City of Houston, Proposition No. 1",0732,701,543,1244,1895,65.65%,671,294,965
"City of Houston, Proposition No. 1",0734,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",0736,6,1,7,21,33.33%,3,2,5
"City of Houston, Proposition No. 1",0738,353,152,505,954,52.94%,195,122,317
"City of Houston, Proposition No. 1",0740,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0741,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0742,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0744,848,509,1357,2024,67.05%,773,325,1098
"City of Houston, Proposition No. 1",0745,1066,542,1608,2396,67.11%,853,397,1250
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0746,230,151,381,707,53.89%,186,81,267
"City of Houston, Proposition No. 1",0747,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0748,286,201,487,862,56.50%,267,86,353
"City of Houston, Proposition No. 1",0749,99,57,156,359,43.45%,51,46,97
"City of Houston, Proposition No. 1",0751,5,9,14,2,700.00%,6,2,8
"City of Houston, Proposition No. 1",0754,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0755,1048,896,1944,3569,54.47%,882,526,1408
"City of Houston, Proposition No. 1",0757,5,0,5,13,38.46%,3,0,3
"City of Houston, Proposition No. 1",0758,1996,783,2779,3781,73.50%,1263,877,2140
"City of Houston, Proposition No. 1",0760,2346,647,2993,4154,72.05%,1420,976,2396
"City of Houston, Proposition No. 1",0761,917,219,1136,1464,77.60%,606,294,900
"City of Houston, Proposition No. 1",0762,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0763,255,308,563,1184,47.55%,243,155,398
"City of Houston, Proposition No. 1",0764,0,3,3,0,0.00%,2,0,2
"City of Houston, Proposition No. 1",0765,1390,815,2205,3967,55.58%,1086,509,1595
"City of Houston, Proposition No. 1",0766,71,92,163,383,42.56%,69,43,112
"City of Houston, Proposition No. 1",0767,20,15,35,90,38.89%,14,8,22
"City of Houston, Proposition No. 1",0768,0,4,4,0,0.00%,2,1,3
"City of Houston, Proposition No. 1",0769,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0771,2,0,2,2,100.00%,0,1,1
"City of Houston, Proposition No. 1",0772,7,4,11,1,|100.00%,5,2,7
"City of Houston, Proposition No. 1",0773,277,209,486,917,53.00%,189,100,289
"City of Houston, Proposition No. 1",0774,116,74,190,301,63.12%,88,44,132
"City of Houston, Proposition No. 1",0775,33,1,34,83,40.96%,15,8,23
"City of Houston, Proposition No. 1",0776,19,1,20,37,54.05%,5,3,8
"City of Houston, Proposition No. 1",0778,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0779,270,21,e,486,1055,46.07%,186,145,331
