Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0282,690,591,1281,1988,64.44%,758,452,1210
"Justice, 14th Court of Appeals District, Place 4",0283,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0284,1136,595,1731,3262,53.07%,658,978,1636
"Justice, 14th Court of Appeals District, Place 4",0285,988,509,1497,2505,59.76%,108,1335,1443
"Justice, 14th Court of Appeals District, Place 4",0286,2658,1053,3711,5719,64.89%,331,3220,3551
"Justice, 14th Court of Appeals District, Place 4",0287,647,542,1189,1616,73.58%,644,456,1100
"Justice, 14th Court of Appeals District, Place 4",0288,1036,380,1416,2259,62.68%,20,1348,1368
"Justice, 14th Court of Appeals District, Place 4",0289,374,397,771,1510,51.06%,307,403,710
"Justice, 14th Court of Appeals District, Place 4",0290,577,429,1006,1567,64.20%,766,205,971
"Justice, 14th Court of Appeals District, Place 4",0291,541,298,839,1203,69.74%,414,369,783
"Justice, 14th Court of Appeals District, Place 4",0292,478,236,714,1272,56.13%,88,597,685
"Justice, 14th Court of Appeals District, Place 4",0293,620,557,1177,1733,67.92%,542,545,1087
"Justice, 14th Court of Appeals District, Place 4",0294,989,298,1287,2107,61.08%,11,1235,1246
"Justice, 14th Court of Appeals District, Place 4",0295,314,189,503,862,58.35%,7,482,489
"Justice, 14th Court of Appeals District, Place 4",0296,602,432,1034,1693,61.08%,593,346,939
"Justice, 14th Court of Appeals District, Place 4",0297,579,445,1024,1978,51.77%,386,564,950
"Justice, 14th Court of Appeals District, Place 4",0298,848,475,1323,2083,63.51%,734,498,1232
"Justice, 14th Court of Appeals District, Place 4",0299,328,213,541,1231,43.95%,176,330,506
"Justice, 14th Court of Appeals District, Place 4",0300,3014,922,3936,5040,78.10%,3017,699,3716
"Justice, 14th Court of Appeals District, Place 4",0301,450,655,1105,2397,46.10%,417,626,1043
"Justice, 14th Court of Appeals District, Place 4",0302,713,635,1348,2724,49.49%,705,553,1258
"Justice, 14th Court of Appeals District, Place 4",0303,1773,755,2528,3172,79.70%,2024,345,2369
"Justice, 14th Court of Appeals District, Place 4",0304,970,648,1618,2266,71.40%,931,550,1481
"Justice, 14th Court of Appeals District, Place 4",0305,1319,858,2177,3621,60.12%,813,1271,2084
"Justice, 14th Court of Appeals District, Place 4",0306,1013,323,1336,1847,72.33%,995,251,1246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0307,1242,876,2118,2931,72.26%,1461,527,1988
"Justice, 14th Court of Appeals District, Place 4",0308,444,238,682,1266,53.87%,197,444,641
"Justice, 14th Court of Appeals District, Place 4",0309,1385,612,1997,2529,78.96%,1604,273,1877
"Justice, 14th Court of Appeals District, Place 4",0310,619,348,967,1437,67.29%,649,254,903
"Justice, 14th Court of Appeals District, Place 4",0311,862,699,1561,2997,52.09%,691,706,1397
"Justice, 14th Court of Appeals District, Place 4",0312,1600,718,2318,3669,63.18%,1290,890,2180
"Justice, 14th Court of Appeals District, Place 4",0313,22,1,23,60,38.33%,12,8,20
"Justice, 14th Court of Appeals District, Place 4",0314,2494,1221,3715,5225,71.10%,2260,1306,3566
"Justice, 14th Court of Appeals District, Place 4",0315,711,479,1190,1618,73.55%,724,372,1096
"Justice, 14th Court of Appeals District, Place 4",0316,682,411,1093,1522,71.81%,622,377,999
"Justice, 14th Court of Appeals District, Place 4",0317,552,336,888,1469,60.45%,266,581,847
"Justice, 14th Court of Appeals District, Place 4",0318,1708,611,2319,3531,65.68%,106,2121,2227
"Justice, 14th Court of Appeals District, Place 4",0319,965,290,1255,2081,60.31%,77,1124,1201
"Justice, 14th Court of Appeals District, Place 4",0320,464,300,764,1505,50.76%,337,380,717
"Justice, 14th Court of Appeals District, Place 4",0321,442,306,748,2029,36.87%,251,457,708
"Justice, 14th Court of Appeals District, Place 4",0322,397,237,634,1322,47.96%,160,449,609
"Justice, 14th Court of Appeals District, Place 4",0323,482,332,814,1719,47.35%,334,415,749
"Justice, 14th Court of Appeals District, Place 4",0324,967,718,1685,2339,72.04%,1090,469,1559
"Justice, 14th Court of Appeals District, Place 4",0325,657,397,1054,2251,46.82%,229,774,1003
"Justice, 14th Court of Appeals District, Place 4",0326,202,128,330,678,48.67%,132,169,301
"Justice, 14th Court of Appeals District, Place 4",0327,726,244,970,1751,55.40%,16,923,939
"Justice, 14th Court of Appeals District, Place 4",0328,344,270,614,1361,45.11%,226,360,586
"Justice, 14th Court of Appeals District, Place 4",0329,405,307,712,1367,52.08%,222,439,661
"Justice, 14th Court of Appeals District, Place 4",0330,590,376,966,1849,52.24%,446,454,900
"Justice, 14th Court of Appeals District, Place 4",0331,0,1,1,0,0.00%,1,0,1
"Justice, 14th Court of Appeals District, Place 4",0332,23,4,27,128,21.09%,9,16,25
"Justice, 14th Court of Appeals District, Place 4",0333,1018,939,1957,2901,67.46%,1393,453,1846
"Justice, 14th Court of Appeals District, Place 4",0334,255,114,369,755,48.87%,73,281,354
"Justice, 14th Court of Appeals District, Place 4",0335,285,246,531,1227,43.28%,167,310,477
"Justice, 14th Court of Appeals District, Place 4",0336,1820,588,2408,3161,76.18%,216,2115,2331
"Justice, 14th Court of Appeals District, Place 4",0337,310,207,517,951,54.36%,91,410,501
"Justice, 14th Court of Appeals District, Place 4",0338,1541,824,2365,4673,50.61%,679,1534,2213
"Justice, 14th Court of Appeals District, Place 4",0339,369,373,742,1716,43.24%,157,513,670
"Justice, 14th Court of Appeals District, Place 4",0340,1778,833,2611,3717,70.24%,1913,532,2445
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0341,246,316,562,1248,45.03%,146,389,535
"Justice, 14th Court of Appeals District, Place 4",0342,2029,1113,3142,5718,54.95%,449,2594,3043
"Justice, 14th Court of Appeals District, Place 4",0343,436,483,919,1904,48.27%,228,602,830
"Justice, 14th Court of Appeals District, Place 4",0344,395,245,640,1207,53.02%,22,591,613
"Justice, 14th Court of Appeals District, Place 4",0345,428,357,785,1708,45.96%,166,574,740
"Justice, 14th Court of Appeals District, Place 4",0346,1,2,3,1,300.00%,3,0,3
"Justice, 14th Court of Appeals District, Place 4",0347,1250,614,1864,3299,56.50%,1151,628,1779
"Justice, 14th Court of Appeals District, Place 4",0348,751,280,1031,1740,59.25%,731,247,978
"Justice, 14th Court of Appeals District, Place 4",0349,405,407,812,1315,61.75%,473,297,770
"Justice, 14th Court of Appeals District, Place 4",0350,1115,780,1895,2906,65.21%,805,936,1741
"Justice, 14th Court of Appeals District, Place 4",0351,2495,793,3288,4537,72.47%,2597,557,3154
"Justice, 14th Court of Appeals District, Place 4",0352,1152,583,1735,3193,54.34%,1186,464,1650
"Justice, 14th Court of Appeals District, Place 4",0353,1544,703,2247,3697,60.78%,388,1764,2152
"Justice, 14th Court of Appeals District, Place 4",0354,1476,517,1993,3193,62.42%,446,1454,1900
"Justice, 14th Court of Appeals District, Place 4",0355,701,286,987,1384,71.32%,92,866,958
"Justice, 14th Court of Appeals District, Place 4",0356,1382,618,2000,2836,70.52%,1169,703,1872
"Justice, 14th Court of Appeals District, Place 4",0357,1633,709,2342,3371,69.47%,1717,505,2222
"Justice, 14th Court of Appeals District, Place 4",0358,740,464,1204,2297,52.42%,96,1067,1163
"Justice, 14th Court of Appeals District, Place 4",0359,706,482,1188,3008,39.49%,96,1048,1144
"Justice, 14th Court of Appeals District, Place 4",0360,971,515,1486,2190,67.85%,821,524,1345
"Justice, 14th Court of Appeals District, Place 4",0361,135,691,826,1585,52.11%,163,537,700
"Justice, 14th Court of Appeals District, Place 4",0362,2131,1200,3331,4952,67.27%,2399,753,3152
"Justice, 14th Court of Appeals District, Place 4",0363,1347,687,2034,3291,61.80%,895,1064,1959
"Justice, 14th Court of Appeals District, Place 4",0364,912,602,1514,2539,59.63%,771,662,1433
"Justice, 14th Court of Appeals District, Place 4",0365,735,245,980,1302,75.27%,86,859,945
"Justice, 14th Court of Appeals District, Place 4",0366,638,466,1104,2089,52.85%,235,827,1062
"Justice, 14th Court of Appeals District, Place 4",0367,328,212,540,1019,52.99%,97,423,520
"Justice, 14th Court of Appeals District, Place 4",0368,418,143,561,929,60.39%,147,396,543
"Justice, 14th Court of Appeals District, Place 4",0369,107,53,160,490,32.65%,61,93,154
"Justice, 14th Court of Appeals District, Place 4",0370,3144,1178,4322,5781,74.76%,3242,882,4124
"Justice, 14th Court of Appeals District, Place 4",0371,226,69,295,475,62.11%,8,279,287
"Justice, 14th Court of Appeals District, Place 4",0372,498,231,729,1215,60.00%,82,612,694
"Justice, 14th Court of Appeals District, Place 4",0373,61,16,77,159,48.43%,1,74,75
"Justice, 14th Court of Appeals District, Place 4",0374,139,187,326,748,43.58%,99,208,307
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0375,577,524,1101,2607,42.23%,444,592,1036
"Justice, 14th Court of Appeals District, Place 4",0376,629,334,963,1916,50.26%,398,504,902
"Justice, 14th Court of Appeals District, Place 4",0377,1055,707,1762,2871,61.37%,1297,350,1647
"Justice, 14th Court of Appeals District, Place 4",0378,559,521,1080,1777,60.78%,670,358,1028
"Justice, 14th Court of Appeals District, Place 4",0379,801,338,1139,2017,56.47%,85,1005,1090
"Justice, 14th Court of Appeals District, Place 4",0380,2502,1183,3685,4753,77.53%,2096,1409,3505
"Justice, 14th Court of Appeals District, Place 4",0381,957,424,1381,2715,50.87%,574,746,1320
"Justice, 14th Court of Appeals District, Place 4",0382,276,231,507,841,60.29%,348,134,482
"Justice, 14th Court of Appeals District, Place 4",0383,599,493,1092,2076,52.60%,334,701,1035
"Justice, 14th Court of Appeals District, Place 4",0384,1173,505,1678,2596,64.64%,341,1272,1613
"Justice, 14th Court of Appeals District, Place 4",0385,1099,621,1720,2175,79.08%,1321,278,1599
"Justice, 14th Court of Appeals District, Place 4",0386,1464,460,1924,2872,66.99%,1371,466,1837
"Justice, 14th Court of Appeals District, Place 4",0387,1369,802,2171,3727,58.25%,1472,580,2052
"Justice, 14th Court of Appeals District, Place 4",0388,2780,1222,4002,5329,75.10%,2236,1599,3835
"Justice, 14th Court of Appeals District, Place 4",0389,285,261,546,975,56.00%,95,417,512
"Justice, 14th Court of Appeals District, Place 4",0390,644,368,1012,1565,64.66%,131,830,961
"Justice, 14th Court of Appeals District, Place 4",0391,856,355,1211,1805,67.09%,785,361,1146
"Justice, 14th Court of Appeals District, Place 4",0392,737,197,934,1441,64.82%,8,905,913
"Justice, 14th Court of Appeals District, Place 4",0393,346,318,664,1206,55.06%,294,329,623
"Justice, 14th Court of Appeals District, Place 4",0394,166,176,342,860,39.77%,137,185,322
"Justice, 14th Court of Appeals District, Place 4",0395,830,491,1321,1820,72.58%,929,309,1238
"Justice, 14th Court of Appeals District, Place 4",0396,1157,219,1376,2073,66.38%,13,1321,1334
"Justice, 14th Court of Appeals District, Place 4",0397,163,148,311,750,41.47%,120,166,286
"Justice, 14th Court of Appeals District, Place 4",0398,1439,840,2279,3816,59.72%,1112,1063,2175
"Justice, 14th Court of Appeals District, Place 4",0399,897,593,1490,2542,58.62%,728,711,1439
"Justice, 14th Court of Appeals District, Place 4",0400,1051,506,1557,2238,69.57%,1117,356,1473
"Justice, 14th Court of Appeals District, Place 4",0401,723,284,1007,1876,53.68%,44,936,980
"Justice, 14th Court of Appeals District, Place 4",0402,892,245,1137,1737,65.46%,55,1053,1108
"Justice, 14th Court of Appeals District, Place 4",0403,791,527,1318,1703,77.39%,768,426,1194
"Justice, 14th Court of Appeals District, Place 4",0404,778,552,1330,2589,51.37%,677,584,1261
"Justice, 14th Court of Appeals District, Place 4",0405,0,1,1,0,0.00%,0,1,1
"Justice, 14th Court of Appeals District, Place 4",0406,281,72,353,610,57.87%,5,332,337
"Justice, 14th Court of Appeals District, Place 4",0407,1317,1000,2317,3652,63.44%,1469,686,2155
"Justice, 14th Court of Appeals District, Place 4",0408,154,179,333,933,35.69%,142,171,313
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0409,277,289,566,1371,41.28%,170,361,531
"Justice, 14th Court of Appeals District, Place 4",0410,337,102,439,849,51.71%,85,340,425
"Justice, 14th Court of Appeals District, Place 4",0411,542,462,1004,2302,43.61%,292,646,938
"Justice, 14th Court of Appeals District, Place 4",0412,193,74,267,433,61.66%,13,245,258
"Justice, 14th Court of Appeals District, Place 4",0413,1493,525,2018,3023,66.75%,762,1139,1901
"Justice, 14th Court of Appeals District, Place 4",0414,1452,593,2045,3457,59.16%,1438,467,1905
"Justice, 14th Court of Appeals District, Place 4",0415,950,633,1583,2124,74.53%,1096,387,1483
"Justice, 14th Court of Appeals District, Place 4",0416,1177,916,2093,3582,58.43%,1082,887,1969
"Justice, 14th Court of Appeals District, Place 4",0417,777,619,1396,2465,56.63%,616,698,1314
"Justice, 14th Court of Appeals District, Place 4",0418,1057,758,1815,3420,53.07%,666,1048,1714
"Justice, 14th Court of Appeals District, Place 4",0419,1006,578,1584,2697,58.73%,1013,492,1505
"Justice, 14th Court of Appeals District, Place 4",0420,2174,1089,3263,4639,70.34%,2612,475,3087
"Justice, 14th Court of Appeals District, Place 4",0421,124,92,216,467,46.25%,44,163,207
"Justice, 14th Court of Appeals District, Place 4",0422,1456,585,2041,3345,61.02%,46,1929,1975
"Justice, 14th Court of Appeals District, Place 4",0423,190,309,499,894,55.82%,201,263,464
"Justice, 14th Court of Appeals District, Place 4",0424,435,157,592,888,66.67%,341,231,572
"Justice, 14th Court of Appeals District, Place 4",0425,227,234,461,875,52.69%,148,286,434
"Justice, 14th Court of Appeals District, Place 4",0426,415,283,698,1224,57.03%,393,245,638
"Justice, 14th Court of Appeals District, Place 4",0427,325,249,574,1115,51.48%,210,322,532
"Justice, 14th Court of Appeals District, Place 4",0428,1284,907,2191,4316,50.76%,648,1388,2036
"Justice, 14th Court of Appeals District, Place 4",0429,1093,777,1870,3929,47.59%,350,1377,1727
"Justice, 14th Court of Appeals District, Place 4",0430,405,335,740,1654,44.74%,156,527,683
"Justice, 14th Court of Appeals District, Place 4",0431,820,403,1223,3188,38.36%,325,821,1146
"Justice, 14th Court of Appeals District, Place 4",0432,312,271,583,1344,43.38%,159,396,555
"Justice, 14th Court of Appeals District, Place 4",0433,139,106,245,573,42.76%,43,190,233
"Justice, 14th Court of Appeals District, Place 4",0434,628,371,999,1386,72.08%,640,297,937
"Justice, 14th Court of Appeals District, Place 4",0435,1534,768,2302,3097,74.33%,1533,620,2153
"Justice, 14th Court of Appeals District, Place 4",0436,1334,709,2043,3012,67.83%,1232,663,1895
"Justice, 14th Court of Appeals District, Place 4",0437,951,542,1493,2007,74.39%,1062,336,1398
"Justice, 14th Court of Appeals District, Place 4",0438,1046,387,1433,1802,79.52%,1072,247,1319
"Justice, 14th Court of Appeals District, Place 4",0439,1526,905,2431,3416,71.17%,1744,522,2266
"Justice, 14th Court of Appeals District, Place 4",0440,1326,876,2202,2867,76.81%,1737,309,2046
"Justice, 14th Court of Appeals District, Place 4",0441,698,513,1211,1616,74.94%,900,236,1136
"Justice, 14th Court of Appeals District, Place 4",0442,1366,513,1879,2504,75.04%,1536,251,1787
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0443,335,148,483,605,79.83%,359,90,449
"Justice, 14th Court of Appeals District, Place 4",0444,1258,731,1989,3172,62.70%,1201,646,1847
"Justice, 14th Court of Appeals District, Place 4",0445,860,443,1303,1938,67.23%,804,412,1216
"Justice, 14th Court of Appeals District, Place 4",0446,70,52,122,268,45.52%,50,64,114
"Justice, 14th Court of Appeals District, Place 4",0447,271,108,379,583,65.01%,124,225,349
"Justice, 14th Court of Appeals District, Place 4",0448,1239,869,2108,3081,68.42%,1230,700,1930
"Justice, 14th Court of Appeals District, Place 4",0449,62,37,99,164,60.37%,12,81,93
"Justice, 14th Court of Appeals District, Place 4",0450,856,537,1393,2622,53.13%,354,968,1322
"Justice, 14th Court of Appeals District, Place 4",0451,1575,515,2090,2674,78.16%,1691,298,1989
"Justice, 14th Court of Appeals District, Place 4",0452,1109,639,1748,2810,62.21%,1289,387,1676
"Justice, 14th Court of Appeals District, Place 4",0453,559,475,1034,1885,54.85%,333,639,972
"Justice, 14th Court of Appeals District, Place 4",0454,1227,311,1538,2571,59.82%,14,1481,1495
"Justice, 14th Court of Appeals District, Place 4",0455,748,216,964,1679,57.42%,30,900,930
"Justice, 14th Court of Appeals District, Place 4",0456,1266,593,1859,3350,55.49%,984,770,1754
"Justice, 14th Court of Appeals District, Place 4",0457,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 4",0458,909,271,1180,1893,62.33%,54,1084,1138
"Justice, 14th Court of Appeals District, Place 4",0459,1637,476,2113,2950,71.63%,1653,350,2003
"Justice, 14th Court of Appeals District, Place 4",0460,1250,402,1652,2346,70.42%,424,1161,1585
"Justice, 14th Court of Appeals District, Place 4",0461,1959,828,2787,3733,74.66%,1833,737,2570
"Justice, 14th Court of Appeals District, Place 4",0462,1319,865,2184,3367,64.86%,792,1250,2042
"Justice, 14th Court of Appeals District, Place 4",0463,1124,555,1780,2962,60.09%,716,976,1692
"Justice, 14th Court of Appeals District, Place 4",0464,787,612,1399,2126,65.80%,955,368,1323
"Justice, 14th Court of Appeals District, Place 4",0465,1465,702,2167,3343,64.82%,1130,969,2099
"Justice, 14th Court of Appeals District, Place 4",0466,2052,729,2781,4072,68.30%,1552,1112,2664
"Justice, 14th Court of Appeals District, Place 4",0467,478,229,707,1230,57.48%,169,505,674
"Justice, 14th Court of Appeals District, Place 4",0468,985,793,1778,3354,53.01%,510,1167,1677
"Justice, 14th Court of Appeals District, Place 4",0469,2039,538,2677,3779,70.84%,2074,463,2537
"Justice, 14th Court of Appeals District, Place 4",0470,443,323,766,1349,56.78%,532,190,722
"Justice, 14th Court of Appeals District, Place 4",0471,792,597,1389,2349,59.13%,1061,268,1329
"Justice, 14th Court of Appeals District, Place 4",0472,371,337,708,1027,68.94%,347,297,644
"Justice, 14th Court of Appeals District, Place 4",0473,914,442,1356,1827,74.22%,936,327,1263
"Justice, 14th Court of Appeals District, Place 4",0474,1146,766,1912,3006,63.61%,1309,499,1808
"Justice, 14th Court of Appeals District, Place 4",0475,485,473,958,1651,58.03%,411,487,898
"Justice, 14th Court of Appeals District, Place 4",0476,809,658,1467,2412,60.82%,848,548,1396
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0477,1441,742,2183,3195,68.33%,1630,461,2091
"Justice, 14th Court of Appeals District, Place 4",0478,1959,898,2857,4150,68.84%,1860,841,2701
"Justice, 14th Court of Appeals District, Place 4",0479,1298,588,1886,2648,71.22%,1385,419,1804
"Justice, 14th Court of Appeals District, Place 4",0480,936,555,1491,2267,65.77%,1032,374,1406
"Justice, 14th Court of Appeals District, Place 4",0481,1464,852,2316,3298,70.22%,1695,499,2194
"Justice, 14th Court of Appeals District, Place 4",0482,1964,836,2800,4129,67.81%,1916,763,2679
"Justice, 14th Court of Appeals District, Place 4",0483,1868,759,2627,4141,63.44%,1402,1093,2495
"Justice, 14th Court of Appeals District, Place 4",0484,2237,1008,3245,4594,70.64%,2290,800,3090
"Justice, 14th Court of Appeals District, Place 4",0485,2421,990,3411,4838,70.50%,2523,752,3275
"Justice, 14th Court of Appeals District, Place 4",0486,1843,805,2648,3572,74.13%,2044,482,2526
"Justice, 14th Court of Appeals District, Place 4",0487,1005,612,1617,3318,48.73%,462,1018,1480
"Justice, 14th Court of Appeals District, Place 4",0488,580,440,1020,1713,59.54%,339,603,942
"Justice, 14th Court of Appeals District, Place 4",0489,784,378,1162,1823,63.74%,346,742,1088
"Justice, 14th Court of Appeals District, Place 4",0490,877,439,1316,1944,67.70%,490,744,1234
"Justice, 14th Court of Appeals District, Place 4",0491,667,489,1156,1782,64.87%,670,408,1078
"Justice, 14th Court of Appeals District, Place 4",0492,1070,504,1574,2351,66.95%,828,635,1463
"Justice, 14th Court of Appeals District, Place 4",0493,858,400,1258,1804,69.73%,803,365,1168
"Justice, 14th Court of Appeals District, Place 4",0494,761,431,1192,2176,54.78%,148,1005,1153
"Justice, 14th Court of Appeals District, Place 4",0495,1120,494,1614,2284,70.67%,1135,388,1523
"Justice, 14th Court of Appeals District, Place 4",0496,496,571,1067,2086,51.15%,396,600,996
"Justice, 14th Court of Appeals District, Place 4",0497,1124,303,1427,2226,64.11%,53,1325,1378
"Justice, 14th Court of Appeals District, Place 4",0498,759,499,1258,2123,59.26%,523,675,1198
"Justice, 14th Court of Appeals District, Place 4",0499,1301,517,1818,2304,78.91%,1320,385,1705
"Justice, 14th Court of Appeals District, Place 4",0500,1507,746,2253,3175,70.96%,1531,617,2148
"Justice, 14th Court of Appeals District, Place 4",0501,653,487,1140,1647,69.22%,455,595,1050
"Justice, 14th Court of Appeals District, Place 4",0502,1151,332,1483,2364,62.73%,1119,281,1400
"Justice, 14th Court of Appeals District, Place 4",0503,359,273,632,1363,46.37%,192,392,584
"Justice, 14th Court of Appeals District, Place 4",0504,1129,538,1667,2197,75.88%,1118,451,1569
"Justice, 14th Court of Appeals District, Place 4",0505,1209,829,2038,3654,55.77%,899,988,1887
"Justice, 14th Court of Appeals District, Place 4",0506,1471,801,2272,3380,67.22%,381,1798,2179
"Justice, 14th Court of Appeals District, Place 4",0507,582,385,967,2435,39.71%,147,686,833
"Justice, 14th Court of Appeals District, Place 4",0508,946,760,1706,3248,52.52%,561,1005,1566
"Justice, 14th Court of Appeals District, Place 4",0509,1340,864,2204,3536,62.33%,1523,569,2092
"Justice, 14th Court of Appeals District, Place 4",0510,1492,682,2174,3511,61.92%,964,1084,2048
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0511,0,6,6,0,0.00%,1,5,6
"Justice, 14th Court of Appeals District, Place 4",0512,1560,1127,2687,4582,58.64%,1214,1357,2571
"Justice, 14th Court of Appeals District, Place 4",0513,1605,507,2112,2752,76.74%,1582,411,1993
"Justice, 14th Court of Appeals District, Place 4",0514,1967,860,2827,3941,71.73%,2061,638,2699
"Justice, 14th Court of Appeals District, Place 4",0515,1692,708,2400,3173,75.64%,1911,368,2279
"Justice, 14th Court of Appeals District, Place 4",0516,2179,1066,3245,4934,65.77%,1583,1481,3064
"Justice, 14th Court of Appeals District, Place 4",0517,1208,653,1861,3320,56.05%,973,794,1767
"Justice, 14th Court of Appeals District, Place 4",0518,1478,919,2397,3755,63.83%,1487,780,2267
"Justice, 14th Court of Appeals District, Place 4",0519,1234,645,1879,2951,63.67%,1342,457,1799
"Justice, 14th Court of Appeals District, Place 4",0520,1542,857,2399,4064,59.03%,386,1929,2315
"Justice, 14th Court of Appeals District, Place 4",0521,1014,694,1708,2725,62.68%,857,766,1623
"Justice, 14th Court of Appeals District, Place 4",0522,1171,658,1829,2682,68.20%,1361,378,1739
"Justice, 14th Court of Appeals District, Place 4",0523,1339,689,2028,3060,66.27%,1344,545,1889
"Justice, 14th Court of Appeals District, Place 4",0524,1238,675,1913,3292,58.11%,559,1267,1826
"Justice, 14th Court of Appeals District, Place 4",0525,1381,610,1991,2947,67.56%,396,1496,1892
"Justice, 14th Court of Appeals District, Place 4",0526,167,171,338,731,46.24%,87,234,321
"Justice, 14th Court of Appeals District, Place 4",0527,80,24,104,569,18.28%,46,51,97
"Justice, 14th Court of Appeals District, Place 4",0528,36,12,48,92,52.17%,3,44,47
"Justice, 14th Court of Appeals District, Place 4",0529,1988,441,2429,3616,67.17%,2007,312,2319
"Justice, 14th Court of Appeals District, Place 4",0530,259,235,494,1196,41.30%,108,347,455
"Justice, 14th Court of Appeals District, Place 4",0531,672,113,785,1094,71.76%,599,139,738
"Justice, 14th Court of Appeals District, Place 4",0532,452,184,636,1039,61.21%,429,181,610
"Justice, 14th Court of Appeals District, Place 4",0533,317,207,524,1069,49.02%,263,234,497
"Justice, 14th Court of Appeals District, Place 4",0534,1658,675,2333,3795,61.48%,1678,536,2214
"Justice, 14th Court of Appeals District, Place 4",0535,80,94,174,421,41.33%,66,96,162
"Justice, 14th Court of Appeals District, Place 4",0536,1332,1195,2527,4576,55.22%,947,1452,2399
"Justice, 14th Court of Appeals District, Place 4",0537,1454,823,2277,2971,76.64%,1668,484,2152
"Justice, 14th Court of Appeals District, Place 4",0538,433,237,670,1282,52.26%,20,626,646
"Justice, 14th Court of Appeals District, Place 4",0539,26,209,235,71,330.99%,47,163,210
"Justice, 14th Court of Appeals District, Place 4",0540,666,380,1046,1491,70.15%,483,463,946
"Justice, 14th Court of Appeals District, Place 4",0541,1826,779,2605,4183,62.28%,364,2124,2488
"Justice, 14th Court of Appeals District, Place 4",0542,997,501,1498,2525,59.33%,81,1365,1446
"Justice, 14th Court of Appeals District, Place 4",0543,287,378,665,1528,43.52%,207,419,626
"Justice, 14th Court of Appeals District, Place 4",0544,92,53,145,318,45.60%,17,122,139
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0545,1314,857,2171,3339,65.02%,1048,1017,2065
"Justice, 14th Court of Appeals District, Place 4",0546,4,4,8,30,26.67%,2,6,8
"Justice, 14th Court of Appeals District, Place 4",0547,877,647,1524,2408,63.29%,1039,411,1450
"Justice, 14th Court of Appeals District, Place 4",0548,720,476,1196,2129,56.18%,535,608,1143
"Justice, 14th Court of Appeals District, Place 4",0549,944,586,1530,2530,60.47%,210,1262,1472
"Justice, 14th Court of Appeals District, Place 4",0550,1134,629,1763,2847,61.92%,878,825,1703
"Justice, 14th Court of Appeals District, Place 4",0551,3088,1527,4615,6135,75.22%,3314,1066,4380
"Justice, 14th Court of Appeals District, Place 4",0552,1521,844,2465,3241,76.06%,2016,333,2349
"Justice, 14th Court of Appeals District, Place 4",0553,1465,951,2416,4355,55.48%,1032,1282,2314
"Justice, 14th Court of Appeals District, Place 4",0554,562,340,902,1731,52.11%,138,704,842
"Justice, 14th Court of Appeals District, Place 4",0555,598,447,1045,2119,49.32%,179,813,992
"Justice, 14th Court of Appeals District, Place 4",0556,584,421,1005,2249,44.69%,219,736,955
"Justice, 14th Court of Appeals District, Place 4",0557,822,556,1378,2726,50.55%,441,833,1274
"Justice, 14th Court of Appeals District, Place 4",0558,1589,824,2413,4084,59.08%,773,1517,2290
"Justice, 14th Court of Appeals District, Place 4",0559,1787,899,2686,4633,57.98%,640,1897,2537
"Justice, 14th Court of Appeals District, Place 4",0560,172,289,461,1176,39.20%,91,332,423
"Justice, 14th Court of Appeals District, Place 4",0561,837,759,1596,3033,52.62%,875,640,1515
"Justice, 14th Court of Appeals District, Place 4",0562,201,146,347,645,53.80%,24,308,332
