Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0330,590,376,966,1849,52.24%,437,459,896
"District Judge, 176th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 176th Judicial District",0332,23,4,27,128,21.09%,10,15,25
"District Judge, 176th Judicial District",0333,1018,939,1957,2901,67.46%,1364,474,1838
"District Judge, 176th Judicial District",0334,255,114,369,755,48.87%,74,280,354
"District Judge, 176th Judicial District",0335,285,246,531,1227,43.28%,155,316,471
"District Judge, 176th Judicial District",0336,1818,588,2406,3161,76.12%,207,2116,2323
"District Judge, 176th Judicial District",0337,309,207,516,951,54.26%,84,417,501
"District Judge, 176th Judicial District",0338,1540,824,2364,4673,50.59%,653,1550,2203
"District Judge, 176th Judicial District",0339,369,373,742,1716,43.24%,155,514,669
"District Judge, 176th Judicial District",0340,1778,833,2611,3717,70.24%,1886,551,2437
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0341,246,316,562,1248,45.03%,150,383,533
"District Judge, 176th Judicial District",0342,2029,1113,3142,5718,54.95%,428,2611,3039
"District Judge, 176th Judicial District",0343,436,483,919,1904,48.27%,215,611,826
"District Judge, 176th Judicial District",0344,395,245,640,1207,53.02%,22,587,609
"District Judge, 176th Judicial District",0345,428,357,785,1708,45.96%,165,576,741
"District Judge, 176th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 176th Judicial District",0347,1250,614,1864,3299,56.50%,1132,640,1772
"District Judge, 176th Judicial District",0348,751,280,1031,1740,59.25%,717,255,972
"District Judge, 176th Judicial District",0349,405,407,812,1315,61.75%,467,297,764
"District Judge, 176th Judicial District",0350,1112,780,1892,2906,65.11%,765,965,1730
"District Judge, 176th Judicial District",0351,2495,793,3288,4537,72.47%,2559,593,3152
"District Judge, 176th Judicial District",0352,1151,583,1734,3193,54.31%,1178,467,1645
"District Judge, 176th Judicial District",0353,1544,703,2247,3697,60.78%,380,1777,2157
"District Judge, 176th Judicial District",0354,1476,517,1993,3193,62.42%,445,1454,1899
"District Judge, 176th Judicial District",0355,700,286,986,1384,71.24%,88,864,952
"District Judge, 176th Judicial District",0356,1382,618,2000,2836,70.52%,1139,719,1858
"District Judge, 176th Judicial District",0357,1633,709,2342,3371,69.47%,1698,516,2214
"District Judge, 176th Judicial District",0358,740,464,1204,2297,52.42%,90,1067,1157
"District Judge, 176th Judicial District",0359,706,482,1188,3008,39.49%,92,1054,1146
"District Judge, 176th Judicial District",0360,969,515,1484,2190,67.76%,777,550,1327
"District Judge, 176th Judicial District",0361,135,691,826,1585,52.11%,139,553,692
"District Judge, 176th Judicial District",0362,2131,1200,3331,4952,67.27%,2383,757,3140
"District Judge, 176th Judicial District",0363,1346,687,2033,3291,61.77%,885,1070,1955
"District Judge, 176th Judicial District",0364,912,602,1514,2539,59.63%,755,674,1429
"District Judge, 176th Judicial District",0365,734,245,979,1302,75.19%,85,861,946
"District Judge, 176th Judicial District",0366,638,466,1104,2089,52.85%,236,827,1063
"District Judge, 176th Judicial District",0367,328,212,540,1019,52.99%,97,422,519
"District Judge, 176th Judicial District",0368,418,143,561,929,60.39%,146,398,544
"District Judge, 176th Judicial District",0369,107,53,160,490,32.65%,58,95,153
"District Judge, 176th Judicial District",0370,3143,1178,4321,5781,74.74%,3218,889,4107
"District Judge, 176th Judicial District",0371,226,69,295,475,62.11%,5,282,287
"District Judge, 176th Judicial District",0372,498,231,729,1215,60.00%,85,606,691
"District Judge, 176th Judicial District",0373,61,16,77,159,48.43%,1,74,75
"District Judge, 176th Judicial District",0374,139,187,326,748,43.58%,93,215,308
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0375,577,524,1101,2607,42.23%,450,584,1034
"District Judge, 176th Judicial District",0376,629,334,963,1916,50.26%,385,516,901
"District Judge, 176th Judicial District",0377,1055,707,1762,2871,61.37%,1277,360,1637
"District Judge, 176th Judicial District",0378,559,521,1080,1777,60.78%,665,365,1030
"District Judge, 176th Judicial District",0379,800,338,1138,2017,56.42%,81,1006,1087
"District Judge, 176th Judicial District",0380,2500,1183,3683,4753,77.49%,2054,1431,3485
"District Judge, 176th Judicial District",0381,957,424,1381,2715,50.87%,559,749,1308
"District Judge, 176th Judicial District",0382,276,231,507,841,60.29%,351,131,482
"District Judge, 176th Judicial District",0383,599,493,1092,2076,52.60%,338,697,1035
"District Judge, 176th Judicial District",0384,1172,505,1677,2596,64.60%,326,1277,1603
"District Judge, 176th Judicial District",0385,1099,621,1720,2175,79.08%,1261,327,1588
"District Judge, 176th Judicial District",0386,1464,460,1924,2872,66.99%,1360,470,1830
"District Judge, 176th Judicial District",0387,1369,802,2171,3727,58.25%,1463,586,2049
"District Judge, 176th Judicial District",0388,2780,1222,4002,5329,75.10%,2220,1596,3816
"District Judge, 176th Judicial District",0389,283,261,544,975,55.79%,84,416,500
"District Judge, 176th Judicial District",0390,644,368,1012,1565,64.66%,119,844,963
"District Judge, 176th Judicial District",0391,856,355,1211,1805,67.09%,754,385,1139
"District Judge, 176th Judicial District",0392,737,197,934,1441,64.82%,10,901,911
"District Judge, 176th Judicial District",0393,346,318,664,1206,55.06%,286,332,618
"District Judge, 176th Judicial District",0394,166,176,342,860,39.77%,133,186,319
"District Judge, 176th Judicial District",0395,830,491,1321,1820,72.58%,886,335,1221
"District Judge, 176th Judicial District",0396,1157,219,1376,2073,66.38%,14,1318,1332
"District Judge, 176th Judicial District",0397,163,148,311,750,41.47%,123,164,287
"District Judge, 176th Judicial District",0398,1438,840,2278,3816,59.70%,1098,1076,2174
"District Judge, 176th Judicial District",0399,896,593,1489,2542,58.58%,709,716,1425
"District Judge, 176th Judicial District",0400,1048,506,1554,2238,69.44%,1085,382,1467
"District Judge, 176th Judicial District",0401,723,284,1007,1876,53.68%,42,935,977
"District Judge, 176th Judicial District",0402,891,245,1136,1737,65.40%,53,1049,1102
"District Judge, 176th Judicial District",0403,791,527,1318,1703,77.39%,715,464,1179
"District Judge, 176th Judicial District",0404,778,552,1330,2589,51.37%,671,591,1262
"District Judge, 176th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 176th Judicial District",0406,281,72,353,610,57.87%,4,331,335
"District Judge, 176th Judicial District",0407,1317,1000,2317,3652,63.44%,1424,721,2145
"District Judge, 176th Judicial District",0408,154,179,333,933,35.69%,138,169,307
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0409,277,289,566,1371,41.28%,168,358,526
"District Judge, 176th Judicial District",0410,337,102,439,849,51.71%,83,341,424
"District Judge, 176th Judicial District",0411,542,462,1004,2302,43.61%,295,634,929
"District Judge, 176th Judicial District",0412,193,74,267,433,61.66%,14,245,259
"District Judge, 176th Judicial District",0413,1493,525,2018,3023,66.75%,753,1135,1888
"District Judge, 176th Judicial District",0414,1452,593,2045,3457,59.16%,1423,475,1898
"District Judge, 176th Judicial District",0415,950,633,1583,2124,74.53%,1060,418,1478
"District Judge, 176th Judicial District",0416,1174,916,2090,3582,58.35%,1061,897,1958
"District Judge, 176th Judicial District",0417,777,619,1396,2465,56.63%,606,705,1311
"District Judge, 176th Judicial District",0418,1057,758,1815,3420,53.07%,661,1054,1715
"District Judge, 176th Judicial District",0419,1006,578,1584,2697,58.73%,998,499,1497
"District Judge, 176th Judicial District",0420,2174,1089,3263,4639,70.34%,2608,473,3081
"District Judge, 176th Judicial District",0421,124,92,216,467,46.25%,45,163,208
"District Judge, 176th Judicial District",0422,1456,585,2041,3345,61.02%,37,1942,1979
"District Judge, 176th Judicial District",0423,190,309,499,894,55.82%,193,269,462
"District Judge, 176th Judicial District",0424,435,1,57,592,888,66.67%,333,237,570
"District Judge, 176th Judicial District",0425,227,234,461,875,52.69%,145,288,433
"District Judge, 176th Judicial District",0426,415,283,698,1224,57.03%,380,251,631
"District Judge, 176th Judicial District",0427,325,249,574,1115,51.48%,202,325,527
"District Judge, 176th Judicial District",0428,1284,907,2191,4316,50.76%,627,1409,2036
"District Judge, 176th Judicial District",0429,1091,777,1868,3929,47.54%,348,1376,1724
"District Judge, 176th Judicial District",0430,403,335,738,1654,44.62%,149,525,674
"District Judge, 176th Judicial District",0431,819,403,1222,3188,38.33%,312,831,1143
"District Judge, 176th Judicial District",0432,311,271,582,1344,43.30%,159,392,551
"District Judge, 176th Judicial District",0433,139,106,245,573,42.76%,43,188,231
"District Judge, 176th Judicial District",0434,628,371,999,1386,72.08%,610,320,930
"District Judge, 176th Judicial District",0435,1534,768,2302,3097,74.33%,1479,658,2137
"District Judge, 176th Judicial District",0436,1334,709,2043,3012,67.83%,1186,693,1879
"District Judge, 176th Judicial District",0437,951,542,1493,2007,74.39%,1021,369,1390
"District Judge, 176th Judicial District",0438,1046,387,1433,1802,79.52%,1030,272,1302
"District Judge, 176th Judicial District",0439,1526,905,2431,3416,71.17%,1680,568,2248
"District Judge, 176th Judicial District",0440,1326,876,2202,2867,76.81%,1661,356,2017
"District Judge, 176th Judicial District",0441,698,513,1211,1616,74.94%,861,265,1126
"District Judge, 176th Judicial District",0442,1366,513,1879,2504,75.04%,1511,271,1782
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0443,335,148,483,605,79.83%,336,1,08,444
"District Judge, 176th Judicial District",0444,1258,731,1989,3172,62.70%,1172,676,1848
"District Judge, 176th Judicial District",0445,860,443,1303,1938,67.23%,772,440,1212
"District Judge, 176th Judicial District",0446,70,52,122,268,45.52%,41,73,114
"District Judge, 176th Judicial District",0447,271,108,379,583,65.01%,124,225,349
"District Judge, 176th Judicial District",0448,1239,869,2108,3081,68.42%,1209,714,1923
"District Judge, 176th Judicial District",0449,62,37,99,164,60.37%,12,80,92
"District Judge, 176th Judicial District",0450,856,537,1393,2622,53.13%,341,988,1329
"District Judge, 176th Judicial District",0451,1575,515,2090,2674,78.16%,1653,321,1974
"District Judge, 176th Judicial District",0452,1109,639,1748,2810,62.21%,1279,394,1673
"District Judge, 176th Judicial District",0453,559,475,1034,1885,54.85%,335,637,972
"District Judge, 176th Judicial District",0454,1226,311,1537,2571,59.78%,12,1481,1493
"District Judge, 176th Judicial District",0455,748,216,964,1679,57.42%,26,902,928
"District Judge, 176th Judicial District",0456,1266,593,1859,3350,55.49%,962,790,1752
"District Judge, 176th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",0458,908,271,1179,1893,62.28%,53,1086,1139
"District Judge, 176th Judicial District",0459,1637,476,2113,2950,71.63%,1636,358,1994
"District Judge, 176th Judicial District",0460,1250,402,1652,2346,70.42%,417,1161,1578
"District Judge, 176th Judicial District",0461,1958,828,2786,3733,74.63%,1742,812,2554
"District Judge, 176th Judicial District",0462,1318,865,2183,3367,64.84%,765,1265,2030
"District Judge, 176th Judicial District",0463,1124,656,1780,2962,60.09%,702,994,1696
"District Judge, 176th Judicial District",0464,786,612,1398,2126,65.76%,932,385,1317
"District Judge, 176th Judicial District",0465,1465,702,2167,3343,64.82%,1112,978,2090
"District Judge, 176th Judicial District",0466,2052,729,2781,4072,68.30%,1534,1129,2663
"District Judge, 176th Judicial District",0467,478,229,707,1230,57.48%,166,506,672
"District Judge, 176th Judicial District",0468,984,793,1777,3354,52.98%,501,1171,1672
"District Judge, 176th Judicial District",0469,2039,638,2677,3779,70.84%,2020,500,2520
"District Judge, 176th Judicial District",0470,443,323,766,1349,56.78%,527,191,718
"District Judge, 176th Judicial District",0471,792,597,1389,2349,59.13%,1042,282,1324
"District Judge, 176th Judicial District",0472,370,337,707,1027,68.84%,320,315,635
"District Judge, 176th Judicial District",0473,914,442,1356,1827,74.22%,896,358,1254
"District Judge, 176th Judicial District",0474,1146,766,1912,3006,63.61%,1295,504,1799
"District Judge, 176th Judicial District",0475,485,473,958,1651,58.03%,406,489,895
"District Judge, 176th Judicial District",0476,809,658,1467,2412,60.82%,838,555,1393
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0477,1441,742,2183,3195,68.33%,1602,475,2077
"District Judge, 176th Judicial District",0478,1959,898,2857,4150,68.84%,1828,868,2696
"District Judge, 176th Judicial District",0479,1298,588,1886,2648,71.22%,1365,434,1799
"District Judge, 176th Judicial District",0480,936,555,1491,2267,65.77%,1010,385,1395
"District Judge, 176th Judicial District",0481,1463,852,2315,3298,70.19%,1685,502,2187
"District Judge, 176th Judicial District",0482,1963,836,2799,4129,67.79%,1910,768,2678
"District Judge, 176th Judicial District",0483,1868,759,2627,4141,63.44%,1380,1099,2479
"District Judge, 176th Judicial District",0484,2236,1008,3244,4594,70.61%,2263,816,3079
"District Judge, 176th Judicial District",0485,2421,990,3411,4838,70.50%,2499,763,3262
"District Judge, 176th Judicial District",0486,1843,805,2648,3572,74.13%,2017,500,2517
"District Judge, 176th Judicial District",0487,1005,612,1617,3318,48.73%,458,1028,1486
"District Judge, 176th Judicial District",0488,580,440,1020,1713,59.54%,336,597,933
"District Judge, 176th Judicial District",0489,783,378,1161,1823,63.69%,328,760,1088
"District Judge, 176th Judicial District",0490,876,439,1315,1944,67.64%,470,757,1227
"District Judge, 176th Judicial District",0491,667,489,1156,1782,64.87%,637,431,1068
"District Judge, 176th Judicial District",0492,1069,504,1573,2351,66.91%,790,665,1455
"District Judge, 176th Judicial District",0493,858,400,1258,1804,69.73%,789,369,1158
"District Judge, 176th Judicial District",0494,760,431,1191,2176,54.73%,150,998,1148
"District Judge, 176th Judicial District",0495,1120,494,1614,2284,70.67%,1114,395,1509
"District Judge, 176th Judicial District",0496,496,571,1067,2086,51.15%,387,612,999
"District Judge, 176th Judicial District",0497,1123,303,1426,2226,64.06%,55,1318,1373
"District Judge, 176th Judicial District",0498,759,499,1258,2123,59.26%,512,680,1192
"District Judge, 176th Judicial District",0499,1301,517,1818,2304,78.91%,1304,387,1691
"District Judge, 176th Judicial District",0500,1507,746,2253,3175,70.96%,1520,611,2131
"District Judge, 176th Judicial District",0501,653,487,1140,1647,69.22%,429,608,1037
"District Judge, 176th Judicial District",0502,1150,332,1482,2364,62.69%,1107,278,1385
"District Judge, 176th Judicial District",0503,359,273,632,1363,46.37%,189,393,582
"District Judge, 176th Judicial District",0504,1129,538,1667,2197,75.88%,1065,497,1562
"District Judge, 176th Judicial District",0505,1209,829,2038,3654,55.77%,879,1010,1889
"District Judge, 176th Judicial District",0506,1470,801,2271,3380,67.19%,374,1809,2183
"District Judge, 176th Judicial District",0507,582,385,967,2435,39.71%,149,689,838
"District Judge, 176th Judicial District",0508,946,760,1706,3248,52.52%,556,1009,1565
"District Judge, 176th Judicial District",0509,1340,864,2204,3536,62.33%,1517,568,2085
"District Judge, 176th Judicial District",0510,1492,682,2174,3511,61.92%,954,1088,2042
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 176th Judicial District",0512,1558,1127,2885,4582,58.80%,1207,1351,2558
"District Judge, 176th Judicial District",0513,1805,507,2112,2752,78.74%,1557,439,1998
"District Judge, 176th Judicial District",0514,1988,880,2828,3941,71.71%,2049,847,2898
"District Judge, 176th Judicial District",0515,1892,708,2400,3173,75.84%,1895,373,2288
"District Judge, 176th Judicial District",0518,2179,1088,3245,4934,85.77%,1585,1484,3049
"District Judge, 176th Judicial District",0517,1208,853,1881,3320,58.05%,980,799,1759
"District Judge, 176th Judicial District",0518,1478,919,2397,3755,83.83%,1471,788,2257
"District Judge, 176th Judicial District",0519,1234,845,1879,2951,83.87%,1331,458,1787
"District Judge, 176th Judicial District",0520,1542,857,2399,4084,59.03%,372,1933,2305
"District Judge, 176th Judicial District",0521,1011,894,1705,2725,82.57%,881,758,1817
"District Judge, 176th Judicial District",0522,1171,858,1829,2882,88.20%,1341,388,1727
"District Judge, 176th Judicial District",0523,1338,889,2027,3080,88.24%,1318,580,1878
"District Judge, 176th Judicial District",0524,1237,875,1912,3292,58.08%,581,1284,1825
"District Judge, 176th Judicial District",0525,1380,810,1990,2947,87.53%,395,1498,1893
"District Judge, 176th Judicial District",0528,187,171,338,731,48.24%,89,229,318
"District Judge, 176th Judicial District",0527,80,24,104,589,18.28%,45,52,97
"District Judge, 176th Judicial District",0528,38,12,48,92,52.17%,3,44,47
"District Judge, 176th Judicial District",0529,1987,441,2428,3818,87.15%,1988,323,2309
"District Judge, 176th Judicial District",0530,259,235,494,1198,41.30%,108,353,459
"District Judge, 176th Judicial District",0531,872,113,785,1094,71.78%,598,137,735
"District Judge, 176th Judicial District",0532,452,184,838,1039,81.21%,425,180,805
"District Judge, 176th Judicial District",0533,317,207,524,1089,49.02%,282,233,495
"District Judge, 176th Judicial District",0534,1858,875,2333,3795,81.48%,1882,548,2208
"District Judge, 176th Judicial District",0535,80,94,174,421,41.33%,81,101,182
"District Judge, 176th Judicial District",0538,1332,1195,2527,4578,55.22%,917,1473,2390
"District Judge, 176th Judicial District",0537,1454,823,2277,2971,78.84%,1828,520,2148
"District Judge, 176th Judicial District",0538,433,237,870,1282,52.28%,18,830,848
"District Judge, 176th Judicial District",0539,28,209,235,71,330.99%,47,188,213
"District Judge, 176th Judicial District",0540,888,380,1048,1491,70.15%,435,498,933
"District Judge, 176th Judicial District",0541,1824,779,2803,4183,82.23%,342,2138,2480
"District Judge, 176th Judicial District",0542,997,501,1498,2525,59.33%,89,1380,1449
"District Judge, 176th Judicial District",0543,287,378,885,1528,43.52%,201,419,820
"District Judge, 176th Judicial District",0544,92,53,145,318,45.80%,18,123,139
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0545,1314,857,2171,3339,65.02%,1011,1038,2049
"District Judge, 176th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 176th Judicial District",0547,877,647,1524,2408,63.29%,1031,410,1441
"District Judge, 176th Judicial District",0548,720,476,1196,2129,56.18%,531,609,1140
"District Judge, 176th Judicial District",0549,944,586,1530,2530,60.47%,206,1262,1468
"District Judge, 176th Judicial District",0550,1134,629,1763,2847,61.92%,848,850,1698
"District Judge, 176th Judicial District",0551,3088,1527,4615,6135,75.22%,3261,1107,4368
"District Judge, 176th Judicial District",0552,1621,844,2465,3241,76.06%,1987,363,2350
"District Judge, 176th Judicial District",0553,1465,951,2416,4355,55.48%,1021,1287,2308
"District Judge, 176th Judicial District",0554,562,340,902,1731,52.11%,142,694,836
"District Judge, 176th Judicial District",0555,597,447,1044,2119,49.27%,170,823,993
"District Judge, 176th Judicial District",0556,584,421,1005,2249,44.69%,211,745,956
"District Judge, 176th Judicial District",0557,822,556,1378,2726,50.55%,444,824,1268
"District Judge, 176th Judicial District",0558,1588,824,2412,4084,59.06%,754,1533,2287
"District Judge, 176th Judicial District",0559,1787,899,2686,4633,57.98%,623,1917,2540
"District Judge, 176th Judicial District",0560,172,289,461,1176,39.20%,92,332,424
"District Judge, 176th Judicial District",0561,837,759,1596,3033,52.62%,860,652,1512
"District Judge, 176th Judicial District",0562,201,146,347,645,53.80%,24,307,331
"District Judge, 176th Judicial District",0563,1699,415,2114,2969,71.20%,1591,395,1986
"District Judge, 176th Judicial District",0564,1150,713,1863,3096,60.17%,484,1235,1719
"District Judge, 176th Judicial District",0565,315,194,509,1373,37.07%,91,380,471
"District Judge, 176th Judicial District",0566,1122,478,1600,2950,54.24%,424,1109,1533
"District Judge, 176th Judicial District",0567,672,394,1066,2198,48.50%,268,702,970
"District Judge, 176th Judicial District",0568,1628,837,2465,3487,70.69%,1560,702,2262
"District Judge, 176th Judicial District",0569,1294,865,2159,3249,66.45%,1136,855,1991
"District Judge, 176th Judicial District",0570,525,409,934,1473,63.41%,415,433,848
"District Judge, 176th Judicial District",0571,333,312,645,1758,36.69%,201,394,595
"District Judge, 176th Judicial District",0572,1283,574,1857,2998,61.94%,843,908,1751
"District Judge, 176th Judicial District",0573,577,368,945,1618,58.41%,9,911,920
"District Judge, 176th Judicial District",0574,98,79,177,391,45.27%,17,147,164
"District Judge, 176th Judicial District",0575,27,9,36,79,45.57%,31,4,35
"District Judge, 176th Judicial District",0576,1050,552,1602,2671,59.98%,54,1494,1548
"District Judge, 176th Judicial District",0577,231,113,344,573,60.03%,187,138,325
"District Judge, 176th Judicial District",0578,745,553,1298,1689,76.85%,786,392,1178
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0579,487,351,838,1806,46.40%,193,594,787
"District Judge, 176th Judicial District",0580,429,146,575,1027,55.99%,12,546,558
"District Judge, 176th Judicial District",0581,510,162,672,1041,64.55%,19,626,645
"District Judge, 176th Judicial District",0582,614,256,870,1613,53.94%,46,794,840
"District Judge, 176th Judicial District",0583,544,127,671,1248,53.77%,14,642,656
"District Judge, 176th Judicial District",0584,392,139,531,971,54.69%,30,496,526
"District Judge, 176th Judicial District",0585,934,304,1238,2403,51.52%,34,1168,1202
"District Judge, 176th Judicial District",0585,1306,1189,2495,4230,58.98%,1488,895,2383
"District Judge, 176th Judicial District",0587,933,465,1398,2174,64.31%,495,851,1346
"District Judge, 176th Judicial District",0588,1536,871,2407,3468,69.41%,1680,621,2301
"District Judge, 176th Judicial District",0589,1033,738,1771,3130,56.58%,915,775,1690
"District Judge, 176th Judicial District",0590,1158,463,1621,2136,75.89%,1206,328,1534
"District Judge, 176th Judicial District",0591,420,449,869,2114,41.11%,220,593,813
"District Judge, 176th Judicial District",0592,370,288,658,1258,52.31%,150,477,627
"District Judge, 176th Judicial District",0593,1148,999,2147,4059,52.89%,956,1072,2028
"District Judge, 176th Judicial District",0594,1031,535,1566,2361,66.33%,435,1067,1502
"District Judge, 176th Judicial District",0595,497,380,877,1647,53.25%,146,700,846
"District Judge, 176th Judicial District",0596,945,690,1635,2848,57.41%,844,720,1564
"District Judge, 176th Judicial District",0597,1067,719,1786,3267,54.67%,604,1110,1714
"District Judge, 176th Judicial District",0598,335,103,438,724,60.50%,328,80,408
"District Judge, 176th Judicial District",0599,1895,866,2761,4135,66.77%,923,1729,2652
"District Judge, 176th Judicial District",0600,1383,869,2252,3820,58.95%,771,1372,2143
"District Judge, 176th Judicial District",0601,2028,858,2886,3990,72.33%,2144,619,2763
"District Judge, 176th Judicial District",0602,562,296,858,1237,69.36%,593,232,825
"District Judge, 176th Judicial District",0603,1437,1163,2600,3917,66.38%,1540,957,2497
"District Judge, 176th Judicial District",0604,1444,528,1972,2910,67.77%,1618,260,1878
"District Judge, 176th Judicial District",0605,2227,889,3116,5251,59.34%,741,2234,2975
"District Judge, 176th Judicial District",0606,420,122,542,1053,51.47%,6,520,526
"District Judge, 176th Judicial District",0607,194,118,312,731,42.68%,18,277,295
"District Judge, 176th Judicial District",0608,245,290,535,1256,42.60%,202,291,493
"District Judge, 176th Judicial District",0609,1364,844,2208,3261,67.71%,1331,738,2069
"District Judge, 176th Judicial District",0610,403,398,801,1825,43.89%,339,408,747
"District Judge, 176th Judicial District",0611,1120,301,1421,2450,58.00%,40,1341,1381
"District Judge, 176th Judicial District",0612,1700,579,2279,3272,69.65%,1679,453,2132
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0613,495,309,804,1450,55.45%,120,654,774
"District Judge, 176th Judicial District",0614,1631,812,2443,3932,62.13%,801,1525,2326
"District Judge, 176th Judicial District",0615,931,404,1335,1926,69.31%,767,499,1266
"District Judge, 176th Judicial District",0616,1352,970,2322,3378,68.74%,1565,632,2197
"District Judge, 176th Judicial District",0617,1318,849,2167,3546,61.11%,748,1322,2070
"District Judge, 176th Judicial District",0618,1920,1021,2941,5344,55.03%,1261,1548,2809
"District Judge, 176th Judicial District",0619,2133,857,2990,4266,70.09%,2172,672,2844
"District Judge, 176th Judicial District",0620,2382,856,3238,5271,61.43%,1526,1493,3019
"District Judge, 176th Judicial District",0621,397,203,600,1173,51.15%,290,278,568
"District Judge, 176th Judicial District",0622,1722,829,2551,4305,59.26%,1466,952,2418
"District Judge, 176th Judicial District",0623,1708,626,2334,3481,67.05%,1447,737,2184
"District Judge, 176th Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 176th Judicial District",0625,862,454,1316,1796,73.27%,726,478,1204
"District Judge, 176th Judicial District",0626,1148,655,1803,2838,63.53%,868,823,1691
"District Judge, 176th Judicial District",0627,795,547,1442,2964,48.65%,409,940,1349
"District Judge, 176th Judicial District",0628,292,456,748,1600,46.75%,306,396,702
"District Judge, 176th Judicial District",0629,175,127,302,629,48.01%,21,274,295
"District Judge, 176th Judicial District",0630,2018,535,2553,3190,80.03%,216,2240,2456
"District Judge, 176th Judicial District",0631,1489,392,1881,2733,68.83%,1310,467,1777
"District Judge, 176th Judicial District",0632,12,9,21,231,9.09%,5,13,18
"District Judge, 176th Judicial District",0633,1782,578,2460,3257,75.53%,1760,569,2329
"District Judge, 176th Judicial District",0634,1020,734,1754,2922,60.03%,1062,603,1665
"District Judge, 176th Judicial District",0635,1326,706,2032,3280,61.95%,1519,420,1939
"District Judge, 176th Judicial District",0636,1791,974,2765,3881,71.24%,2323,326,2649
"District Judge, 176th Judicial District",0637,739,509,1248,2471,50.51%,301,839,1140
"District Judge, 176th Judicial District",0638,740,684,1424,2078,68.53%,92,1271,1363
"District Judge, 176th Judicial District",0639,828,711,1539,2501,61.54%,1195,279,1474
"District Judge, 176th Judicial District",0640,1382,723,2105,3548,59.33%,1185,814,1999
"District Judge, 176th Judicial District",0641,1265,878,2143,3375,63.50%,1291,746,2037
"District Judge, 176th Judicial District",0642,871,447,1318,1779,74.09%,1059,190,1249
"District Judge, 176th Judicial District",0643,2157,994,3151,5310,59.34%,1200,1795,2995
"District Judge, 176th Judicial District",0644,2123,1204,3327,5261,63.24%,2051,1093,3144
"District Judge, 176th Judicial District",0645,1639,895,2534,4035,62.80%,1152,1235,2387
"District Judge, 176th Judicial District",0646,708,456,1164,2163,53.81%,342,758,1100
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0647,1770,1020,2790,5593,49.88%,682,1887,2569
"District Judge, 176th Judicial District",0648,1590,668,2258,3197,70.63%,1548,600,2148
"District Judge, 176th Judicial District",0649,1389,854,2243,4426,50.68%,603,1499,2102
"District Judge, 176th Judicial District",0650,1328,939,2267,3151,71.95%,1617,534,2151
"District Judge, 176th Judicial District",0651,2085,1070,3155,4931,63.98%,1941,1051,2992
"District Judge, 176th Judicial District",0652,1049,653,1702,2633,64.64%,270,1367,1637
"District Judge, 176th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 176th Judicial District",0654,2103,1344,3447,5765,59.79%,1714,1525,3239
