Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0282,690,591,1281,1988,64.44%,751,457,1208
"Justice, 1st Court of Appeals District, Place 7",0283,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0284,1136,595,1731,3262,53.07%,654,988,1642
"Justice, 1st Court of Appeals District, Place 7",0285,988,509,1497,2505,59.76%,103,1345,1448
"Justice, 1st Court of Appeals District, Place 7",0286,2658,1053,3711,5719,64.89%,316,3243,3559
"Justice, 1st Court of Appeals District, Place 7",0287,647,542,1189,1616,73.58%,621,484,1105
"Justice, 1st Court of Appeals District, Place 7",0288,1036,380,1416,2259,62.68%,22,1349,1371
"Justice, 1st Court of Appeals District, Place 7",0289,374,397,771,1510,51.06%,299,417,716
"Justice, 1st Court of Appeals District, Place 7",0290,577,429,1006,1567,64.20%,757,213,970
"Justice, 1st Court of Appeals District, Place 7",0291,541,298,839,1203,69.74%,402,377,779
"Justice, 1st Court of Appeals District, Place 7",0292,478,236,714,1272,56.13%,88,597,685
"Justice, 1st Court of Appeals District, Place 7",0293,620,557,1177,1733,67.92%,536,562,1098
"Justice, 1st Court of Appeals District, Place 7",0294,989,298,1287,2107,61.08%,12,1236,1248
"Justice, 1st Court of Appeals District, Place 7",0295,314,189,503,862,58.35%,5,486,491
"Justice, 1st Court of Appeals District, Place 7",0296,602,432,1034,1693,61.08%,574,363,937
"Justice, 1st Court of Appeals District, Place 7",0297,579,445,1024,1978,51.77%,377,579,956
"Justice, 1st Court of Appeals District, Place 7",0298,848,475,1323,2083,63.51%,714,521,1235
"Justice, 1st Court of Appeals District, Place 7",0299,328,213,541,1231,43.95%,168,339,507
"Justice, 1st Court of Appeals District, Place 7",0300,3014,922,3936,5040,78.10%,2995,722,3717
"Justice, 1st Court of Appeals District, Place 7",0301,450,655,1105,2397,46.10%,410,637,1047
"Justice, 1st Court of Appeals District, Place 7",0302,713,635,1348,2724,49.49%,705,560,1265
"Justice, 1st Court of Appeals District, Place 7",0303,1773,755,2528,3172,79.70%,1994,381,2375
"Justice, 1st Court of Appeals District, Place 7",0304,970,648,1618,2266,71.40%,913,566,1479
"Justice, 1st Court of Appeals District, Place 7",0305,1319,858,2177,3621,60.12%,790,1292,2082
"Justice, 1st Court of Appeals District, Place 7",0306,1013,323,1336,1847,72.33%,986,265,1251
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0307,1242,876,2118,2931,72.26%,1459,535,1994
"Justice, 1st Court of Appeals District, Place 7",0308,444,238,682,1266,53.87%,181,463,644
"Justice, 1st Court of Appeals District, Place 7",0309,1385,612,1997,2529,78.96%,1602,283,1885
"Justice, 1st Court of Appeals District, Place 7",0310,619,348,967,1437,67.29%,640,261,901
"Justice, 1st Court of Appeals District, Place 7",0311,862,699,1561,2997,52.09%,681,717,1398
"Justice, 1st Court of Appeals District, Place 7",0312,1600,718,2318,3669,63.18%,1265,918,2183
"Justice, 1st Court of Appeals District, Place 7",0313,22,1,23,60,38.33%,12,8,20
"Justice, 1st Court of Appeals District, Place 7",0314,2494,1221,3715,5225,71.10%,2238,1334,3572
"Justice, 1st Court of Appeals District, Place 7",0315,711,479,1190,1618,73.55%,693,403,1096
"Justice, 1st Court of Appeals District, Place 7",0316,682,411,1093,1522,71.81%,611,389,1000
"Justice, 1st Court of Appeals District, Place 7",0317,552,336,888,1469,60.45%,264,585,849
"Justice, 1st Court of Appeals District, Place 7",0318,1708,611,2319,3531,65.68%,90,2144,2234
"Justice, 1st Court of Appeals District, Place 7",0319,965,290,1255,2081,60.31%,73,1128,1201
"Justice, 1st Court of Appeals District, Place 7",0320,464,300,764,1505,50.76%,327,389,716
"Justice, 1st Court of Appeals District, Place 7",0321,442,306,748,2029,36.87%,244,463,707
"Justice, 1st Court of Appeals District, Place 7",0322,397,237,634,1322,47.96%,160,451,611
"Justice, 1st Court of Appeals District, Place 7",0323,482,332,814,1719,47.35%,334,421,755
"Justice, 1st Court of Appeals District, Place 7",0324,967,718,1685,2339,72.04%,1084,480,1564
"Justice, 1st Court of Appeals District, Place 7",0325,657,397,1054,2251,46.82%,232,770,1002
"Justice, 1st Court of Appeals District, Place 7",0326,202,128,330,678,48.67%,133,166,299
"Justice, 1st Court of Appeals District, Place 7",0327,726,244,970,1751,55.40%,13,923,936
"Justice, 1st Court of Appeals District, Place 7",0328,344,270,614,1361,45.11%,224,361,585
"Justice, 1st Court of Appeals District, Place 7",0329,405,307,712,1367,52.08%,217,447,664
"Justice, 1st Court of Appeals District, Place 7",0330,590,376,966,1849,52.24%,432,467,899
"Justice, 1st Court of Appeals District, Place 7",0331,0,1,1,0,0.00%,1,0,1
"Justice, 1st Court of Appeals District, Place 7",0332,23,4,27,128,21.09%,9,16,25
"Justice, 1st Court of Appeals District, Place 7",0333,1018,939,1957,2901,67.46%,1387,463,1850
"Justice, 1st Court of Appeals District, Place 7",0334,255,114,369,755,48.87%,74,280,354
"Justice, 1st Court of Appeals District, Place 7",0335,285,246,531,1227,43.28%,155,320,475
"Justice, 1st Court of Appeals District, Place 7",0336,1820,588,2408,3161,76.18%,217,2118,2335
"Justice, 1st Court of Appeals District, Place 7",0337,310,207,517,951,54.36%,82,421,503
"Justice, 1st Court of Appeals District, Place 7",0338,1541,824,2365,4673,50.61%,647,1559,2206
"Justice, 1st Court of Appeals District, Place 7",0339,369,373,742,1716,43.24%,150,524,674
"Justice, 1st Court of Appeals District, Place 7",0340,1778,833,2611,3717,70.24%,1897,548,2445
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0341,246,316,562,1248,45.03%,136,399,535
"Justice, 1st Court of Appeals District, Place 7",0342,2029,1113,3142,5718,54.95%,430,2613,3043
"Justice, 1st Court of Appeals District, Place 7",0343,436,483,919,1904,48.27%,221,612,833
"Justice, 1st Court of Appeals District, Place 7",0344,395,245,640,1207,53.02%,21,591,612
"Justice, 1st Court of Appeals District, Place 7",0345,428,357,785,1708,45.96%,162,583,745
"Justice, 1st Court of Appeals District, Place 7",0346,1,2,3,1,300.00%,3,0,3
"Justice, 1st Court of Appeals District, Place 7",0347,1250,614,1864,3299,56.50%,1136,643,1779
"Justice, 1st Court of Appeals District, Place 7",0348,751,280,1031,1740,59.25%,723,256,979
"Justice, 1st Court of Appeals District, Place 7",0349,405,407,812,1315,61.75%,466,307,773
"Justice, 1st Court of Appeals District, Place 7",0350,1115,780,1895,2906,65.21%,792,959,1751
"Justice, 1st Court of Appeals District, Place 7",0351,2495,793,3288,4537,72.47%,2574,584,3158
"Justice, 1st Court of Appeals District, Place 7",0352,1152,583,1735,3193,54.34%,1181,474,1655
"Justice, 1st Court of Appeals District, Place 7",0353,1544,703,2247,3697,60.78%,369,1788,2157
"Justice, 1st Court of Appeals District, Place 7",0354,1476,517,1993,3193,62.42%,436,1471,1907
"Justice, 1st Court of Appeals District, Place 7",0355,701,286,987,1384,71.32%,91,868,959
"Justice, 1st Court of Appeals District, Place 7",0356,1382,618,2000,2836,70.52%,1151,721,1872
"Justice, 1st Court of Appeals District, Place 7",0357,1633,709,2342,3371,69.47%,1708,516,2224
"Justice, 1st Court of Appeals District, Place 7",0358,740,464,1204,2297,52.42%,91,1070,1161
"Justice, 1st Court of Appeals District, Place 7",0359,706,482,1188,3008,39.49%,90,1052,1142
"Justice, 1st Court of Appeals District, Place 7",0360,971,515,1486,2190,67.85%,793,553,1346
"Justice, 1st Court of Appeals District, Place 7",0361,135,691,826,1585,52.11%,153,550,703
"Justice, 1st Court of Appeals District, Place 7",0362,2131,1200,3331,4952,67.27%,2383,771,3154
"Justice, 1st Court of Appeals District, Place 7",0363,1347,687,2034,3291,61.80%,876,1089,1965
"Justice, 1st Court of Appeals District, Place 7",0364,912,602,1514,2539,59.63%,752,687,1439
"Justice, 1st Court of Appeals District, Place 7",0365,735,245,980,1302,75.27%,87,859,946
"Justice, 1st Court of Appeals District, Place 7",0366,638,466,1104,2089,52.85%,224,840,1064
"Justice, 1st Court of Appeals District, Place 7",0367,328,212,540,1019,52.99%,93,427,520
"Justice, 1st Court of Appeals District, Place 7",0368,418,143,561,929,60.39%,148,394,542
"Justice, 1st Court of Appeals District, Place 7",0369,107,53,160,490,32.65%,57,96,153
"Justice, 1st Court of Appeals District, Place 7",0370,3144,1178,4322,5781,74.76%,3213,915,4128
"Justice, 1st Court of Appeals District, Place 7",0371,226,69,295,475,62.11%,7,279,286
"Justice, 1st Court of Appeals District, Place 7",0372,498,231,729,1215,60.00%,83,615,698
"Justice, 1st Court of Appeals District, Place 7",0373,61,16,77,159,48.43%,1,73,74
"Justice, 1st Court of Appeals District, Place 7",0374,139,187,326,748,43.58%,92,214,306
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0375,577,524,1101,2607,42.23%,444,592,1036
"Justice, 1st Court of Appeals District, Place 7",0376,629,334,963,1916,50.26%,391,513,904
"Justice, 1st Court of Appeals District, Place 7",0377,1055,707,1762,2871,61.37%,1280,371,1651
"Justice, 1st Court of Appeals District, Place 7",0378,559,521,1080,1777,60.78%,661,372,1033
"Justice, 1st Court of Appeals District, Place 7",0379,801,338,1139,2017,56.47%,90,1001,1091
"Justice, 1st Court of Appeals District, Place 7",0380,2502,1183,3685,4753,77.53%,2058,1455,3513
"Justice, 1st Court of Appeals District, Place 7",0381,957,424,1381,2715,50.87%,566,748,1314
"Justice, 1st Court of Appeals District, Place 7",0382,276,231,507,841,60.29%,349,135,484
"Justice, 1st Court of Appeals District, Place 7",0383,599,493,1092,2076,52.60%,326,712,1038
"Justice, 1st Court of Appeals District, Place 7",0384,1173,505,1678,2596,64.64%,334,1280,1614
"Justice, 1st Court of Appeals District, Place 7",0385,1099,621,1720,2175,79.08%,1299,298,1597
"Justice, 1st Court of Appeals District, Place 7",0386,1464,460,1924,2872,66.99%,1366,478,1844
"Justice, 1st Court of Appeals District, Place 7",0387,1369,802,2171,3727,58.25%,1465,595,2060
"Justice, 1st Court of Appeals District, Place 7",0388,2780,1222,4002,5329,75.10%,2202,1634,3836
"Justice, 1st Court of Appeals District, Place 7",0389,285,261,546,975,56.00%,88,425,513
"Justice, 1st Court of Appeals District, Place 7",0390,644,368,1012,1565,64.66%,122,841,963
"Justice, 1st Court of Appeals District, Place 7",0391,856,355,1211,1805,67.09%,763,383,1146
"Justice, 1st Court of Appeals District, Place 7",0392,737,197,934,1441,64.82%,9,905,914
"Justice, 1st Court of Appeals District, Place 7",0393,346,318,664,1206,55.06%,286,338,624
"Justice, 1st Court of Appeals District, Place 7",0394,166,176,342,860,39.77%,136,186,322
"Justice, 1st Court of Appeals District, Place 7",0395,830,491,1321,1820,72.58%,916,320,1236
"Justice, 1st Court of Appeals District, Place 7",0396,1157,219,1376,2073,66.38%,13,1319,1332
"Justice, 1st Court of Appeals District, Place 7",0397,163,148,311,750,41.47%,115,174,289
"Justice, 1st Court of Appeals District, Place 7",0398,1439,840,2279,3816,59.72%,1090,1088,2178
"Justice, 1st Court of Appeals District, Place 7",0399,897,593,1490,2542,58.62%,717,720,1437
"Justice, 1st Court of Appeals District, Place 7",0400,1051,506,1557,2238,69.57%,1110,360,1470
"Justice, 1st Court of Appeals District, Place 7",0401,723,284,1007,1876,53.68%,38,941,979
"Justice, 1st Court of Appeals District, Place 7",0402,892,245,1137,1737,65.46%,54,1050,1104
"Justice, 1st Court of Appeals District, Place 7",0403,791,527,1318,1703,77.39%,747,440,1187
"Justice, 1st Court of Appeals District, Place 7",0404,778,552,1330,2589,51.37%,672,592,1264
"Justice, 1st Court of Appeals District, Place 7",0405,0,1,1,0,0.00%,0,1,1
"Justice, 1st Court of Appeals District, Place 7",0406,281,72,353,610,57.87%,7,331,338
"Justice, 1st Court of Appeals District, Place 7",0407,1317,1000,2317,3652,63.44%,1449,710,2159
"Justice, 1st Court of Appeals District, Place 7",0408,154,179,333,933,35.69%,140,172,312
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0409,277,289,566,1371,41.28%,166,363,529
"Justice, 1st Court of Appeals District, Place 7",0410,337,102,439,849,51.71%,80,344,424
"Justice, 1st Court of Appeals District, Place 7",0411,542,462,1004,2302,43.61%,289,647,936
"Justice, 1st Court of Appeals District, Place 7",0412,193,74,267,433,61.66%,12,246,258
"Justice, 1st Court of Appeals District, Place 7",0413,1493,525,2018,3023,66.75%,758,1141,1899
"Justice, 1st Court of Appeals District, Place 7",0414,1452,593,2045,3457,59.16%,1433,481,1914
"Justice, 1st Court of Appeals District, Place 7",0415,950,633,1583,2124,74.53%,1087,400,1487
"Justice, 1st Court of Appeals District, Place 7",0416,1177,916,2093,3582,58.43%,1060,908,1968
"Justice, 1st Court of Appeals District, Place 7",0417,777,619,1396,2465,56.63%,603,717,1320
"Justice, 1st Court of Appeals District, Place 7",0418,1057,758,1815,3420,53.07%,666,1052,1718
"Justice, 1st Court of Appeals District, Place 7",0419,1006,578,1584,2697,58.73%,999,503,1502
"Justice, 1st Court of Appeals District, Place 7",0420,2174,1089,3263,4639,70.34%,2621,473,3094
"Justice, 1st Court of Appeals District, Place 7",0421,124,92,216,467,46.25%,44,164,208
"Justice, 1st Court of Appeals District, Place 7",0422,1456,585,2041,3345,61.02%,43,1939,1982
"Justice, 1st Court of Appeals District, Place 7",0423,190,309,499,894,55.82%,201,263,464
"Justice, 1st Court of Appeals District, Place 7",0424,435,1,57,592,888,66.67%,336,239,575
"Justice, 1st Court of Appeals District, Place 7",0425,227,234,461,875,52.69%,145,288,433
"Justice, 1st Court of Appeals District, Place 7",0426,415,283,698,1224,57.03%,388,250,638
"Justice, 1st Court of Appeals District, Place 7",0427,325,249,574,1115,51.48%,208,327,535
"Justice, 1st Court of Appeals District, Place 7",0428,1284,907,2191,4316,50.76%,639,1412,2051
"Justice, 1st Court of Appeals District, Place 7",0429,1093,777,1870,3929,47.59%,342,1382,1724
"Justice, 1st Court of Appeals District, Place 7",0430,405,335,740,1654,44.74%,148,534,682
"Justice, 1st Court of Appeals District, Place 7",0431,820,403,1223,3188,38.36%,319,831,1150
"Justice, 1st Court of Appeals District, Place 7",0432,312,271,583,1344,43.38%,161,395,556
"Justice, 1st Court of Appeals District, Place 7",0433,139,106,245,573,42.76%,44,188,232
"Justice, 1st Court of Appeals District, Place 7",0434,628,371,999,1386,72.08%,627,309,936
"Justice, 1st Court of Appeals District, Place 7",0435,1534,768,2302,3097,74.33%,1492,655,2147
"Justice, 1st Court of Appeals District, Place 7",0436,1334,709,2043,3012,67.83%,1206,691,1897
"Justice, 1st Court of Appeals District, Place 7",0437,951,542,1493,2007,74.39%,1053,344,1397
"Justice, 1st Court of Appeals District, Place 7",0438,1046,387,1433,1802,79.52%,1053,263,1316
"Justice, 1st Court of Appeals District, Place 7",0439,1526,905,2431,3416,71.17%,1717,544,2261
"Justice, 1st Court of Appeals District, Place 7",0440,1326,876,2202,2867,76.81%,1718,331,2049
"Justice, 1st Court of Appeals District, Place 7",0441,698,513,1211,1616,74.94%,883,250,1133
"Justice, 1st Court of Appeals District, Place 7",0442,1366,513,1879,2504,75.04%,1522,268,1790
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0443,335,148,483,605,79.83%,354,96,450
"Justice, 1st Court of Appeals District, Place 7",0444,1258,731,1989,3172,62.70%,1177,673,1850
"Justice, 1st Court of Appeals District, Place 7",0445,860,443,1303,1938,67.23%,795,425,1220
"Justice, 1st Court of Appeals District, Place 7",0446,70,52,122,268,45.52%,44,71,115
"Justice, 1st Court of Appeals District, Place 7",0447,271,108,379,583,65.01%,121,229,350
"Justice, 1st Court of Appeals District, Place 7",0448,1239,869,2108,3081,68.42%,1222,716,1938
"Justice, 1st Court of Appeals District, Place 7",0449,62,37,99,164,60.37%,12,81,93
"Justice, 1st Court of Appeals District, Place 7",0450,856,537,1393,2622,53.13%,353,977,1330
"Justice, 1st Court of Appeals District, Place 7",0451,1575,515,2090,2674,78.16%,1670,321,1991
"Justice, 1st Court of Appeals District, Place 7",0452,1109,639,1748,2810,62.21%,1272,407,1679
"Justice, 1st Court of Appeals District, Place 7",0453,559,475,1034,1885,54.85%,334,637,971
"Justice, 1st Court of Appeals District, Place 7",0454,1227,311,1538,2571,59.82%,10,1484,1494
"Justice, 1st Court of Appeals District, Place 7",0455,748,216,964,1679,57.42%,28,900,928
"Justice, 1st Court of Appeals District, Place 7",0456,1266,593,1859,3350,55.49%,965,794,1759
"Justice, 1st Court of Appeals District, Place 7",0457,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 7",0458,909,271,1180,1893,62.33%,54,1082,1136
"Justice, 1st Court of Appeals District, Place 7",0459,1637,476,2113,2950,71.63%,1646,355,2001
"Justice, 1st Court of Appeals District, Place 7",0460,1250,402,1652,2346,70.42%,421,1166,1587
"Justice, 1st Court of Appeals District, Place 7",0461,1959,828,2787,3733,74.66%,1807,768,2575
"Justice, 1st Court of Appeals District, Place 7",0462,1319,865,2184,3367,64.86%,782,1258,2040
"Justice, 1st Court of Appeals District, Place 7",0463,1124,656,1780,2962,60.09%,704,986,1690
"Justice, 1st Court of Appeals District, Place 7",0464,787,612,1399,2126,65.80%,942,381,1323
"Justice, 1st Court of Appeals District, Place 7",0465,1465,702,2167,3343,64.82%,1131,970,2101
"Justice, 1st Court of Appeals District, Place 7",0466,2052,729,2781,4072,68.30%,1544,1125,2669
"Justice, 1st Court of Appeals District, Place 7",0467,478,229,707,1230,57.48%,163,512,675
"Justice, 1st Court of Appeals District, Place 7",0468,985,793,1778,3354,53.01%,488,1191,1679
"Justice, 1st Court of Appeals District, Place 7",0469,2039,638,2677,3779,70.84%,2061,478,2539
"Justice, 1st Court of Appeals District, Place 7",0470,443,323,766,1349,56.78%,522,197,719
"Justice, 1st Court of Appeals District, Place 7",0471,792,597,1389,2349,59.13%,1043,287,1330
"Justice, 1st Court of Appeals District, Place 7",0472,371,337,708,1027,68.94%,351,291,642
"Justice, 1st Court of Appeals District, Place 7",0473,914,442,1356,1827,74.22%,927,335,1262
"Justice, 1st Court of Appeals District, Place 7",0474,1146,766,1912,3006,63.61%,1300,506,1806
"Justice, 1st Court of Appeals District, Place 7",0475,485,473,958,1651,58.03%,396,502,898
"Justice, 1st Court of Appeals District, Place 7",0476,809,658,1467,2412,60.82%,812,584,1396
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0477,1441,742,2183,3195,68.33%,1608,483,2091
"Justice, 1st Court of Appeals District, Place 7",0478,1959,898,2857,4150,68.84%,1855,850,2705
"Justice, 1st Court of Appeals District, Place 7",0479,1298,588,1886,2648,71.22%,1365,435,1800
"Justice, 1st Court of Appeals District, Place 7",0480,935,555,1491,2267,65.77%,1023,386,1409
"Justice, 1st Court of Appeals District, Place 7",0481,1464,852,2316,3298,70.22%,1693,501,2194
"Justice, 1st Court of Appeals District, Place 7",0482,1964,836,2800,4129,67.81%,1900,779,2679
"Justice, 1st Court of Appeals District, Place 7",0483,1868,759,2627,4141,63.44%,1389,1112,2501
"Justice, 1st Court of Appeals District, Place 7",0484,2237,1008,3245,4594,70.64%,2266,829,3095
"Justice, 1st Court of Appeals District, Place 7",0485,2421,990,3411,4838,70.50%,2505,774,3279
"Justice, 1st Court of Appeals District, Place 7",0486,1843,805,2648,3572,74.13%,2041,487,2528
"Justice, 1st Court of Appeals District, Place 7",0487,1005,612,1617,3318,48.73%,462,1022,1484
"Justice, 1st Court of Appeals District, Place 7",0488,580,440,1020,1713,59.54%,339,610,949
"Justice, 1st Court of Appeals District, Place 7",0489,784,378,1162,1823,63.74%,328,761,1089
"Justice, 1st Court of Appeals District, Place 7",0490,877,439,1316,1944,67.70%,481,754,1235
"Justice, 1st Court of Appeals District, Place 7",0491,557,489,1156,1782,64.87%,660,419,1079
"Justice, 1st Court of Appeals District, Place 7",0492,1070,504,1574,2351,66.95%,819,653,1472
"Justice, 1st Court of Appeals District, Place 7",0493,858,400,1258,1804,69.73%,799,374,1173
"Justice, 1st Court of Appeals District, Place 7",0494,761,431,1192,2176,54.78%,148,1004,1152
"Justice, 1st Court of Appeals District, Place 7",0495,1120,494,1614,2284,70.67%,1126,398,1524
"Justice, 1st Court of Appeals District, Place 7",0496,496,571,1067,2086,51.15%,390,611,1001
"Justice, 1st Court of Appeals District, Place 7",0497,1124,303,1427,2226,64.11%,50,1328,1378
"Justice, 1st Court of Appeals District, Place 7",0498,759,499,1258,2123,59.26%,515,684,1199
"Justice, 1st Court of Appeals District, Place 7",0499,1301,517,1818,2304,78.91%,1309,394,1703
"Justice, 1st Court of Appeals District, Place 7",0500,1507,746,2253,3175,70.96%,1529,621,2150
"Justice, 1st Court of Appeals District, Place 7",0501,653,487,1140,1647,69.22%,448,602,1050
"Justice, 1st Court of Appeals District, Place 7",0502,1151,332,1483,2364,62.73%,1119,282,1401
"Justice, 1st Court of Appeals District, Place 7",0503,359,273,632,1363,46.37%,198,387,585
"Justice, 1st Court of Appeals District, Place 7",0504,1129,538,1667,2197,75.88%,1091,481,1572
"Justice, 1st Court of Appeals District, Place 7",0505,1209,829,2038,3654,55.77%,888,1012,1900
"Justice, 1st Court of Appeals District, Place 7",0506,1471,801,2272,3380,67.22%,372,1818,2190
"Justice, 1st Court of Appeals District, Place 7",0507,582,385,967,2435,39.71%,156,681,837
"Justice, 1st Court of Appeals District, Place 7",0508,946,760,1706,3248,52.52%,537,1025,1562
"Justice, 1st Court of Appeals District, Place 7",0509,1340,864,2204,3536,62.33%,1512,580,2092
"Justice, 1st Court of Appeals District, Place 7",0510,1492,582,2174,3511,61.92%,954,1097,2051
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0511,0,6,6,0,0.00%,1,5,6
"Justice, 1st Court of Appeals District, Place 7",0512,1560,1127,2687,4582,58.64%,1193,1378,2571
"Justice, 1st Court of Appeals District, Place 7",0513,1605,507,2112,2752,76.74%,1570,431,2001
"Justice, 1st Court of Appeals District, Place 7",0514,1967,860,2827,3941,71.73%,2047,655,2702
"Justice, 1st Court of Appeals District, Place 7",0515,1692,708,2400,3173,75.64%,1888,392,2280
"Justice, 1st Court of Appeals District, Place 7",0516,2179,1066,3245,4934,65.77%,1565,1501,3066
"Justice, 1st Court of Appeals District, Place 7",0517,1208,653,1861,3320,56.05%,957,803,1760
"Justice, 1st Court of Appeals District, Place 7",0518,1478,919,2397,3755,63.83%,1470,792,2262
"Justice, 1st Court of Appeals District, Place 7",0519,1234,645,1879,2951,63.67%,1336,462,1798
"Justice, 1st Court of Appeals District, Place 7",0520,1542,857,2399,4064,59.03%,375,1934,2309
"Justice, 1st Court of Appeals District, Place 7",0521,1014,694,1708,2725,62.68%,846,778,1624
"Justice, 1st Court of Appeals District, Place 7",0522,1171,658,1829,2682,68.20%,1334,397,1731
"Justice, 1st Court of Appeals District, Place 7",0523,1339,689,2028,3060,66.27%,1321,568,1889
"Justice, 1st Court of Appeals District, Place 7",0524,1238,675,1913,3292,58.11%,572,1262,1834
"Justice, 1st Court of Appeals District, Place 7",0525,1381,610,1991,2947,67.56%,396,1495,1891
"Justice, 1st Court of Appeals District, Place 7",0526,167,171,338,731,46.24%,77,243,320
"Justice, 1st Court of Appeals District, Place 7",0527,80,24,104,569,18.28%,46,51,97
"Justice, 1st Court of Appeals District, Place 7",0528,36,12,48,92,52.17%,3,44,47
"Justice, 1st Court of Appeals District, Place 7",0529,1988,441,2429,3616,67.17%,2010,313,2323
"Justice, 1st Court of Appeals District, Place 7",0530,259,235,494,1196,41.30%,102,356,458
"Justice, 1st Court of Appeals District, Place 7",0531,672,113,785,1094,71.76%,599,137,736
"Justice, 1st Court of Appeals District, Place 7",0532,452,184,636,1039,61.21%,423,186,609
"Justice, 1st Court of Appeals District, Place 7",0533,317,207,524,1069,49.02%,260,237,497
"Justice, 1st Court of Appeals District, Place 7",0534,1658,675,2333,3795,61.48%,1668,551,2219
"Justice, 1st Court of Appeals District, Place 7",0535,80,94,174,421,41.33%,61,102,163
"Justice, 1st Court of Appeals District, Place 7",0536,1332,1195,2527,4576,55.22%,914,1493,2407
"Justice, 1st Court of Appeals District, Place 7",0537,1454,823,2277,2971,76.64%,1658,505,2163
"Justice, 1st Court of Appeals District, Place 7",0538,433,237,670,1282,52.26%,18,628,646
"Justice, 1st Court of Appeals District, Place 7",0539,26,209,235,71,330.99%,45,164,209
"Justice, 1st Court of Appeals District, Place 7",0540,666,380,1046,1491,70.15%,463,486,949
"Justice, 1st Court of Appeals District, Place 7",0541,1826,779,2605,4183,62.28%,354,2136,2490
"Justice, 1st Court of Appeals District, Place 7",0542,997,501,1498,2525,59.33%,81,1367,1448
"Justice, 1st Court of Appeals District, Place 7",0543,287,378,665,1528,43.52%,205,419,624
"Justice, 1st Court of Appeals District, Place 7",0544,92,53,145,318,45.60%,15,125,140
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0545,1314,857,2171,3339,65.02%,1011,1053,2064
"Justice, 1st Court of Appeals District, Place 7",0546,4,4,8,30,26.67%,2,6,8
"Justice, 1st Court of Appeals District, Place 7",0547,877,647,1524,2408,63.29%,1028,421,1449
"Justice, 1st Court of Appeals District, Place 7",0548,720,476,1196,2129,56.18%,522,618,1140
"Justice, 1st Court of Appeals District, Place 7",0549,944,586,1530,2530,60.47%,201,1268,1469
"Justice, 1st Court of Appeals District, Place 7",0550,1134,629,1763,2847,61.92%,858,841,1699
"Justice, 1st Court of Appeals District, Place 7",0551,3088,1527,4615,6135,75.22%,3292,1103,4395
"Justice, 1st Court of Appeals District, Place 7",0552,1621,844,2465,3241,76.06%,2020,338,2358
"Justice, 1st Court of Appeals District, Place 7",0553,1465,951,2416,4355,55.48%,1025,1286,2311
"Justice, 1st Court of Appeals District, Place 7",0554,562,340,902,1731,52.11%,138,707,845
"Justice, 1st Court of Appeals District, Place 7",0555,598,447,1045,2119,49.32%,175,820,995
"Justice, 1st Court of Appeals District, Place 7",0556,584,421,1005,2249,44.69%,209,748,957
"Justice, 1st Court of Appeals District, Place 7",0557,822,556,1378,2726,50.55%,428,844,1272
"Justice, 1st Court of Appeals District, Place 7",0558,1589,824,2413,4084,59.08%,753,1541,2294
"Justice, 1st Court of Appeals District, Place 7",0559,1787,899,2686,4633,57.98%,628,1914,2542
"Justice, 1st Court of Appeals District, Place 7",0560,172,289,461,1176,39.20%,86,338,424
"Justice, 1st Court of Appeals District, Place 7",0561,837,759,1596,3033,52.62%,872,642,1514
"Justice, 1st Court of Appeals District, Place 7",0562,201,146,347,645,53.80%,25,306,331
