Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Parker Hervey,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 7",0299,328,213,541,1231,43.95%,216,92,308
"Judge, Court of Criminal Appeals, Place 7",0300,3017,922,3939,5040,78.15%,3081,352,3433
"Judge, Court of Criminal Appeals, Place 7",0301,450,655,1105,2397,46.10%,483,153,636
"Judge, Court of Criminal Appeals, Place 7",0302,713,635,1348,2724,49.49%,759,180,939
"Judge, Court of Criminal Appeals, Place 7",0303,1775,755,2530,3172,79.76%,2061,186,2247
"Judge, Court of Criminal Appeals, Place 7",0304,970,648,1618,2266,71.40%,1002,235,1237
"Judge, Court of Criminal Appeals, Place 7",0305,1321,858,2179,3621,60.18%,935,486,1421
"Judge, Court of Criminal Appeals, Place 7",0306,1014,323,1337,1847,72.39%,1022,125,1147
"Judge, Court of Criminal Appeals, Place 7",0307,1242,876,2118,2931,72.26%,1495,272,1767
"Judge, Court of Criminal Appeals, Place 7",0308,444,238,682,1266,53.87%,236,139,375
"Judge, Court of Criminal Appeals, Place 7",0309,1386,612,1998,2529,79.00%,1651,123,1774
"Judge, Court of Criminal Appeals, Place 7",0310,619,348,967,1437,67.29%,677,103,780
"Judge, Court of Criminal Appeals, Place 7",0311,862,699,1561,2997,52.09%,769,259,1028
"Judge, Court of Criminal Appeals, Place 7",0312,1601,718,2319,3669,63.21%,1369,415,1784
"Judge, Court of Criminal Appeals, Place 7",0313,22,1,23,60,38.33%,11,4,15
"Judge, Court of Criminal Appeals, Place 7",0314,2496,1221,3717,5225,71.14%,2394,575,2969
"Judge, Court of Criminal Appeals, Place 7",0315,711,479,1190,1618,73.55%,774,147,921
"Judge, Court of Criminal Appeals, Place 7",0316,682,411,1093,1522,71.81%,686,161,847
"Judge, Court of Criminal Appeals, Place 7",0317,555,336,891,1469,60.65%,336,232,568
"Judge, Court of Criminal Appeals, Place 7",0318,1709,611,2320,3531,65.70%,245,597,842
"Judge, Court of Criminal Appeals, Place 7",0319,965,290,1255,2081,60.31%,146,341,487
"Judge, Court of Criminal Appeals, Place 7",0320,464,300,764,1505,50.76%,383,110,493
"Judge, Court of Criminal Appeals, Place 7",0321,442,306,748,2029,36.87%,312,122,434
"Judge, Court of Criminal Appeals, Place 7",0322,397,237,634,1322,47.96%,198,131,329
"Judge, Court of Criminal Appeals, Place 7",0323,483,332,815,1719,47.41%,375,195,570
"Judge, Court of Criminal Appeals, Place 7",0324,967,718,1685,2339,72.04%,1144,230,1374
"Judge, Court of Criminal Appeals, Place 7",0325,658,397,1055,2251,46.87%,283,208,491
"Judge, Court of Criminal Appeals, Place 7",0326,202,128,330,678,48.67%,171,47,218
"Judge, Court of Criminal Appeals, Place 7",0327,726,244,970,1751,55.40%,46,176,222
"Judge, Court of Criminal Appeals, Place 7",0328,345,270,615,1361,45.19%,280,97,377
"Judge, Court of Criminal Appeals, Place 7",0329,405,307,712,1367,52.08%,289,147,436
"Judge, Court of Criminal Appeals, Place 7",0330,591,376,967,1849,52.30%,481,204,685
"Judge, Court of Criminal Appeals, Place 7",0331,0,1,1,0,0.00%,1,0,1
"Judge, Court of Criminal Appeals, Place 7",0332,24,4,28,128,21.88%,9,5,14
"Judge, Court of Criminal Appeals, Place 7",0333,1019,939,1958,2901,67.49%,1406,245,1651
"Judge, Court of Criminal Appeals, Place 7",0334,255,114,369,755,48.87%,90,86,176
"Judge, Court of Criminal Appeals, Place 7",0335,285,246,531,1227,43.28%,186,116,302
"Judge, Court of Criminal Appeals, Place 7",0336,1825,588,2413,3161,76.34%,364,748,1112
"Judge, Court of Criminal Appeals, Place 7",0337,310,207,517,951,54.36%,120,136,256
"Judge, Court of Criminal Appeals, Place 7",0338,1543,824,2367,4673,50.65%,780,462,1242
"Judge, Court of Criminal Appeals, Place 7",0339,369,373,742,1716,43.24%,202,161,363
"Judge, Court of Criminal Appeals, Place 7",0340,1779,833,2612,3717,70.27%,1951,296,2247
"Judge, Court of Criminal Appeals, Place 7",0341,248,318,582,1248,45.03%,185,120,305
"Judge, Court of Criminal Appeals, Place 7",0342,2031,1113,3144,5718,54.98%,847,705,1352
"Judge, Court of Criminal Appeals, Place 7",0343,438,483,919,1904,48.27%,315,188,501
"Judge, Court of Criminal Appeals, Place 7",0344,395,245,840,1207,53.02%,53,115,188
"Judge, Court of Criminal Appeals, Place 7",0345,430,357,787,1708,48.08%,217,241,458
"Judge, Court of Criminal Appeals, Place 7",0348,1,2,3,1,300.00%,3,0,3
"Judge, Court of Criminal Appeals, Place 7",0347,1250,814,1884,3299,58.50%,1220,211,1431
"Judge, Court of Criminal Appeals, Place 7",0348,753,280,1033,1740,59.37%,743,98,839
"Judge, Court of Criminal Appeals, Place 7",0349,407,407,814,1315,81.90%,488,138,824
"Judge, Court of Criminal Appeals, Place 7",0350,1120,780,1900,2908,85.38%,941,470,1411
"Judge, Court of Criminal Appeals, Place 7",0351,2495,793,3288,4537,72.47%,2850,284,2914
"Judge, Court of Criminal Appeals, Place 7",0352,1152,583,1735,3193,54.34%,1217,178,1395
"Judge, Court of Criminal Appeals, Place 7",0353,1544,703,2247,3897,80.78%,528,393,921
"Judge, Court of Criminal Appeals, Place 7",0354,1477,517,1994,3193,82.45%,572,399,971
"Judge, Court of Criminal Appeals, Place 7",0355,703,288,989,1384,71.48%,139,254,393
"Judge, Court of Criminal Appeals, Place 7",0358,1383,818,2001,2838,70.58%,1229,318,1547
"Judge, Court of Criminal Appeals, Place 7",0357,1833,709,2342,3371,89.47%,1747,290,2037
"Judge, Court of Criminal Appeals, Place 7",0358,742,484,1208,2297,52.50%,154,281,415
"Judge, Court of Criminal Appeals, Place 7",0359,707,482,1189,3008,39.53%,181,317,478
"Judge, Court of Criminal Appeals, Place 7",0380,973,515,1488,2190,87.95%,855,283,1118
"Judge, Court of Criminal Appeals, Place 7",0381,135,591,827,1585,52.18%,249,329,578
"Judge, Court of Criminal Appeals, Place 7",0382,2132,1200,3332,4952,87.29%,2482,349,2831
"Judge, Court of Criminal Appeals, Place 7",0383,1348,887,2035,3291,81.84%,978,352,1328
"Judge, Court of Criminal Appeals, Place 7",0384,913,802,1515,2539,59.87%,833,284,1097
"Judge, Court of Criminal Appeals, Place 7",0385,735,245,980,1302,75.27%,137,208,343
"Judge, Court of Criminal Appeals, Place 7",0388,838,488,1104,2089,52.85%,309,230,539
"Judge, Court of Criminal Appeals, Place 7",0387,328,212,540,1019,52.99%,114,134,248
"Judge, Court of Criminal Appeals, Place 7",0388,418,143,581,929,80.39%,180,121,301
"Judge, Court of Criminal Appeals, Place 7",0389,108,53,181,490,32.88%,89,37,108
"Judge, Court of Criminal Appeals, Place 7",0370,3145,1178,4323,5781,74.78%,3307,431,3738
"Judge, Court of Criminal Appeals, Place 7",0371,228,89,295,475,82.11%,14,48,80
"Judge, Court of Criminal Appeals, Place 7",0372,499,231,730,1215,80.08%,130,208,338
"Judge, Court of Criminal Appeals, Place 7",0373,81,18,77,159,48.43%,8,10,18
"Judge, Court of Criminal Appeals, Place 7",0374,139,187,328,748,43.58%,129,52,181
"Judge, Court of Criminal Appeals, Place 7",0375,578,524,1102,2607,42.27%,540,154,694
"Judge, Court of Criminal Appeals, Place 7",0376,630,334,964,1916,50.31%,452,138,590
"Judge, Court of Criminal Appeals, Place 7",0377,1055,707,1762,2871,61.37%,1322,161,1483
"Judge, Court of Criminal Appeals, Place 7",0378,559,521,1080,1777,60.78%,707,165,872
"Judge, Court of Criminal Appeals, Place 7",0379,802,338,1140,2017,56.52%,142,261,403
"Judge, Court of Criminal Appeals, Place 7",0380,2505,1183,3688,4753,77.59%,2242,588,2830
"Judge, Court of Criminal Appeals, Place 7",0381,957,424,1381,2715,50.87%,647,265,912
"Judge, Court of Criminal Appeals, Place 7",0382,276,231,507,841,60.29%,360,55,415
"Judge, Court of Criminal Appeals, Place 7",0383,601,493,1094,2076,52.70%,379,189,568
"Judge, Court of Criminal Appeals, Place 7",0384,1176,505,1681,2596,64.75%,438,389,827
"Judge, Court of Criminal Appeals, Place 7",0385,1099,621,1720,2175,79.08%,1361,125,1486
"Judge, Court of Criminal Appeals, Place 7",0386,1466,460,1926,2872,67.06%,1408,181,1589
"Judge, Court of Criminal Appeals, Place 7",0387,1369,802,2171,3727,58.25%,1514,203,1717
"Judge, Court of Criminal Appeals, Place 7",0388,2780,1222,4002,5329,75.10%,2359,656,3015
"Judge, Court of Criminal Appeals, Place 7",0389,290,261,551,975,56.51%,121,186,307
"Judge, Court of Criminal Appeals, Place 7",0390,651,368,1019,1565,65.11%,178,302,480
"Judge, Court of Criminal Appeals, Place 7",0391,856,355,1211,1805,67.09%,818,139,957
"Judge, Court of Criminal Appeals, Place 7",0392,737,197,934,1441,64.82%,52,174,226
"Judge, Court of Criminal Appeals, Place 7",0393,346,318,664,1206,55.06%,330,145,475
"Judge, Court of Criminal Appeals, Place 7",0394,166,176,342,860,39.77%,150,58,208
"Judge, Court of Criminal Appeals, Place 7",0395,830,491,1321,1820,72.58%,942,188,1130
"Judge, Court of Criminal Appeals, Place 7",0396,1158,219,1377,2073,66.43%,55,206,261
"Judge, Court of Criminal Appeals, Place 7",0397,163,148,311,750,41.47%,138,49,187
"Judge, Court of Criminal Appeals, Place 7",0398,1443,840,2283,3816,59.83%,1226,432,1658
"Judge, Court of Criminal Appeals, Place 7",0399,897,593,1490,2542,58.62%,778,246,1024
"Judge, Court of Criminal Appeals, Place 7",0400,1052,506,1558,2238,69.62%,1155,153,1308
"Judge, Court of Criminal Appeals, Place 7",0401,724,284,1008,1876,53.73%,81,170,251
"Judge, Court of Criminal Appeals, Place 7",0402,892,245,1137,1737,65.46%,102,257,359
"Judge, Court of Criminal Appeals, Place 7",0403,792,527,1319,1703,77.45%,828,185,1013
"Judge, Court of Criminal Appeals, Place 7",0404,778,552,1330,2589,51.37%,733,168,901
"Judge, Court of Criminal Appeals, Place 7",0405,0,1,1,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0406,282,72,354,610,58.03%,17,64,81
"Judge, Court of Criminal Appeals, Place 7",0407,1320,1000,2320,3652,63.53%,1557,323,1880
"Judge, Court of Criminal Appeals, Place 7",0408,154,179,333,933,35.69%,153,54,207
"Judge, Court of Criminal Appeals, Place 7",0409,277,289,566,1371,41.28%,218,102,320
"Judge, Court of Criminal Appeals, Place 7",0410,337,102,439,849,51.71%,103,83,186
"Judge, Court of Criminal Appeals, Place 7",0411,542,462,1004,2302,43.61%,366,155,521
"Judge, Court of Criminal Appeals, Place 7",0412,193,74,267,433,61.66%,22,44,66
"Judge, Court of Criminal Appeals, Place 7",0413,1493,525,2018,3023,66.75%,871,306,1177
"Judge, Court of Criminal Appeals, Place 7",0414,1453,593,2046,3457,59.18%,1467,221,1688
"Judge, Court of Criminal Appeals, Place 7",0415,951,633,1584,2124,74.58%,1124,176,1300
"Judge, Court of Criminal Appeals, Place 7",0416,1181,916,2097,3582,58.54%,1143,394,1537
"Judge, Court of Criminal Appeals, Place 7",0417,777,619,1396,2465,56.63%,680,257,937
"Judge, Court of Criminal Appeals, Place 7",0418,1059,758,1817,3420,53.13%,773,352,1125
"Judge, Court of Criminal Appeals, Place 7",0419,1006,578,1584,2697,58.73%,1059,176,1235
"Judge, Court of Criminal Appeals, Place 7",0420,2174,1089,3263,4639,70.34%,2637,242,2879
"Judge, Court of Criminal Appeals, Place 7",0421,124,92,216,467,46.25%,56,56,112
"Judge, Court of Criminal Appeals, Place 7",0422,1456,585,2041,3345,61.02%,124,434,558
"Judge, Court of Criminal Appeals, Place 7",0423,190,309,499,894,55.82%,233,53,286
"Judge, Court of Criminal Appeals, Place 7",0424,435,157,592,888,66.67%,367,118,485
"Judge, Court of Criminal Appeals, Place 7",0425,228,234,462,875,52.80%,169,104,273
"Judge, Court of Criminal Appeals, Place 7",0426,415,283,698,1224,57.03%,419,84,503
"Judge, Court of Criminal Appeals, Place 7",0427,325,249,574,1115,51.48%,233,116,349
"Judge, Court of Criminal Appeals, Place 7",0428,1284,907,2191,4316,50.76%,779,359,1138
"Judge, Court of Criminal Appeals, Place 7",0429,1093,777,1870,3929,47.59%,443,424,867
"Judge, Court of Criminal Appeals, Place 7",0430,406,335,741,1654,44.80%,178,164,342
"Judge, Court of Criminal Appeals, Place 7",0431,824,403,1227,3188,38.49%,383,300,683
"Judge, Court of Criminal Appeals, Place 7",0432,312,271,583,1344,43.38%,186,171,357
"Judge, Court of Criminal Appeals, Place 7",0433,139,106,245,573,42.76%,54,68,122
"Judge, Court of Criminal Appeals, Place 7",0434,633,371,1004,1386,72.44%,668,172,840
"Judge, Court of Criminal Appeals, Place 7",0435,1537,768,2305,3097,74.43%,1587,286,1873
"Judge, Court of Criminal Appeals, Place 7",0436,1342,709,2051,3012,68.09%,1325,326,1651
"Judge, Court of Criminal Appeals, Place 7",0437,952,542,1494,2007,74.44%,1088,159,1247
"Judge, Court of Criminal Appeals, Place 7",0438,1047,387,1434,1802,79.58%,1113,109,1222
"Judge, Court of Criminal Appeals, Place 7",0439,1527,905,2432,3416,71.19%,1799,263,2062
"Judge, Court of Criminal Appeals, Place 7",0440,1326,876,2202,2867,76.81%,1773,159,1932
"Judge, Court of Criminal Appeals, Place 7",0441,699,513,1212,1616,75.00%,928,114,1042
"Judge, Court of Criminal Appeals, Place 7",0442,1366,513,1879,2504,75.04%,1557,140,1697
"Judge, Court of Criminal Appeals, Place 7",0443,335,148,483,605,79.83%,342,67,409
"Judge, Court of Criminal Appeals, Place 7",0444,1258,731,1989,3172,62.70%,1278,294,1572
"Judge, Court of Criminal Appeals, Place 7",0445,861,443,1304,1938,67.29%,837,178,1015
"Judge, Court of Criminal Appeals, Place 7",0446,70,52,122,268,45.52%,52,30,82
"Judge, Court of Criminal Appeals, Place 7",0447,271,108,379,583,65.01%,146,108,254
"Judge, Court of Criminal Appeals, Place 7",0448,1240,869,2109,3081,68.45%,1333,394,1727
"Judge, Court of Criminal Appeals, Place 7",0449,62,37,99,164,60.37%,18,15,33
"Judge, Court of Criminal Appeals, Place 7",0450,856,537,1393,2622,53.13%,420,305,725
"Judge, Court of Criminal Appeals, Place 7",0451,1575,515,2090,2674,78.16%,1698,156,1854
"Judge, Court of Criminal Appeals, Place 7",0452,1110,639,1749,2810,62.24%,1319,185,1504
"Judge, Court of Criminal Appeals, Place 7",0453,559,475,1034,1885,54.85%,398,211,609
"Judge, Court of Criminal Appeals, Place 7",0454,1227,311,1538,2571,59.82%,59,203,262
"Judge, Court of Criminal Appeals, Place 7",0455,748,216,964,1679,57.42%,61,148,209
"Judge, Court of Criminal Appeals, Place 7",0456,1271,593,1864,3350,55.64%,1038,240,1278
"Judge, Court of Criminal Appeals, Place 7",0457,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0458,909,271,1180,1893,62.33%,119,276,395
"Judge, Court of Criminal Appeals, Place 7",0459,1639,476,2115,2950,71.69%,1703,175,1878
"Judge, Court of Criminal Appeals, Place 7",0460,1251,402,1653,2346,70.46%,521,374,895
"Judge, Court of Criminal Appeals, Place 7",0461,1959,828,2787,3733,74.66%,1915,328,2243
"Judge, Court of Criminal Appeals, Place 7",0462,1320,865,2185,3367,64.89%,891,499,1390
"Judge, Court of Criminal Appeals, Place 7",0463,1130,656,1786,2962,60.30%,788,464,1252
"Judge, Court of Criminal Appeals, Place 7",0464,788,612,1400,2126,65.85%,970,177,1147
"Judge, Court of Criminal Appeals, Place 7",0465,1466,702,2168,3343,64.85%,1227,361,1588
"Judge, Court of Criminal Appeals, Place 7",0466,2052,729,2781,4072,68.30%,1642,365,2007
"Judge, Court of Criminal Appeals, Place 7",0467,479,229,708,1230,57.56%,199,119,318
"Judge, Court of Criminal Appeals, Place 7",0468,986,793,1779,3354,53.04%,606,349,955
"Judge, Court of Criminal Appeals, Place 7",0469,2039,638,2677,3779,70.84%,2116,223,2339
"Judge, Court of Criminal Appeals, Place 7",0470,443,323,766,1349,56.78%,531,96,627
"Judge, Court of Criminal Appeals, Place 7",0471,793,597,1390,2349,59.17%,1070,134,1204
"Judge, Court of Criminal Appeals, Place 7",0472,372,337,709,1027,69.04%,394,144,538
"Judge, Court of Criminal Appeals, Place 7",0473,914,442,1356,1827,74.22%,970,159,1129
"Judge, Court of Criminal Appeals, Place 7",0474,1149,766,1915,3006,63.71%,1342,246,1588
"Judge, Court of Criminal Appeals, Place 7",0475,485,473,958,1651,58.03%,456,182,638
"Judge, Court of Criminal Appeals, Place 7",0476,809,658,1467,2412,60.82%,903,202,1105
"Judge, Court of Criminal Appeals, Place 7",0477,1442,742,2184,3195,68.36%,1673,229,1902
"Judge, Court of Criminal Appeals, Place 7",0478,1963,898,2861,4150,68.94%,1947,399,2346
"Judge, Court of Criminal Appeals, Place 7",0479,1302,588,1890,2648,71.37%,1426,215,1641
"Judge, Court of Criminal Appeals, Place 7",0480,936,555,1491,2267,65.77%,1058,186,1244
"Judge, Court of Criminal Appeals, Place 7",0481,1466,852,2318,3298,70.29%,1736,241,1977
"Judge, Court of Criminal Appeals, Place 7",0482,1964,836,2800,4129,67.81%,1998,356,2354
"Judge, Court of Criminal Appeals, Place 7",0483,1870,759,2629,4141,63.49%,1494,517,2011
"Judge, Court of Criminal Appeals, Place 7",0484,2239,1008,3247,4594,70.68%,2358,409,2767
"Judge, Court of Criminal Appeals, Place 7",0485,2422,990,3412,4838,70.53%,2559,356,2915
"Judge, Court of Criminal Appeals, Place 7",0486,1844,805,2649,3572,74.16%,2058,252,2310
"Judge, Court of Criminal Appeals, Place 7",0487,1006,612,1618,3318,48.76%,545,287,832
"Judge, Court of Criminal Appeals, Place 7",0488,580,440,1020,1713,59.54%,406,209,615
"Judge, Court of Criminal Appeals, Place 7",0489,784,378,1162,1823,63.74%,407,274,681
"Judge, Court of Criminal Appeals, Place 7",0490,881,439,1320,1944,67.90%,553,263,816
"Judge, Court of Criminal Appeals, Place 7",0491,670,489,1159,1782,65.04%,709,213,922
"Judge, Court of Criminal Appeals, Place 7",0492,1072,504,1576,2351,67.04%,876,282,1158
"Judge, Court of Criminal Appeals, Place 7",0493,859,400,1259,1804,69.79%,839,185,1024
"Judge, Court of Criminal Appeals, Place 7",0494,761,431,1192,2176,54.78%,221,231,452
"Judge, Court of Criminal Appeals, Place 7",0495,1121,494,1615,2284,70.71%,1197,154,1351
"Judge, Court of Criminal Appeals, Place 7",0496,496,571,1067,2086,51.15%,454,179,633
"Judge, Court of Criminal Appeals, Place 7",0497,1124,303,1427,2226,64.11%,96,228,324
"Judge, Court of Criminal Appeals, Place 7",0498,760,499,1259,2123,59.30%,577,251,828
"Judge, Court of Criminal Appeals, Place 7",0499,1302,517,1819,2304,78.95%,1382,182,1564
"Judge, Court of Criminal Appeals, Place 7",0500,1507,746,2253,3175,70.96%,1598,268,1866
"Judge, Court of Criminal Appeals, Place 7",0501,653,487,1140,1647,69.22%,508,296,804
"Judge, Court of Criminal Appeals, Place 7",0502,1152,332,1484,2364,62.77%,1154,122,1276
"Judge, Court of Criminal Appeals, Place 7",0503,359,273,632,1363,46.37%,217,97,314
"Judge, Court of Criminal Appeals, Place 7",0504,1129,538,1667,2197,75.88%,1159,242,1401
"Judge, Court of Criminal Appeals, Place 7",0505,1213,829,2042,3654,55.88%,985,465,1450
"Judge, Court of Criminal Appeals, Place 7",0506,1471,801,2272,3380,67.22%,488,565,1053
"Judge, Court of Criminal Appeals, Place 7",0507,582,385,967,2435,39.71%,202,184,386
"Judge, Court of Criminal Appeals, Place 7",0508,946,760,1706,3248,52.52%,652,310,962
"Judge, Court of Criminal Appeals, Place 7",0509,1341,864,2205,3536,62.36%,1584,254,1838
"Judge, Court of Criminal Appeals, Place 7",0510,1495,682,2177,3511,62.01%,1084,461,1545
"Judge, Court of Criminal Appeals, Place 7",0511,0,8,8,0,0.00%,1,2,3
"Judge, Court of Criminal Appeals, Place 7",0512,1588,1127,2895,4582,58.82%,1349,494,1843
"Judge, Court of Criminal Appeals, Place 7",0513,1808,507,2113,2752,78.78%,1808,218,1822
"Judge, Court of Criminal Appeals, Place 7",0514,1989,880,2829,3941,71.78%,2098,318,2414
"Judge, Court of Criminal Appeals, Place 7",0515,1892,708,2400,3173,75.84%,1938,190,2128
"Judge, Court of Criminal Appeals, Place 7",0518,2181,1088,3247,4934,85.81%,1709,570,2279
"Judge, Court of Criminal Appeals, Place 7",0517,1208,853,1881,3320,58.05%,1035,314,1349
"Judge, Court of Criminal Appeals, Place 7",0518,1479,919,2398,3755,83.88%,1550,333,1883
"Judge, Court of Criminal Appeals, Place 7",0519,1235,845,1880,2951,83.71%,1387,234,1821
"Judge, Court of Criminal Appeals, Place 7",0520,1548,857,2403,4084,59.13%,504,530,1034
"Judge, Court of Criminal Appeals, Place 7",0521,1014,894,1708,2725,82.88%,944,281,1225
"Judge, Court of Criminal Appeals, Place 7",0522,1173,858,1831,2882,88.27%,1377,211,1588
"Judge, Court of Criminal Appeals, Place 7",0523,1340,889,2029,3080,88.31%,1353,274,1827
"Judge, Court of Criminal Appeals, Place 7",0524,1242,875,1917,3292,58.23%,888,407,1075
"Judge, Court of Criminal Appeals, Place 7",0525,1383,810,1993,2947,87.83%,502,430,932
"Judge, Court of Criminal Appeals, Place 7",0528,187,171,338,731,48.24%,114,81,175
"Judge, Court of Criminal Appeals, Place 7",0527,80,24,104,589,18.28%,53,10,83
"Judge, Court of Criminal Appeals, Place 7",0528,38,12,48,92,52.17%,8,4,10
"Judge, Court of Criminal Appeals, Place 7",0529,1989,441,2430,3818,87.20%,2024,181,2185
"Judge, Court of Criminal Appeals, Place 7",0530,259,235,494,1198,41.30%,149,98,247
"Judge, Court of Criminal Appeals, Place 7",0531,872,113,785,1094,71.78%,808,84,870
"Judge, Court of Criminal Appeals, Place 7",0532,452,184,838,1039,81.21%,443,88,511
"Judge, Court of Criminal Appeals, Place 7",0533,317,207,524,1089,49.02%,283,79,382
"Judge, Court of Criminal Appeals, Place 7",0534,1880,875,2335,3795,81.53%,1739,212,1951
"Judge, Court of Criminal Appeals, Place 7",0535,80,94,174,421,41.33%,75,23,98
"Judge, Court of Criminal Appeals, Place 7",0538,1335,1195,2530,4578,55.29%,1092,510,1802
"Judge, Court of Criminal Appeals, Place 7",0537,1455,823,2278,2971,78.87%,1703,200,1903
"Judge, Court of Criminal Appeals, Place 7",0538,433,237,870,1282,52.28%,41,134,175
"Judge, Court of Criminal Appeals, Place 7",0539,28,209,235,71,330.99%,84,81,125
"Judge, Court of Criminal Appeals, Place 7",0540,888,380,1048,1491,70.15%,514,232,748
"Judge, Court of Criminal Appeals, Place 7",0541,1838,779,2815,4183,82.51%,535,795,1330
"Judge, Court of Criminal Appeals, Place 7",0542,997,501,1498,2525,59.33%,171,387,538
"Judge, Court of Criminal Appeals, Place 7",0543,287,378,885,1528,43.52%,274,145,419
"Judge, Court of Criminal Appeals, Place 7",0544,93,53,148,318,45.91%,19,30,49
"Judge, Court of Criminal Appeals, Place 7",0545,1314,857,2171,3339,65.02%,1139,338,1477
"Judge, Court of Criminal Appeals, Place 7",0546,4,4,8,30,26.67%,2,4,6
"Judge, Court of Criminal Appeals, Place 7",0547,877,647,1524,2408,63.29%,1062,209,1271
"Judge, Court of Criminal Appeals, Place 7",0548,720,476,1196,2129,56.18%,587,235,822
"Judge, Court of Criminal Appeals, Place 7",0549,944,586,1530,2530,60.47%,292,310,602
"Judge, Court of Criminal Appeals, Place 7",0550,1134,629,1763,2847,61.92%,945,303,1248
"Judge, Court of Criminal Appeals, Place 7",0551,3092,1527,4619,6135,75.29%,3449,493,3942
"Judge, Court of Criminal Appeals, Place 7",0552,1521,844,2465,3241,76.06%,2040,177,2217
"Judge, Court of Criminal Appeals, Place 7",0553,1465,951,2416,4355,55.48%,1162,487,1649
"Judge, Court of Criminal Appeals, Place 7",0554,562,340,902,1731,52.11%,180,193,373
"Judge, Court of Criminal Appeals, Place 7",0555,598,447,1045,2119,49.32%,238,234,472
"Judge, Court of Criminal Appeals, Place 7",0556,585,421,1006,2249,44.73%,261,230,491
"Judge, Court of Criminal Appeals, Place 7",0557,822,556,1378,2726,50.55%,508,249,757
"Judge, Court of Criminal Appeals, Place 7",0558,1592,824,2416,4084,59.16%,916,577,1493
"Judge, Court of Criminal Appeals, Place 7",0559,1794,899,2693,4633,58.13%,785,811,1596
"Judge, Court of Criminal Appeals, Place 7",0560,172,289,461,1176,39.20%,129,79,208
"Judge, Court of Criminal Appeals, Place 7",0561,837,759,1596,3033,52.62%,916,174,1090
"Judge, Court of Criminal Appeals, Place 7",0562,201,146,347,645,53.80%,47,51,98
"Judge, Court of Criminal Appeals, Place 7",0563,1700,415,2115,2969,71.24%,1653,192,1845
"Judge, Court of Criminal Appeals, Place 7",0564,1159,713,1872,3096,60.47%,626,589,1215
"Judge, Court of Criminal Appeals, Place 7",0565,316,194,510,1373,37.14%,110,107,217
"Judge, Court of Criminal Appeals, Place 7",0566,1126,478,1604,2950,54.37%,506,476,982
"Judge, Court of Criminal Appeals, Place 7",0567,673,394,1067,2198,48.54%,333,210,543
"Judge, Court of Criminal Appeals, Place 7",0568,1630,837,2467,3487,70.75%,1651,337,1988
"Judge, Court of Criminal Appeals, Place 7",0569,1295,865,2160,3249,66.48%,1243,439,1682
"Judge, Court of Criminal Appeals, Place 7",0570,527,409,936,1473,63.54%,453,257,710
"Judge, Court of Criminal Appeals, Place 7",0571,334,312,646,1758,36.75%,255,91,346
"Judge, Court of Criminal Appeals, Place 7",0572,1288,574,1862,2998,62.11%,937,402,1339
"Judge, Court of Criminal Appeals, Place 7",0573,578,368,946,1618,58.47%,41,173,214
"Judge, Court of Criminal Appeals, Place 7",0574,98,79,177,391,45.27%,29,28,57
"Judge, Court of Criminal Appeals, Place 7",0575,27,9,36,79,45.57%,32,3,35
"Judge, Court of Criminal Appeals, Place 7",0576,1051,552,1603,2671,60.01%,102,286,388
"Judge, Court of Criminal Appeals, Place 7",0577,231,113,344,573,60.03%,208,66,274
"Judge, Court of Criminal Appeals, Place 7",0578,745,553,1298,1689,76.85%,845,209,1054
"Judge, Court of Criminal Appeals, Place 7",0579,489,351,840,1806,46.51%,266,163,429
"Judge, Court of Criminal Appeals, Place 7",0580,430,146,576,1027,56.09%,31,114,145
"Judge, Court of Criminal Appeals, Place 7",0581,510,162,672,1041,64.55%,46,120,166
"Judge, Court of Criminal Appeals, Place 7",0582,615,256,871,1613,54.00%,81,139,220
"Judge, Court of Criminal Appeals, Place 7",0583,544,127,671,1248,53.77%,33,95,128
"Judge, Court of Criminal Appeals, Place 7",0584,393,139,532,971,54.79%,53,74,127
"Judge, Court of Criminal Appeals, Place 7",0585,934,304,1238,2403,51.52%,81,230,311
"Judge, Court of Criminal Appeals, Place 7",0586,1307,1189,2496,4230,59.01%,1569,360,1929
"Judge, Court of Criminal Appeals, Place 7",0587,934,465,1399,2174,64.35%,552,242,794
"Judge, Court of Criminal Appeals, Place 7",0588,1539,871,2410,3468,69.49%,1722,323,2045
"Judge, Court of Criminal Appeals, Place 7",0589,1034,738,1772,3130,56.61%,1015,313,1328
"Judge, Court of Criminal Appeals, Place 7",0590,1158,463,1621,2136,75.89%,1274,153,1427
"Judge, Court of Criminal Appeals, Place 7",0591,420,449,869,2114,41.11%,287,156,443
"Judge, Court of Criminal Appeals, Place 7",0592,370,288,658,1258,52.31%,185,116,301
"Judge, Court of Criminal Appeals, Place 7",0593,1149,999,2148,4059,52.92%,1088,365,1453
"Judge, Court of Criminal Appeals, Place 7",0594,1032,535,1567,2361,66.37%,514,328,842
"Judge, Court of Criminal Appeals, Place 7",0595,497,380,877,1647,53.25%,191,167,358
