Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0606,420,122,542,1053,51.47%,269,82,351
"Houston Community College System, Proposition",0607,194,118,312,731,42.68%,174,30,204
"Houston Community College System, Proposition",0611,1120,301,1421,2450,58.00%,578,173,751
"Houston Community College System, Proposition",0620,2382,856,3238,5271,61.43%,1464,1030,2494
"Houston Community College System, Proposition",0625,862,454,1316,1796,73.27%,595,499,1094
"Houston Community College System, Proposition",0626,1148,655,1803,2838,63.53%,867,559,1426
"Houston Community College System, Proposition",0627,795,647,1442,2964,48.65%,755,284,1039
"Houston Community College System, Proposition",0630,2018,535,2553,3190,80.03%,1592,510,2102
"Houston Community College System, Proposition",0632,12,9,21,231,9.09%,12,3,15
"Houston Community College System, Proposition",0637,739,509,1248,2471,50.51%,663,299,962
"Houston Community College System, Proposition",0638,740,684,1424,2078,68.53%,771,187,958
"Houston Community College System, Proposition",0645,1639,895,2534,4035,62.80%,1310,683,1993
"Houston Community College System, Proposition",0646,708,456,1164,2163,53.81%,633,205,838
"Houston Community College System, Proposition",0647,1770,1020,2790,5593,49.88%,1391,378,1769
"Houston Community College System, Proposition",0649,1389,854,2243,4426,50.68%,1145,454,1599
"Houston Community College System, Proposition",0652,1049,653,1702,2633,64.64%,924,316,1240
"Houston Community College System, Proposition",0653,0,8,8,0,0.00%,5,2,7
"Houston Community College System, Proposition",0656,1198,421,1619,2622,61.75%,679,238,917
"Houston Community College System, Proposition",0663,1302,913,2215,3232,68.53%,953,944,1897
"Houston Community College System, Proposition",0666,0,1,1,0,0.00%,1,0,1
"Houston Community College System, Proposition",0675,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0676,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0677,220,239,459,954,48.11%,256,111,367
"Houston Community College System, Proposition",0680,56,22,78,181,43.09%,41,24,65
"Houston Community College System, Proposition",0681,1,0,1,5,20.00%,0,0,0
"Houston Community College System, Proposition",0683,48,50,98,261,37.55%,60,26,86
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0684,72,24,96,187,51,34%,40,34,74
"Houston Community College System, Proposition",0685,167,29,196,326,60.12%,101,51,152
"Houston Community College System, Proposition",0686,46,34,80,196,40.82%,35,22,57
"Houston Community College System, Proposition",0693,303,116,419,651,64.36%,222,107,329
"Houston Community College System, Proposition",0702,150,123,273,549,49.73%,150,47,197
"Houston Community College System, Proposition",0710,877,602,1479,2023,73.11%,687,555,1242
"Houston Community College System, Proposition",0711,1490,700,2190,3347,65.43%,1000,780,1780
"Houston Community College System, Proposition",0714,77,3,80,304,26.32%,22,43,65
"Houston Community College System, Proposition",0722,1892,642,2534,4357,58.16%,1438,389,1827
"Houston Community College System, Proposition",0727,931,466,1397,2488,56.15%,812,252,1064
"Houston Community College System, Proposition",0730,3,0,3,1,300.00%,2,0,2
"Houston Community College System, Proposition",0731,121,36,157,373,42.09%,88,34,122
"Houston Community College System, Proposition",0736,6,1,7,21,33.33%,4,2,6
"Houston Community College System, Proposition",0741,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0742,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0749,99,57,156,359,43.45%,78,29,107
"Houston Community College System, Proposition",0754,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0765,1390,815,2205,3967,55.58%,1149,547,1696
"Houston Community College System, Proposition",0766,71,92,163,383,42.56%,99,25,124
"Houston Community College System, Proposition",0769,117,5,122,161,75.78%,54,15,69
"Houston Community College System, Proposition",0773,892,550,1442,2648,54.46%,723,252,975
"Houston Community College System, Proposition",0774,73,42,115,220,52.27%,79,11,90
"Houston Community College System, Proposition",0775,33,1,34,83,40.96%,18,2,20
"Houston Community College System, Proposition",0778,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0779,295,221,516,1146,45.03%,261,117,378
"Houston Community College System, Proposition",0781,1152,655,1807,3716,48.63%,859,377,1236
"Houston Community College System, Proposition",0784,428,156,584,1071,54.53%,227,78,305
"Houston Community College System, Proposition",0787,154,76,230,487,47.23%,118,63,181
"Houston Community College System, Proposition",0788,156,58,214,481,44.49%,116,51,167
"Houston Community College System, Proposition",0789,3,1,4,4,100.00%,2,1,3
"Houston Community College System, Proposition",0795,265,255,520,1207,43.08%,285,122,407
"Houston Community College System, Proposition",0797,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0798,176,263,439,496,88.51%,197,150,347
"Houston Community College System, Proposition",0801,68,55,123,253,48.62%,61,29,90
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0802,98,58,156,299,52.17%,99,35,134
"Houston Community College System, Proposition",0806,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0807,652,402,1054,2001,52.67%,665,127,792
"Houston Community College System, Proposition",0808,41,26,67,84,79.76%,42,16,58
"Houston Community College System, Proposition",0809,21,6,27,86,31.40%,7,6,13
"Houston Community College System, Proposition",0810,30,48,78,215,36.28%,37,12,49
"Houston Community College System, Proposition",0811,39,106,145,271,53.51%,80,29,109
"Houston Community College System, Proposition",0812,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0814,1772,955,2727,4503,60.56%,1508,443,1951
"Houston Community College System, Proposition",0815,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0816,20,13,33,76,43.42%,13,5,18
"Houston Community College System, Proposition",0818,134,101,235,527,44.59%,121,57,178
"Houston Community College System, Proposition",0819,97,45,142,238,59.66%,49,60,109
"Houston Community College System, Proposition",0820,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0821,354,203,557,1206,46.19%,311,77,388
"Houston Community College System, Proposition",0822,584,282,866,1544,56.09%,468,135,603
"Houston Community College System, Proposition",0825,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0826,153,89,242,342,70.76%,120,92,212
"Houston Community College System, Proposition",0829,107,56,163,266,61.28%,92,31,123
"Houston Community College System, Proposition",0830,0,0,0,1,0.00%,0,0,0
"Houston Community College System, Proposition",0831,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0832,109,46,155,351,44.16%,68,37,105
"Houston Community College System, Proposition",0833,8,1,9,20,45.00%,7,1,8
"Houston Community College System, Proposition",0835,87,53,140,292,47.95%,82,21,103
"Houston Community College System, Proposition",0836,8,3,11,19,57.89%,10,0,10
"Houston Community College System, Proposition",0837,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0838,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0839,353,240,593,1122,52.85%,352,101,453
"Houston Community College System, Proposition",0844,2,4,6,1,3,46.1,5%,4,1,5
"Houston Community College System, Proposition",0846,70,29,99,210,47.14%,51,15,66
"Houston Community College System, Proposition",0849,553,514,1067,2073,51.47%,509,284,793
"Houston Community College System, Proposition",0850,87,38,125,205,60.98%,51,49,100
"Houston Community College System, Proposition",0852,0,4,4,2,200.00%,1,0,1
"Houston Community College System, Proposition",0854,41,30,71,175,40.57%,42,8,50
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0856,0,4,4,0,0.00%,2,1,3
"Houston Community College System, Proposition",0857,0,0,0,1,0.00%,0,0,0
"Houston Community College System, Proposition",0858,132,18,150,372,40.32%,83,20,103
"Houston Community College System, Proposition",0863,210,69,279,620,45.00%,134,44,178
"Houston Community College System, Proposition",0865,9,2,11,23,47.83%,5,4,9
"Houston Community College System, Proposition",0866,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0867,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0869,153,76,229,473,48.41%,113,32,145
"Houston Community College System, Proposition",0871,3,0,3,4,75.00%,3,0,3
"Houston Community College System, Proposition",0886,301,154,455,713,63.81%,225,163,388
"Houston Community College System, Proposition",0887,138,83,221,313,70.61%,95,78,173
"Houston Community College System, Proposition",0889,22,0,22,61,36.07%,9,10,19
"Houston Community College System, Proposition",0890,319,118,437,994,43.96%,250,105,355
"Houston Community College System, Proposition",0891,539,392,931,1413,65.89%,488,281,769
"Houston Community College System, Proposition",0892,193,130,323,696,46.41%,172,86,258
"Houston Community College System, Proposition",0893,1,0,1,5,20.00%,0,0,0
"Houston Community College System, Proposition",0894,0,31,31,0,0.00%,18,7,25
"Houston Community College System, Proposition",0895,335,325,660,784,84.18%,407,181,588
"Houston Community College System, Proposition",0896,670,303,973,1437,67.71%,582,265,847
"Houston Community College System, Proposition",0899,4,0,4,8,50.00%,4,0,4
"Houston Community College System, Proposition",0900,5,0,5,12,41.67%,1,2,3
"Houston Community College System, Proposition",0902,865,621,1486,2065,71.96%,653,611,1264
"Houston Community College System, Proposition",0903,10,1,11,41,26.83%,5,6,11
"Houston Community College System, Proposition",0905,290,168,458,908,50.44%,239,119,358
"Houston Community College System, Proposition",0906,12,6,18,26,69.23%,12,6,18
"Houston Community College System, Proposition",0909,5,7,12,19,63.16%,8,3,11
"Houston Community College System, Proposition",0910,55,34,89,226,39.38%,44,29,73
"Houston Community College System, Proposition",0922,0,2,2,0,0.00%,1,1,2
"Houston Community College System, Proposition",0924,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0927,84,74,158,262,60.31%,79,54,133
"Houston Community College System, Proposition",0928,4,2,6,9,66.67%,6,0,6
"Houston Community College System, Proposition",0929,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0930,200,77,277,567,48.85%,129,56,185
"Houston Community College System, Proposition",0931,48,53,101,122,82.79%,52,35,87
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0932,0,5,5,0,0.00%,4,1,5
"Houston Community College System, Proposition",0933,233,121,354,566,62.54%,194,95,289
"Houston Community College System, Proposition",0935,8,17,25,65,38.46%,14,4,18
"Houston Community College System, Proposition",0938,73,14,87,256,33.98%,52,20,72
"Houston Community College System, Proposition",0943,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0945,4,7,11,16,68.75%,6,0,6
"Houston Community College System, Proposition",0946,3,3,6,14,42.86%,1,2,3
"Houston Community College System, Proposition",0947,320,292,612,822,74.45%,265,254,519
"Houston Community College System, Proposition",0948,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0949,59,37,96,201,47.76%,52,31,83
"Houston Community College System, Proposition",0952,24,16,40,70,57.14%,19,17,36
"Houston Community College System, Proposition",0953,59,52,111,420,26.43%,67,18,85
"Houston Community College System, Proposition",0954,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0956,5,2,7,12,58.33%,3,2,5
"Houston Community College System, Proposition",0962,24,13,37,73,50.68%,23,7,30
"Houston Community College System, Proposition",0969,335,82,417,584,71.40%,207,81,288
"Houston Community College System, Proposition",0971,27,21,48,129,37.21%,29,5,34
"Houston Community College System, Proposition",0973,49,24,73,107,68.22%,32,30,62
"Houston Community College System, Proposition",0974,100,71,171,299,57.19%,66,79,145
"Houston Community College System, Proposition",0975,72,41,113,170,66.47%,52,44,96
"Houston Community College System, Proposition",0984,43,49,92,198,46.46%,59,10,69
"Houston Community College System, Proposition",0985,172,67,239,336,71.13%,115,81,196
"Houston Community College System, Proposition",0986,129,86,215,404,53.22%,119,26,145
"Houston Community College System, Proposition",0989,18,8,26,36,72.22%,12,6,18
"Houston Community College System, Proposition",0990,37,15,52,154,33.77%,25,7,32
"Houston Community College System, Proposition",0994,6,5,11,8,137.50%,6,2,8
"Houston Community College System, Proposition",0995,595,190,786,1269,61.94%,445,119,564
"Houston Community College System, Proposition",1000,105,0,105,458,22.93%,56,16,72
"Houston Community College System, Proposition",1001,496,294,790,1566,50.45%,406,130,536
"Houston Community College System, Proposition",1002,464,314,778,1738,44.76%,464,88,552
"Houston Community College System, Proposition",1004,224,153,377,656,57.47%,147,162,309
"Houston Community College System, Proposition",1010,124,74,198,317,62.46%,101,60,161
"Houston Community College System, Proposition",1019,426,4,430,1518,28.33%,254,25,279
"Houston Community College System, Proposition",1020,0,0,0,1,0.00%,0,0,0
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",1024,113,77,190,259,73.36%,79,91,170
"Houston Community College System, Proposition",1027,0,1,1,1,100.00%,1,0,1
"Houston Community College System, Proposition",1039,3,5,8,20,40.00%,6,1,7
"Houston Community College System, Proposition",1046,19,18,37,54,68.52%,20,5,25
"Houston Community College System, Proposition",1,048,3,1,4,1,8,22.22%,2,0,2
"Houston Community College System, Proposition",1049,57,71,128,266,48.12%,74,29,103
"Houston Community College System, Proposition",1050,148,153,301,506,59.49%,151,72,223
"Houston Community College System, Proposition",1,051,0,1,2,1,2,0,0.00%,6,5,1,1
"Houston Community College System, Proposition",1052,0,2,2,0,0.00%,2,0,2
"Houston Community College System, Proposition",1054,0,0,0,1,0.00%,0,0,0
"Houston Community College System, Proposition",1055,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",1056,4,0,4,6,66.67%,2,1,3
"Houston Community College System, Proposition",1057,34,7,41,115,35.65%,18,8,26
"Houston Community College System, Proposition",1058,540,246,786,1190,66.05%,416,190,606
"Houston Community College System, Proposition",1,059,7,3,1,0,23,43.48%,5,4,9
"Houston Community College System, Proposition",Totals:,287415,170287,457702,765591,,236009,116954,352963
