Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0330,590,376,966,1849,52.24%,414,483,897
"District Judge, 178th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 178th Judicial District",0332,23,4,27,128,21.09%,10,15,25
"District Judge, 178th Judicial District",0333,1018,939,1957,2901,67.46%,1365,476,1841
"District Judge, 178th Judicial District",0334,255,114,369,755,48.87%,75,278,353
"District Judge, 178th Judicial District",0335,285,246,531,1227,43.28%,148,326,474
"District Judge, 178th Judicial District",0336,1818,588,2406,3161,76.12%,204,2117,2321
"District Judge, 178th Judicial District",0337,309,207,516,951,54.26%,82,419,501
"District Judge, 178th Judicial District",0338,1540,824,2364,4673,50.59%,620,1595,2215
"District Judge, 178th Judicial District",0339,369,373,742,1716,43.24%,127,556,683
"District Judge, 178th Judicial District",0340,1778,833,2611,3717,70.24%,1871,566,2437
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0341,246,316,562,1248,45.03%,116,423,539
"District Judge, 178th Judicial District",0342,2029,1113,3142,5718,54.95%,407,2632,3039
"District Judge, 178th Judicial District",0343,436,483,919,1904,48.27%,193,648,841
"District Judge, 178th Judicial District",0344,395,245,640,1207,53.02%,24,590,614
"District Judge, 178th Judicial District",0345,428,357,785,1708,45.96%,157,582,739
"District Judge, 178th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 178th Judicial District",0347,1250,614,1864,3299,56.50%,1103,673,1776
"District Judge, 178th Judicial District",0348,751,280,1031,1740,59.25%,720,254,974
"District Judge, 178th Judicial District",0349,405,407,812,1315,61.75%,459,301,760
"District Judge, 178th Judicial District",0350,1112,780,1892,2906,65.11%,741,983,1724
"District Judge, 178th Judicial District",0351,2495,793,3288,4537,72.47%,2540,608,3148
"District Judge, 178th Judicial District",0352,1151,583,1734,3193,54.31%,1164,483,1647
"District Judge, 178th Judicial District",0353,1544,703,2247,3697,60.78%,337,1827,2164
"District Judge, 178th Judicial District",0354,1476,517,1993,3193,62.42%,426,1483,1909
"District Judge, 178th Judicial District",0355,700,286,986,1384,71.24%,83,869,952
"District Judge, 178th Judicial District",0356,1382,618,2000,2836,70.52%,1120,741,1861
"District Judge, 178th Judicial District",0357,1633,709,2342,3371,69.47%,1682,527,2209
"District Judge, 178th Judicial District",0358,740,464,1204,2297,52.42%,84,1076,1160
"District Judge, 178th Judicial District",0359,706,482,1188,3008,39.49%,92,1056,1148
"District Judge, 178th Judicial District",0360,969,515,1484,2190,67.76%,744,582,1326
"District Judge, 178th Judicial District",0361,135,691,826,1585,52.11%,141,553,694
"District Judge, 178th Judicial District",0362,2131,1200,3331,4952,67.27%,2352,787,3139
"District Judge, 178th Judicial District",0363,1346,687,2033,3291,61.77%,865,1091,1956
"District Judge, 178th Judicial District",0364,912,602,1514,2539,59.63%,724,704,1428
"District Judge, 178th Judicial District",0365,734,245,979,1302,75.19%,77,868,945
"District Judge, 178th Judicial District",0366,638,466,1104,2089,52.85%,217,846,1063
"District Judge, 178th Judicial District",0367,328,212,540,1019,52.99%,97,423,520
"District Judge, 178th Judicial District",0368,418,143,561,929,60.39%,136,406,542
"District Judge, 178th Judicial District",0369,107,53,160,490,32.65%,53,100,153
"District Judge, 178th Judicial District",0370,3143,1178,4321,5781,74.74%,3189,918,4107
"District Judge, 178th Judicial District",0371,226,69,295,475,62.11%,6,281,287
"District Judge, 178th Judicial District",0372,498,231,729,1215,60.00%,74,621,695
"District Judge, 178th Judicial District",0373,61,16,77,159,48.43%,1,74,75
"District Judge, 178th Judicial District",0374,139,187,326,748,43.58%,78,236,314
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0375,577,524,1101,2607,42.23%,421,618,1039
"District Judge, 178th Judicial District",0376,629,334,963,1916,50.26%,382,524,906
"District Judge, 178th Judicial District",0377,1055,707,1762,2871,61.37%,1270,367,1637
"District Judge, 178th Judicial District",0378,559,521,1080,1777,60.78%,664,366,1030
"District Judge, 178th Judicial District",0379,800,338,1138,2017,56.42%,74,1013,1087
"District Judge, 178th Judicial District",0380,2500,1183,3683,4753,77.49%,2006,1480,3486
"District Judge, 178th Judicial District",0381,957,424,1381,2715,50.87%,540,770,1310
"District Judge, 178th Judicial District",0382,276,231,507,841,60.29%,346,137,483
"District Judge, 178th Judicial District",0383,599,493,1092,2076,52.60%,325,710,1035
"District Judge, 178th Judicial District",0384,1172,505,1677,2596,64.60%,317,1285,1602
"District Judge, 178th Judicial District",0385,1099,621,1720,2175,79.08%,1221,361,1582
"District Judge, 178th Judicial District",0386,1464,460,1924,2872,66.99%,1344,485,1829
"District Judge, 178th Judicial District",0387,1369,802,2171,3727,58.25%,1456,593,2049
"District Judge, 178th Judicial District",0388,2780,1222,4002,5329,75.10%,2191,1625,3816
"District Judge, 178th Judicial District",0389,283,261,544,975,55.79%,81,418,499
"District Judge, 178th Judicial District",0390,644,368,1012,1565,64.66%,113,849,962
"District Judge, 178th Judicial District",0391,856,355,1211,1805,67.09%,751,387,1138
"District Judge, 178th Judicial District",0392,737,197,934,1441,64.82%,10,901,911
"District Judge, 178th Judicial District",0393,346,318,664,1206,55.06%,272,344,616
"District Judge, 178th Judicial District",0394,166,176,342,860,39.77%,128,194,322
"District Judge, 178th Judicial District",0395,830,491,1321,1820,72.58%,877,349,1226
"District Judge, 178th Judicial District",0396,1157,219,1376,2073,66.38%,15,1318,1333
"District Judge, 178th Judicial District",0397,163,148,311,750,41.47%,115,174,289
"District Judge, 178th Judicial District",0398,1438,840,2278,3816,59.70%,1070,1099,2169
"District Judge, 178th Judicial District",0399,896,593,1489,2542,58.58%,702,727,1429
"District Judge, 178th Judicial District",0400,1048,506,1554,2238,69.44%,1068,391,1459
"District Judge, 178th Judicial District",0401,723,284,1007,1876,53.68%,40,941,981
"District Judge, 178th Judicial District",0402,891,245,1136,1737,65.40%,49,1053,1102
"District Judge, 178th Judicial District",0403,791,527,1318,1703,77.39%,686,489,1175
"District Judge, 178th Judicial District",0404,778,552,1330,2589,51.37%,660,606,1266
"District Judge, 178th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 178th Judicial District",0406,281,72,353,610,57.87%,6,331,337
"District Judge, 178th Judicial District",0407,1317,1000,2317,3652,63.44%,1397,745,2142
"District Judge, 178th Judicial District",0408,154,179,333,933,35.69%,131,183,314
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0409,277,289,566,1371,41.28%,162,368,530
"District Judge, 178th Judicial District",0410,337,102,439,849,51.71%,79,344,423
"District Judge, 178th Judicial District",0411,542,462,1004,2302,43.61%,259,675,934
"District Judge, 178th Judicial District",0412,193,74,267,433,61.66%,11,247,258
"District Judge, 178th Judicial District",0413,1493,525,2018,3023,66.75%,726,1170,1896
"District Judge, 178th Judicial District",0414,1452,593,2045,3457,59.16%,1417,479,1896
"District Judge, 178th Judicial District",0415,950,633,1583,2124,74.53%,1054,416,1470
"District Judge, 178th Judicial District",0416,1174,916,2090,3582,58.35%,1052,902,1954
"District Judge, 178th Judicial District",0417,777,619,1396,2465,56.63%,583,731,1314
"District Judge, 178th Judicial District",0418,1057,758,1815,3420,53.07%,634,1087,1721
"District Judge, 178th Judicial District",0419,1006,578,1584,2697,58.73%,977,524,1501
"District Judge, 178th Judicial District",0420,2174,1089,3263,4639,70.34%,2600,483,3083
"District Judge, 178th Judicial District",0421,124,92,216,467,46.25%,48,160,208
"District Judge, 178th Judicial District",0422,1456,585,2041,3345,61.02%,44,1931,1975
"District Judge, 178th Judicial District",0423,190,309,499,894,55.82%,197,272,469
"District Judge, 178th Judicial District",0424,435,1,57,592,888,66.67%,327,242,569
"District Judge, 178th Judicial District",0425,227,234,461,875,52.69%,139,293,432
"District Judge, 178th Judicial District",0426,415,283,698,1224,57.03%,364,266,630
"District Judge, 178th Judicial District",0427,325,249,574,1115,51.48%,199,333,532
"District Judge, 178th Judicial District",0428,1284,907,2191,4316,50.76%,613,1425,2038
"District Judge, 178th Judicial District",0429,1091,777,1868,3929,47.54%,332,1397,1729
"District Judge, 178th Judicial District",0430,403,335,738,1654,44.62%,141,535,676
"District Judge, 178th Judicial District",0431,819,403,1222,3188,38.33%,294,850,1144
"District Judge, 178th Judicial District",0432,311,271,582,1344,43.30%,152,401,553
"District Judge, 178th Judicial District",0433,139,106,245,573,42.76%,39,193,232
"District Judge, 178th Judicial District",0434,628,371,999,1386,72.08%,589,341,930
"District Judge, 178th Judicial District",0435,1534,768,2302,3097,74.33%,1433,698,2131
"District Judge, 178th Judicial District",0436,1334,709,2043,3012,67.83%,1154,728,1882
"District Judge, 178th Judicial District",0437,951,542,1493,2007,74.39%,995,382,1377
"District Judge, 178th Judicial District",0438,1046,387,1433,1802,79.52%,1000,303,1303
"District Judge, 178th Judicial District",0439,1526,905,2431,3416,71.17%,1634,613,2247
"District Judge, 178th Judicial District",0440,1326,876,2202,2867,76.81%,1622,388,2010
"District Judge, 178th Judicial District",0441,698,513,1211,1616,74.94%,846,284,1130
"District Judge, 178th Judicial District",0442,1366,513,1879,2504,75.04%,1498,281,1779
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0443,335,148,483,605,79.83%,326,119,445
"District Judge, 178th Judicial District",0444,1258,731,1989,3172,62.70%,1130,703,1833
"District Judge, 178th Judicial District",0445,860,443,1303,1938,67.23%,762,447,1209
"District Judge, 178th Judicial District",0446,70,52,122,268,45.52%,45,70,115
"District Judge, 178th Judicial District",0447,271,108,379,583,65.01%,120,227,347
"District Judge, 178th Judicial District",0448,1239,869,2108,3081,68.42%,1169,755,1924
"District Judge, 178th Judicial District",0449,62,37,99,164,60.37%,12,79,91
"District Judge, 178th Judicial District",0450,856,537,1393,2622,53.13%,333,997,1330
"District Judge, 178th Judicial District",0451,1575,515,2090,2674,78.16%,1639,338,1977
"District Judge, 178th Judicial District",0452,1109,639,1748,2810,62.21%,1280,394,1674
"District Judge, 178th Judicial District",0453,559,475,1034,1885,54.85%,313,659,972
"District Judge, 178th Judicial District",0454,1226,311,1537,2571,59.78%,13,1480,1493
"District Judge, 178th Judicial District",0455,748,216,964,1679,57.42%,24,905,929
"District Judge, 178th Judicial District",0456,1266,593,1859,3350,55.49%,955,803,1758
"District Judge, 178th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 178th Judicial District",0458,908,271,1179,1893,62.28%,46,1090,1136
"District Judge, 178th Judicial District",0459,1637,476,2113,2950,71.63%,1618,373,1991
"District Judge, 178th Judicial District",0460,1250,402,1652,2346,70.42%,398,1185,1583
"District Judge, 178th Judicial District",0461,1958,828,2786,3733,74.63%,1733,819,2552
"District Judge, 178th Judicial District",0462,1318,865,2183,3367,64.84%,748,1284,2032
"District Judge, 178th Judicial District",0463,1124,656,1780,2962,60.09%,692,997,1689
"District Judge, 178th Judicial District",0464,786,612,1398,2126,65.76%,916,401,1317
"District Judge, 178th Judicial District",0465,1465,702,2167,3343,64.82%,1097,996,2093
"District Judge, 178th Judicial District",0466,2052,729,2781,4072,68.30%,1513,1146,2659
"District Judge, 178th Judicial District",0467,478,229,707,1230,57.48%,160,510,670
"District Judge, 178th Judicial District",0468,984,793,1777,3354,52.98%,484,1190,1674
"District Judge, 178th Judicial District",0469,2039,638,2677,3779,70.84%,1995,518,2513
"District Judge, 178th Judicial District",0470,443,323,766,1349,56.78%,520,200,720
"District Judge, 178th Judicial District",0471,792,597,1389,2349,59.13%,1026,296,1322
"District Judge, 178th Judicial District",0472,370,337,707,1027,68.84%,291,346,637
"District Judge, 178th Judicial District",0473,914,442,1356,1827,74.22%,895,364,1259
"District Judge, 178th Judicial District",0474,1146,766,1912,3006,63.61%,1277,522,1799
"District Judge, 178th Judicial District",0475,485,473,958,1651,58.03%,392,504,896
"District Judge, 178th Judicial District",0476,809,658,1467,2412,60.82%,782,615,1397
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0477,1441,742,2183,3195,68.33%,1570,510,2080
"District Judge, 178th Judicial District",0478,1959,898,2857,4150,68.84%,1804,891,2695
"District Judge, 178th Judicial District",0479,1298,588,1886,2648,71.22%,1348,448,1796
"District Judge, 178th Judicial District",0480,936,555,1491,2267,65.77%,1010,388,1398
"District Judge, 178th Judicial District",0481,1463,852,2315,3298,70.19%,1670,526,2196
"District Judge, 178th Judicial District",0482,1963,836,2799,4129,67.79%,1873,804,2677
"District Judge, 178th Judicial District",0483,1868,759,2627,4141,63.44%,1339,1140,2479
"District Judge, 178th Judicial District",0484,2236,1008,3244,4594,70.61%,2228,855,3083
"District Judge, 178th Judicial District",0485,2421,990,3411,4838,70.50%,2460,793,3253
"District Judge, 178th Judicial District",0486,1843,805,2648,3572,74.13%,1988,531,2519
"District Judge, 178th Judicial District",0487,1005,612,1617,3318,48.73%,439,1045,1484
"District Judge, 178th Judicial District",0488,580,440,1020,1713,59.54%,324,617,941
"District Judge, 178th Judicial District",0489,783,378,1161,1823,63.69%,316,774,1090
"District Judge, 178th Judicial District",0490,876,439,1315,1944,67.64%,458,768,1226
"District Judge, 178th Judicial District",0491,667,489,1156,1782,64.87%,619,444,1063
"District Judge, 178th Judicial District",0492,1069,504,1573,2351,66.91%,784,661,1445
"District Judge, 178th Judicial District",0493,858,400,1258,1804,69.73%,765,390,1155
"District Judge, 178th Judicial District",0494,760,431,1191,2176,54.73%,129,1025,1154
"District Judge, 178th Judicial District",0495,1120,494,1614,2284,70.67%,1092,421,1513
"District Judge, 178th Judicial District",0496,496,571,1067,2086,51.15%,372,631,1003
"District Judge, 178th Judicial District",0497,1123,303,1426,2226,64.06%,48,1324,1372
"District Judge, 178th Judicial District",0498,759,499,1258,2123,59.26%,511,682,1193
"District Judge, 178th Judicial District",0499,1301,517,1818,2304,78.91%,1265,429,1694
"District Judge, 178th Judicial District",0500,1507,746,2253,3175,70.96%,1469,659,2128
"District Judge, 178th Judicial District",0501,653,487,1140,1647,69.22%,409,627,1036
"District Judge, 178th Judicial District",0502,1150,332,1482,2364,62.69%,1099,292,1391
"District Judge, 178th Judicial District",0503,359,273,632,1363,46.37%,182,397,579
"District Judge, 178th Judicial District",0504,1129,538,1667,2197,75.88%,1040,512,1552
"District Judge, 178th Judicial District",0505,1209,829,2038,3654,55.77%,843,1041,1884
"District Judge, 178th Judicial District",0506,1470,801,2271,3380,67.19%,345,1834,2179
"District Judge, 178th Judicial District",0507,582,385,967,2435,39.71%,144,690,834
"District Judge, 178th Judicial District",0508,946,760,1706,3248,52.52%,529,1037,1566
"District Judge, 178th Judicial District",0509,1340,864,2204,3536,62.33%,1504,585,2089
"District Judge, 178th Judicial District",0510,1492,682,2174,3511,61.92%,932,1108,2040
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 178th Judicial District",0512,1558,1127,2885,4582,58.80%,1187,1389,2558
"District Judge, 178th Judicial District",0513,1805,507,2112,2752,78.74%,1532,485,1997
"District Judge, 178th Judicial District",0514,1988,880,2828,3941,71.71%,2023,888,2891
"District Judge, 178th Judicial District",0515,1892,708,2400,3173,75.84%,1879,395,2274
"District Judge, 178th Judicial District",0518,2179,1088,3245,4934,85.77%,1527,1525,3052
"District Judge, 178th Judicial District",0517,1208,853,1881,3320,58.05%,925,838,1781
"District Judge, 178th Judicial District",0518,1478,919,2397,3755,83.83%,1437,813,2250
"District Judge, 178th Judicial District",0519,1234,845,1879,2951,83.87%,1317,487,1784
"District Judge, 178th Judicial District",0520,1542,857,2399,4084,59.03%,387,1940,2307
"District Judge, 178th Judicial District",0521,1011,894,1705,2725,82.57%,827,788,1815
"District Judge, 178th Judicial District",0522,1171,858,1829,2882,88.20%,1318,410,1728
"District Judge, 178th Judicial District",0523,1338,889,2027,3080,88.24%,1308,573,1879
"District Judge, 178th Judicial District",0524,1237,875,1912,3292,58.08%,538,1284,1822
"District Judge, 178th Judicial District",0525,1380,810,1990,2947,87.53%,378,1514,1892
"District Judge, 178th Judicial District",0528,187,171,338,731,48.24%,75,245,320
"District Judge, 178th Judicial District",0527,80,24,104,589,18.28%,48,53,99
"District Judge, 178th Judicial District",0528,38,12,48,92,52.17%,2,45,47
"District Judge, 178th Judicial District",0529,1987,441,2428,3818,87.15%,1981,328,2309
"District Judge, 178th Judicial District",0530,259,235,494,1198,41.30%,87,370,457
"District Judge, 178th Judicial District",0531,872,113,785,1094,71.78%,597,139,738
"District Judge, 178th Judicial District",0532,452,184,838,1039,81.21%,417,188,805
"District Judge, 178th Judicial District",0533,317,207,524,1089,49.02%,257,238,495
"District Judge, 178th Judicial District",0534,1858,875,2333,3795,81.48%,1825,585,2210
"District Judge, 178th Judicial District",0535,80,94,174,421,41.33%,58,108,182
"District Judge, 178th Judicial District",0538,1332,1195,2527,4578,55.22%,848,1550,2398
"District Judge, 178th Judicial District",0537,1454,823,2277,2971,78.84%,1815,534,2149
"District Judge, 178th Judicial District",0538,433,237,870,1282,52.28%,18,831,849
"District Judge, 178th Judicial District",0539,28,209,235,71,330.99%,48,170,218
"District Judge, 178th Judicial District",0540,888,380,1048,1491,70.15%,415,515,930
"District Judge, 178th Judicial District",0541,1824,779,2803,4183,82.23%,338,2135,2473
"District Judge, 178th Judicial District",0542,997,501,1498,2525,59.33%,74,1373,1447
"District Judge, 178th Judicial District",0543,287,378,885,1528,43.52%,178,450,828
"District Judge, 178th Judicial District",0544,92,53,145,318,45.80%,15,124,139
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0545,1314,857,2171,3339,65.02%,972,1088,2060
"District Judge, 178th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 178th Judicial District",0547,877,647,1524,2408,63.29%,1014,424,1438
"District Judge, 178th Judicial District",0548,720,476,1196,2129,56.18%,515,625,1140
"District Judge, 178th Judicial District",0549,944,586,1530,2530,60.47%,190,1274,1464
"District Judge, 178th Judicial District",0550,1134,629,1763,2847,61.92%,840,859,1699
"District Judge, 178th Judicial District",0551,3088,1527,4615,6135,75.22%,3235,1132,4367
"District Judge, 178th Judicial District",0552,1621,844,2465,3241,76.06%,1965,382,2347
"District Judge, 178th Judicial District",0553,1465,951,2416,4355,55.48%,978,1325,2303
"District Judge, 178th Judicial District",0554,562,340,902,1731,52.11%,131,708,839
"District Judge, 178th Judicial District",0555,597,447,1044,2119,49.27%,163,829,992
"District Judge, 178th Judicial District",0556,584,421,1005,2249,44.69%,206,748,954
"District Judge, 178th Judicial District",0557,822,556,1378,2726,50.55%,412,856,1268
"District Judge, 178th Judicial District",0558,1588,824,2412,4084,59.06%,732,1550,2282
"District Judge, 178th Judicial District",0559,1787,899,2686,4633,57.98%,617,1916,2533
"District Judge, 178th Judicial District",0560,172,289,461,1176,39.20%,76,349,425
"District Judge, 178th Judicial District",0561,837,759,1596,3033,52.62%,854,660,1514
"District Judge, 178th Judicial District",0562,201,146,347,645,53.80%,20,313,333
"District Judge, 178th Judicial District",0563,1699,415,2114,2969,71.20%,1575,404,1979
"District Judge, 178th Judicial District",0564,1150,713,1863,3096,60.17%,477,1238,1715
"District Judge, 178th Judicial District",0565,315,194,509,1373,37.07%,84,391,475
"District Judge, 178th Judicial District",0566,1122,478,1600,2950,54.24%,419,1111,1530
"District Judge, 178th Judicial District",0567,672,394,1066,2198,48.50%,271,700,971
"District Judge, 178th Judicial District",0568,1628,837,2465,3487,70.69%,1539,721,2260
"District Judge, 178th Judicial District",0569,1294,865,2159,3249,66.45%,1104,883,1987
"District Judge, 178th Judicial District",0570,525,409,934,1473,63.41%,394,446,840
"District Judge, 178th Judicial District",0571,333,312,645,1758,36.69%,176,423,599
"District Judge, 178th Judicial District",0572,1283,574,1857,2998,61.94%,831,916,1747
"District Judge, 178th Judicial District",0573,577,368,945,1618,58.41%,8,914,922
"District Judge, 178th Judicial District",0574,98,79,177,391,45.27%,14,151,165
"District Judge, 178th Judicial District",0575,27,9,36,79,45.57%,31,4,35
"District Judge, 178th Judicial District",0576,1050,552,1602,2671,59.98%,51,1493,1544
"District Judge, 178th Judicial District",0577,231,113,344,573,60.03%,180,145,325
"District Judge, 178th Judicial District",0578,745,553,1298,1689,76.85%,761,421,1182
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0579,487,351,838,1806,46.40%,184,606,790
"District Judge, 178th Judicial District",0580,429,146,575,1027,55.99%,13,548,561
"District Judge, 178th Judicial District",0581,510,162,672,1041,64.55%,16,629,645
"District Judge, 178th Judicial District",0582,614,256,870,1613,53.94%,42,798,840
"District Judge, 178th Judicial District",0583,544,1,27,671,1248,53.77%,1,2,642,654
"District Judge, 178th Judicial District",0584,392,139,531,971,54.69%,34,491,525
"District Judge, 178th Judicial District",0585,934,304,1238,2403,51.52%,30,1173,1203
"District Judge, 178th Judicial District",0585,1306,1189,2495,4230,58.98%,1474,911,2385
"District Judge, 178th Judicial District",0587,933,465,1398,2174,64.31%,483,863,1346
"District Judge, 178th Judicial District",0588,1536,871,2407,3468,69.41%,1647,645,2292
"District Judge, 178th Judicial District",0589,1033,738,1771,3130,56.58%,896,794,1690
"District Judge, 178th Judicial District",0590,1158,463,1621,2136,75.89%,1186,341,1527
"District Judge, 178th Judicial District",0591,420,449,869,2114,41.11%,192,624,816
"District Judge, 178th Judicial District",0592,370,288,658,1258,52.31%,143,484,627
"District Judge, 178th Judicial District",0593,1148,999,2147,4059,52.89%,917,1113,2030
"District Judge, 178th Judicial District",0594,1031,535,1566,2361,66.33%,431,1085,1516
"District Judge, 178th Judicial District",0595,497,380,877,1647,53.25%,130,712,842
"District Judge, 178th Judicial District",0596,945,690,1635,2848,57.41%,819,743,1562
"District Judge, 178th Judicial District",0597,1067,719,1786,3267,54.67%,589,1123,1712
"District Judge, 178th Judicial District",0598,335,103,438,724,60.50%,329,83,412
"District Judge, 178th Judicial District",0599,1895,866,2761,4135,66.77%,888,1764,2652
"District Judge, 178th Judicial District",0600,1383,869,2252,3820,58.95%,737,1396,2133
"District Judge, 178th Judicial District",0601,2028,858,2886,3990,72.33%,2115,642,2757
"District Judge, 178th Judicial District",0602,562,296,858,1237,69.36%,575,254,829
"District Judge, 178th Judicial District",0603,1437,1163,2600,3917,66.38%,1522,978,2500
"District Judge, 178th Judicial District",0604,1444,528,1972,2910,67.77%,1600,279,1879
"District Judge, 178th Judicial District",0605,2227,889,3116,5251,59.34%,675,2309,2984
"District Judge, 178th Judicial District",0606,420,122,542,1053,51.47%,3,521,524
"District Judge, 178th Judicial District",0607,194,118,312,731,42.68%,18,279,297
"District Judge, 178th Judicial District",0608,245,290,535,1256,42.60%,190,305,495
"District Judge, 178th Judicial District",0609,1364,844,2208,3261,67.71%,1306,759,2065
"District Judge, 178th Judicial District",0610,403,398,801,1825,43.89%,318,429,747
"District Judge, 178th Judicial District",0611,1120,301,1421,2450,58.00%,36,1347,1383
"District Judge, 178th Judicial District",0612,1700,579,2279,3272,69.65%,1653,481,2134
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0613,495,309,804,1450,55.45%,113,663,776
"District Judge, 178th Judicial District",0614,1631,812,2443,3932,62.13%,768,1557,2325
"District Judge, 178th Judicial District",0615,931,404,1335,1926,69.31%,762,507,1269
"District Judge, 178th Judicial District",0616,1352,970,2322,3378,68.74%,1549,646,2195
"District Judge, 178th Judicial District",0617,1318,849,2167,3546,61.11%,737,1334,2071
"District Judge, 178th Judicial District",0618,1920,1021,2941,5344,55.03%,1234,1588,2822
"District Judge, 178th Judicial District",0619,2133,857,2990,4266,70.09%,2137,702,2839
"District Judge, 178th Judicial District",0620,2382,856,3238,5271,61.43%,1479,1544,3023
"District Judge, 178th Judicial District",0621,397,203,600,1173,51.15%,280,288,568
"District Judge, 178th Judicial District",0622,1722,829,2551,4305,59.26%,1424,994,2418
"District Judge, 178th Judicial District",0623,1708,626,2334,3481,67.05%,1424,757,2181
"District Judge, 178th Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 178th Judicial District",0625,862,454,1316,1796,73.27%,713,493,1206
"District Judge, 178th Judicial District",0626,1148,655,1803,2838,63.53%,850,845,1695
"District Judge, 178th Judicial District",0627,795,647,1442,2964,48.65%,393,957,1350
"District Judge, 178th Judicial District",0628,292,456,748,1600,46.75%,283,423,706
"District Judge, 178th Judicial District",0629,175,127,302,629,48.01%,19,276,295
"District Judge, 178th Judicial District",0630,2018,535,2553,3190,80.03%,211,2241,2452
"District Judge, 178th Judicial District",0631,1489,392,1881,2733,68.83%,1296,484,1780
"District Judge, 178th Judicial District",0632,12,9,21,231,9.09%,6,12,18
"District Judge, 178th Judicial District",0633,1782,678,2460,3257,75.53%,1712,623,2335
"District Judge, 178th Judicial District",0634,1020,734,1754,2922,60.03%,1043,619,1662
"District Judge, 178th Judicial District",0635,1326,706,2032,3280,61.95%,1509,429,1938
"District Judge, 178th Judicial District",0636,1791,974,2765,3881,71.24%,2316,332,2648
"District Judge, 178th Judicial District",0637,739,509,1248,2471,50.51%,244,919,1163
"District Judge, 178th Judicial District",0638,740,684,1424,2078,68.53%,82,1280,1362
"District Judge, 178th Judicial District",0639,828,711,1539,2501,61.54%,1180,291,1471
"District Judge, 178th Judicial District",0640,1382,723,2105,3548,59.33%,1172,825,1997
"District Judge, 178th Judicial District",0641,1265,878,2143,3375,63.50%,1268,773,2041
"District Judge, 178th Judicial District",0642,871,447,1318,1779,74.09%,1039,211,1250
"District Judge, 178th Judicial District",0643,2157,994,3151,5310,59.34%,1167,1826,2993
"District Judge, 178th Judicial District",0644,2123,1204,3327,5261,63.24%,2020,1118,3138
"District Judge, 178th Judicial District",0645,1639,895,2534,4035,62.80%,1125,1257,2382
"District Judge, 178th Judicial District",0646,708,456,1164,2163,53.81%,323,775,1098
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0647,1770,1020,2790,5593,49.88%,663,1904,2567
"District Judge, 178th Judicial District",0648,1590,668,2258,3197,70.63%,1538,613,2151
"District Judge, 178th Judicial District",0649,1389,854,2243,4426,50.68%,582,1531,2113
"District Judge, 178th Judicial District",0650,1328,939,2267,3151,71.95%,1607,544,2151
"District Judge, 178th Judicial District",0651,2085,1070,3155,4931,63.98%,1893,1090,2983
"District Judge, 178th Judicial District",0652,1049,653,1702,2633,64.64%,262,1371,1633
"District Judge, 178th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 178th Judicial District",0654,2103,1344,3447,5765,59.79%,1637,1615,3252
