Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 337th Judicial District",0332,23,4,27,128,21.09%,12,13,25
"District Judge, 337th Judicial District",0333,1018,939,1957,2901,67.46%,1377,466,1843
"District Judge, 337th Judicial District",0334,255,114,369,755,48.87%,76,278,354
"District Judge, 337th Judicial District",0335,285,246,531,1227,43.28%,159,314,473
"District Judge, 337th Judicial District",0336,1818,588,2406,3161,76.12%,217,2101,2318
"District Judge, 337th Judicial District",0337,309,207,516,951,54.26%,86,414,500
"District Judge, 337th Judicial District",0338,1540,824,2364,4673,50.59%,650,1564,2214
"District Judge, 337th Judicial District",0339,369,373,742,1716,43.24%,153,519,672
"District Judge, 337th Judicial District",0340,1778,833,2611,3717,70.24%,1883,548,2431
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0341,246,316,562,1248,45.03%,144,389,533
"District Judge, 337th Judicial District",0342,2029,1113,3142,5718,54.95%,454,2581,3035
"District Judge, 337th Judicial District",0343,436,483,919,1904,48.27%,220,605,825
"District Judge, 337th Judicial District",0344,395,245,640,1207,53.02%,25,588,613
"District Judge, 337th Judicial District",0345,428,357,785,1708,45.96%,167,576,743
"District Judge, 337th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 337th Judicial District",0347,1250,614,1864,3299,56.50%,1147,618,1765
"District Judge, 337th Judicial District",0348,751,280,1031,1740,59.25%,724,250,974
"District Judge, 337th Judicial District",0349,405,407,812,1315,61.75%,460,301,761
"District Judge, 337th Judicial District",0350,1112,780,1892,2906,65.11%,785,937,1722
"District Judge, 337th Judicial District",0351,2495,793,3288,4537,72.47%,2578,569,3147
"District Judge, 337th Judicial District",0352,1151,583,1734,3193,54.31%,1179,466,1645
"District Judge, 337th Judicial District",0353,1544,703,2247,3697,60.78%,375,1776,2151
"District Judge, 337th Judicial District",0354,1476,517,1993,3193,62.42%,440,1456,1896
"District Judge, 337th Judicial District",0355,700,286,986,1384,71.24%,92,858,950
"District Judge, 337th Judicial District",0356,1382,618,2000,2836,70.52%,1141,704,1845
"District Judge, 337th Judicial District",0357,1633,709,2342,3371,69.47%,1701,505,2206
"District Judge, 337th Judicial District",0358,740,464,1204,2297,52.42%,90,1066,1156
"District Judge, 337th Judicial District",0359,706,482,1188,3008,39.49%,94,1053,1147
"District Judge, 337th Judicial District",0360,969,515,1484,2190,67.76%,790,531,1321
"District Judge, 337th Judicial District",0361,135,691,826,1585,52.11%,146,546,692
"District Judge, 337th Judicial District",0362,2131,1200,3331,4952,67.27%,2367,767,3134
"District Judge, 337th Judicial District",0363,1346,687,2033,3291,61.77%,892,1060,1952
"District Judge, 337th Judicial District",0364,912,602,1514,2539,59.63%,758,667,1425
"District Judge, 337th Judicial District",0365,734,245,979,1302,75.19%,89,852,941
"District Judge, 337th Judicial District",0366,638,466,1104,2089,52.85%,237,824,1061
"District Judge, 337th Judicial District",0367,328,212,540,1019,52.99%,97,422,519
"District Judge, 337th Judicial District",0368,418,143,561,929,60.39%,153,391,544
"District Judge, 337th Judicial District",0369,107,53,160,490,32.65%,64,90,154
"District Judge, 337th Judicial District",0370,3143,1178,4321,5781,74.74%,3204,896,4100
"District Judge, 337th Judicial District",0371,226,69,295,475,62.11%,8,279,287
"District Judge, 337th Judicial District",0372,498,231,729,1215,60.00%,87,606,693
"District Judge, 337th Judicial District",0373,61,16,77,159,48.43%,1,74,75
"District Judge, 337th Judicial District",0374,139,187,326,748,43.58%,97,208,305
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0375,577,524,1101,2607,42.23%,447,586,1033
"District Judge, 337th Judicial District",0376,629,334,963,1916,50.26%,387,513,900
"District Judge, 337th Judicial District",0377,1055,707,1762,2871,61.37%,1288,347,1635
"District Judge, 337th Judicial District",0378,559,521,1080,1777,60.78%,664,365,1029
"District Judge, 337th Judicial District",0379,800,338,1138,2017,56.42%,85,999,1084
"District Judge, 337th Judicial District",0380,2500,1183,3683,4753,77.49%,2059,1421,3480
"District Judge, 337th Judicial District",0381,957,424,1381,2715,50.87%,536,774,1310
"District Judge, 337th Judicial District",0382,276,231,507,841,60.29%,345,137,482
"District Judge, 337th Judicial District",0383,599,493,1092,2076,52.60%,334,701,1035
"District Judge, 337th Judicial District",0384,1172,505,1677,2596,64.60%,324,1275,1599
"District Judge, 337th Judicial District",0385,1099,621,1720,2175,79.08%,1288,292,1580
"District Judge, 337th Judicial District",0386,1464,460,1924,2872,66.99%,1350,477,1827
"District Judge, 337th Judicial District",0387,1369,802,2171,3727,58.25%,1461,582,2043
"District Judge, 337th Judicial District",0388,2780,1222,4002,5329,75.10%,2225,1587,3812
"District Judge, 337th Judicial District",0389,283,261,544,975,55.79%,86,409,495
"District Judge, 337th Judicial District",0390,644,368,1012,1565,64.66%,121,834,955
"District Judge, 337th Judicial District",0391,856,355,1211,1805,67.09%,782,355,1137
"District Judge, 337th Judicial District",0392,737,197,934,1441,64.82%,9,898,907
"District Judge, 337th Judicial District",0393,346,318,664,1206,55.06%,288,328,616
"District Judge, 337th Judicial District",0394,166,176,342,860,39.77%,132,187,319
"District Judge, 337th Judicial District",0395,830,491,1321,1820,72.58%,902,317,1219
"District Judge, 337th Judicial District",0396,1157,219,1376,2073,66.38%,16,1316,1332
"District Judge, 337th Judicial District",0397,163,148,311,750,41.47%,121,165,286
"District Judge, 337th Judicial District",0398,1438,840,2278,3816,59.70%,1103,1072,2175
"District Judge, 337th Judicial District",0399,896,593,1489,2542,58.58%,718,705,1423
"District Judge, 337th Judicial District",0400,1048,506,1554,2238,69.44%,1097,360,1457
"District Judge, 337th Judicial District",0401,723,284,1007,1876,53.68%,43,938,981
"District Judge, 337th Judicial District",0402,891,245,1136,1737,65.40%,56,1049,1105
"District Judge, 337th Judicial District",0403,791,527,1318,1703,77.39%,715,458,1173
"District Judge, 337th Judicial District",0404,778,552,1330,2589,51.37%,664,597,1261
"District Judge, 337th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 337th Judicial District",0406,281,72,353,610,57.87%,5,334,339
"District Judge, 337th Judicial District",0407,1317,1000,2317,3652,63.44%,1446,697,2143
"District Judge, 337th Judicial District",0408,154,179,333,933,35.69%,134,174,308
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0409,277,289,566,1371,41.28%,171,357,528
"District Judge, 337th Judicial District",0410,337,102,439,849,51.71%,82,340,422
"District Judge, 337th Judicial District",0411,542,462,1004,2302,43.61%,287,640,927
"District Judge, 337th Judicial District",0412,193,74,267,433,61.66%,13,245,258
"District Judge, 337th Judicial District",0413,1493,525,2018,3023,66.75%,739,1145,1884
"District Judge, 337th Judicial District",0414,1452,593,2045,3457,59.16%,1417,475,1892
"District Judge, 337th Judicial District",0415,950,633,1583,2124,74.53%,1089,387,1476
"District Judge, 337th Judicial District",0416,1174,916,2090,3582,58.35%,1071,883,1954
"District Judge, 337th Judicial District",0417,777,619,1396,2465,56.63%,610,695,1305
"District Judge, 337th Judicial District",0418,1057,758,1815,3420,53.07%,661,1049,1710
"District Judge, 337th Judicial District",0419,1006,578,1584,2697,58.73%,993,499,1492
"District Judge, 337th Judicial District",0420,2174,1089,3263,4639,70.34%,2591,484,3075
"District Judge, 337th Judicial District",0421,124,92,216,467,46.25%,44,164,208
"District Judge, 337th Judicial District",0422,1456,585,2041,3345,61.02%,45,1928,1973
"District Judge, 337th Judicial District",0423,190,309,499,894,55.82%,196,265,461
"District Judge, 337th Judicial District",0424,435,1,57,592,888,66.67%,340,229,569
"District Judge, 337th Judicial District",0425,227,234,461,875,52.69%,146,286,432
"District Judge, 337th Judicial District",0426,415,283,698,1224,57.03%,384,247,631
"District Judge, 337th Judicial District",0427,325,249,574,1115,51.48%,208,323,531
"District Judge, 337th Judicial District",0428,1284,907,2191,4316,50.76%,635,1400,2035
"District Judge, 337th Judicial District",0429,1091,777,1868,3929,47.54%,350,1372,1722
"District Judge, 337th Judicial District",0430,403,335,738,1654,44.62%,142,536,678
"District Judge, 337th Judicial District",0431,819,403,1222,3188,38.33%,316,823,1139
"District Judge, 337th Judicial District",0432,311,271,582,1344,43.30%,162,389,551
"District Judge, 337th Judicial District",0433,139,106,245,573,42.76%,43,189,232
"District Judge, 337th Judicial District",0434,628,371,999,1386,72.08%,631,300,931
"District Judge, 337th Judicial District",0435,1534,768,2302,3097,74.33%,1489,631,2120
"District Judge, 337th Judicial District",0436,1334,709,2043,3012,67.83%,1186,686,1872
"District Judge, 337th Judicial District",0437,951,542,1493,2007,74.39%,1042,342,1384
"District Judge, 337th Judicial District",0438,1046,387,1433,1802,79.52%,1049,254,1303
"District Judge, 337th Judicial District",0439,1526,905,2431,3416,71.17%,1701,540,2241
"District Judge, 337th Judicial District",0440,1326,876,2202,2867,76.81%,1696,315,2011
"District Judge, 337th Judicial District",0441,698,513,1211,1616,74.94%,865,258,1123
"District Judge, 337th Judicial District",0442,1366,513,1879,2504,75.04%,1518,261,1779
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0443,335,148,483,605,79.83%,333,112,445
"District Judge, 337th Judicial District",0444,1258,731,1989,3172,62.70%,1186,650,1836
"District Judge, 337th Judicial District",0445,860,443,1303,1938,67.23%,794,414,1208
"District Judge, 337th Judicial District",0446,70,52,122,268,45.52%,41,73,114
"District Judge, 337th Judicial District",0447,271,108,379,583,65.01%,121,227,348
"District Judge, 337th Judicial District",0448,1239,869,2108,3081,68.42%,1216,701,1917
"District Judge, 337th Judicial District",0449,62,37,99,164,60.37%,12,81,93
"District Judge, 337th Judicial District",0450,856,537,1393,2622,53.13%,356,966,1322
"District Judge, 337th Judicial District",0451,1575,515,2090,2674,78.16%,1668,303,1971
"District Judge, 337th Judicial District",0452,1109,639,1748,2810,62.21%,1286,389,1675
"District Judge, 337th Judicial District",0453,559,475,1034,1885,54.85%,339,633,972
"District Judge, 337th Judicial District",0454,1226,311,1537,2571,59.78%,12,1476,1488
"District Judge, 337th Judicial District",0455,748,216,964,1679,57.42%,27,901,928
"District Judge, 337th Judicial District",0456,1266,593,1859,3350,55.49%,955,795,1750
"District Judge, 337th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0458,908,271,1179,1893,62.28%,54,1081,1135
"District Judge, 337th Judicial District",0459,1637,476,2113,2950,71.63%,1640,349,1989
"District Judge, 337th Judicial District",0460,1250,402,1652,2346,70.42%,423,1152,1575
"District Judge, 337th Judicial District",0461,1958,828,2786,3733,74.63%,1809,746,2555
"District Judge, 337th Judicial District",0462,1318,865,2183,3367,64.84%,767,1257,2024
"District Judge, 337th Judicial District",0463,1124,555,1780,2962,60.09%,699,990,1689
"District Judge, 337th Judicial District",0464,786,612,1398,2126,65.76%,939,375,1314
"District Judge, 337th Judicial District",0465,1465,702,2167,3343,64.82%,1126,965,2091
"District Judge, 337th Judicial District",0466,2052,729,2781,4072,68.30%,1529,1131,2660
"District Judge, 337th Judicial District",0467,478,229,707,1230,57.48%,166,501,667
"District Judge, 337th Judicial District",0468,984,793,1777,3354,52.98%,507,1159,1666
"District Judge, 337th Judicial District",0469,2039,538,2677,3779,70.84%,2056,452,2508
"District Judge, 337th Judicial District",0470,443,323,766,1349,56.78%,523,197,720
"District Judge, 337th Judicial District",0471,792,597,1389,2349,59.13%,1046,274,1320
"District Judge, 337th Judicial District",0472,370,337,707,1027,68.84%,331,303,634
"District Judge, 337th Judicial District",0473,914,442,1356,1827,74.22%,917,338,1255
"District Judge, 337th Judicial District",0474,1146,766,1912,3006,63.61%,1308,487,1795
"District Judge, 337th Judicial District",0475,485,473,958,1651,58.03%,411,484,895
"District Judge, 337th Judicial District",0476,809,658,1467,2412,60.82%,843,547,1390
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0477,1441,742,2183,3195,68.33%,1599,472,2071
"District Judge, 337th Judicial District",0478,1959,898,2857,4150,68.84%,1856,835,2691
"District Judge, 337th Judicial District",0479,1298,588,1886,2648,71.22%,1369,425,1794
"District Judge, 337th Judicial District",0480,936,555,1491,2267,65.77%,1021,377,1398
"District Judge, 337th Judicial District",0481,1463,852,2315,3298,70.19%,1675,512,2187
"District Judge, 337th Judicial District",0482,1963,836,2799,4129,67.79%,1900,771,2671
"District Judge, 337th Judicial District",0483,1868,759,2627,4141,63.44%,1378,1095,2473
"District Judge, 337th Judicial District",0484,2236,1008,3244,4594,70.61%,2269,803,3072
"District Judge, 337th Judicial District",0485,2421,990,3411,4838,70.50%,2485,768,3253
"District Judge, 337th Judicial District",0486,1843,805,2648,3572,74.13%,2035,477,2512
"District Judge, 337th Judicial District",0487,1005,612,1617,3318,48.73%,460,1027,1487
"District Judge, 337th Judicial District",0488,580,440,1020,1713,59.54%,330,605,935
"District Judge, 337th Judicial District",0489,783,378,1161,1823,63.69%,331,755,1086
"District Judge, 337th Judicial District",0490,876,439,1315,1944,67.64%,481,744,1225
"District Judge, 337th Judicial District",0491,667,489,1156,1782,64.87%,657,408,1065
"District Judge, 337th Judicial District",0492,1069,504,1573,2351,66.91%,815,632,1447
"District Judge, 337th Judicial District",0493,858,400,1258,1804,69.73%,785,370,1155
"District Judge, 337th Judicial District",0494,760,431,1191,2176,54.73%,145,1002,1147
"District Judge, 337th Judicial District",0495,1120,494,1614,2284,70.67%,1122,389,1511
"District Judge, 337th Judicial District",0496,496,571,1067,2086,51.15%,392,603,995
"District Judge, 337th Judicial District",0497,1123,303,1426,2226,64.06%,56,1312,1368
"District Judge, 337th Judicial District",0498,759,499,1258,2123,59.26%,509,683,1192
"District Judge, 337th Judicial District",0499,1301,517,1818,2304,78.91%,1297,391,1688
"District Judge, 337th Judicial District",0500,1507,746,2253,3175,70.96%,1512,618,2130
"District Judge, 337th Judicial District",0501,653,487,1140,1647,69.22%,436,596,1032
"District Judge, 337th Judicial District",0502,1150,332,1482,2364,62.69%,1101,284,1385
"District Judge, 337th Judicial District",0503,359,273,632,1363,46.37%,194,390,584
"District Judge, 337th Judicial District",0504,1129,538,1667,2197,75.88%,1092,462,1554
"District Judge, 337th Judicial District",0505,1209,829,2038,3654,55.77%,893,988,1881
"District Judge, 337th Judicial District",0506,1470,801,2271,3380,67.19%,369,1808,2177
"District Judge, 337th Judicial District",0507,582,385,967,2435,39.71%,144,686,830
"District Judge, 337th Judicial District",0508,946,760,1706,3248,52.52%,555,1007,1562
"District Judge, 337th Judicial District",0509,1340,864,2204,3536,62.33%,1527,561,2088
"District Judge, 337th Judicial District",0510,1492,682,2174,3511,61.92%,962,1075,2037
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 337th Judicial District",0512,1558,1127,2885,4582,58.80%,1189,1388,2555
"District Judge, 337th Judicial District",0513,1805,507,2112,2752,78.74%,1580,431,1991
"District Judge, 337th Judicial District",0514,1988,880,2828,3941,71.71%,2040,847,2887
"District Judge, 337th Judicial District",0515,1892,708,2400,3173,75.84%,1888,377,2283
"District Judge, 337th Judicial District",0518,2179,1088,3245,4934,85.77%,1578,1485,3043
"District Judge, 337th Judicial District",0517,1208,853,1881,3320,58.05%,982,798,1758
"District Judge, 337th Judicial District",0518,1478,919,2397,3755,83.83%,1483,785,2248
"District Judge, 337th Judicial District",0519,1234,845,1879,2951,83.87%,1331,451,1782
"District Judge, 337th Judicial District",0520,1542,857,2399,4084,59.03%,379,1927,2308
"District Judge, 337th Judicial District",0521,1011,894,1705,2725,82.57%,850,780,1810
"District Judge, 337th Judicial District",0522,1171,858,1829,2882,88.20%,1333,389,1722
"District Judge, 337th Judicial District",0523,1338,889,2027,3080,88.24%,1308,583,1889
"District Judge, 337th Judicial District",0524,1237,875,1912,3292,58.08%,580,1280,1820
"District Judge, 337th Judicial District",0525,1380,810,1990,2947,87.53%,388,1503,1889
"District Judge, 337th Judicial District",0528,187,171,338,731,48.24%,89,228,317
"District Judge, 337th Judicial District",0527,80,24,104,589,18.28%,44,54,98
"District Judge, 337th Judicial District",0528,38,12,48,92,52.17%,3,44,47
"District Judge, 337th Judicial District",0529,1987,441,2428,3818,87.15%,1988,318,2304
"District Judge, 337th Judicial District",0530,259,235,494,1198,41.30%,108,351,459
"District Judge, 337th Judicial District",0531,872,113,785,1094,71.78%,594,138,732
"District Judge, 337th Judicial District",0532,452,184,838,1039,81.21%,423,180,803
"District Judge, 337th Judicial District",0533,317,207,524,1089,49.02%,259,234,493
"District Judge, 337th Judicial District",0534,1858,875,2333,3795,81.48%,1871,538,2209
"District Judge, 337th Judicial District",0535,80,94,174,421,41.33%,82,99,181
"District Judge, 337th Judicial District",0538,1332,1195,2527,4578,55.22%,930,1454,2384
"District Judge, 337th Judicial District",0537,1454,823,2277,2971,78.84%,1849,499,2148
"District Judge, 337th Judicial District",0538,433,237,870,1282,52.28%,22,823,845
"District Judge, 337th Judicial District",0539,28,209,235,71,330.99%,48,188,212
"District Judge, 337th Judicial District",0540,888,380,1048,1491,70.15%,443,488,929
"District Judge, 337th Judicial District",0541,1824,779,2803,4183,82.23%,345,2129,2474
"District Judge, 337th Judicial District",0542,997,501,1498,2525,59.33%,88,1380,1448
"District Judge, 337th Judicial District",0543,287,378,885,1528,43.52%,208,411,817
"District Judge, 337th Judicial District",0544,92,53,145,318,45.80%,18,123,139
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0545,1314,857,2171,3339,65.02%,1026,1020,2046
"District Judge, 337th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 337th Judicial District",0547,877,647,1524,2408,63.29%,1022,416,1438
"District Judge, 337th Judicial District",0548,720,476,1196,2129,56.18%,529,610,1139
"District Judge, 337th Judicial District",0549,944,586,1530,2530,60.47%,215,1248,1463
"District Judge, 337th Judicial District",0550,1134,629,1763,2847,61.92%,864,829,1693
"District Judge, 337th Judicial District",0551,3088,1527,4615,6135,75.22%,3269,1089,4358
"District Judge, 337th Judicial District",0552,1521,844,2465,3241,76.06%,2005,341,2346
"District Judge, 337th Judicial District",0553,1465,951,2416,4355,55.48%,1037,1265,2302
"District Judge, 337th Judicial District",0554,562,340,902,1731,52.11%,138,702,840
"District Judge, 337th Judicial District",0555,597,447,1044,2119,49.27%,176,816,992
"District Judge, 337th Judicial District",0556,584,421,1005,2249,44.69%,207,741,948
"District Judge, 337th Judicial District",0557,822,556,1378,2726,50.55%,438,829,1267
"District Judge, 337th Judicial District",0558,1588,824,2412,4084,59.06%,743,1537,2280
"District Judge, 337th Judicial District",0559,1787,899,2686,4633,57.98%,625,1903,2528
"District Judge, 337th Judicial District",0560,172,289,461,1176,39.20%,93,332,425
"District Judge, 337th Judicial District",0561,837,759,1596,3033,52.62%,867,643,1510
"District Judge, 337th Judicial District",0562,201,146,347,645,53.80%,28,303,331
"District Judge, 337th Judicial District",0563,1699,415,2114,2969,71.20%,1604,375,1979
"District Judge, 337th Judicial District",0564,1150,713,1863,3096,60.17%,499,1215,1714
"District Judge, 337th Judicial District",0565,315,194,509,1373,37.07%,92,383,475
"District Judge, 337th Judicial District",0566,1122,478,1600,2950,54.24%,426,1104,1530
"District Judge, 337th Judicial District",0567,672,394,1066,2198,48.50%,276,691,967
"District Judge, 337th Judicial District",0568,1628,837,2465,3487,70.69%,1573,687,2260
"District Judge, 337th Judicial District",0569,1294,865,2159,3249,66.45%,1159,834,1993
"District Judge, 337th Judicial District",0570,525,409,934,1473,63.41%,397,443,840
"District Judge, 337th Judicial District",0571,333,312,645,1758,36.69%,201,396,597
"District Judge, 337th Judicial District",0572,1283,574,1857,2998,61.94%,859,887,1746
"District Judge, 337th Judicial District",0573,577,368,945,1618,58.41%,10,909,919
"District Judge, 337th Judicial District",0574,98,79,177,391,45.27%,16,148,164
"District Judge, 337th Judicial District",0575,27,9,36,79,45.57%,31,4,35
"District Judge, 337th Judicial District",0576,1050,552,1602,2671,59.98%,58,1487,1545
"District Judge, 337th Judicial District",0577,231,113,344,573,60.03%,191,133,324
"District Judge, 337th Judicial District",0578,745,553,1298,1689,76.85%,780,391,1171
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0579,487,351,838,1806,46.40%,192,592,784
"District Judge, 337th Judicial District",0580,429,146,575,1027,55.99%,15,547,562
"District Judge, 337th Judicial District",0581,510,162,672,1041,64.55%,18,628,646
"District Judge, 337th Judicial District",0582,614,256,870,1613,53.94%,53,788,841
"District Judge, 337th Judicial District",0583,544,1,27,671,1248,53.77%,14,640,654
"District Judge, 337th Judicial District",0584,392,139,531,971,54.69%,33,493,526
"District Judge, 337th Judicial District",0585,934,304,1238,2403,51.52%,34,1165,1199
"District Judge, 337th Judicial District",0585,1306,1189,2495,4230,58.98%,1498,887,2385
"District Judge, 337th Judicial District",0587,933,465,1398,2174,64.31%,493,848,1341
"District Judge, 337th Judicial District",0588,1536,871,2407,3468,69.41%,1664,623,2287
"District Judge, 337th Judicial District",0589,1033,738,1771,3130,56.58%,911,774,1685
"District Judge, 337th Judicial District",0590,1158,463,1621,2136,75.89%,1231,299,1530
"District Judge, 337th Judicial District",0591,420,449,869,2114,41.11%,225,585,810
"District Judge, 337th Judicial District",0592,370,288,658,1258,52.31%,154,473,627
"District Judge, 337th Judicial District",0593,1148,999,2147,4059,52.89%,953,1074,2027
"District Judge, 337th Judicial District",0594,1031,535,1566,2361,66.33%,439,1059,1498
"District Judge, 337th Judicial District",0595,497,380,877,1647,53.25%,141,699,840
"District Judge, 337th Judicial District",0596,945,690,1635,2848,57.41%,838,721,1559
"District Judge, 337th Judicial District",0597,1067,719,1786,3267,54.67%,606,1105,1711
"District Judge, 337th Judicial District",0598,335,103,438,724,60.50%,329,79,408
"District Judge, 337th Judicial District",0599,1895,866,2761,4135,66.77%,919,1729,2648
"District Judge, 337th Judicial District",0600,1383,869,2252,3820,58.95%,765,1371,2136
"District Judge, 337th Judicial District",0601,2028,858,2886,3990,72.33%,2139,619,2758
"District Judge, 337th Judicial District",0602,562,296,858,1237,69.36%,588,233,821
"District Judge, 337th Judicial District",0603,1437,1163,2600,3917,66.38%,1544,953,2497
"District Judge, 337th Judicial District",0604,1444,528,1972,2910,67.77%,1586,291,1877
"District Judge, 337th Judicial District",0605,2227,889,3116,5251,59.34%,742,2232,2974
"District Judge, 337th Judicial District",0606,420,122,542,1053,51.47%,7,518,525
"District Judge, 337th Judicial District",0607,194,118,312,731,42.68%,20,276,296
"District Judge, 337th Judicial District",0608,245,290,535,1256,42.60%,199,296,495
"District Judge, 337th Judicial District",0609,1364,844,2208,3261,67.71%,1339,717,2056
"District Judge, 337th Judicial District",0610,403,398,801,1825,43.89%,342,402,744
"District Judge, 337th Judicial District",0611,1120,301,1421,2450,58.00%,43,1339,1382
"District Judge, 337th Judicial District",0612,1700,579,2279,3272,69.65%,1690,438,2128
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0613,495,309,804,1450,55.45%,117,655,772
"District Judge, 337th Judicial District",0614,1631,812,2443,3932,62.13%,812,1515,2327
"District Judge, 337th Judicial District",0615,931,404,1335,1926,69.31%,766,501,1267
"District Judge, 337th Judicial District",0616,1352,970,2322,3378,68.74%,1572,619,2191
"District Judge, 337th Judicial District",0617,1318,849,2167,3546,61.11%,763,1307,2070
"District Judge, 337th Judicial District",0618,1920,1021,2941,5344,55.03%,1265,1544,2809
"District Judge, 337th Judicial District",0619,2133,857,2990,4266,70.09%,2176,657,2833
"District Judge, 337th Judicial District",0620,2382,856,3238,5271,61.43%,1530,1490,3020
"District Judge, 337th Judicial District",0621,397,203,600,1173,51.15%,298,270,568
"District Judge, 337th Judicial District",0622,1722,829,2551,4305,59.26%,1466,950,2416
"District Judge, 337th Judicial District",0623,1708,626,2334,3481,67.05%,1443,743,2186
"District Judge, 337th Judicial District",0624,9,0,9,16,56.25%,5,4,9
"District Judge, 337th Judicial District",0625,862,454,1316,1796,73.27%,726,470,1196
"District Judge, 337th Judicial District",0626,1148,655,1803,2838,63.53%,887,801,1688
"District Judge, 337th Judicial District",0627,795,547,1442,2964,48.65%,419,931,1350
"District Judge, 337th Judicial District",0628,292,456,748,1600,46.75%,317,389,706
"District Judge, 337th Judicial District",0629,175,127,302,629,48.01%,20,275,295
"District Judge, 337th Judicial District",0630,2018,535,2553,3190,80.03%,223,2234,2457
"District Judge, 337th Judicial District",0631,1489,392,1881,2733,68.83%,1313,455,1768
"District Judge, 337th Judicial District",0632,12,9,21,231,9.09%,5,13,18
"District Judge, 337th Judicial District",0633,1782,578,2460,3257,75.53%,1750,581,2331
"District Judge, 337th Judicial District",0634,1020,734,1754,2922,60.03%,1055,603,1658
"District Judge, 337th Judicial District",0635,1326,706,2032,3280,61.95%,1528,408,1936
"District Judge, 337th Judicial District",0636,1791,974,2765,3881,71.24%,2313,329,2642
"District Judge, 337th Judicial District",0637,739,509,1248,2471,50.51%,298,838,1136
"District Judge, 337th Judicial District",0638,740,684,1424,2078,68.53%,98,1262,1360
"District Judge, 337th Judicial District",0639,828,711,1539,2501,61.54%,1185,284,1469
"District Judge, 337th Judicial District",0640,1382,723,2105,3548,59.33%,1185,813,1998
"District Judge, 337th Judicial District",0641,1265,878,2143,3375,63.50%,1296,743,2039
"District Judge, 337th Judicial District",0642,871,447,1318,1779,74.09%,1063,186,1249
"District Judge, 337th Judicial District",0643,2157,994,3151,5310,59.34%,1192,1801,2993
"District Judge, 337th Judicial District",0644,2123,1204,3327,5261,63.24%,2059,1070,3129
"District Judge, 337th Judicial District",0645,1639,895,2534,4035,62.80%,1153,1224,2377
"District Judge, 337th Judicial District",0646,708,456,1164,2163,53.81%,337,761,1098
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0647,1770,1020,2790,5593,49.88%,677,1890,2567
"District Judge, 337th Judicial District",0648,1590,668,2258,3197,70.63%,1562,584,2146
"District Judge, 337th Judicial District",0649,1389,854,2243,4426,50.68%,612,1498,2110
"District Judge, 337th Judicial District",0650,1328,939,2267,3151,71.95%,1641,509,2150
"District Judge, 337th Judicial District",0651,2085,1070,3155,4931,63.98%,1931,1050,2981
"District Judge, 337th Judicial District",0652,1049,653,1702,2633,64.64%,272,1362,1634
"District Judge, 337th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 337th Judicial District",0654,2103,1344,3447,5765,59.79%,1730,1504,3234
"District Judge, 337th Judicial District",0655,2612,1451,4063,6304,64.45%,2489,1332,3821
