Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0332,23,4,27,128,21.09%,11,14,25
"District Judge, 177th Judicial District",0333,1018,939,1957,2901,67.46%,1381,466,1847
"District Judge, 177th Judicial District",0334,255,114,369,755,48.87%,73,282,355
"District Judge, 177th Judicial District",0335,285,246,531,1227,43.28%,160,312,472
"District Judge, 177th Judicial District",0336,1818,588,2406,3161,76.12%,196,2130,2326
"District Judge, 177th Judicial District",0337,309,207,516,951,54.26%,84,418,502
"District Judge, 177th Judicial District",0338,1540,824,2364,4673,50.59%,648,1563,2211
"District Judge, 177th Judicial District",0339,369,373,742,1716,43.24%,149,528,677
"District Judge, 177th Judicial District",0340,1778,833,2611,3717,70.24%,1897,548,2445
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0341,246,316,562,1248,45.03%,139,393,532
"District Judge, 177th Judicial District",0342,2029,1113,3142,5718,54.95%,422,2622,3044
"District Judge, 177th Judicial District",0343,436,483,919,1904,48.27%,222,604,826
"District Judge, 177th Judicial District",0344,395,245,640,1207,53.02%,25,590,615
"District Judge, 177th Judicial District",0345,428,357,785,1708,45.96%,164,577,741
"District Judge, 177th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 177th Judicial District",0347,1250,614,1864,3299,56.50%,1134,639,1773
"District Judge, 177th Judicial District",0348,751,280,1031,1740,59.25%,721,252,973
"District Judge, 177th Judicial District",0349,405,407,812,1315,61.75%,467,295,762
"District Judge, 177th Judicial District",0350,1112,780,1892,2906,65.11%,782,945,1727
"District Judge, 177th Judicial District",0351,2495,793,3288,4537,72.47%,2581,577,3158
"District Judge, 177th Judicial District",0352,1151,583,1734,3193,54.31%,1174,475,1649
"District Judge, 177th Judicial District",0353,1544,703,2247,3697,60.78%,375,1787,2162
"District Judge, 177th Judicial District",0354,1476,517,1993,3193,62.42%,430,1473,1903
"District Judge, 177th Judicial District",0355,700,286,986,1384,71.24%,85,869,954
"District Judge, 177th Judicial District",0356,1382,618,2000,2836,70.52%,1148,715,1863
"District Judge, 177th Judicial District",0357,1633,709,2342,3371,69.47%,1704,510,2214
"District Judge, 177th Judicial District",0358,740,464,1204,2297,52.42%,89,1071,1160
"District Judge, 177th Judicial District",0359,706,482,1188,3008,39.49%,92,1056,1148
"District Judge, 177th Judicial District",0360,969,515,1484,2190,67.76%,801,533,1334
"District Judge, 177th Judicial District",0361,135,691,826,1585,52.11%,139,553,692
"District Judge, 177th Judicial District",0362,2131,1200,3331,4952,67.27%,2383,765,3148
"District Judge, 177th Judicial District",0363,1346,687,2033,3291,61.77%,875,1078,1953
"District Judge, 177th Judicial District",0364,912,602,1514,2539,59.63%,769,667,1436
"District Judge, 177th Judicial District",0365,734,245,979,1302,75.19%,80,866,946
"District Judge, 177th Judicial District",0366,638,466,1104,2089,52.85%,238,825,1063
"District Judge, 177th Judicial District",0367,328,212,540,1019,52.99%,96,425,521
"District Judge, 177th Judicial District",0368,418,143,561,929,60.39%,146,397,543
"District Judge, 177th Judicial District",0369,107,53,160,490,32.65%,58,95,153
"District Judge, 177th Judicial District",0370,3143,1178,4321,5781,74.74%,3213,902,4115
"District Judge, 177th Judicial District",0371,226,69,295,475,62.11%,7,281,288
"District Judge, 177th Judicial District",0372,498,231,729,1215,60.00%,82,615,697
"District Judge, 177th Judicial District",0373,61,16,77,159,48.43%,1,74,75
"District Judge, 177th Judicial District",0374,139,187,326,748,43.58%,95,211,306
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0375,577,524,1101,2607,42.23%,439,598,1037
"District Judge, 177th Judicial District",0376,629,334,963,1916,50.26%,385,519,904
"District Judge, 177th Judicial District",0377,1055,707,1762,2871,61.37%,1283,357,1640
"District Judge, 177th Judicial District",0378,559,521,1080,1777,60.78%,666,367,1033
"District Judge, 177th Judicial District",0379,800,338,1138,2017,56.42%,79,1010,1089
"District Judge, 177th Judicial District",0380,2500,1183,3683,4753,77.49%,2045,1443,3488
"District Judge, 177th Judicial District",0381,957,424,1381,2715,50.87%,553,757,1310
"District Judge, 177th Judicial District",0382,276,231,507,841,60.29%,349,135,484
"District Judge, 177th Judicial District",0383,599,493,1092,2076,52.60%,334,705,1039
"District Judge, 177th Judicial District",0384,1172,505,1677,2596,64.60%,335,1277,1612
"District Judge, 177th Judicial District",0385,1099,621,1720,2175,79.08%,1299,289,1588
"District Judge, 177th Judicial District",0386,1464,460,1924,2872,66.99%,1347,483,1830
"District Judge, 177th Judicial District",0387,1369,802,2171,3727,58.25%,1457,593,2050
"District Judge, 177th Judicial District",0388,2780,1222,4002,5329,75.10%,2200,1622,3822
"District Judge, 177th Judicial District",0389,283,261,544,975,55.79%,87,413,500
"District Judge, 177th Judicial District",0390,644,368,1012,1565,64.66%,124,839,963
"District Judge, 177th Judicial District",0391,856,355,1211,1805,67.09%,770,370,1140
"District Judge, 177th Judicial District",0392,737,197,934,1441,64.82%,8,906,914
"District Judge, 177th Judicial District",0393,346,318,664,1206,55.06%,283,333,616
"District Judge, 177th Judicial District",0394,166,176,342,860,39.77%,130,189,319
"District Judge, 177th Judicial District",0395,830,491,1321,1820,72.58%,909,319,1228
"District Judge, 177th Judicial District",0396,1157,219,1376,2073,66.38%,12,1323,1335
"District Judge, 177th Judicial District",0397,163,148,311,750,41.47%,119,167,286
"District Judge, 177th Judicial District",0398,1438,840,2278,3816,59.70%,1098,1075,2173
"District Judge, 177th Judicial District",0399,896,593,1489,2542,58.58%,724,706,1430
"District Judge, 177th Judicial District",0400,1048,506,1554,2238,69.44%,1095,372,1467
"District Judge, 177th Judicial District",0401,723,284,1007,1876,53.68%,38,946,984
"District Judge, 177th Judicial District",0402,891,245,1136,1737,65.40%,46,1058,1104
"District Judge, 177th Judicial District",0403,791,527,1318,1703,77.39%,747,432,1179
"District Judge, 177th Judicial District",0404,778,552,1330,2589,51.37%,666,596,1262
"District Judge, 177th Judicial District",0405,0,1,1,0,0.00%,0,1,1
"District Judge, 177th Judicial District",0406,281,72,353,610,57.87%,5,332,337
"District Judge, 177th Judicial District",0407,1317,1000,2317,3652,63.44%,1455,684,2139
"District Judge, 177th Judicial District",0408,154,179,333,933,35.69%,147,163,310
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0409,277,289,566,1371,41.28%,168,362,530
"District Judge, 177th Judicial District",0410,337,102,439,849,51.71%,79,345,424
"District Judge, 177th Judicial District",0411,542,462,1004,2302,43.61%,280,649,929
"District Judge, 177th Judicial District",0412,193,74,267,433,61.66%,11,248,259
"District Judge, 177th Judicial District",0413,1493,525,2018,3023,66.75%,753,1141,1894
"District Judge, 177th Judicial District",0414,1452,593,2045,3457,59.16%,1424,477,1901
"District Judge, 177th Judicial District",0415,950,633,1583,2124,74.53%,1076,402,1478
"District Judge, 177th Judicial District",0416,1174,916,2090,3582,58.35%,1057,901,1958
"District Judge, 177th Judicial District",0417,777,619,1396,2465,56.63%,606,705,1311
"District Judge, 177th Judicial District",0418,1057,758,1815,3420,53.07%,657,1058,1715
"District Judge, 177th Judicial District",0419,1006,578,1584,2697,58.73%,997,505,1502
"District Judge, 177th Judicial District",0420,2174,1089,3263,4639,70.34%,2606,471,3077
"District Judge, 177th Judicial District",0421,124,92,216,467,46.25%,47,161,208
"District Judge, 177th Judicial District",0422,1456,585,2041,3345,61.02%,35,1951,1986
"District Judge, 177th Judicial District",0423,190,309,499,894,55.82%,200,265,465
"District Judge, 177th Judicial District",0424,435,1,57,592,888,66.67%,335,235,570
"District Judge, 177th Judicial District",0425,227,234,461,875,52.69%,142,290,432
"District Judge, 177th Judicial District",0426,415,283,698,1224,57.03%,380,253,633
"District Judge, 177th Judicial District",0427,325,249,574,1115,51.48%,208,322,530
"District Judge, 177th Judicial District",0428,1284,907,2191,4316,50.76%,633,1410,2043
"District Judge, 177th Judicial District",0429,1091,777,1868,3929,47.54%,349,1383,1732
"District Judge, 177th Judicial District",0430,403,335,738,1654,44.62%,151,529,680
"District Judge, 177th Judicial District",0431,819,403,1222,3188,38.33%,317,827,1144
"District Judge, 177th Judicial District",0432,311,271,582,1344,43.30%,159,394,553
"District Judge, 177th Judicial District",0433,139,106,245,573,42.76%,40,193,233
"District Judge, 177th Judicial District",0434,628,371,999,1386,72.08%,627,307,934
"District Judge, 177th Judicial District",0435,1534,768,2302,3097,74.33%,1495,635,2130
"District Judge, 177th Judicial District",0436,1334,709,2043,3012,67.83%,1198,687,1885
"District Judge, 177th Judicial District",0437,951,542,1493,2007,74.39%,1045,341,1386
"District Judge, 177th Judicial District",0438,1046,387,1433,1802,79.52%,1065,246,1311
"District Judge, 177th Judicial District",0439,1526,905,2431,3416,71.17%,1713,541,2254
"District Judge, 177th Judicial District",0440,1326,876,2202,2867,76.81%,1706,320,2026
"District Judge, 177th Judicial District",0441,698,513,1211,1616,74.94%,891,247,1138
"District Judge, 177th Judicial District",0442,1366,513,1879,2504,75.04%,1528,258,1786
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0443,335,148,483,605,79.83%,344,1,03,447
"District Judge, 177th Judicial District",0444,1258,731,1989,3172,62.70%,1193,648,1841
"District Judge, 177th Judicial District",0445,860,443,1303,1938,67.23%,795,415,1210
"District Judge, 177th Judicial District",0446,70,52,122,268,45.52%,46,69,115
"District Judge, 177th Judicial District",0447,271,108,379,583,65.01%,123,227,350
"District Judge, 177th Judicial District",0448,1239,869,2108,3081,68.42%,1227,697,1924
"District Judge, 177th Judicial District",0449,62,37,99,164,60.37%,12,79,91
"District Judge, 177th Judicial District",0450,856,537,1393,2622,53.13%,343,985,1328
"District Judge, 177th Judicial District",0451,1575,515,2090,2674,78.16%,1672,317,1989
"District Judge, 177th Judicial District",0452,1109,639,1748,2810,62.21%,1279,393,1672
"District Judge, 177th Judicial District",0453,559,475,1034,1885,54.85%,335,636,971
"District Judge, 177th Judicial District",0454,1226,311,1537,2571,59.78%,9,1485,1494
"District Judge, 177th Judicial District",0455,748,216,964,1679,57.42%,25,905,930
"District Judge, 177th Judicial District",0456,1266,593,1859,3350,55.49%,959,794,1753
"District Judge, 177th Judicial District",0457,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0458,908,271,1179,1893,62.28%,51,1087,1138
"District Judge, 177th Judicial District",0459,1637,476,2113,2950,71.63%,1645,349,1994
"District Judge, 177th Judicial District",0460,1250,402,1652,2346,70.42%,420,1166,1586
"District Judge, 177th Judicial District",0461,1958,828,2786,3733,74.63%,1822,737,2559
"District Judge, 177th Judicial District",0462,1318,865,2183,3367,64.84%,770,1282,2052
"District Judge, 177th Judicial District",0463,1124,656,1780,2962,60.09%,704,991,1695
"District Judge, 177th Judicial District",0464,786,612,1398,2126,65.76%,945,378,1323
"District Judge, 177th Judicial District",0465,1465,702,2167,3343,64.82%,1130,967,2097
"District Judge, 177th Judicial District",0466,2052,729,2781,4072,68.30%,1523,1147,2670
"District Judge, 177th Judicial District",0467,478,229,707,1230,57.48%,164,511,675
"District Judge, 177th Judicial District",0468,984,793,1777,3354,52.98%,503,1170,1673
"District Judge, 177th Judicial District",0469,2039,638,2677,3779,70.84%,2055,469,2524
"District Judge, 177th Judicial District",0470,443,323,766,1349,56.78%,531,189,720
"District Judge, 177th Judicial District",0471,792,597,1389,2349,59.13%,1037,288,1325
"District Judge, 177th Judicial District",0472,370,337,707,1027,68.84%,343,296,639
"District Judge, 177th Judicial District",0473,914,442,1356,1827,74.22%,923,336,1259
"District Judge, 177th Judicial District",0474,1146,766,1912,3006,63.61%,1299,505,1804
"District Judge, 177th Judicial District",0475,485,473,958,1651,58.03%,402,493,895
"District Judge, 177th Judicial District",0476,809,658,1467,2412,60.82%,818,575,1393
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0477,1441,742,2183,3195,68.33%,1605,475,2080
"District Judge, 177th Judicial District",0478,1959,898,2857,4150,68.84%,1840,860,2700
"District Judge, 177th Judicial District",0479,1298,588,1886,2648,71.22%,1373,433,1806
"District Judge, 177th Judicial District",0480,936,555,1491,2267,65.77%,1022,380,1402
"District Judge, 177th Judicial District",0481,1463,852,2315,3298,70.19%,1704,496,2200
"District Judge, 177th Judicial District",0482,1963,836,2799,4129,67.79%,1907,775,2682
"District Judge, 177th Judicial District",0483,1868,759,2627,4141,63.44%,1381,1101,2482
"District Judge, 177th Judicial District",0484,2236,1008,3244,4594,70.61%,2273,814,3087
"District Judge, 177th Judicial District",0485,2421,990,3411,4838,70.50%,2494,776,3270
"District Judge, 177th Judicial District",0486,1843,805,2648,3572,74.13%,2025,497,2522
"District Judge, 177th Judicial District",0487,1005,612,1617,3318,48.73%,449,1031,1480
"District Judge, 177th Judicial District",0488,580,440,1020,1713,59.54%,335,604,939
"District Judge, 177th Judicial District",0489,783,378,1161,1823,63.69%,330,767,1097
"District Judge, 177th Judicial District",0490,876,439,1315,1944,67.64%,473,758,1231
"District Judge, 177th Judicial District",0491,667,489,1156,1782,64.87%,655,416,1071
"District Judge, 177th Judicial District",0492,1069,504,1573,2351,66.91%,806,649,1455
"District Judge, 177th Judicial District",0493,858,400,1258,1804,69.73%,793,367,1160
"District Judge, 177th Judicial District",0494,760,431,1191,2176,54.73%,143,1008,1151
"District Judge, 177th Judicial District",0495,1120,494,1614,2284,70.67%,1125,388,1513
"District Judge, 177th Judicial District",0496,496,571,1067,2086,51.15%,390,610,1000
"District Judge, 177th Judicial District",0497,1123,303,1426,2226,64.06%,53,1321,1374
"District Judge, 177th Judicial District",0498,759,499,1258,2123,59.26%,524,673,1197
"District Judge, 177th Judicial District",0499,1301,517,1818,2304,78.91%,1318,382,1700
"District Judge, 177th Judicial District",0500,1507,746,2253,3175,70.96%,1522,610,2132
"District Judge, 177th Judicial District",0501,653,487,1140,1647,69.22%,425,615,1040
"District Judge, 177th Judicial District",0502,1150,332,1482,2364,62.69%,1097,294,1391
"District Judge, 177th Judicial District",0503,359,273,632,1363,46.37%,193,392,585
"District Judge, 177th Judicial District",0504,1129,538,1667,2197,75.88%,1093,464,1557
"District Judge, 177th Judicial District",0505,1209,829,2038,3654,55.77%,885,1002,1887
"District Judge, 177th Judicial District",0506,1470,801,2271,3380,67.19%,362,1827,2189
"District Judge, 177th Judicial District",0507,582,385,967,2435,39.71%,148,690,838
"District Judge, 177th Judicial District",0508,946,760,1706,3248,52.52%,535,1033,1568
"District Judge, 177th Judicial District",0509,1340,864,2204,3536,62.33%,1517,571,2088
"District Judge, 177th Judicial District",0510,1492,682,2174,3511,61.92%,958,1081,2039
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0511,0,8,8,0,0.00%,1,5,8
"District Judge, 177th Judicial District",0512,1558,1127,2885,4582,58.80%,1195,1358,2553
"District Judge, 177th Judicial District",0513,1805,507,2112,2752,78.74%,1589,429,1998
"District Judge, 177th Judicial District",0514,1988,880,2828,3941,71.71%,2048,850,2898
"District Judge, 177th Judicial District",0515,1892,708,2400,3173,75.84%,1897,377,2274
"District Judge, 177th Judicial District",0518,2179,1088,3245,4934,85.77%,1558,1503,3059
"District Judge, 177th Judicial District",0517,1208,853,1881,3320,58.05%,983,798,1759
"District Judge, 177th Judicial District",0518,1478,919,2397,3755,83.83%,1478,780,2258
"District Judge, 177th Judicial District",0519,1234,845,1879,2951,83.87%,1324,487,1791
"District Judge, 177th Judicial District",0520,1542,857,2399,4084,59.03%,385,1948,2311
"District Judge, 177th Judicial District",0521,1011,894,1705,2725,82.57%,858,781,1817
"District Judge, 177th Judicial District",0522,1171,858,1829,2882,88.20%,1348,380,1728
"District Judge, 177th Judicial District",0523,1338,889,2027,3080,88.24%,1320,559,1879
"District Judge, 177th Judicial District",0524,1237,875,1912,3292,58.08%,549,1272,1821
"District Judge, 177th Judicial District",0525,1380,810,1990,2947,87.53%,390,1507,1897
"District Judge, 177th Judicial District",0528,187,171,338,731,48.24%,87,232,319
"District Judge, 177th Judicial District",0527,80,24,104,589,18.28%,45,53,98
"District Judge, 177th Judicial District",0528,38,12,48,92,52.17%,2,45,47
"District Judge, 177th Judicial District",0529,1987,441,2428,3818,87.15%,1993,323,2318
"District Judge, 177th Judicial District",0530,259,235,494,1198,41.30%,105,353,458
"District Judge, 177th Judicial District",0531,872,113,785,1094,71.78%,590,142,732
"District Judge, 177th Judicial District",0532,452,184,838,1039,81.21%,423,184,807
"District Judge, 177th Judicial District",0533,317,207,524,1089,49.02%,258,238,498
"District Judge, 177th Judicial District",0534,1858,875,2333,3795,81.48%,1858,555,2213
"District Judge, 177th Judicial District",0535,80,94,174,421,41.33%,59,104,183
"District Judge, 177th Judicial District",0538,1332,1195,2527,4578,55.22%,915,1477,2392
"District Judge, 177th Judicial District",0537,1454,823,2277,2971,78.84%,1840,510,2150
"District Judge, 177th Judicial District",0538,433,237,870,1282,52.28%,19,828,847
"District Judge, 177th Judicial District",0539,28,209,235,71,330.99%,48,188,214
"District Judge, 177th Judicial District",0540,888,380,1048,1491,70.15%,451,488,937
"District Judge, 177th Judicial District",0541,1824,779,2803,4183,82.23%,335,2148,2483
"District Judge, 177th Judicial District",0542,997,501,1498,2525,59.33%,88,1385,1451
"District Judge, 177th Judicial District",0543,287,378,885,1528,43.52%,200,421,821
"District Judge, 177th Judicial District",0544,92,53,145,318,45.80%,18,128,142
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0545,1314,857,2171,3339,65.02%,1013,1044,2057
"District Judge, 177th Judicial District",0546,4,4,8,30,26.67%,2,6,8
"District Judge, 177th Judicial District",0547,877,647,1524,2408,63.29%,1018,423,1441
"District Judge, 177th Judicial District",0548,720,476,1196,2129,56.18%,531,610,1141
"District Judge, 177th Judicial District",0549,944,586,1530,2530,60.47%,202,1267,1469
"District Judge, 177th Judicial District",0550,1134,629,1763,2847,61.92%,859,840,1699
"District Judge, 177th Judicial District",0551,3088,1527,4615,6135,75.22%,3276,1105,4381
"District Judge, 177th Judicial District",0552,1621,844,2465,3241,76.06%,2008,348,2356
"District Judge, 177th Judicial District",0553,1465,951,2416,4355,55.48%,1024,1281,2305
"District Judge, 177th Judicial District",0554,562,340,902,1731,52.11%,136,702,838
"District Judge, 177th Judicial District",0555,597,447,1044,2119,49.27%,174,820,994
"District Judge, 177th Judicial District",0556,584,421,1005,2249,44.69%,210,745,955
"District Judge, 177th Judicial District",0557,822,556,1378,2726,50.55%,430,832,1262
"District Judge, 177th Judicial District",0558,1588,824,2412,4084,59.06%,748,1537,2285
"District Judge, 177th Judicial District",0559,1787,899,2686,4633,57.98%,622,1916,2538
"District Judge, 177th Judicial District",0560,172,289,461,1176,39.20%,93,332,425
"District Judge, 177th Judicial District",0561,837,759,1596,3033,52.62%,859,653,1512
"District Judge, 177th Judicial District",0562,201,146,347,645,53.80%,25,307,332
"District Judge, 177th Judicial District",0563,1699,415,2114,2969,71.20%,1609,380,1989
"District Judge, 177th Judicial District",0564,1150,713,1863,3096,60.17%,492,1227,1719
"District Judge, 177th Judicial District",0565,315,194,509,1373,37.07%,88,385,473
"District Judge, 177th Judicial District",0566,1122,478,1600,2950,54.24%,418,1121,1539
"District Judge, 177th Judicial District",0567,672,394,1066,2198,48.50%,279,696,975
"District Judge, 177th Judicial District",0568,1628,837,2465,3487,70.69%,1568,697,2265
"District Judge, 177th Judicial District",0569,1294,865,2159,3249,66.45%,1160,831,1991
"District Judge, 177th Judicial District",0570,525,409,934,1473,63.41%,411,440,851
"District Judge, 177th Judicial District",0571,333,312,645,1758,36.69%,195,399,594
"District Judge, 177th Judicial District",0572,1283,574,1857,2998,61.94%,845,905,1750
"District Judge, 177th Judicial District",0573,577,368,945,1618,58.41%,11,911,922
"District Judge, 177th Judicial District",0574,98,79,177,391,45.27%,17,148,165
"District Judge, 177th Judicial District",0575,27,9,36,79,45.57%,32,3,35
"District Judge, 177th Judicial District",0576,1050,552,1602,2671,59.98%,44,1508,1552
"District Judge, 177th Judicial District",0577,231,113,344,573,60.03%,188,134,322
"District Judge, 177th Judicial District",0578,745,553,1298,1689,76.85%,796,387,1183
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0579,487,351,838,1806,46.40%,186,600,786
"District Judge, 177th Judicial District",0580,429,146,575,1027,55.99%,12,549,561
"District Judge, 177th Judicial District",0581,510,162,672,1041,64.55%,19,629,648
"District Judge, 177th Judicial District",0582,614,256,870,1613,53.94%,43,797,840
"District Judge, 177th Judicial District",0583,544,127,671,1248,53.77%,12,645,657
"District Judge, 177th Judicial District",0584,392,139,531,971,54.69%,32,494,526
"District Judge, 177th Judicial District",0585,934,304,1238,2403,51.52%,31,1170,1201
"District Judge, 177th Judicial District",0585,1306,1189,2495,4230,58.98%,1488,901,2389
"District Judge, 177th Judicial District",0587,933,465,1398,2174,64.31%,486,856,1342
"District Judge, 177th Judicial District",0588,1536,871,2407,3468,69.41%,1681,623,2304
"District Judge, 177th Judicial District",0589,1033,738,1771,3130,56.58%,910,781,1691
"District Judge, 177th Judicial District",0590,1158,463,1621,2136,75.89%,1226,306,1532
"District Judge, 177th Judicial District",0591,420,449,869,2114,41.11%,217,594,811
"District Judge, 177th Judicial District",0592,370,288,658,1258,52.31%,151,476,627
"District Judge, 177th Judicial District",0593,1148,999,2147,4059,52.89%,947,1084,2031
"District Judge, 177th Judicial District",0594,1031,535,1566,2361,66.33%,437,1068,1505
"District Judge, 177th Judicial District",0595,497,380,877,1647,53.25%,138,707,845
"District Judge, 177th Judicial District",0596,945,690,1635,2848,57.41%,839,725,1564
"District Judge, 177th Judicial District",0597,1067,719,1786,3267,54.67%,597,1119,1716
"District Judge, 177th Judicial District",0598,335,103,438,724,60.50%,331,79,410
"District Judge, 177th Judicial District",0599,1895,866,2761,4135,66.77%,909,1745,2654
"District Judge, 177th Judicial District",0600,1383,869,2252,3820,58.95%,775,1362,2137
"District Judge, 177th Judicial District",0601,2028,858,2886,3990,72.33%,2142,627,2769
"District Judge, 177th Judicial District",0602,562,296,858,1237,69.36%,589,238,827
"District Judge, 177th Judicial District",0603,1437,1163,2600,3917,66.38%,1543,954,2497
"District Judge, 177th Judicial District",0604,1444,528,1972,2910,67.77%,1601,281,1882
"District Judge, 177th Judicial District",0605,2227,889,3116,5251,59.34%,723,2260,2983
"District Judge, 177th Judicial District",0606,420,122,542,1053,51.47%,4,521,525
"District Judge, 177th Judicial District",0607,194,118,312,731,42.68%,20,276,296
"District Judge, 177th Judicial District",0608,245,290,535,1256,42.60%,200,297,497
"District Judge, 177th Judicial District",0609,1364,844,2208,3261,67.71%,1335,730,2065
"District Judge, 177th Judicial District",0610,403,398,801,1825,43.89%,345,403,748
"District Judge, 177th Judicial District",0611,1120,301,1421,2450,58.00%,40,1343,1383
"District Judge, 177th Judicial District",0612,1700,579,2279,3272,69.65%,1683,454,2137
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0613,495,309,804,1450,55.45%,121,655,776
"District Judge, 177th Judicial District",0614,1631,812,2443,3932,62.13%,795,1534,2329
"District Judge, 177th Judicial District",0615,931,404,1335,1926,69.31%,774,500,1274
"District Judge, 177th Judicial District",0616,1352,970,2322,3378,68.74%,1588,612,2200
"District Judge, 177th Judicial District",0617,1318,849,2167,3546,61.11%,754,1322,2076
"District Judge, 177th Judicial District",0618,1920,1021,2941,5344,55.03%,1239,1575,2814
"District Judge, 177th Judicial District",0619,2133,857,2990,4266,70.09%,2195,646,2841
"District Judge, 177th Judicial District",0620,2382,856,3238,5271,61.43%,1522,1505,3027
"District Judge, 177th Judicial District",0621,397,203,600,1173,51.15%,293,277,570
"District Judge, 177th Judicial District",0622,1722,829,2551,4305,59.26%,1475,947,2422
"District Judge, 177th Judicial District",0623,1708,626,2334,3481,67.05%,1463,734,2197
"District Judge, 177th Judicial District",0624,9,0,9,16,56.25%,4,5,9
"District Judge, 177th Judicial District",0625,862,454,1316,1796,73.27%,731,474,1205
"District Judge, 177th Judicial District",0626,1148,655,1803,2838,63.53%,888,807,1695
"District Judge, 177th Judicial District",0627,795,547,1442,2964,48.65%,413,940,1353
"District Judge, 177th Judicial District",0628,292,456,748,1600,46.75%,303,401,704
"District Judge, 177th Judicial District",0629,175,127,302,629,48.01%,20,275,295
"District Judge, 177th Judicial District",0630,2018,535,2553,3190,80.03%,216,2252,2468
"District Judge, 177th Judicial District",0631,1489,392,1881,2733,68.83%,1320,465,1785
"District Judge, 177th Judicial District",0632,12,9,21,231,9.09%,5,13,18
"District Judge, 177th Judicial District",0633,1782,678,2460,3257,75.53%,1763,583,2346
"District Judge, 177th Judicial District",0634,1020,734,1754,2922,60.03%,1066,601,1667
"District Judge, 177th Judicial District",0635,1326,706,2032,3280,61.95%,1519,418,1937
"District Judge, 177th Judicial District",0636,1791,974,2765,3881,71.24%,2324,326,2650
"District Judge, 177th Judicial District",0637,739,509,1248,2471,50.51%,290,854,1144
"District Judge, 177th Judicial District",0638,740,684,1424,2078,68.53%,87,1278,1365
"District Judge, 177th Judicial District",0639,828,711,1539,2501,61.54%,1190,283,1473
"District Judge, 177th Judicial District",0640,1382,723,2105,3548,59.33%,1188,817,2005
"District Judge, 177th Judicial District",0641,1265,878,2143,3375,63.50%,1297,745,2042
"District Judge, 177th Judicial District",0642,871,447,1318,1779,74.09%,1066,190,1256
"District Judge, 177th Judicial District",0643,2157,994,3151,5310,59.34%,1195,1805,3000
"District Judge, 177th Judicial District",0644,2123,1204,3327,5261,63.24%,2053,1091,3144
"District Judge, 177th Judicial District",0645,1639,895,2534,4035,62.80%,1145,1239,2384
"District Judge, 177th Judicial District",0646,708,456,1164,2163,53.81%,332,765,1097
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0647,1770,1020,2790,5593,49.88%,678,1888,2566
"District Judge, 177th Judicial District",0648,1590,668,2258,3197,70.63%,1555,601,2156
"District Judge, 177th Judicial District",0649,1389,854,2243,4426,50.68%,611,1503,2114
"District Judge, 177th Judicial District",0650,1328,939,2267,3151,71.95%,1661,494,2155
"District Judge, 177th Judicial District",0651,2085,1070,3155,4931,63.98%,1946,1050,2996
"District Judge, 177th Judicial District",0652,1049,653,1702,2633,64.64%,261,1379,1640
"District Judge, 177th Judicial District",0653,0,8,8,0,0.00%,2,6,8
"District Judge, 177th Judicial District",0654,2103,1344,3447,5765,59.79%,1711,1533,3244
"District Judge, 177th Judicial District",0655,2612,1451,4063,6304,64.45%,2468,1364,3832
"District Judge, 177th Judicial District",0656,1198,421,1619,2622,61.75%,51,1514,1565
"District Judge, 177th Judicial District",0657,490,268,758,1200,63.17%,288,430,718
